General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{4EE218BD-8C6D-4657-9C00-57D81D683E89}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1267 P6 W1 1"
Break (Standard) : Load at Break (Standard),"10.48631",N
Maximum Load : Maximum Load,"14.75800",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.37625"
"0.10000","0.00011","0.37694"
"0.20000","0.00070","0.38609"
"0.30000","0.00356","0.43510"
"0.40000","0.00593","0.47084"
"0.50000","0.00769","0.49477"
"0.60000","0.00938","0.51693"
"0.70000","0.01105","0.53833"
"0.80000","0.01278","0.56150"
"0.90000","0.01451","0.58392"
"1.00000","0.01622","0.60674"
"1.10000","0.01791","0.62935"
"1.20000","0.01957","0.65078"
"1.30000","0.02124","0.67201"
"1.40000","0.02294","0.69412"
"1.50000","0.02461","0.71653"
"1.60000","0.02626","0.73749"
"1.70000","0.02793","0.75844"
"1.80000","0.02959","0.78003"
"1.90000","0.03129","0.80213"
"2.00000","0.03306","0.82461"
"2.10000","0.03483","0.84749"
"2.20000","0.03650","0.86793"
"2.30000","0.03824","0.88949"
"2.40000","0.03994","0.91094"
"2.50000","0.04155","0.93034"
"2.60000","0.04341","0.95488"
"2.70000","0.04508","0.97390"
"2.80000","0.04656","0.98949"
"2.90000","0.04808","1.00738"
"3.00000","0.04973","1.02775"
"3.10000","0.05140","1.04806"
"3.20000","0.05292","1.06452"
"3.30000","0.05443","1.08098"
"3.40000","0.05606","1.10049"
"3.50000","0.05772","1.12004"
"3.60000","0.05937","1.13963"
"3.70000","0.06105","1.15863"
"3.80000","0.06266","1.17705"
"3.90000","0.06428","1.19457"
"4.00000","0.06590","1.21268"
"4.10000","0.06761","1.23263"
"4.20000","0.06932","1.25183"
"4.30000","0.07098","1.26897"
"4.40000","0.07263","1.28679"
"4.50000","0.07445","1.30771"
"4.60000","0.07625","1.32776"
"4.70000","0.07799","1.34654"
"4.80000","0.07972","1.36478"
"4.90000","0.08139","1.38200"
"5.00000","0.08299","1.39850"
