General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{1927D10D-7D2F-40AC-8D8D-12F0FE18D3B1}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1267 P1 W1 2"
Break (Standard) : Load at Break (Standard),"3.88702",N
Maximum Load : Maximum Load,"8.52615",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.52593"
"0.10000","0.00002","0.52626"
"0.20000","0.00041","0.53053"
"0.30000","0.00147","0.54599"
"0.40000","0.00555","0.60672"
"0.50000","0.00777","0.63372"
"0.60000","0.00931","0.64978"
"0.70000","0.01085","0.66605"
"0.80000","0.01241","0.68186"
"0.90000","0.01414","0.70061"
"1.00000","0.01578","0.71647"
"1.10000","0.01738","0.73269"
"1.20000","0.01904","0.74804"
"1.30000","0.02059","0.76066"
"1.40000","0.02242","0.77759"
"1.50000","0.02427","0.79436"
"1.60000","0.02598","0.80804"
"1.70000","0.02770","0.82225"
"1.80000","0.02943","0.83575"
"1.90000","0.03116","0.84864"
"2.00000","0.03285","0.86178"
"2.10000","0.03452","0.87476"
"2.20000","0.03618","0.88618"
"2.30000","0.03790","0.89829"
"2.40000","0.03956","0.90986"
"2.50000","0.04118","0.92117"
"2.60000","0.04287","0.93305"
"2.70000","0.04452","0.94433"
"2.80000","0.04624","0.95648"
"2.90000","0.04794","0.96814"
"3.00000","0.04958","0.97959"
"3.10000","0.05127","0.99155"
"3.20000","0.05317","1.00589"
"3.30000","0.05494","1.01801"
"3.40000","0.05658","1.02854"
"3.50000","0.05815","1.03701"
"3.60000","0.05978","1.04758"
"3.70000","0.06144","1.05761"
"3.80000","0.06303","1.06750"
"3.90000","0.06467","1.07874"
"4.00000","0.06635","1.08982"
"4.10000","0.06802","1.10135"
"4.20000","0.06974","1.11249"
"4.30000","0.07141","1.12274"
"4.40000","0.07302","1.13330"
"4.50000","0.07463","1.14332"
"4.60000","0.07623","1.15423"
"4.70000","0.07795","1.16621"
"4.80000","0.07977","1.17925"
"4.90000","0.08153","1.19074"
"5.00000","0.08319","1.20154"
