General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{525303F0-5A9A-48A9-86B0-37E8C3DB49FB}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1267 P2 W1 3 (4 samples)"
Break (Standard) : Load at Break (Standard),"7.74457",N
Maximum Load : Maximum Load,"8.38266",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.38676"
"0.10000","0.00012","0.38808"
"0.20000","0.00123","0.40888"
"0.30000","0.00319","0.44450"
"0.40000","0.00530","0.48143"
"0.50000","0.00753","0.51950"
"0.60000","0.00952","0.55066"
"0.70000","0.01113","0.57371"
"0.80000","0.01272","0.59747"
"0.90000","0.01435","0.62141"
"1.00000","0.01603","0.64561"
"1.10000","0.01766","0.66726"
"1.20000","0.01930","0.69004"
"1.30000","0.02100","0.71363"
"1.40000","0.02267","0.73602"
"1.50000","0.02437","0.75838"
"1.60000","0.02602","0.77909"
"1.70000","0.02769","0.80096"
"1.80000","0.02943","0.82324"
"1.90000","0.03116","0.84637"
"2.00000","0.03289","0.86815"
"2.10000","0.03462","0.88999"
"2.20000","0.03633","0.91234"
"2.30000","0.03802","0.93353"
"2.40000","0.03972","0.95679"
"2.50000","0.04138","0.97769"
"2.60000","0.04302","0.99864"
"2.70000","0.04466","1.01923"
"2.80000","0.04629","1.03990"
"2.90000","0.04786","1.05952"
"3.00000","0.04943","1.07837"
"3.10000","0.05108","1.09948"
"3.20000","0.05275","1.12027"
"3.30000","0.05440","1.14050"
"3.40000","0.05608","1.16080"
"3.50000","0.05777","1.18192"
"3.60000","0.05944","1.20256"
"3.70000","0.06133","1.22693"
"3.80000","0.06312","1.24815"
"3.90000","0.06477","1.26705"
"4.00000","0.06646","1.28706"
"4.10000","0.06813","1.30831"
"4.20000","0.06977","1.32841"
"4.30000","0.07138","1.34839"
"4.40000","0.07308","1.37105"
"4.50000","0.07474","1.39282"
"4.60000","0.07636","1.41384"
"4.70000","0.07801","1.43604"
"4.80000","0.07968","1.45967"
"4.90000","0.08133","1.48207"
"5.00000","0.08303","1.50668"
"5.10000","0.08469","1.52894"
"5.20000","0.08633","1.55185"
"5.30000","0.08794","1.57441"
"5.40000","0.08951","1.59591"
"5.50000","0.09126","1.62128"
"5.60000","0.09296","1.64448"
"5.70000","0.09464","1.66690"
"5.80000","0.09637","1.69102"
"5.90000","0.09809","1.71437"
"6.00000","0.09975","1.73659"
"6.10000","0.10139","1.75927"
"6.20000","0.10306","1.78225"
"6.30000","0.10467","1.80402"
"6.40000","0.10627","1.82533"
"6.50000","0.10788","1.84689"
"6.60000","0.10954","1.87001"
"6.70000","0.11121","1.89263"
"6.80000","0.11284","1.91241"
"6.90000","0.11453","1.93504"
"7.00000","0.11629","1.95837"
"7.10000","0.11807","1.98318"
"7.20000","0.11983","2.00631"
"7.30000","0.12142","2.02437"
"7.40000","0.12307","2.04513"
"7.50000","0.12474","2.06691"
"7.60000","0.12636","2.08638"
"7.70000","0.12801","2.10650"
"7.80000","0.12964","2.12593"
"7.90000","0.13129","2.14547"
"8.00000","0.13292","2.16402"
"8.10000","0.13455","2.18310"
"8.20000","0.13628","2.20388"
"8.30000","0.13799","2.22408"
"8.40000","0.13962","2.24233"
"8.50000","0.14116","2.25911"
"8.60000","0.14278","2.27860"
"8.70000","0.14448","2.29869"
"8.80000","0.14620","2.31879"
"8.90000","0.14795","2.33901"
"9.00000","0.14957","2.35615"
"9.10000","0.15124","2.37451"
"9.20000","0.15291","2.39247"
"9.30000","0.15461","2.41103"
"9.40000","0.15631","2.42963"
"9.50000","0.15798","2.44638"
"9.60000","0.15968","2.46382"
"9.70000","0.16140","2.48192"
"9.80000","0.16308","2.49924"
"9.90000","0.16477","2.51611"
"10.00000","0.16650","2.53460"
"10.10000","0.16812","2.54982"
"10.20000","0.16984","2.56812"
"10.30000","0.17153","2.58519"
"10.40000","0.17312","2.60070"
"10.50000","0.17479","2.61864"
"10.60000","0.17638","2.63438"
"10.70000","0.17805","2.65212"
"10.80000","0.17972","2.66956"
"10.90000","0.18136","2.68589"
"11.00000","0.18301","2.70254"
"11.10000","0.18469","2.72022"
"11.20000","0.18633","2.73604"
"11.30000","0.18796","2.75205"
"11.40000","0.18956","2.76677"
"11.50000","0.19118","2.78240"
"11.60000","0.19285","2.79855"
"11.70000","0.19454","2.81565"
"11.80000","0.19609","2.82837"
"11.90000","0.19784","2.84748"
"12.00000","0.19966","2.86555"
"12.10000","0.20137","2.88168"
"12.20000","0.20301","2.89538"
"12.30000","0.20463","2.90990"
"12.40000","0.20622","2.92353"
"12.50000","0.20785","2.93958"
"12.60000","0.20949","2.95503"
"12.70000","0.21115","2.97160"
"12.80000","0.21280","2.98699"
"12.90000","0.21442","3.00225"
"13.00000","0.21611","3.01945"
"13.10000","0.21777","3.03460"
"13.20000","0.21944","3.05009"
"13.30000","0.22120","3.06753"
"13.40000","0.22286","3.08177"
"13.50000","0.22465","3.10008"
"13.60000","0.22640","3.11684"
"13.70000","0.22813","3.13250"
"13.80000","0.22982","3.14709"
"13.90000","0.23144","3.16057"
"14.00000","0.23307","3.17402"
"14.10000","0.23473","3.18834"
"14.20000","0.23637","3.20304"
"14.30000","0.23805","3.21804"
"14.40000","0.23968","3.23200"
"14.50000","0.24130","3.24602"
"14.60000","0.24296","3.26106"
"14.70000","0.24462","3.27654"
"14.80000","0.24634","3.29349"
"14.90000","0.24805","3.30946"
"15.00000","0.24973","3.32472"
"15.10000","0.25137","3.33855"
"15.20000","0.25306","3.35409"
"15.30000","0.25482","3.37068"
"15.40000","0.25664","3.38854"
"15.50000","0.25833","3.40220"
"15.60000","0.25995","3.41478"
"15.70000","0.26161","3.42899"
"15.80000","0.26317","3.44057"
"15.90000","0.26473","3.45264"
"16.00000","0.26638","3.46756"
"16.10000","0.26799","3.48031"
"16.20000","0.26952","3.49148"
"16.30000","0.27115","3.50595"
"16.40000","0.27288","3.52215"
"16.50000","0.27454","3.53636"
"16.60000","0.27613","3.54910"
"16.70000","0.27780","3.56462"
"16.80000","0.27955","3.58168"
"16.90000","0.28122","3.59654"
"17.00000","0.28285","3.60869"
"17.10000","0.28454","3.62417"
"17.20000","0.28624","3.63917"
"17.30000","0.28786","3.65165"
"17.40000","0.28955","3.66552"
"17.50000","0.29122","3.67991"
"17.60000","0.29286","3.69300"
"17.70000","0.29449","3.70646"
"17.80000","0.29619","3.72285"
"17.90000","0.29792","3.73826"
"18.00000","0.29965","3.75371"
"18.10000","0.30140","3.76958"
"18.20000","0.30310","3.78317"
