General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{F4390BF9-5DCE-47EF-91C8-28906AE37546}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1282 P8 W2 1"
Break (Standard) : Load at Break (Standard),"14.58835",N
Maximum Load : Maximum Load,"15.12836",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.38996"
"0.10000","0.00005","0.39122"
"0.20000","0.00034","0.39825"
"0.30000","0.00113","0.42064"
"0.40000","0.00368","0.49444"
"0.50000","0.00761","0.60536"
"0.60000","0.00958","0.65301"
"0.70000","0.01119","0.69057"
"0.80000","0.01279","0.72965"
"0.90000","0.01438","0.76451"
"1.00000","0.01601","0.80183"
"1.10000","0.01767","0.84062"
"1.20000","0.01934","0.88132"
"1.30000","0.02107","0.92218"
"1.40000","0.02275","0.96017"
"1.50000","0.02440","0.99777"
"1.60000","0.02610","1.03565"
"1.70000","0.02781","1.07563"
"1.80000","0.02979","1.12147"
"1.90000","0.03150","1.16035"
"2.00000","0.03317","1.19837"
"2.10000","0.03484","1.23780"
"2.20000","0.03648","1.27629"
"2.30000","0.03815","1.31523"
"2.40000","0.03977","1.35245"
"2.50000","0.04137","1.39022"
"2.60000","0.04303","1.43085"
"2.70000","0.04461","1.46743"
"2.80000","0.04608","1.50178"
"2.90000","0.04766","1.53956"
"3.00000","0.04932","1.58042"
"3.10000","0.05106","1.62197"
"3.20000","0.05279","1.66449"
"3.30000","0.05443","1.70391"
"3.40000","0.05601","1.74193"
"3.50000","0.05772","1.78407"
"3.60000","0.05955","1.82856"
"3.70000","0.06129","1.87009"
"3.80000","0.06301","1.91297"
"3.90000","0.06472","1.95620"
"4.00000","0.06647","1.99873"
"4.10000","0.06804","2.03605"
"4.20000","0.06959","2.07312"
"4.30000","0.07121","2.11101"
"4.40000","0.07293","2.15222"
"4.50000","0.07455","2.18992"
"4.60000","0.07623","2.23167"
"4.70000","0.07794","2.27300"
"4.80000","0.07954","2.31438"
"4.90000","0.08113","2.35454"
"5.00000","0.08291","2.40192"
"5.10000","0.08468","2.44518"
"5.20000","0.08644","2.49050"
"5.30000","0.08806","2.52975"
"5.40000","0.08978","2.57601"
"5.50000","0.09140","2.61560"
"5.60000","0.09300","2.65725"
"5.70000","0.09464","2.69754"
"5.80000","0.09630","2.73817"
"5.90000","0.09788","2.77583"
"6.00000","0.09955","2.81995"
"6.10000","0.10122","2.86237"
"6.20000","0.10291","2.90512"
"6.30000","0.10456","2.94582"
"6.40000","0.10618","2.98763"
"6.50000","0.10783","3.03004"
"6.60000","0.10949","3.07080"
"6.70000","0.11115","3.11198"
"6.80000","0.11284","3.15542"
"6.90000","0.11457","3.20014"
"7.00000","0.11623","3.24254"
"7.10000","0.11800","3.29000"
"7.20000","0.11977","3.33645"
"7.30000","0.12146","3.37922"
"7.40000","0.12306","3.41945"
"7.50000","0.12472","3.46330"
"7.60000","0.12640","3.50697"
"7.70000","0.12800","3.54794"
"7.80000","0.12966","3.59021"
"7.90000","0.13133","3.63316"
"8.00000","0.13298","3.67333"
"8.10000","0.13454","3.71146"
"8.20000","0.13606","3.74837"
"8.30000","0.13778","3.79378"
"8.40000","0.13954","3.83798"
"8.50000","0.14124","3.87641"
"8.60000","0.14292","3.91452"
"8.70000","0.14458","3.95393"
"8.80000","0.14619","3.99179"
"8.90000","0.14785","4.03333"
"9.00000","0.14943","4.07064"
"9.10000","0.15102","4.10761"
"9.20000","0.15267","4.14521"
"9.30000","0.15437","4.18466"
"9.40000","0.15609","4.22346"
"9.50000","0.15784","4.26187"
"9.60000","0.15958","4.30099"
"9.70000","0.16124","4.33742"
"9.80000","0.16295","4.37564"
"9.90000","0.16467","4.41415"
"10.00000","0.16632","4.44866"
"10.10000","0.16826","4.49487"
"10.20000","0.17013","4.53294"
"10.30000","0.17173","4.55868"
"10.40000","0.17339","4.59127"
"10.50000","0.17502","4.62387"
"10.60000","0.17663","4.65410"
"10.70000","0.17823","4.68334"
"10.80000","0.17981","4.71240"
"10.90000","0.18145","4.74428"
"11.00000","0.18302","4.77154"
"11.10000","0.18468","4.80199"
"11.20000","0.18634","4.83120"
"11.30000","0.18800","4.86091"
"11.40000","0.18959","4.88544"
"11.50000","0.19115","4.91104"
"11.60000","0.19291","4.94426"
"11.70000","0.19460","4.97298"
"11.80000","0.19625","4.99894"
"11.90000","0.19792","5.02664"
"12.00000","0.19970","5.05889"
"12.10000","0.20145","5.08721"
"12.20000","0.20314","5.11310"
"12.30000","0.20477","5.13712"
"12.40000","0.20636","5.15980"
"12.50000","0.20796","5.18294"
"12.60000","0.20955","5.20560"
"12.70000","0.21117","5.23067"
"12.80000","0.21279","5.25457"
"12.90000","0.21441","5.27989"
"13.00000","0.21600","5.30213"
"13.10000","0.21760","5.32547"
"13.20000","0.21919","5.34841"
"13.30000","0.22075","5.36928"
"13.40000","0.22244","5.39566"
"13.50000","0.22431","5.42842"
"13.60000","0.22608","5.45502"
"13.70000","0.22787","5.48215"
"13.80000","0.22955","5.50142"
"13.90000","0.23118","5.51959"
"14.00000","0.23287","5.54135"
"14.10000","0.23455","5.56248"
"14.20000","0.23619","5.58299"
"14.30000","0.23796","5.60966"
"14.40000","0.23974","5.63564"
"14.50000","0.24143","5.65862"
"14.60000","0.24312","5.68239"
"14.70000","0.24472","5.70284"
"14.80000","0.24647","5.73143"
"14.90000","0.24821","5.75851"
"15.00000","0.24989","5.78259"
"15.10000","0.25152","5.80456"
"15.20000","0.25318","5.82803"
"15.30000","0.25487","5.85259"
"15.40000","0.25650","5.87413"
"15.50000","0.25811","5.89596"
"15.60000","0.25972","5.91750"
"15.70000","0.26136","5.93998"
"15.80000","0.26303","5.96315"
"15.90000","0.26470","5.98660"
"16.00000","0.26640","6.01095"
"16.10000","0.26809","6.03408"
"16.20000","0.26971","6.05387"
"16.30000","0.27140","6.07667"
"16.40000","0.27306","6.09789"
"16.50000","0.27469","6.11816"
"16.60000","0.27628","6.13809"
"16.70000","0.27790","6.15904"
"16.80000","0.27956","6.18166"
"16.90000","0.28124","6.20576"
"17.00000","0.28289","6.22840"
"17.10000","0.28457","6.25185"
"17.20000","0.28620","6.27245"
"17.30000","0.28782","6.29322"
"17.40000","0.28944","6.31383"
"17.50000","0.29113","6.33737"
"17.60000","0.29280","6.36042"
"17.70000","0.29451","6.38538"
"17.80000","0.29622","6.40952"
"17.90000","0.29789","6.43132"
"18.00000","0.29948","6.45002"
"18.10000","0.30141","6.48464"
"18.20000","0.30325","6.51262"
