General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{538B8E15-22A0-4FBB-A220-317DB81BEC10}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1282 P8 W1 4"
Break (Standard) : Load at Break (Standard),"8.48467",N
Maximum Load : Maximum Load,"9.97487",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.77837"
"0.10000","0.00018","0.78002"
"0.20000","0.00119","0.79491"
"0.30000","0.00281","0.81730"
"0.40000","0.00477","0.84357"
"0.50000","0.00683","0.87018"
"0.60000","0.00876","0.89531"
"0.70000","0.01076","0.92136"
"0.80000","0.01260","0.94454"
"0.90000","0.01433","0.96618"
"1.00000","0.01605","0.98761"
"1.10000","0.01779","1.00672"
"1.20000","0.01935","1.02609"
"1.30000","0.02097","1.04484"
"1.40000","0.02262","1.06551"
"1.50000","0.02427","1.08529"
"1.60000","0.02595","1.10540"
"1.70000","0.02767","1.12634"
"1.80000","0.02941","1.14662"
"1.90000","0.03110","1.16626"
"2.00000","0.03281","1.18623"
"2.10000","0.03452","1.20666"
"2.20000","0.03622","1.22594"
"2.30000","0.03784","1.24360"
"2.40000","0.03954","1.26291"
"2.50000","0.04140","1.28495"
"2.60000","0.04319","1.30604"
"2.70000","0.04487","1.32471"
"2.80000","0.04651","1.34278"
"2.90000","0.04815","1.36156"
"3.00000","0.04973","1.37907"
"3.10000","0.05134","1.39639"
"3.20000","0.05297","1.41416"
"3.30000","0.05455","1.43223"
"3.40000","0.05609","1.44913"
"3.50000","0.05778","1.46787"
"3.60000","0.05940","1.48549"
"3.70000","0.06111","1.50518"
"3.80000","0.06276","1.52252"
"3.90000","0.06450","1.54175"
"4.00000","0.06637","1.56285"
"4.10000","0.06818","1.58263"
"4.20000","0.06984","1.60147"
"4.30000","0.07151","1.61928"
"4.40000","0.07323","1.63923"
"4.50000","0.07486","1.65629"
"4.60000","0.07649","1.67224"
"4.70000","0.07814","1.68921"
"4.80000","0.07972","1.70655"
"4.90000","0.08133","1.72379"
"5.00000","0.08296","1.74092"
"5.10000","0.08455","1.75777"
"5.20000","0.08627","1.77780"
"5.30000","0.08796","1.79662"
"5.40000","0.08953","1.81248"
"5.50000","0.09121","1.83084"
"5.60000","0.09292","1.84901"
"5.70000","0.09452","1.86590"
"5.80000","0.09630","1.88539"
"5.90000","0.09814","1.90722"
"6.00000","0.09982","1.92381"
"6.10000","0.10145","1.94061"
"6.20000","0.10310","1.95666"
"6.30000","0.10478","1.97425"
"6.40000","0.10642","1.99133"
"6.50000","0.10807","2.00877"
"6.60000","0.10973","2.02537"
"6.70000","0.11136","2.04161"
"6.80000","0.11296","2.05904"
"6.90000","0.11453","2.07401"
"7.00000","0.11622","2.09217"
"7.10000","0.11781","2.10916"
"7.20000","0.11956","2.12892"
"7.30000","0.12120","2.14559"
"7.40000","0.12284","2.16265"
"7.50000","0.12451","2.17926"
"7.60000","0.12623","2.19802"
"7.70000","0.12798","2.21562"
"7.80000","0.12963","2.23372"
"7.90000","0.13124","2.25028"
"8.00000","0.13286","2.26659"
"8.10000","0.13450","2.28484"
"8.20000","0.13622","2.30209"
"8.30000","0.13789","2.31873"
