General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{60042252-3F06-4007-958B-06501452162B}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1282 P3 W1 2"
Break (Standard) : Load at Break (Standard),"7.40056",N
Maximum Load : Maximum Load,"11.07923",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.49911"
"0.10000","0.00011","0.50020"
"0.20000","0.00098","0.52217"
"0.30000","0.00308","0.57443"
"0.40000","0.00522","0.62560"
"0.50000","0.00724","0.67304"
"0.60000","0.00910","0.71439"
"0.70000","0.01086","0.75241"
"0.80000","0.01250","0.78693"
"0.90000","0.01420","0.82270"
"1.00000","0.01598","0.85831"
"1.10000","0.01774","0.89383"
"1.20000","0.01945","0.92713"
"1.30000","0.02113","0.95810"
"1.40000","0.02283","0.99010"
"1.50000","0.02453","1.02198"
"1.60000","0.02621","1.05174"
"1.70000","0.02786","1.08052"
"1.80000","0.02940","1.10548"
"1.90000","0.03119","1.13804"
"2.00000","0.03299","1.16906"
"2.10000","0.03475","1.19961"
"2.20000","0.03641","1.22612"
"2.30000","0.03806","1.25255"
"2.40000","0.03971","1.27940"
"2.50000","0.04125","1.30223"
"2.60000","0.04283","1.32680"
"2.70000","0.04451","1.35382"
"2.80000","0.04620","1.38114"
"2.90000","0.04787","1.40701"
"3.00000","0.04957","1.43259"
"3.10000","0.05122","1.45711"
"3.20000","0.05289","1.48239"
"3.30000","0.05460","1.50713"
"3.40000","0.05632","1.53198"
"3.50000","0.05807","1.55717"
"3.60000","0.05969","1.57897"
"3.70000","0.06137","1.60232"
"3.80000","0.06320","1.62920"
"3.90000","0.06489","1.65183"
"4.00000","0.06659","1.67492"
"4.10000","0.06830","1.69873"
"4.20000","0.06990","1.71971"
"4.30000","0.07149","1.74194"
"4.40000","0.07315","1.76601"
"4.50000","0.07479","1.79007"
"4.60000","0.07637","1.81265"
"4.70000","0.07805","1.83832"
"4.80000","0.07977","1.86520"
"4.90000","0.08148","1.89168"
"5.00000","0.08316","1.91657"
"5.10000","0.08468","1.93773"
"5.20000","0.08661","1.97090"
"5.30000","0.08843","1.99936"
"5.40000","0.09002","2.02122"
"5.50000","0.09169","2.04622"
"5.60000","0.09341","2.07281"
"5.70000","0.09507","2.09683"
"5.80000","0.09671","2.12119"
"5.90000","0.09835","2.14621"
"6.00000","0.09994","2.16971"
"6.10000","0.10160","2.19590"
"6.20000","0.10327","2.22161"
"6.30000","0.10491","2.24650"
"6.40000","0.10658","2.27262"
"6.50000","0.10811","2.29417"
"6.60000","0.10971","2.31835"
"6.70000","0.11134","2.34309"
"6.80000","0.11302","2.36910"
"6.90000","0.11463","2.39304"
"7.00000","0.11632","2.41899"
"7.10000","0.11808","2.44586"
"7.20000","0.11970","2.46863"
"7.30000","0.12137","2.49355"
"7.40000","0.12301","2.51685"
"7.50000","0.12457","2.53733"
"7.60000","0.12608","2.55581"
"7.70000","0.12765","2.57674"
"7.80000","0.12923","2.59792"
"7.90000","0.13082","2.61919"
"8.00000","0.13249","2.64247"
"8.10000","0.13422","2.66810"
"8.20000","0.13598","2.69298"
"8.30000","0.13770","2.71600"
"8.40000","0.13934","2.73728"
"8.50000","0.14102","2.75951"
"8.60000","0.14278","2.78396"
"8.70000","0.14444","2.80404"
"8.80000","0.14615","2.82675"
"8.90000","0.14786","2.84898"
"9.00000","0.14954","2.87053"
"9.10000","0.15125","2.89307"
"9.20000","0.15298","2.91557"
"9.30000","0.15465","2.93660"
"9.40000","0.15630","2.95674"
"9.50000","0.15797","2.97652"
"9.60000","0.15971","2.99872"
"9.70000","0.16135","3.01833"
"9.80000","0.16296","3.03680"
"9.90000","0.16456","3.05443"
"10.00000","0.16614","3.07274"
"10.10000","0.16776","3.09067"
"10.20000","0.16943","3.11067"
"10.30000","0.17111","3.13079"
"10.40000","0.17283","3.15132"
"10.50000","0.17456","3.17262"
"10.60000","0.17634","3.19470"
"10.70000","0.17808","3.21560"
"10.80000","0.17976","3.23331"
"10.90000","0.18136","3.25016"
"11.00000","0.18294","3.26691"
"11.10000","0.18457","3.28475"
"11.20000","0.18625","3.30436"
"11.30000","0.18795","3.32451"
"11.40000","0.18972","3.34530"
"11.50000","0.19141","3.36384"
"11.60000","0.19313","3.38307"
"11.70000","0.19476","3.39982"
"11.80000","0.19644","3.41915"
"11.90000","0.19806","3.43462"
"12.00000","0.19970","3.45284"
"12.10000","0.20140","3.47206"
"12.20000","0.20307","3.49052"
"12.30000","0.20476","3.50969"
"12.40000","0.20639","3.52642"
"12.50000","0.20801","3.54333"
"12.60000","0.20964","3.56128"
"12.70000","0.21120","3.57668"
"12.80000","0.21283","3.59412"
"12.90000","0.21450","3.61310"
"13.00000","0.21618","3.63087"
"13.10000","0.21784","3.64801"
"13.20000","0.21943","3.66460"
"13.30000","0.22110","3.68317"
"13.40000","0.22276","3.70210"
"13.50000","0.22440","3.71865"
"13.60000","0.22615","3.73856"
"13.70000","0.22790","3.75723"
"13.80000","0.22957","3.77438"
"13.90000","0.23124","3.79044"
"14.00000","0.23285","3.80614"
"14.10000","0.23452","3.82370"
"14.20000","0.23623","3.84188"
"14.30000","0.23788","3.85706"
"14.40000","0.23957","3.87487"
"14.50000","0.24123","3.89149"
"14.60000","0.24293","3.91035"
"14.70000","0.24471","3.92958"
"14.80000","0.24642","3.94766"
"14.90000","0.24798","3.96181"
"15.00000","0.24964","3.97767"
"15.10000","0.25141","3.99715"
"15.20000","0.25304","4.01342"
"15.30000","0.25473","4.03024"
"15.40000","0.25637","4.04538"
"15.50000","0.25806","4.06239"
"15.60000","0.25972","4.07778"
"15.70000","0.26136","4.09268"
"15.80000","0.26293","4.10626"
"15.90000","0.26439","4.11602"
"16.00000","0.26587","4.12738"
"16.10000","0.26742","4.14080"
"16.20000","0.26899","4.15414"
"16.30000","0.27064","4.16957"
"16.40000","0.27231","4.18564"
"16.50000","0.27391","4.19904"
"16.60000","0.27557","4.21441"
"16.70000","0.27720","4.22934"
"16.80000","0.27900","4.24894"
"16.90000","0.28074","4.26550"
"17.00000","0.28261","4.28574"
"17.10000","0.28453","4.30638"
"17.20000","0.28630","4.32143"
"17.30000","0.28795","4.33427"
"17.40000","0.28963","4.34837"
"17.50000","0.29139","4.36416"
"17.60000","0.29307","4.37753"
"17.70000","0.29475","4.39086"
"17.80000","0.29643","4.40398"
"17.90000","0.29825","4.42111"
"18.00000","0.29994","4.43467"
"18.10000","0.30153","4.44599"
"18.20000","0.30303","4.45566"
"18.30000","0.30491","4.47598"
"18.40000","0.30672","4.49266"
"18.50000","0.30827","4.50327"
"18.60000","0.30996","4.51892"
"18.70000","0.31170","4.53500"
"18.80000","0.31335","4.54920"
"18.90000","0.31498","4.56328"
"19.00000","0.31673","4.58098"
"19.10000","0.31830","4.59290"
"19.20000","0.31994","4.60848"
"19.30000","0.32163","4.62420"
"19.40000","0.32330","4.63990"
"19.50000","0.32499","4.65564"
"19.60000","0.32664","4.66971"
"19.70000","0.32828","4.68458"
"19.80000","0.32998","4.70024"
"19.90000","0.33146","4.70969"
"20.00000","0.33325","4.72921"
"20.10000","0.33509","4.74887"
"20.20000","0.33668","4.76108"
"20.30000","0.33823","4.77296"
"20.40000","0.33989","4.78741"
"20.50000","0.34155","4.80310"
"20.60000","0.34312","4.81586"
"20.70000","0.34471","4.82933"
"20.80000","0.34636","4.84566"
"20.90000","0.34799","4.86097"
"21.00000","0.34964","4.87666"
"21.10000","0.35136","4.89405"
"21.20000","0.35306","4.91091"
"21.30000","0.35469","4.92499"
"21.40000","0.35638","4.94089"
"21.50000","0.35802","4.95552"
"21.60000","0.35972","4.97085"
"21.70000","0.36133","4.98421"
"21.80000","0.36309","5.00099"
"21.90000","0.36476","5.01438"
"22.00000","0.36640","5.02707"
"22.10000","0.36807","5.04081"
"22.20000","0.36971","5.05499"
"22.30000","0.37133","5.06762"
"22.40000","0.37296","5.08160"
"22.50000","0.37459","5.09943"
"22.60000","0.37623","5.11710"
"22.70000","0.37785","5.13501"
"22.80000","0.37949","5.15404"
"22.90000","0.38117","5.17443"
"23.00000","0.38283","5.19353"
"23.10000","0.38448","5.21292"
"23.20000","0.38611","5.22965"
"23.30000","0.38776","5.24808"
"23.40000","0.38952","5.26972"
"23.50000","0.39135","5.29344"
"23.60000","0.39306","5.31077"
"23.70000","0.39473","5.32704"
"23.80000","0.39641","5.34383"
"23.90000","0.39803","5.35848"
"24.00000","0.39961","5.37242"
"24.10000","0.40117","5.38529"
"24.20000","0.40280","5.40051"
"24.30000","0.40445","5.41683"
"24.40000","0.40615","5.43393"
"24.50000","0.40785","5.45097"
"24.60000","0.40954","5.46694"
"24.70000","0.41115","5.48150"
"24.80000","0.41283","5.49855"
"24.90000","0.41458","5.51713"
"25.00000","0.41620","5.53117"
"25.10000","0.41785","5.54739"
"25.20000","0.41956","5.56374"
"25.30000","0.42124","5.58022"
"25.40000","0.42289","5.59433"
"25.50000","0.42458","5.60948"
"25.60000","0.42627","5.62538"
"25.70000","0.42798","5.64134"
"25.80000","0.42958","5.65382"
"25.90000","0.43118","5.66698"
"26.00000","0.43288","5.68256"
"26.10000","0.43457","5.69817"
"26.20000","0.43621","5.71190"
"26.30000","0.43786","5.72515"
"26.40000","0.43952","5.73940"
"26.50000","0.44121","5.75500"
"26.60000","0.44286","5.76909"
"26.70000","0.44447","5.78187"
"26.80000","0.44614","5.79733"
"26.90000","0.44782","5.81320"
"27.00000","0.44951","5.82838"
"27.10000","0.45116","5.84166"
"27.20000","0.45278","5.85393"
"27.30000","0.45446","5.86913"
"27.40000","0.45617","5.88433"
"27.50000","0.45786","5.89817"
"27.60000","0.45957","5.91385"
"27.70000","0.46126","5.92767"
"27.80000","0.46301","5.94391"
"27.90000","0.46471","5.95775"
"28.00000","0.46629","5.96851"
"28.10000","0.46800","5.98377"
"28.20000","0.46978","6.00052"
"28.30000","0.47139","6.01160"
"28.40000","0.47301","6.02370"
"28.50000","0.47468","6.03758"
"28.60000","0.47626","6.04853"
"28.70000","0.47780","6.05928"
"28.80000","0.47943","6.07325"
"28.90000","0.48110","6.08814"
"29.00000","0.48276","6.10188"
"29.10000","0.48443","6.11629"
"29.20000","0.48609","6.13120"
"29.30000","0.48787","6.15114"
"29.40000","0.48952","6.16400"
"29.50000","0.49122","6.17867"
"29.60000","0.49292","6.19444"
"29.70000","0.49470","6.21109"
"29.80000","0.49628","6.22145"
"29.90000","0.49795","6.23482"
"30.00000","0.49970","6.25100"
"30.10000","0.50138","6.26466"
"30.20000","0.50304","6.27684"
"30.30000","0.50472","6.28986"
"30.40000","0.50632","6.30022"
"30.50000","0.50785","6.30860"
"30.60000","0.50938","6.31860"
"30.70000","0.51102","6.33181"
"30.80000","0.51263","6.34347"
"30.90000","0.51436","6.36215"
"31.00000","0.51608","6.37577"
"31.10000","0.51777","6.38968"
"31.20000","0.51941","6.40162"
"31.30000","0.52093","6.40975"
"31.40000","0.52263","6.42382"
"31.50000","0.52429","6.43598"
"31.60000","0.52595","6.44820"
"31.70000","0.52769","6.46318"
"31.80000","0.52938","6.47530"
"31.90000","0.53103","6.48532"
"32.00000","0.53267","6.49649"
"32.10000","0.53445","6.51102"
"32.20000","0.53619","6.52529"
"32.30000","0.53790","6.53889"
"32.40000","0.53951","6.54840"
"32.50000","0.54112","6.55948"
"32.60000","0.54275","6.57134"
"32.70000","0.54441","6.58439"
"32.80000","0.54614","6.59964"
"32.90000","0.54790","6.61616"
"33.00000","0.54970","6.63185"
"33.10000","0.55136","6.64428"
"33.20000","0.55309","6.65880"
"33.30000","0.55487","6.67491"
"33.40000","0.55657","6.68745"
"33.50000","0.55826","6.69983"
"33.60000","0.56001","6.71696"
"33.70000","0.56166","6.72638"
"33.80000","0.56324","6.73504"
"33.90000","0.56481","6.74432"
"34.00000","0.56645","6.75634"
"34.10000","0.56814","6.76957"
"34.20000","0.56982","6.78291"
"34.30000","0.57151","6.79561"
"34.40000","0.57310","6.80608"
"34.50000","0.57461","6.81475"
"34.60000","0.57621","6.82602"
"34.70000","0.57799","6.84552"
"34.80000","0.57968","6.85858"
"34.90000","0.58136","6.87115"
"35.00000","0.58307","6.88512"
"35.10000","0.58470","6.89531"
"35.20000","0.58638","6.91068"
"35.30000","0.58798","6.91997"
"35.40000","0.58948","6.92675"
"35.50000","0.59105","6.93709"
"35.60000","0.59268","6.94794"
"35.70000","0.59433","6.96081"
"35.80000","0.59602","6.97373"
"35.90000","0.59769","6.98672"
"36.00000","0.59935","6.99760"
"36.10000","0.60122","7.01936"
"36.20000","0.60301","7.03533"
"36.30000","0.60470","7.04890"
"36.40000","0.60630","7.06108"
"36.50000","0.60792","7.07562"
"36.60000","0.60965","7.09375"
"36.70000","0.61156","7.11874"
"36.80000","0.61323","7.13251"
"36.90000","0.61481","7.14421"
"37.00000","0.61649","7.16037"
"37.10000","0.61823","7.17887"
"37.20000","0.61994","7.19465"
"37.30000","0.62155","7.20860"
"37.40000","0.62317","7.22286"
"37.50000","0.62483","7.23823"
"37.60000","0.62650","7.25368"
"37.70000","0.62804","7.26358"
"37.80000","0.62953","7.27259"
"37.90000","0.63134","7.29425"
"38.00000","0.63323","7.31663"
"38.10000","0.63483","7.32792"
"38.20000","0.63639","7.33917"
"38.30000","0.63802","7.35321"
"38.40000","0.63966","7.36702"
"38.50000","0.64118","7.37715"
"38.60000","0.64278","7.39057"
"38.70000","0.64446","7.40679"
"38.80000","0.64615","7.42283"
