General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{1AE25E6F-1F35-4F8F-9B41-2DBEC1DCBAA1}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1282 P4 W1 3"
Break (Standard) : Load at Break (Standard),"6.02269",N
Maximum Load : Maximum Load,"9.06871",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.42025"
"0.10000","0.00007","0.42179"
"0.20000","0.00055","0.42838"
"0.30000","0.00150","0.44224"
"0.40000","0.00331","0.46910"
"0.50000","0.00556","0.50129"
"0.60000","0.00796","0.53704"
"0.70000","0.01012","0.56710"
"0.80000","0.01206","0.59225"
"0.90000","0.01391","0.61666"
"1.00000","0.01563","0.63955"
"1.10000","0.01742","0.66281"
"1.20000","0.01920","0.68496"
"1.30000","0.02092","0.70680"
"1.40000","0.02272","0.72906"
"1.50000","0.02452","0.75143"
"1.60000","0.02619","0.77263"
"1.70000","0.02784","0.79342"
"1.80000","0.02949","0.81563"
"1.90000","0.03114","0.83761"
"2.00000","0.03283","0.85947"
"2.10000","0.03461","0.88284"
"2.20000","0.03637","0.90678"
"2.30000","0.03803","0.92794"
"2.40000","0.03966","0.94901"
"2.50000","0.04145","0.97330"
"2.60000","0.04319","0.99693"
"2.70000","0.04485","1.01902"
"2.80000","0.04638","1.03823"
"2.90000","0.04810","1.06074"
"3.00000","0.04992","1.08495"
"3.10000","0.05166","1.10758"
"3.20000","0.05325","1.12827"
"3.30000","0.05483","1.14978"
"3.40000","0.05637","1.16903"
"3.50000","0.05798","1.18978"
"3.60000","0.05956","1.20946"
"3.70000","0.06113","1.22930"
"3.80000","0.06276","1.25055"
"3.90000","0.06434","1.27069"
"4.00000","0.06601","1.29220"
"4.10000","0.06772","1.31497"
"4.20000","0.06945","1.33646"
"4.30000","0.07111","1.35802"
"4.40000","0.07284","1.37968"
"4.50000","0.07447","1.40079"
"4.60000","0.07608","1.41998"
