General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{D286EAE9-77CE-4737-B9B3-630A2EF61C7F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1282 P2 W1 1"
Break (Standard) : Load at Break (Standard),"9.78225",N
Maximum Load : Maximum Load,"11.02125",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.42068"
"0.10000","0.00002","0.42196"
"0.20000","0.00036","0.42823"
"0.30000","0.00117","0.44659"
"0.40000","0.00282","0.48522"
"0.50000","0.00636","0.57058"
"0.60000","0.00938","0.63845"
"0.70000","0.01126","0.67739"
"0.80000","0.01281","0.70834"
"0.90000","0.01444","0.74231"
"1.00000","0.01611","0.77663"
"1.10000","0.01783","0.81239"
"1.20000","0.01956","0.84775"
"1.30000","0.02119","0.88036"
"1.40000","0.02284","0.91359"
"1.50000","0.02446","0.94596"
"1.60000","0.02608","0.97772"
"1.70000","0.02771","1.00949"
"1.80000","0.02938","1.04248"
"1.90000","0.03111","1.07680"
"2.00000","0.03274","1.10820"
"2.10000","0.03438","1.14037"
"2.20000","0.03612","1.17366"
"2.30000","0.03789","1.20852"
"2.40000","0.03948","1.23841"
"2.50000","0.04110","1.26888"
"2.60000","0.04280","1.30175"
"2.70000","0.04447","1.33268"
"2.80000","0.04615","1.36505"
"2.90000","0.04784","1.39613"
"3.00000","0.04946","1.42620"
"3.10000","0.05103","1.45408"
"3.20000","0.05262","1.48323"
"3.30000","0.05433","1.51553"
"3.40000","0.05606","1.54759"
"3.50000","0.05778","1.57932"
"3.60000","0.05953","1.61258"
"3.70000","0.06125","1.64335"
"3.80000","0.06272","1.66846"
"3.90000","0.06450","1.70212"
"4.00000","0.06633","1.73702"
"4.10000","0.06805","1.76814"
"4.20000","0.06974","1.80011"
"4.30000","0.07143","1.82988"
"4.40000","0.07312","1.86061"
"4.50000","0.07465","1.88720"
"4.60000","0.07626","1.91755"
"4.70000","0.07788","1.94843"
"4.80000","0.07951","1.97928"
"4.90000","0.08117","2.00977"
"5.00000","0.08279","2.03895"
"5.10000","0.08452","2.07282"
"5.20000","0.08622","2.10344"
"5.30000","0.08788","2.13541"
"5.40000","0.08969","2.16923"
"5.50000","0.09156","2.20648"
"5.60000","0.09323","2.23584"
"5.70000","0.09488","2.26537"
"5.80000","0.09664","2.29700"
"5.90000","0.09833","2.32785"
"6.00000","0.09997","2.35783"
"6.10000","0.10161","2.38704"
"6.20000","0.10319","2.41565"
"6.30000","0.10469","2.44163"
"6.40000","0.10622","2.46796"
"6.50000","0.10777","2.49562"
"6.60000","0.10936","2.52545"
"6.70000","0.11105","2.55699"
"6.80000","0.11279","2.58913"
"6.90000","0.11444","2.61988"
"7.00000","0.11608","2.64982"
"7.10000","0.11765","2.67614"
"7.20000","0.11947","2.71176"
"7.30000","0.12126","2.74428"
"7.40000","0.12299","2.77660"
"7.50000","0.12470","2.80692"
"7.60000","0.12645","2.83893"
"7.70000","0.12817","2.86934"
"7.80000","0.12987","2.89989"
"7.90000","0.13151","2.92902"
"8.00000","0.13320","2.95955"
"8.10000","0.13492","2.99058"
"8.20000","0.13663","3.02096"
"8.30000","0.13820","3.04830"
"8.40000","0.13976","3.07588"
"8.50000","0.14143","3.10608"
"8.60000","0.14303","3.13446"
"8.70000","0.14460","3.16229"
"8.80000","0.14619","3.18996"
"8.90000","0.14778","3.21816"
"9.00000","0.14950","3.24957"
"9.10000","0.15127","3.28087"
"9.20000","0.15288","3.30907"
"9.30000","0.15451","3.33751"
"9.40000","0.15620","3.36687"
"9.50000","0.15787","3.39587"
"9.60000","0.15958","3.42511"
"9.70000","0.16125","3.45330"
"9.80000","0.16280","3.47832"
"9.90000","0.16444","3.50681"
"10.00000","0.16612","3.53537"
"10.10000","0.16781","3.56346"
"10.20000","0.16956","3.59480"
"10.30000","0.17124","3.62339"
"10.40000","0.17277","3.64780"
"10.50000","0.17457","3.68022"
"10.60000","0.17641","3.71330"
"10.70000","0.17813","3.74275"
"10.80000","0.17980","3.77046"
"10.90000","0.18146","3.79748"
"11.00000","0.18309","3.82362"
"11.10000","0.18469","3.84995"
"11.20000","0.18626","3.87447"
"11.30000","0.18782","3.89871"
"11.40000","0.18940","3.92310"
"11.50000","0.19106","3.94990"
"11.60000","0.19279","3.97840"
"11.70000","0.19448","4.00539"
"11.80000","0.19616","4.03162"
