General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{4FD20A32-C3BB-44EA-9FC4-D579F5A27126}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1317 P1 W1 1"
Break (Standard) : Load at Break (Standard),"20.71735",N
Maximum Load : Maximum Load,"22.01239",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.50501"
"0.10000","0.00007","0.50740"
"0.20000","0.00053","0.51918"
"0.30000","0.00153","0.54725"
"0.40000","0.00339","0.59806"
"0.50000","0.00587","0.66690"
"0.60000","0.00843","0.73839"
"0.70000","0.01064","0.79868"
"0.80000","0.01261","0.85186"
"0.90000","0.01442","0.89995"
"1.00000","0.01607","0.93612"
"1.10000","0.01761","0.97646"
"1.20000","0.01936","1.02297"
"1.30000","0.02103","1.06621"
"1.40000","0.02268","1.10936"
"1.50000","0.02437","1.15267"
"1.60000","0.02611","1.19873"
"1.70000","0.02776","1.24139"
"1.80000","0.02942","1.28514"
"1.90000","0.03113","1.33053"
"2.00000","0.03282","1.37481"
"2.10000","0.03448","1.41850"
"2.20000","0.03614","1.46103"
"2.30000","0.03778","1.50403"
"2.40000","0.03944","1.54784"
"2.50000","0.04116","1.59405"
"2.60000","0.04293","1.64030"
"2.70000","0.04463","1.68404"
"2.80000","0.04622","1.72408"
"2.90000","0.04791","1.76896"
"3.00000","0.04981","1.82080"
"3.10000","0.05161","1.86799"
"3.20000","0.05322","1.90846"
"3.30000","0.05490","1.95349"
"3.40000","0.05647","1.99426"
"3.50000","0.05806","2.03684"
"3.60000","0.05975","2.08314"
"3.70000","0.06138","2.12709"
"3.80000","0.06298","2.16926"
"3.90000","0.06458","2.21177"
"4.00000","0.06620","2.25535"
"4.10000","0.06786","2.30111"
"4.20000","0.06957","2.34769"
"4.30000","0.07119","2.39096"
"4.40000","0.07291","2.43891"
"4.50000","0.07471","2.48850"
"4.60000","0.07640","2.53438"
"4.70000","0.07805","2.57894"
"4.80000","0.07975","2.62507"
"4.90000","0.08140","2.66956"
"5.00000","0.08305","2.71374"
"5.10000","0.08475","2.76124"
"5.20000","0.08643","2.80775"
"5.30000","0.08807","2.85289"
"5.40000","0.08972","2.89810"
"5.50000","0.09141","2.94457"
"5.60000","0.09302","2.98830"
