General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{36F70233-31F7-43A9-9916-378E74D130EB}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P9 W1 1"
Break (Standard) : Load at Break (Standard),"8.83817",N
Maximum Load : Maximum Load,"8.98891",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.43525"
"0.10000","0.00013","0.43661"
"0.20000","0.00123","0.45618"
"0.30000","0.00343","0.49357"
"0.40000","0.00558","0.52685"
"0.50000","0.00753","0.55384"
"0.60000","0.00927","0.57727"
"0.70000","0.01095","0.60017"
"0.80000","0.01263","0.62241"
"0.90000","0.01433","0.64431"
"1.00000","0.01598","0.66542"
"1.10000","0.01769","0.68822"
"1.20000","0.01929","0.70799"
"1.30000","0.02102","0.73043"
"1.40000","0.02282","0.75213"
"1.50000","0.02455","0.77353"
"1.60000","0.02627","0.79411"
"1.70000","0.02799","0.81524"
"1.80000","0.02974","0.83619"
"1.90000","0.03136","0.85447"
"2.00000","0.03304","0.87433"
"2.10000","0.03470","0.89363"
"2.20000","0.03635","0.91302"
"2.30000","0.03797","0.93181"
"2.40000","0.03958","0.95012"
"2.50000","0.04122","0.96858"
"2.60000","0.04287","0.98732"
"2.70000","0.04458","1.00698"
"2.80000","0.04617","1.02484"
"2.90000","0.04781","1.04349"
"3.00000","0.04943","1.06137"
"3.10000","0.05114","1.08156"
"3.20000","0.05303","1.10382"
"3.30000","0.05482","1.12486"
"3.40000","0.05655","1.14353"
"3.50000","0.05816","1.16038"
"3.60000","0.05971","1.17618"
"3.70000","0.06132","1.19361"
"3.80000","0.06299","1.21162"
"3.90000","0.06463","1.22903"
"4.00000","0.06622","1.24602"
"4.10000","0.06787","1.26340"
"4.20000","0.06954","1.28189"
"4.30000","0.07119","1.29881"
"4.40000","0.07285","1.31678"
"4.50000","0.07453","1.33537"
"4.60000","0.07634","1.35601"
"4.70000","0.07799","1.37257"
"4.80000","0.07953","1.38803"
"4.90000","0.08125","1.40704"
"5.00000","0.08299","1.42624"
"5.10000","0.08469","1.44478"
"5.20000","0.08632","1.46239"
"5.30000","0.08795","1.47966"
"5.40000","0.08959","1.49748"
"5.50000","0.09131","1.51673"
"5.60000","0.09312","1.53757"
"5.70000","0.09480","1.55476"
"5.80000","0.09645","1.57334"
"5.90000","0.09814","1.59232"
"6.00000","0.09983","1.61073"
"6.10000","0.10151","1.62917"
"6.20000","0.10321","1.64817"
"6.30000","0.10490","1.66736"
"6.40000","0.10660","1.68614"
"6.50000","0.10836","1.70648"
"6.60000","0.11014","1.72843"
"6.70000","0.11186","1.74834"
"6.80000","0.11343","1.76599"
"6.90000","0.11503","1.78436"
"7.00000","0.11669","1.80370"
"7.10000","0.11834","1.82291"
"7.20000","0.12000","1.84218"
"7.30000","0.12163","1.86052"
"7.40000","0.12325","1.87932"
"7.50000","0.12489","1.89802"
"7.60000","0.12650","1.91689"
"7.70000","0.12805","1.93358"
"7.80000","0.12977","1.95489"
"7.90000","0.13146","1.97467"
"8.00000","0.13305","1.99238"
"8.10000","0.13466","2.01008"
"8.20000","0.13630","2.02904"
"8.30000","0.13794","2.04782"
"8.40000","0.13952","2.06436"
"8.50000","0.14116","2.08327"
"8.60000","0.14268","2.09935"
"8.70000","0.14421","2.11557"
"8.80000","0.14574","2.13215"
"8.90000","0.14740","2.15159"
"9.00000","0.14905","2.16954"
"9.10000","0.15071","2.18890"
"9.20000","0.15238","2.20807"
"9.30000","0.15404","2.22672"
"9.40000","0.15583","2.24903"
"9.50000","0.15762","2.26928"
"9.60000","0.15926","2.28661"
"9.70000","0.16104","2.30776"
"9.80000","0.16279","2.32765"
"9.90000","0.16448","2.34713"
"10.00000","0.16621","2.36791"
"10.10000","0.16798","2.38841"
"10.20000","0.16973","2.40896"
"10.30000","0.17135","2.42654"
"10.40000","0.17300","2.44540"
"10.50000","0.17452","2.46067"
"10.60000","0.17605","2.47684"
"10.70000","0.17760","2.49421"
"10.80000","0.17926","2.51275"
"10.90000","0.18099","2.53348"
"11.00000","0.18262","2.55073"
"11.10000","0.18440","2.57226"
"11.20000","0.18623","2.59389"
"11.30000","0.18805","2.61473"
"11.40000","0.18978","2.63347"
"11.50000","0.19144","2.65153"
"11.60000","0.19309","2.66921"
"11.70000","0.19475","2.68750"
"11.80000","0.19642","2.70631"
"11.90000","0.19807","2.72451"
"12.00000","0.19970","2.74211"
"12.10000","0.20131","2.75997"
"12.20000","0.20289","2.77690"
"12.30000","0.20451","2.79528"
"12.40000","0.20615","2.81339"
"12.50000","0.20778","2.83158"
"12.60000","0.20944","2.85016"
"12.70000","0.21109","2.86856"
"12.80000","0.21277","2.88709"
"12.90000","0.21445","2.90619"
"13.00000","0.21623","2.92780"
"13.10000","0.21792","2.94573"
"13.20000","0.21964","2.96511"
"13.30000","0.22133","2.98275"
"13.40000","0.22288","2.99705"
"13.50000","0.22451","3.01370"
"13.60000","0.22616","3.03122"
"13.70000","0.22782","3.04798"
"13.80000","0.22944","3.06396"
"13.90000","0.23107","3.08009"
"14.00000","0.23280","3.09878"
"14.10000","0.23456","3.11778"
"14.20000","0.23629","3.13520"
"14.30000","0.23786","3.14795"
"14.40000","0.23947","3.16441"
"14.50000","0.24123","3.18340"
"14.60000","0.24295","3.20031"
"14.70000","0.24461","3.21641"
"14.80000","0.24630","3.23277"
"14.90000","0.24805","3.25073"
"15.00000","0.24978","3.26776"
"15.10000","0.25148","3.28412"
"15.20000","0.25308","3.29773"
"15.30000","0.25475","3.31351"
"15.40000","0.25647","3.33019"
"15.50000","0.25820","3.34676"
"15.60000","0.25980","3.35977"
"15.70000","0.26138","3.37363"
"15.80000","0.26305","3.38871"
"15.90000","0.26468","3.40350"
"16.00000","0.26633","3.41794"
"16.10000","0.26798","3.43223"
"16.20000","0.26964","3.44753"
"16.30000","0.27131","3.46191"
"16.40000","0.27309","3.47935"
"16.50000","0.27476","3.49301"
"16.60000","0.27638","3.50628"
"16.70000","0.27807","3.52112"
"16.80000","0.27967","3.53338"
"16.90000","0.28123","3.54470"
"17.00000","0.28280","3.55659"
"17.10000","0.28448","3.57134"
"17.20000","0.28616","3.58604"
"17.30000","0.28786","3.60034"
"17.40000","0.28953","3.61381"
"17.50000","0.29124","3.62748"
"17.60000","0.29284","3.63894"
"17.70000","0.29460","3.65403"
"17.80000","0.29634","3.66810"
"17.90000","0.29795","3.67944"
"18.00000","0.29961","3.69147"
"18.10000","0.30123","3.70239"
"18.20000","0.30285","3.71474"
"18.30000","0.30456","3.72791"
"18.40000","0.30615","3.73795"
"18.50000","0.30776","3.74893"
"18.60000","0.30943","3.76173"
"18.70000","0.31112","3.77526"
"18.80000","0.31281","3.78820"
"18.90000","0.31453","3.80147"
"19.00000","0.31618","3.81309"
"19.10000","0.31787","3.82662"
"19.20000","0.31960","3.84045"
"19.30000","0.32132","3.85459"
"19.40000","0.32312","3.86982"
"19.50000","0.32487","3.88480"
"19.60000","0.32660","3.89817"
"19.70000","0.32832","3.91136"
"19.80000","0.33005","3.92512"
"19.90000","0.33166","3.93580"
"20.00000","0.33330","3.94847"
"20.10000","0.33504","3.96296"
"20.20000","0.33662","3.97383"
"20.30000","0.33824","3.98598"
"20.40000","0.33981","3.99753"
"20.50000","0.34144","4.01017"
"20.60000","0.34313","4.02501"
"20.70000","0.34484","4.03954"
"20.80000","0.34645","4.05178"
"20.90000","0.34817","4.06676"
"21.00000","0.35005","4.08608"
"21.10000","0.35172","4.09834"
"21.20000","0.35336","4.11131"
"21.30000","0.35495","4.12232"
"21.40000","0.35658","4.13474"
"21.50000","0.35820","4.14727"
"21.60000","0.35986","4.15996"
"21.70000","0.36149","4.17190"
"21.80000","0.36312","4.18407"
"21.90000","0.36471","4.19511"
"22.00000","0.36639","4.20975"
"22.10000","0.36802","4.22173"
"22.20000","0.36969","4.23470"
"22.30000","0.37140","4.24869"
"22.40000","0.37302","4.26077"
"22.50000","0.37466","4.27412"
"22.60000","0.37631","4.28701"
"22.70000","0.37808","4.30351"
"22.80000","0.37980","4.31760"
"22.90000","0.38147","4.33062"
"23.00000","0.38314","4.34412"
"23.10000","0.38477","4.35636"
"23.20000","0.38637","4.36711"
"23.30000","0.38804","4.38078"
"23.40000","0.38968","4.39261"
"23.50000","0.39133","4.40561"
"23.60000","0.39296","4.41797"
"23.70000","0.39463","4.43081"
"23.80000","0.39633","4.44494"
"23.90000","0.39803","4.45836"
"24.00000","0.39975","4.47179"
"24.10000","0.40129","4.48061"
"24.20000","0.40288","4.49241"
"24.30000","0.40463","4.50713"
"24.40000","0.40635","4.52028"
"24.50000","0.40794","4.53115"
"24.60000","0.40953","4.54160"
"24.70000","0.41118","4.55488"
"24.80000","0.41281","4.56718"
"24.90000","0.41443","4.57940"
"25.00000","0.41609","4.59308"
"25.10000","0.41773","4.60599"
"25.20000","0.41933","4.61728"
"25.30000","0.42093","4.62906"
"25.40000","0.42261","4.64240"
"25.50000","0.42433","4.65653"
"25.60000","0.42605","4.66947"
"25.70000","0.42770","4.68108"
"25.80000","0.42936","4.69236"
"25.90000","0.43097","4.70309"
"26.00000","0.43290","4.72148"
"26.10000","0.43466","4.73434"
"26.20000","0.43637","4.74703"
"26.30000","0.43806","4.75867"
"26.40000","0.43974","4.77119"
"26.50000","0.44140","4.78269"
"26.60000","0.44296","4.79172"
"26.70000","0.44455","4.80248"
"26.80000","0.44617","4.81451"
"26.90000","0.44783","4.82730"
"27.00000","0.44951","4.84114"
"27.10000","0.45120","4.85408"
"27.20000","0.45291","4.86820"
"27.30000","0.45463","4.88248"
"27.40000","0.45618","4.89193"
"27.50000","0.45798","4.90870"
"27.60000","0.45983","4.92533"
"27.70000","0.46153","4.93727"
"27.80000","0.46316","4.94743"
"27.90000","0.46483","4.95948"
"28.00000","0.46638","4.96740"
"28.10000","0.46802","4.97997"
"28.20000","0.46965","4.99083"
"28.30000","0.47122","5.00024"
"28.40000","0.47274","5.00945"
"28.50000","0.47438","5.02208"
"28.60000","0.47597","5.03254"
"28.70000","0.47761","5.04464"
"28.80000","0.47921","5.05561"
"28.90000","0.48088","5.06859"
"29.00000","0.48257","5.08207"
"29.10000","0.48430","5.09592"
"29.20000","0.48600","5.10897"
"29.30000","0.48780","5.12463"
"29.40000","0.48966","5.14042"
"29.50000","0.49142","5.15259"
"29.60000","0.49306","5.16125"
"29.70000","0.49467","5.17050"
"29.80000","0.49635","5.18112"
"29.90000","0.49789","5.18845"
"30.00000","0.49950","5.19804"
"30.10000","0.50118","5.20934"
"30.20000","0.50279","5.21869"
"30.30000","0.50440","5.22814"
"30.40000","0.50606","5.23887"
"30.50000","0.50772","5.24972"
"30.60000","0.50935","5.25970"
"30.70000","0.51094","5.26861"
"30.80000","0.51266","5.28199"
"30.90000","0.51435","5.29324"
"31.00000","0.51612","5.30692"
"31.10000","0.51783","5.31856"
"31.20000","0.51953","5.32968"
"31.30000","0.52120","5.33898"
"31.40000","0.52287","5.34929"
"31.50000","0.52456","5.36041"
"31.60000","0.52617","5.36844"
"31.70000","0.52783","5.37938"
"31.80000","0.52953","5.39018"
"31.90000","0.53117","5.39999"
"32.00000","0.53285","5.41012"
"32.10000","0.53443","5.41782"
"32.20000","0.53605","5.42697"
"32.30000","0.53780","5.43905"
"32.40000","0.53949","5.45021"
"32.50000","0.54111","5.45864"
"32.60000","0.54280","5.46944"
"32.70000","0.54454","5.48163"
"32.80000","0.54621","5.49143"
"32.90000","0.54788","5.50165"
"33.00000","0.54953","5.51108"
"33.10000","0.55125","5.52266"
"33.20000","0.55294","5.53298"
"33.30000","0.55463","5.54340"
"33.40000","0.55629","5.55274"
"33.50000","0.55798","5.56423"
"33.60000","0.55976","5.57715"
"33.70000","0.56149","5.58950"
"33.80000","0.56319","5.59983"
"33.90000","0.56489","5.61162"
"34.00000","0.56670","5.62589"
"34.10000","0.56854","5.63987"
"34.20000","0.57006","5.64581"
"34.30000","0.57171","5.65665"
"34.40000","0.57342","5.66898"
"34.50000","0.57495","5.67642"
"34.60000","0.57648","5.68498"
"34.70000","0.57810","5.69619"
"34.80000","0.57969","5.70701"
"34.90000","0.58138","5.71998"
"35.00000","0.58295","5.72938"
"35.10000","0.58453","5.73902"
"35.20000","0.58616","5.75057"
"35.30000","0.58788","5.76449"
"35.40000","0.58958","5.77681"
"35.50000","0.59123","5.78748"
"35.60000","0.59284","5.79751"
"35.70000","0.59446","5.80726"
"35.80000","0.59620","5.82117"
"35.90000","0.59802","5.83726"
"36.00000","0.59984","5.85159"
"36.10000","0.60151","5.86194"
"36.20000","0.60314","5.87180"
"36.30000","0.60483","5.88361"
"36.40000","0.60647","5.89462"
"36.50000","0.60808","5.90552"
"36.60000","0.60963","5.91476"
"36.70000","0.61124","5.92581"
"36.80000","0.61292","5.93937"
"36.90000","0.61469","5.95566"
"37.00000","0.61639","5.96872"
"37.10000","0.61805","5.97993"
"37.20000","0.61968","5.99084"
"37.30000","0.62148","6.00696"
"37.40000","0.62329","6.02322"
"37.50000","0.62499","6.03464"
"37.60000","0.62666","6.04555"
"37.70000","0.62831","6.05637"
"37.80000","0.63000","6.06798"
"37.90000","0.63156","6.07643"
"38.00000","0.63318","6.08721"
"38.10000","0.63485","6.09956"
"38.20000","0.63648","6.10957"
"38.30000","0.63807","6.11931"
