General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{37C4AEB7-850D-4A7C-A207-E37014FEA96A}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P5 W1 1"
Break (Standard) : Load at Break (Standard),"7.64877",N
Maximum Load : Maximum Load,"12.15929",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.40570"
"0.10000","0.00004","0.40741"
"0.20000","0.00037","0.41357"
"0.30000","0.00108","0.42760"
"0.40000","0.00247","0.45396"
"0.50000","0.00493","0.50171"
"0.60000","0.00870","0.57448"
"0.70000","0.01104","0.61313"
"0.80000","0.01271","0.63934"
"0.90000","0.01439","0.66555"
"1.00000","0.01603","0.69138"
"1.10000","0.01769","0.71715"
"1.20000","0.01939","0.74365"
"1.30000","0.02111","0.76979"
"1.40000","0.02287","0.79704"
"1.50000","0.02455","0.82230"
"1.60000","0.02627","0.84739"
"1.70000","0.02796","0.87127"
"1.80000","0.02961","0.89510"
"1.90000","0.03124","0.91748"
"2.00000","0.03295","0.94238"
"2.10000","0.03471","0.96738"
"2.20000","0.03636","0.98987"
"2.30000","0.03796","1.01016"
"2.40000","0.03956","1.03122"
"2.50000","0.04118","1.05262"
"2.60000","0.04286","1.07419"
"2.70000","0.04452","1.09575"
"2.80000","0.04625","1.11834"
"2.90000","0.04812","1.14360"
"3.00000","0.04982","1.16473"
"3.10000","0.05141","1.18376"
"3.20000","0.05309","1.20447"
"3.30000","0.05479","1.22548"
"3.40000","0.05641","1.24441"
"3.50000","0.05809","1.26511"
"3.60000","0.05975","1.28396"
"3.70000","0.06138","1.30298"
"3.80000","0.06301","1.32227"
"3.90000","0.06458","1.34122"
"4.00000","0.06620","1.36037"
"4.10000","0.06785","1.38020"
"4.20000","0.06952","1.40067"
"4.30000","0.07121","1.42017"
"4.40000","0.07287","1.44053"
"4.50000","0.07450","1.46015"
"4.60000","0.07613","1.47875"
"4.70000","0.07779","1.49872"
"4.80000","0.07947","1.51756"
"4.90000","0.08116","1.53762"
"5.00000","0.08289","1.55833"
"5.10000","0.08478","1.58195"
"5.20000","0.08662","1.60379"
"5.30000","0.08835","1.62283"
"5.40000","0.08989","1.63764"
"5.50000","0.09145","1.65386"
"5.60000","0.09313","1.67378"
"5.70000","0.09472","1.69027"
"5.80000","0.09636","1.70901"
"5.90000","0.09798","1.72643"
"6.00000","0.09954","1.74375"
"6.10000","0.10114","1.76121"
"6.20000","0.10280","1.78000"
"6.30000","0.10443","1.79785"
"6.40000","0.10603","1.81467"
"6.50000","0.10772","1.83327"
"6.60000","0.10948","1.85342"
"6.70000","0.11122","1.87165"
"6.80000","0.11293","1.89098"
"6.90000","0.11470","1.91106"
"7.00000","0.11629","1.93119"
"7.10000","0.11789","1.95142"
"7.20000","0.11958","1.97395"
"7.30000","0.12127","1.99585"
"7.40000","0.12291","2.01664"
"7.50000","0.12459","2.03861"
"7.60000","0.12629","2.06262"
"7.70000","0.12804","2.08710"
"7.80000","0.12974","2.11019"
"7.90000","0.13138","2.13352"
"8.00000","0.13305","2.15609"
"8.10000","0.13469","2.17875"
"8.20000","0.13646","2.20528"
"8.30000","0.13819","2.22995"
"8.40000","0.13983","2.25312"
"8.50000","0.14150","2.27628"
"8.60000","0.14320","2.30011"
"8.70000","0.14479","2.32115"
"8.80000","0.14642","2.34306"
"8.90000","0.14810","2.36643"
"9.00000","0.14970","2.38662"
"9.10000","0.15125","2.40581"
"9.20000","0.15284","2.42599"
"9.30000","0.15450","2.44775"
"9.40000","0.15615","2.46900"
"9.50000","0.15776","2.48889"
"9.60000","0.15943","2.51036"
"9.70000","0.16101","2.52932"
"9.80000","0.16281","2.55465"
"9.90000","0.16452","2.57543"
"10.00000","0.16609","2.59423"
"10.10000","0.16775","2.61564"
"10.20000","0.16943","2.63661"
"10.30000","0.17110","2.65740"
"10.40000","0.17273","2.67712"
"10.50000","0.17438","2.69734"
"10.60000","0.17605","2.71845"
"10.70000","0.17769","2.73814"
"10.80000","0.17939","2.75981"
"10.90000","0.18115","2.78276"
"11.00000","0.18289","2.80465"
"11.10000","0.18458","2.82558"
"11.20000","0.18621","2.84509"
"11.30000","0.18788","2.86552"
"11.40000","0.18944","2.88310"
"11.50000","0.19133","2.90913"
"11.60000","0.19317","2.93288"
"11.70000","0.19487","2.95256"
"11.80000","0.19645","2.97005"
"11.90000","0.19806","2.98824"
"12.00000","0.19972","3.00902"
"12.10000","0.20135","3.02891"
"12.20000","0.20296","3.04850"
"12.30000","0.20459","3.06812"
"12.40000","0.20623","3.08783"
"12.50000","0.20791","3.10871"
"12.60000","0.20960","3.12952"
"12.70000","0.21123","3.14897"
"12.80000","0.21296","3.17079"
"12.90000","0.21462","3.19044"
"13.00000","0.21634","3.21158"
"13.10000","0.21820","3.23532"
"13.20000","0.21992","3.25532"
"13.30000","0.22157","3.27439"
"13.40000","0.22325","3.29446"
"13.50000","0.22494","3.31434"
"13.60000","0.22660","3.33400"
"13.70000","0.22820","3.35204"
"13.80000","0.22993","3.37367"
