General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{2DFD0F3B-F27F-4434-89A0-E3A4CD71F054}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P5 W1 3"
Break (Standard) : Load at Break (Standard),"7.23452",N
Maximum Load : Maximum Load,"10.33593",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.47847"
"0.10000","0.00007","0.47901"
"0.20000","0.00073","0.48813"
"0.30000","0.00214","0.50642"
"0.40000","0.00411","0.53159"
"0.50000","0.00642","0.55934"
"0.60000","0.00878","0.58742"
"0.70000","0.01091","0.61077"
"0.80000","0.01275","0.62912"
"0.90000","0.01444","0.64552"
"1.00000","0.01612","0.66170"
"1.10000","0.01786","0.67883"
"1.20000","0.01957","0.69494"
"1.30000","0.02123","0.71147"
"1.40000","0.02290","0.72791"
"1.50000","0.02451","0.74360"
"1.60000","0.02612","0.75977"
"1.70000","0.02772","0.77540"
"1.80000","0.02933","0.79130"
"1.90000","0.03097","0.80707"
"2.00000","0.03259","0.82225"
"2.10000","0.03427","0.83867"
"2.20000","0.03589","0.85398"
"2.30000","0.03760","0.86981"
"2.40000","0.03938","0.88656"
"2.50000","0.04115","0.90259"
"2.60000","0.04279","0.91803"
"2.70000","0.04463","0.93583"
"2.80000","0.04647","0.95308"
"2.90000","0.04814","0.96752"
"3.00000","0.04987","0.98509"
"3.10000","0.05144","1.00206"
"3.20000","0.05310","1.02202"
"3.30000","0.05471","1.04055"
"3.40000","0.05638","1.06095"
"3.50000","0.05800","1.07988"
"3.60000","0.05957","1.09820"
"3.70000","0.06116","1.11690"
"3.80000","0.06291","1.13831"
"3.90000","0.06459","1.15772"
"4.00000","0.06617","1.17436"
"4.10000","0.06771","1.19212"
"4.20000","0.06960","1.21494"
"4.30000","0.07135","1.23443"
"4.40000","0.07307","1.25423"
"4.50000","0.07472","1.27224"
"4.60000","0.07639","1.29143"
"4.70000","0.07799","1.30777"
"4.80000","0.07960","1.32505"
"4.90000","0.08111","1.34086"
"5.00000","0.08275","1.35837"
"5.10000","0.08435","1.37523"
"5.20000","0.08593","1.39217"
"5.30000","0.08756","1.40981"
"5.40000","0.08916","1.42633"
"5.50000","0.09074","1.44362"
"5.60000","0.09237","1.46085"
"5.70000","0.09407","1.47836"
"5.80000","0.09576","1.49605"
"5.90000","0.09740","1.51290"
"6.00000","0.09909","1.53105"
"6.10000","0.10095","1.55156"
"6.20000","0.10268","1.56921"
"6.30000","0.10450","1.58889"
"6.40000","0.10619","1.60532"
"6.50000","0.10786","1.62194"
"6.60000","0.10957","1.63899"
"6.70000","0.11130","1.65602"
"6.80000","0.11301","1.67267"
"6.90000","0.11471","1.68976"
"7.00000","0.11639","1.70577"
"7.10000","0.11808","1.72278"
"7.20000","0.11967","1.73824"
"7.30000","0.12120","1.75276"
"7.40000","0.12293","1.77230"
"7.50000","0.12479","1.79219"
"7.60000","0.12657","1.81105"
"7.70000","0.12831","1.82853"
"7.80000","0.12992","1.84417"
"7.90000","0.13158","1.86149"
"8.00000","0.13326","1.87830"
"8.10000","0.13488","1.89485"
"8.20000","0.13655","1.91228"
"8.30000","0.13821","1.92929"
"8.40000","0.13984","1.94507"
"8.50000","0.14141","1.96038"
"8.60000","0.14303","1.97712"
"8.70000","0.14471","1.99397"
"8.80000","0.14638","2.00976"
"8.90000","0.14795","2.02408"
"9.00000","0.14949","2.03770"
"9.10000","0.15107","2.05196"
"9.20000","0.15263","2.06699"
"9.30000","0.15426","2.08238"
"9.40000","0.15599","2.09988"
"9.50000","0.15779","2.11782"
"9.60000","0.15954","2.13445"
"9.70000","0.16125","2.14979"
"9.80000","0.16295","2.16527"
"9.90000","0.16460","2.17961"
"10.00000","0.16626","2.19468"
"10.10000","0.16789","2.20879"
"10.20000","0.16951","2.22315"
"10.30000","0.17124","2.23911"
"10.40000","0.17308","2.25601"
"10.50000","0.17481","2.27106"
"10.60000","0.17631","2.28196"
"10.70000","0.17816","2.29885"
"10.80000","0.17995","2.31427"
"10.90000","0.18146","2.32423"
"11.00000","0.18306","2.33744"
"11.10000","0.18484","2.35322"
"11.20000","0.18645","2.36524"
"11.30000","0.18803","2.37720"
"11.40000","0.18971","2.39188"
"11.50000","0.19143","2.40707"
"11.60000","0.19307","2.41962"
"11.70000","0.19475","2.43312"
"11.80000","0.19639","2.44561"
"11.90000","0.19803","2.45869"
"12.00000","0.19965","2.47074"
"12.10000","0.20131","2.48516"
"12.20000","0.20297","2.49866"
"12.30000","0.20462","2.51251"
"12.40000","0.20634","2.52700"
"12.50000","0.20804","2.54157"
"12.60000","0.20989","2.55808"
"12.70000","0.21162","2.57159"
"12.80000","0.21328","2.58466"
"12.90000","0.21492","2.59697"
"13.00000","0.21655","2.60971"
"13.10000","0.21807","2.62056"
"13.20000","0.21960","2.63182"
"13.30000","0.22114","2.64302"
"13.40000","0.22277","2.65703"
"13.50000","0.22444","2.67066"
"13.60000","0.22610","2.68464"
"13.70000","0.22776","2.69844"
"13.80000","0.22952","2.71465"
"13.90000","0.23115","2.72736"
"14.00000","0.23302","2.74616"
"14.10000","0.23480","2.76107"
"14.20000","0.23644","2.77353"
"14.30000","0.23821","2.78995"
"14.40000","0.23995","2.80343"
"14.50000","0.24160","2.81613"
"14.60000","0.24323","2.82810"
"14.70000","0.24481","2.83982"
"14.80000","0.24645","2.85338"
"14.90000","0.24807","2.86568"
"15.00000","0.24969","2.87842"
"15.10000","0.25134","2.89179"
"15.20000","0.25292","2.90358"
"15.30000","0.25451","2.91609"
"15.40000","0.25624","2.93149"
"15.50000","0.25798","2.94667"
"15.60000","0.25968","2.95911"
"15.70000","0.26128","2.97097"
"15.80000","0.26294","2.98417"
"15.90000","0.26475","3.00115"
"16.00000","0.26649","3.01488"
"16.10000","0.26811","3.02622"
"16.20000","0.26975","3.03955"
"16.30000","0.27146","3.05358"
"16.40000","0.27309","3.06529"
"16.50000","0.27468","3.07675"
"16.60000","0.27633","3.08902"
"16.70000","0.27794","3.10129"
"16.80000","0.27950","3.11200"
"16.90000","0.28115","3.12614"
"17.00000","0.28282","3.14044"
"17.10000","0.28448","3.15290"
"17.20000","0.28604","3.16391"
"17.30000","0.28776","3.17946"
"17.40000","0.28956","3.19535"
"17.50000","0.29129","3.20919"
"17.60000","0.29301","3.22270"
"17.70000","0.29468","3.23545"
"17.80000","0.29635","3.24762"
"17.90000","0.29800","3.26073"
"18.00000","0.29963","3.27225"
"18.10000","0.30124","3.28360"
"18.20000","0.30286","3.29576"
"18.30000","0.30451","3.30743"
"18.40000","0.30622","3.32148"
"18.50000","0.30790","3.33395"
"18.60000","0.30961","3.34715"
"18.70000","0.31143","3.36230"
"18.80000","0.31320","3.37608"
"18.90000","0.31487","3.38777"
