General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{D53533DE-7089-4E87-9C1B-B1FEC108589D}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P3 W1 1"
Break (Standard) : Load at Break (Standard),"9.19981",N
Maximum Load : Maximum Load,"17.54173",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.58114"
"0.10000","0.00010","0.58283"
"0.20000","0.00037","0.58905"
"0.30000","0.00262","0.64421"
"0.40000","0.00531","0.70439"
"0.50000","0.00741","0.74758"
"0.60000","0.00922","0.78339"
"0.70000","0.01089","0.81530"
"0.80000","0.01256","0.84751"
"0.90000","0.01423","0.87943"
"1.00000","0.01592","0.91116"
"1.10000","0.01765","0.94204"
"1.20000","0.01927","0.97194"
"1.30000","0.02102","1.00327"
"1.40000","0.02286","1.03882"
"1.50000","0.02461","1.07073"
"1.60000","0.02612","1.09578"
"1.70000","0.02794","1.12968"
"1.80000","0.02989","1.16554"
"1.90000","0.03155","1.19404"
"2.00000","0.03319","1.22278"
"2.10000","0.03497","1.25536"
"2.20000","0.03664","1.28393"
"2.30000","0.03817","1.30968"
"2.40000","0.03982","1.33851"
"2.50000","0.04153","1.36965"
"2.60000","0.04324","1.39985"
"2.70000","0.04491","1.42826"
"2.80000","0.04652","1.45443"
"2.90000","0.04807","1.48045"
"3.00000","0.04972","1.50976"
"3.10000","0.05139","1.53872"
"3.20000","0.05303","1.56678"
"3.30000","0.05475","1.59717"
"3.40000","0.05648","1.62698"
"3.50000","0.05801","1.65184"
"3.60000","0.05980","1.68409"
"3.70000","0.06151","1.71272"
"3.80000","0.06316","1.73980"
"3.90000","0.06483","1.76746"
"4.00000","0.06658","1.79718"
"4.10000","0.06821","1.82375"
"4.20000","0.06970","1.84707"
"4.30000","0.07123","1.87232"
"4.40000","0.07283","1.89935"
"4.50000","0.07450","1.92762"
"4.60000","0.07613","1.95409"
"4.70000","0.07778","1.98199"
"4.80000","0.07946","2.00913"
"4.90000","0.08101","2.03379"
"5.00000","0.08279","2.06458"
"5.10000","0.08454","2.09313"
"5.20000","0.08622","2.12008"
"5.30000","0.08795","2.14856"
"5.40000","0.08975","2.17838"
"5.50000","0.09141","2.20393"
"5.60000","0.09304","2.22974"
"5.70000","0.09472","2.25588"
"5.80000","0.09635","2.28095"
"5.90000","0.09800","2.30726"
"6.00000","0.09965","2.33335"
"6.10000","0.10137","2.36150"
"6.20000","0.10306","2.38872"
"6.30000","0.10471","2.41523"
"6.40000","0.10640","2.44242"
"6.50000","0.10801","2.46757"
"6.60000","0.10965","2.49343"
"6.70000","0.11130","2.52012"
"6.80000","0.11295","2.54645"
"6.90000","0.11480","2.57854"
"7.00000","0.11657","2.60758"
"7.10000","0.11817","2.62992"
"7.20000","0.11974","2.65413"
"7.30000","0.12136","2.67857"
"7.40000","0.12306","2.70631"
"7.50000","0.12474","2.73303"
"7.60000","0.12635","2.75638"
"7.70000","0.12794","2.78020"
"7.80000","0.12952","2.80435"
"7.90000","0.13123","2.83224"
"8.00000","0.13294","2.85979"
"8.10000","0.13463","2.88713"
"8.20000","0.13616","2.90854"
"8.30000","0.13785","2.93611"
"8.40000","0.13960","2.96553"
"8.50000","0.14133","2.99388"
"8.60000","0.14302","3.02050"
"8.70000","0.14472","3.04817"
"8.80000","0.14638","3.07371"
"8.90000","0.14802","3.09845"
"9.00000","0.14969","3.12439"
"9.10000","0.15136","3.15009"
"9.20000","0.15297","3.17439"
"9.30000","0.15459","3.19921"
"9.40000","0.15622","3.22393"
"9.50000","0.15795","3.25229"
"9.60000","0.15972","3.28104"
"9.70000","0.16139","3.30681"
"9.80000","0.16301","3.32984"
"9.90000","0.16463","3.35414"
"10.00000","0.16629","3.38033"
"10.10000","0.16807","3.40852"
"10.20000","0.16978","3.43648"
"10.30000","0.17144","3.46204"
"10.40000","0.17318","3.48995"
"10.50000","0.17481","3.51504"
"10.60000","0.17644","3.54055"
"10.70000","0.17811","3.56682"
"10.80000","0.17971","3.59061"
"10.90000","0.18133","3.61511"
"11.00000","0.18295","3.64042"
"11.10000","0.18460","3.66755"
"11.20000","0.18626","3.69249"
"11.30000","0.18789","3.71743"
"11.40000","0.18951","3.74233"
"11.50000","0.19118","3.76914"
"11.60000","0.19292","3.79720"
"11.70000","0.19465","3.82419"
"11.80000","0.19629","3.84930"
"11.90000","0.19789","3.87302"
"12.00000","0.19953","3.89685"
"12.10000","0.20121","3.92337"
"12.20000","0.20286","3.94832"
"12.30000","0.20445","3.97247"
"12.40000","0.20608","3.99794"
"12.50000","0.20770","4.02271"
"12.60000","0.20936","4.04980"
"12.70000","0.21105","4.07590"
"12.80000","0.21271","4.10258"
"12.90000","0.21444","4.13037"
"13.00000","0.21624","4.16126"
"13.10000","0.21791","4.18806"
"13.20000","0.21960","4.21342"
"13.30000","0.22133","4.24082"
"13.40000","0.22307","4.26949"
"13.50000","0.22482","4.29703"
"13.60000","0.22658","4.32500"
"13.70000","0.22826","4.34958"
"13.80000","0.22989","4.37360"
"13.90000","0.23151","4.39664"
"14.00000","0.23312","4.41981"
"14.10000","0.23469","4.44253"
"14.20000","0.23625","4.46506"
"14.30000","0.23780","4.48822"
"14.40000","0.23941","4.51341"
"14.50000","0.24105","4.53954"
"14.60000","0.24271","4.56718"
"14.70000","0.24441","4.59609"
"14.80000","0.24612","4.62550"
"14.90000","0.24800","4.65990"
"15.00000","0.24974","4.68904"
"15.10000","0.25137","4.71461"
"15.20000","0.25305","4.74130"
"15.30000","0.25473","4.76872"
"15.40000","0.25638","4.79544"
"15.50000","0.25809","4.82355"
"15.60000","0.25981","4.85222"
"15.70000","0.26150","4.87976"
"15.80000","0.26316","4.90658"
"15.90000","0.26486","4.93476"
"16.00000","0.26654","4.96150"
"16.10000","0.26818","4.98761"
"16.20000","0.26976","5.01156"
"16.30000","0.27130","5.03514"
"16.40000","0.27289","5.06070"
"16.50000","0.27442","5.08444"
"16.60000","0.27615","5.11534"
"16.70000","0.27789","5.14585"
"16.80000","0.27961","5.17564"
"16.90000","0.28129","5.20289"
"17.00000","0.28292","5.22897"
"17.10000","0.28450","5.25363"
"17.20000","0.28614","5.28022"
"17.30000","0.28781","5.30879"
"17.40000","0.28942","5.33414"
"17.50000","0.29107","5.36105"
"17.60000","0.29278","5.38894"
"17.70000","0.29448","5.41685"
"17.80000","0.29620","5.44549"
"17.90000","0.29789","5.47220"
"18.00000","0.29947","5.49497"
"18.10000","0.30122","5.52556"
"18.20000","0.30306","5.55807"
"18.30000","0.30472","5.58455"
"18.40000","0.30637","5.61077"
"18.50000","0.30811","5.64079"
"18.60000","0.30976","5.66748"
"18.70000","0.31132","5.69144"
"18.80000","0.31290","5.71696"
"18.90000","0.31448","5.74233"
"19.00000","0.31611","5.77009"
"19.10000","0.31775","5.79818"
"19.20000","0.31941","5.82639"
"19.30000","0.32110","5.85563"
"19.40000","0.32283","5.88577"
"19.50000","0.32454","5.91444"
"19.60000","0.32629","5.94464"
"19.70000","0.32798","5.97173"
"19.80000","0.32969","6.00167"
"19.90000","0.33170","6.04279"
"20.00000","0.33346","6.07130"
"20.10000","0.33501","6.09410"
"20.20000","0.33657","6.11883"
"20.30000","0.33824","6.14793"
"20.40000","0.33988","6.17610"
"20.50000","0.34152","6.20485"
"20.60000","0.34317","6.23377"
"20.70000","0.34475","6.25971"
"20.80000","0.34637","6.28836"
"20.90000","0.34798","6.31641"
"21.00000","0.34947","6.33952"
"21.10000","0.35106","6.36741"
"21.20000","0.35281","6.40139"
"21.30000","0.35438","6.42547"
"21.40000","0.35613","6.45826"
"21.50000","0.35785","6.48976"
"21.60000","0.35954","6.51922"
"21.70000","0.36120","6.54734"
"21.80000","0.36283","6.57434"
"21.90000","0.36451","6.60319"
"22.00000","0.36616","6.63162"
"22.10000","0.36781","6.65900"
"22.20000","0.36953","6.69013"
"22.30000","0.37121","6.71922"
"22.40000","0.37287","6.74838"
"22.50000","0.37459","6.77979"
"22.60000","0.37631","6.81100"
"22.70000","0.37805","6.84348"
"22.80000","0.37972","6.87418"
"22.90000","0.38141","6.90612"
"23.00000","0.38314","6.93941"
"23.10000","0.38487","6.97105"
"23.20000","0.38664","7.00677"
"23.30000","0.38848","7.04334"
"23.40000","0.39007","7.06916"
"23.50000","0.39163","7.09485"
"23.60000","0.39321","7.12208"
"23.70000","0.39493","7.15576"
"23.80000","0.39652","7.18343"
"23.90000","0.39810","7.21145"
"24.00000","0.39984","7.24551"
"24.10000","0.40154","7.27740"
"24.20000","0.40310","7.30264"
"24.30000","0.40468","7.33081"
"24.40000","0.40622","7.35632"
"24.50000","0.40771","7.38072"
"24.60000","0.40933","7.40933"
"24.70000","0.41113","7.44682"
"24.80000","0.41281","7.48058"
"24.90000","0.41451","7.51404"
"25.00000","0.41623","7.54688"
"25.10000","0.41797","7.58118"
"25.20000","0.41969","7.61471"
"25.30000","0.42140","7.64680"
"25.40000","0.42305","7.67747"
"25.50000","0.42477","7.71156"
"25.60000","0.42642","7.74230"
"25.70000","0.42803","7.77134"
"25.80000","0.42967","7.80162"
"25.90000","0.43135","7.83385"
"26.00000","0.43299","7.86484"
"26.10000","0.43468","7.89890"
"26.20000","0.43646","7.93539"
"26.30000","0.43816","7.96770"
"26.40000","0.43987","8.00164"
"26.50000","0.44157","8.03564"
"26.60000","0.44322","8.06763"
"26.70000","0.44485","8.09889"
"26.80000","0.44641","8.12613"
"26.90000","0.44798","8.15456"
"27.00000","0.44958","8.18522"
"27.10000","0.45120","8.21609"
"27.20000","0.45291","8.25034"
"27.30000","0.45457","8.28209"
"27.40000","0.45614","8.30915"
"27.50000","0.45779","8.34027"
"27.60000","0.45944","8.37159"
"27.70000","0.46106","8.40174"
"27.80000","0.46280","8.43660"
"27.90000","0.46456","8.47145"
"28.00000","0.46628","8.50440"
"28.10000","0.46790","8.53263"
"28.20000","0.46961","8.56479"
"28.30000","0.47125","8.59400"
"28.40000","0.47281","8.62088"
"28.50000","0.47444","8.65136"
"28.60000","0.47611","8.68421"
"28.70000","0.47772","8.71391"
"28.80000","0.47945","8.75032"
"28.90000","0.48117","8.78545"
"29.00000","0.48285","8.81829"
"29.10000","0.48452","8.85085"
"29.20000","0.48621","8.88349"
"29.30000","0.48798","8.92024"
"29.40000","0.48973","8.95472"
"29.50000","0.49135","8.98295"
"29.60000","0.49284","9.00595"
"29.70000","0.49455","9.04076"
"29.80000","0.49647","9.08399"
"29.90000","0.49815","9.11330"
"30.00000","0.49973","9.13915"
"30.10000","0.50136","9.16687"
"30.20000","0.50298","9.19560"
"30.30000","0.50453","9.22137"
"30.40000","0.50605","9.24677"
"30.50000","0.50761","9.27363"
"30.60000","0.50924","9.30299"
"30.70000","0.51083","9.33137"
"30.80000","0.51255","9.36598"
"30.90000","0.51425","9.39859"
"31.00000","0.51600","9.43326"
"31.10000","0.51763","9.46122"
"31.20000","0.51951","9.50111"
"31.30000","0.52138","9.53894"
"31.40000","0.52315","9.57033"
"31.50000","0.52481","9.59801"
"31.60000","0.52647","9.62662"
"31.70000","0.52807","9.65237"
"31.80000","0.52979","9.68438"
"31.90000","0.53147","9.71384"
"32.00000","0.53314","9.74325"
"32.10000","0.53474","9.76968"
"32.20000","0.53642","9.80007"
"32.30000","0.53804","9.82826"
"32.40000","0.53967","9.85762"
"32.50000","0.54128","9.88572"
"32.60000","0.54287","9.91325"
"32.70000","0.54451","9.94419"
"32.80000","0.54614","9.97309"
"32.90000","0.54776","10.00096"
"33.00000","0.54937","10.02886"
"33.10000","0.55116","10.06469"
"33.20000","0.55283","10.09260"
"33.30000","0.55450","10.12053"
"33.40000","0.55614","10.14666"
"33.50000","0.55774","10.17101"
"33.60000","0.55936","10.19642"
"33.70000","0.56093","10.21926"
"33.80000","0.56261","10.24680"
"33.90000","0.56428","10.27387"
"34.00000","0.56609","10.30750"
"34.10000","0.56786","10.33748"
"34.20000","0.56947","10.36048"
"34.30000","0.57108","10.38461"
"34.40000","0.57268","10.40803"
"34.50000","0.57447","10.44167"
"34.60000","0.57624","10.47310"
"34.70000","0.57789","10.49772"
"34.80000","0.57962","10.52608"
"34.90000","0.58136","10.55468"
"35.00000","0.58305","10.58059"
"35.10000","0.58474","10.60787"
"35.20000","0.58639","10.63208"
"35.30000","0.58800","10.65439"
"35.40000","0.58954","10.67341"
"35.50000","0.59113","10.69575"
"35.60000","0.59279","10.71982"
"35.70000","0.59457","10.74863"
"35.80000","0.59620","10.77148"
"35.90000","0.59790","10.79613"
"36.00000","0.59960","10.82031"
"36.10000","0.60120","10.84055"
"36.20000","0.60281","10.86307"
"36.30000","0.60440","10.88406"
"36.40000","0.60617","10.91291"
"36.50000","0.60794","10.94165"
"36.60000","0.60970","10.96938"
"36.70000","0.61143","10.99493"
"36.80000","0.61309","11.01771"
"36.90000","0.61469","11.03763"
"37.00000","0.61637","11.06094"
"37.10000","0.61805","11.08447"
"37.20000","0.61962","11.10283"
"37.30000","0.62117","11.12001"
"37.40000","0.62284","11.14410"
"37.50000","0.62460","11.17132"
"37.60000","0.62618","11.18868"
"37.70000","0.62811","11.22439"
"37.80000","0.63001","11.25487"
"37.90000","0.63159","11.27024"
"38.00000","0.63327","11.29129"
"38.10000","0.63501","11.31551"
"38.20000","0.63666","11.33569"
"38.30000","0.63821","11.35130"
"38.40000","0.63989","11.37449"
"38.50000","0.64162","11.39948"
"38.60000","0.64327","11.42064"
"38.70000","0.64490","11.44111"
"38.80000","0.64660","11.46599"
"38.90000","0.64831","11.48949"
"39.00000","0.64994","11.50920"
"39.10000","0.65155","11.52860"
"39.20000","0.65320","11.54999"
"39.30000","0.65487","11.57191"
"39.40000","0.65656","11.59475"
"39.50000","0.65821","11.61542"
"39.60000","0.66016","11.65000"
"39.70000","0.66199","11.67713"
"39.80000","0.66347","11.68675"
"39.90000","0.66485","11.69356"
"40.00000","0.66647","11.71403"
"40.10000","0.66809","11.73279"
"40.20000","0.66968","11.74957"
"40.30000","0.67125","11.76624"
"40.40000","0.67279","11.78225"
"40.50000","0.67446","11.80397"
"40.60000","0.67615","11.82582"
"40.70000","0.67781","11.84608"
"40.80000","0.67950","11.86689"
"40.90000","0.68107","11.88249"
"41.00000","0.68290","11.91162"
"41.10000","0.68474","11.93876"
"41.20000","0.68648","11.95923"
"41.30000","0.68813","11.97580"
"41.40000","0.68977","11.99290"
"41.50000","0.69140","12.00947"
"41.60000","0.69307","12.02804"
"41.70000","0.69470","12.04422"
"41.80000","0.69634","12.06140"
"41.90000","0.69795","12.07653"
"42.00000","0.69955","12.09169"
"42.10000","0.70116","12.10829"
"42.20000","0.70272","12.12166"
"42.30000","0.70434","12.13849"
"42.40000","0.70607","12.16069"
