General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{78DC655F-DF33-4A6B-8575-2865BF350A6B}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P1 W2 1"
Break (Standard) : Load at Break (Standard),"20.59314",N
Maximum Load : Maximum Load,"24.77087",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.42806"
"0.10000","0.00008","0.42820"
"0.20000","0.00041","0.43381"
"0.30000","0.00306","0.49530"
"0.40000","0.00559","0.54827"
"0.50000","0.00738","0.58354"
"0.60000","0.00925","0.62042"
"0.70000","0.01109","0.65655"
"0.80000","0.01271","0.68616"
"0.90000","0.01422","0.71526"
"1.00000","0.01606","0.75178"
"1.10000","0.01790","0.78713"
"1.20000","0.01962","0.82479"
"1.30000","0.02135","0.86269"
"1.40000","0.02306","0.90041"
"1.50000","0.02463","0.93498"
"1.60000","0.02613","0.96891"
"1.70000","0.02770","1.00495"
"1.80000","0.02926","1.04019"
"1.90000","0.03092","1.07671"
"2.00000","0.03258","1.11355"
"2.10000","0.03423","1.15047"
"2.20000","0.03595","1.18788"
"2.30000","0.03758","1.22358"
"2.40000","0.03931","1.26167"
"2.50000","0.04110","1.30028"
"2.60000","0.04287","1.33899"
"2.70000","0.04453","1.37346"
"2.80000","0.04617","1.40895"
"2.90000","0.04799","1.44869"
"3.00000","0.04969","1.48372"
"3.10000","0.05133","1.51702"
"3.20000","0.05305","1.55399"
"3.30000","0.05472","1.58892"
"3.40000","0.05628","1.62007"
"3.50000","0.05778","1.64969"
"3.60000","0.05944","1.68467"
"3.70000","0.06105","1.71748"
"3.80000","0.06264","1.75004"
"3.90000","0.06428","1.78454"
"4.00000","0.06596","1.81962"
"4.10000","0.06770","1.85571"
"4.20000","0.06928","1.88708"
"4.30000","0.07113","1.92717"
"4.40000","0.07297","1.96569"
"4.50000","0.07479","2.00361"
"4.60000","0.07652","2.03793"
"4.70000","0.07815","2.07068"
"4.80000","0.07977","2.10261"
"4.90000","0.08140","2.13494"
"5.00000","0.08306","2.16905"
"5.10000","0.08481","2.20458"
"5.20000","0.08650","2.23882"
"5.30000","0.08823","2.27413"
"5.40000","0.08994","2.30896"
"5.50000","0.09147","2.33799"
"5.60000","0.09304","2.36949"
"5.70000","0.09469","2.40391"
"5.80000","0.09637","2.43822"
"5.90000","0.09808","2.47382"
"6.00000","0.09968","2.50602"
"6.10000","0.10145","2.54408"
"6.20000","0.10319","2.57922"
"6.30000","0.10480","2.61033"
"6.40000","0.10647","2.64510"
"6.50000","0.10811","2.67823"
"6.60000","0.10973","2.71121"
"6.70000","0.11137","2.74502"
"6.80000","0.11307","2.77989"
"6.90000","0.11468","2.81295"
"7.00000","0.11631","2.84421"
"7.10000","0.11793","2.85870"
