General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{89F6A119-9C0C-4338-A7B7-1FE00D22A25E}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P5 W2 1"
Break (Standard) : Load at Break (Standard),"4.00778",N
Maximum Load : Maximum Load,"15.83545",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.70246"
"0.10000","0.00009","0.70341"
"0.20000","0.00091","0.72335"
"0.30000","0.00317","0.77864"
"0.40000","0.00542","0.82956"
"0.50000","0.00750","0.87457"
"0.60000","0.00936","0.91438"
"0.70000","0.01112","0.95046"
"0.80000","0.01279","0.98358"
"0.90000","0.01449","1.01722"
"1.00000","0.01606","1.04798"
"1.10000","0.01767","1.07907"
"1.20000","0.01932","1.11133"
"1.30000","0.02105","1.14422"
"1.40000","0.02288","1.17955"
"1.50000","0.02460","1.21170"
"1.60000","0.02631","1.24338"
"1.70000","0.02795","1.27294"
"1.80000","0.02961","1.30305"
"1.90000","0.03126","1.33205"
"2.00000","0.03289","1.36057"
"2.10000","0.03458","1.38986"
"2.20000","0.03625","1.41922"
"2.30000","0.03789","1.44670"
"2.40000","0.03954","1.47517"
"2.50000","0.04119","1.50371"
"2.60000","0.04287","1.53184"
"2.70000","0.04449","1.55878"
"2.80000","0.04610","1.58536"
"2.90000","0.04774","1.61273"
"3.00000","0.04940","1.64072"
"3.10000","0.05116","1.67063"
"3.20000","0.05285","1.69866"
"3.30000","0.05453","1.72569"
"3.40000","0.05627","1.75494"
"3.50000","0.05792","1.78110"
"3.60000","0.05953","1.80639"
"3.70000","0.06115","1.83165"
"3.80000","0.06279","1.85682"
"3.90000","0.06442","1.88174"
"4.00000","0.06620","1.90704"
"4.10000","0.06789","1.93385"
"4.20000","0.06958","1.95951"
"4.30000","0.07120","1.98380"
"4.40000","0.07288","2.00936"
"4.50000","0.07448","2.03325"
"4.60000","0.07629","2.06185"
"4.70000","0.07815","2.09121"
"4.80000","0.07975","2.11437"
"4.90000","0.08136","2.13872"
"5.00000","0.08306","2.16472"
"5.10000","0.08473","2.18885"
"5.20000","0.08637","2.21363"
"5.30000","0.08804","2.23865"
"5.40000","0.08972","2.26388"
"5.50000","0.09140","2.28934"
"5.60000","0.09305","2.31397"
"5.70000","0.09478","2.34032"
