General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{BAAF9473-DEAB-490B-8BF5-78E12C1247F0}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P4 W1 1"
Break (Standard) : Load at Break (Standard),"10.04241",N
Maximum Load : Maximum Load,"13.87876",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.63236"
"0.10000","0.00007","0.63394"
"0.20000","0.00054","0.64200"
"0.30000","0.00148","0.65817"
"0.40000","0.00306","0.68462"
"0.50000","0.00525","0.72184"
"0.60000","0.00798","0.76702"
"0.70000","0.01061","0.80856"
"0.80000","0.01270","0.83938"
"0.90000","0.01443","0.86408"
"1.00000","0.01606","0.88671"
"1.10000","0.01780","0.91172"
"1.20000","0.01953","0.93600"
"1.30000","0.02119","0.95849"
"1.40000","0.02287","0.98102"
"1.50000","0.02452","1.00340"
"1.60000","0.02619","1.02564"
"1.70000","0.02782","1.04674"
"1.80000","0.02949","1.06857"
"1.90000","0.03117","1.09028"
"2.00000","0.03286","1.11169"
"2.10000","0.03452","1.13262"
"2.20000","0.03604","1.15144"
"2.30000","0.03764","1.17187"
"2.40000","0.03933","1.19342"
"2.50000","0.04106","1.21508"
"2.60000","0.04280","1.23673"
"2.70000","0.04456","1.25873"
"2.80000","0.04632","1.28115"
"2.90000","0.04808","1.30230"
"3.00000","0.04975","1.32331"
"3.10000","0.05142","1.34354"
"3.20000","0.05309","1.36297"
"3.30000","0.05473","1.38326"
"3.40000","0.05638","1.40221"
"3.50000","0.05798","1.42086"
"3.60000","0.05954","1.43885"
"3.70000","0.06109","1.45643"
"3.80000","0.06274","1.47680"
"3.90000","0.06454","1.49894"
"4.00000","0.06632","1.52073"
"4.10000","0.06800","1.54045"
"4.20000","0.06968","1.56001"
"4.30000","0.07144","1.58171"
"4.40000","0.07309","1.60225"
"4.50000","0.07470","1.62002"
"4.60000","0.07636","1.64024"
"4.70000","0.07803","1.65901"
"4.80000","0.07972","1.67895"
"4.90000","0.08134","1.69804"
"5.00000","0.08285","1.71420"
"5.10000","0.08439","1.73170"
"5.20000","0.08604","1.75029"
"5.30000","0.08771","1.76965"
"5.40000","0.08943","1.79025"
"5.50000","0.09120","1.81051"
"5.60000","0.09294","1.83023"
"5.70000","0.09465","1.84937"
"5.80000","0.09624","1.86566"
"5.90000","0.09790","1.88419"
"6.00000","0.09959","1.90346"
"6.10000","0.10134","1.92366"
"6.20000","0.10315","1.94588"
"6.30000","0.10479","1.96325"
"6.40000","0.10640","1.98119"
"6.50000","0.10808","2.00035"
"6.60000","0.10972","2.01891"
"6.70000","0.11138","2.03797"
"6.80000","0.11303","2.05643"
"6.90000","0.11467","2.07417"
"7.00000","0.11637","2.09402"
"7.10000","0.11802","2.11242"
"7.20000","0.11971","2.13114"
"7.30000","0.12144","2.15122"
"7.40000","0.12306","2.16785"
"7.50000","0.12483","2.18833"
"7.60000","0.12662","2.20733"
"7.70000","0.12826","2.22492"
"7.80000","0.12983","2.24054"
"7.90000","0.13147","2.25675"
"8.00000","0.13320","2.27591"
"8.10000","0.13481","2.29151"
"8.20000","0.13635","2.30692"
"8.30000","0.13801","2.32470"
"8.40000","0.13962","2.34067"
"8.50000","0.14119","2.35435"
"8.60000","0.14273","2.36910"
"8.70000","0.14441","2.38510"
"8.80000","0.14617","2.40365"
"8.90000","0.14782","2.42008"
"9.00000","0.14944","2.43535"
"9.10000","0.15110","2.45065"
"9.20000","0.15272","2.46549"
"9.30000","0.15436","2.47957"
"9.40000","0.15610","2.49584"
"9.50000","0.15790","2.51328"
"9.60000","0.15968","2.52919"
"9.70000","0.16145","2.54395"
"9.80000","0.16308","2.55734"
"9.90000","0.16473","2.57055"
"10.00000","0.16634","2.58320"
"10.10000","0.16791","2.59401"
"10.20000","0.16946","2.60665"
"10.30000","0.17112","2.62162"
"10.40000","0.17280","2.63602"
"10.50000","0.17451","2.65054"
"10.60000","0.17617","2.66434"
"10.70000","0.17779","2.67634"
"10.80000","0.17961","2.69400"
"10.90000","0.18142","2.70945"
"11.00000","0.18318","2.72488"
"11.10000","0.18483","2.73910"
"11.20000","0.18644","2.75227"
"11.30000","0.18815","2.76604"
"11.40000","0.18989","2.78091"
"11.50000","0.19153","2.79365"
"11.60000","0.19313","2.80609"
"11.70000","0.19471","2.81826"
"11.80000","0.19639","2.83230"
"11.90000","0.19811","2.84722"
"12.00000","0.19971","2.85973"
"12.10000","0.20136","2.87486"
"12.20000","0.20295","2.88794"
