General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{5D87EEB6-DCD4-40DC-9557-08174DBD8A07}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P4 W1 3"
Break (Standard) : Load at Break (Standard),"7.75250",N
Maximum Load : Maximum Load,"9.84585",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.82645"
"0.10000","0.00008","0.82597"
"0.20000","0.00063","0.83603"
"0.30000","0.00335","0.89313"
"0.40000","0.00588","0.94005"
"0.50000","0.00779","0.97168"
"0.60000","0.00952","0.99957"
"0.70000","0.01118","1.02617"
"0.80000","0.01281","1.05150"
"0.90000","0.01451","1.07794"
"1.00000","0.01612","1.10357"
"1.10000","0.01777","1.12832"
"1.20000","0.01945","1.15452"
"1.30000","0.02118","1.18025"
"1.40000","0.02288","1.20573"
"1.50000","0.02459","1.23106"
"1.60000","0.02629","1.25547"
"1.70000","0.02814","1.28231"
"1.80000","0.02975","1.30397"
"1.90000","0.03141","1.32690"
"2.00000","0.03306","1.34933"
"2.10000","0.03471","1.37222"
"2.20000","0.03633","1.39427"
"2.30000","0.03799","1.41697"
"2.40000","0.03961","1.43893"
"2.50000","0.04119","1.45977"
"2.60000","0.04290","1.48408"
"2.70000","0.04459","1.50678"
"2.80000","0.04629","1.53014"
"2.90000","0.04800","1.55329"
"3.00000","0.04969","1.57689"
"3.10000","0.05146","1.60247"
"3.20000","0.05315","1.62573"
"3.30000","0.05486","1.64978"
"3.40000","0.05648","1.67076"
"3.50000","0.05808","1.69161"
"3.60000","0.05973","1.71443"
"3.70000","0.06140","1.73714"
"3.80000","0.06305","1.75874"
"3.90000","0.06468","1.78094"
"4.00000","0.06628","1.80124"
"4.10000","0.06783","1.82074"
"4.20000","0.06947","1.84325"
"4.30000","0.07115","1.86583"
"4.40000","0.07274","1.88615"
"4.50000","0.07443","1.90796"
"4.60000","0.07623","1.93360"
"4.70000","0.07793","1.95642"
"4.80000","0.07965","1.97820"
"4.90000","0.08136","2.00107"
"5.00000","0.08298","2.02284"
"5.10000","0.08456","2.04181"
"5.20000","0.08624","2.06402"
"5.30000","0.08788","2.08503"
"5.40000","0.08954","2.10762"
"5.50000","0.09120","2.13006"
"5.60000","0.09284","2.15118"
"5.70000","0.09453","2.17331"
"5.80000","0.09620","2.19494"
"5.90000","0.09787","2.21624"
"6.00000","0.09950","2.23505"
"6.10000","0.10116","2.25665"
"6.20000","0.10275","2.27404"
"6.30000","0.10448","2.29669"
"6.40000","0.10631","2.32042"
"6.50000","0.10797","2.33811"
"6.60000","0.10961","2.35660"
"6.70000","0.11123","2.37402"
"6.80000","0.11288","2.39220"
"6.90000","0.11452","2.40923"
"7.00000","0.11617","2.42910"
"7.10000","0.11782","2.44619"
"7.20000","0.11943","2.46319"
"7.30000","0.12111","2.48120"
"7.40000","0.12274","2.49893"
"7.50000","0.12445","2.51829"
