General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{6BDCAF96-C1CD-4BEB-8758-DD197817AF76}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1392 P4 W1 4"
Break (Standard) : Load at Break (Standard),"3.46302",N
Maximum Load : Maximum Load,"5.93059",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.56987"
"0.10000","0.00008","0.57052"
"0.20000","0.00061","0.57657"
"0.30000","0.00146","0.58571"
"0.40000","0.00303","0.60269"
"0.50000","0.00537","0.62854"
"0.60000","0.00819","0.65841"
"0.70000","0.01092","0.68639"
"0.80000","0.01301","0.70607"
"0.90000","0.01475","0.72105"
"1.00000","0.01640","0.73524"
"1.10000","0.01803","0.74885"
"1.20000","0.01976","0.76336"
"1.30000","0.02150","0.77772"
"1.40000","0.02323","0.79169"
"1.50000","0.02496","0.80481"
"1.60000","0.02643","0.81411"
"1.70000","0.02800","0.82535"
"1.80000","0.02978","0.83815"
"1.90000","0.03160","0.85080"
"2.00000","0.03316","0.85909"
"2.10000","0.03476","0.86927"
"2.20000","0.03640","0.87852"
"2.30000","0.03803","0.88693"
"2.40000","0.03966","0.89611"
"2.50000","0.04125","0.90288"
"2.60000","0.04285","0.91011"
"2.70000","0.04447","0.91750"
"2.80000","0.04609","0.92361"
"2.90000","0.04777","0.93123"
"3.00000","0.04941","0.93703"
"3.10000","0.05105","0.94313"
"3.20000","0.05278","0.94953"
"3.30000","0.05452","0.95611"
"3.40000","0.05613","0.96092"
"3.50000","0.05771","0.96548"
"3.60000","0.05962","0.97287"
"3.70000","0.06149","0.98028"
"3.80000","0.06319","0.98512"
"3.90000","0.06478","0.98853"
"4.00000","0.06640","0.99216"
"4.10000","0.06804","0.99717"
"4.20000","0.06968","1.00190"
"4.30000","0.07132","1.00638"
"4.40000","0.07290","1.01036"
"4.50000","0.07454","1.01451"
"4.60000","0.07623","1.01942"
"4.70000","0.07794","1.02466"
"4.80000","0.07974","1.03096"
"4.90000","0.08153","1.03685"
"5.00000","0.08303","1.03906"
"5.10000","0.08474","1.04524"
"5.20000","0.08643","1.05231"
"5.30000","0.08803","1.05706"
"5.40000","0.08970","1.06304"
"5.50000","0.09133","1.06944"
"5.60000","0.09289","1.07415"
"5.70000","0.09447","1.07941"
"5.80000","0.09609","1.08481"
"5.90000","0.09768","1.08986"
"6.00000","0.09933","1.09624"
"6.10000","0.10093","1.10182"
"6.20000","0.10262","1.10855"
"6.30000","0.10430","1.11495"
"6.40000","0.10598","1.12107"
"6.50000","0.10770","1.12807"
"6.60000","0.10945","1.13494"
"6.70000","0.11116","1.14066"
"6.80000","0.11278","1.14574"
"6.90000","0.11449","1.15216"
"7.00000","0.11631","1.15892"
"7.10000","0.11812","1.16553"
"7.20000","0.11976","1.17081"
"7.30000","0.12145","1.17712"
"7.40000","0.12321","1.18441"
"7.50000","0.12488","1.19038"
"7.60000","0.12647","1.19679"
"7.70000","0.12820","1.20433"
"7.80000","0.12977","1.21009"
"7.90000","0.13132","1.21613"
"8.00000","0.13298","1.22362"
"8.10000","0.13470","1.23185"
"8.20000","0.13631","1.23854"
"8.30000","0.13788","1.24573"
"8.40000","0.13966","1.25473"
"8.50000","0.14144","1.26442"
"8.60000","0.14306","1.27091"
"8.70000","0.14468","1.27921"
"8.80000","0.14643","1.28874"
"8.90000","0.14815","1.29748"
"9.00000","0.14980","1.30602"
"9.10000","0.15142","1.31395"
"9.20000","0.15306","1.32198"
"9.30000","0.15473","1.33137"
"9.40000","0.15644","1.34149"
"9.50000","0.15812","1.34948"
"9.60000","0.15976","1.35957"
"9.70000","0.16136","1.36718"
"9.80000","0.16301","1.37646"
"9.90000","0.16462","1.38509"
"10.00000","0.16623","1.39273"
"10.10000","0.16780","1.40094"
"10.20000","0.16944","1.40932"
"10.30000","0.17111","1.41849"
"10.40000","0.17274","1.42589"
"10.50000","0.17444","1.43591"
"10.60000","0.17608","1.44420"
"10.70000","0.17764","1.45124"
"10.80000","0.17924","1.45907"
"10.90000","0.18090","1.46689"
"11.00000","0.18259","1.47496"
"11.10000","0.18424","1.48216"
"11.20000","0.18590","1.48987"
"11.30000","0.18760","1.49803"
"11.40000","0.18930","1.50568"
"11.50000","0.19101","1.51408"
"11.60000","0.19269","1.52190"
"11.70000","0.19450","1.53123"
"11.80000","0.19625","1.53954"
"11.90000","0.19798","1.54720"
"12.00000","0.19976","1.55613"
"12.10000","0.20141","1.56257"
"12.20000","0.20300","1.56831"
"12.30000","0.20457","1.57542"
"12.40000","0.20614","1.58150"
"12.50000","0.20788","1.59138"
"12.60000","0.20951","1.59873"
"12.70000","0.21111","1.60531"
"12.80000","0.21277","1.61236"
"12.90000","0.21454","1.62157"
"13.00000","0.21627","1.63019"
"13.10000","0.21798","1.64088"
"13.20000","0.21982","1.65467"
"13.30000","0.22140","1.66473"
"13.40000","0.22312","1.67774"
"13.50000","0.22502","1.69409"
"13.60000","0.22678","1.70711"
"13.70000","0.22847","1.71926"
"13.80000","0.23010","1.73113"
"13.90000","0.23163","1.73956"
"14.00000","0.23315","1.74976"
"14.10000","0.23473","1.76071"
"14.20000","0.23635","1.77333"
"14.30000","0.23798","1.78412"
"14.40000","0.23957","1.79660"
"14.50000","0.24120","1.80827"
"14.60000","0.24282","1.82161"
"14.70000","0.24448","1.83348"
"14.80000","0.24607","1.84446"
"14.90000","0.24785","1.85849"
"15.00000","0.24969","1.87458"
"15.10000","0.25140","1.88616"
"15.20000","0.25307","1.89762"
"15.30000","0.25474","1.90895"
"15.40000","0.25639","1.91889"
"15.50000","0.25806","1.93120"
"15.60000","0.25972","1.94162"
"15.70000","0.26140","1.95200"
"15.80000","0.26306","1.96324"
"15.90000","0.26471","1.97466"
"16.00000","0.26636","1.98557"
"16.10000","0.26797","1.99532"
"16.20000","0.26952","2.00486"
"16.30000","0.27118","2.01597"
"16.40000","0.27282","2.02684"
"16.50000","0.27445","2.03842"
"16.60000","0.27608","2.04799"
"16.70000","0.27773","2.05827"
"16.80000","0.27955","2.07285"
"16.90000","0.28124","2.08397"
"17.00000","0.28300","2.09449"
"17.10000","0.28477","2.10578"
"17.20000","0.28640","2.11623"
"17.30000","0.28817","2.12742"
"17.40000","0.28974","2.13442"
"17.50000","0.29136","2.14266"
"17.60000","0.29306","2.15297"
"17.70000","0.29477","2.16280"
"17.80000","0.29640","2.17218"
"17.90000","0.29803","2.18006"
"18.00000","0.29965","2.18939"
"18.10000","0.30118","2.19732"
"18.20000","0.30290","2.20784"
"18.30000","0.30466","2.21937"
"18.40000","0.30637","2.23044"
"18.50000","0.30801","2.24023"
"18.60000","0.30966","2.24791"
"18.70000","0.31128","2.25809"
"18.80000","0.31289","2.26665"
"18.90000","0.31455","2.27617"
"19.00000","0.31626","2.28652"
"19.10000","0.31800","2.29674"
"19.20000","0.31977","2.30831"
"19.30000","0.32134","2.31525"
"19.40000","0.32300","2.32267"
"19.50000","0.32468","2.33302"
"19.60000","0.32630","2.34159"
"19.70000","0.32791","2.34940"
"19.80000","0.32956","2.35920"
"19.90000","0.33119","2.36768"
"20.00000","0.33287","2.37645"
"20.10000","0.33462","2.38773"
"20.20000","0.33645","2.39846"
"20.30000","0.33803","2.40643"
"20.40000","0.33965","2.41432"
"20.50000","0.34136","2.42467"
"20.60000","0.34302","2.43324"
"20.70000","0.34462","2.44146"
"20.80000","0.34618","2.44922"
"20.90000","0.34783","2.45758"
"21.00000","0.34957","2.46724"
"21.10000","0.35123","2.47541"
"21.20000","0.35293","2.48567"
"21.30000","0.35454","2.49225"
"21.40000","0.35626","2.50169"
"21.50000","0.35817","2.51457"
"21.60000","0.35990","2.52259"
"21.70000","0.36154","2.52982"
"21.80000","0.36317","2.53806"
"21.90000","0.36491","2.54589"
"22.00000","0.36655","2.55487"
"22.10000","0.36818","2.56044"
"22.20000","0.36988","2.56897"
"22.30000","0.37151","2.57730"
"22.40000","0.37313","2.58475"
"22.50000","0.37480","2.59402"
"22.60000","0.37659","2.60475"
"22.70000","0.37831","2.61345"
"22.80000","0.37996","2.62270"
"22.90000","0.38168","2.63056"
"23.00000","0.38344","2.64011"
"23.10000","0.38514","2.64918"
"23.20000","0.38693","2.66020"
"23.30000","0.38880","2.67095"
"23.40000","0.39048","2.67891"
"23.50000","0.39198","2.68353"
"23.60000","0.39340","2.68843"
"23.70000","0.39504","2.69714"
"23.80000","0.39658","2.70404"
"23.90000","0.39816","2.71153"
"24.00000","0.39975","2.71940"
"24.10000","0.40119","2.72503"
"24.20000","0.40269","2.73179"
"24.30000","0.40424","2.73961"
"24.40000","0.40583","2.74696"
"24.50000","0.40744","2.75428"
"24.60000","0.40905","2.76224"
"24.70000","0.41069","2.77193"
"24.80000","0.41248","2.78157"
"24.90000","0.41421","2.79218"
"25.00000","0.41593","2.80014"
"25.10000","0.41768","2.80856"
"25.20000","0.41953","2.81972"
"25.30000","0.42130","2.82921"
"25.40000","0.42304","2.83778"
"25.50000","0.42463","2.84289"
"25.60000","0.42620","2.84864"
"25.70000","0.42786","2.85708"
"25.80000","0.42957","2.86689"
"25.90000","0.43120","2.87341"
"26.00000","0.43279","2.88101"
"26.10000","0.43445","2.88939"
"26.20000","0.43618","2.89803"
"26.30000","0.43784","2.90717"
"26.40000","0.43943","2.91445"
"26.50000","0.44103","2.92238"
"26.60000","0.44276","2.93071"
"26.70000","0.44451","2.94127"
"26.80000","0.44627","2.95144"
"26.90000","0.44808","2.96020"
"27.00000","0.44978","2.96915"
"27.10000","0.45144","2.97631"
"27.20000","0.45320","2.98557"
"27.30000","0.45485","2.99317"
"27.40000","0.45652","3.00127"
"27.50000","0.45815","3.00746"
"27.60000","0.45978","3.01566"
"27.70000","0.46148","3.02288"
"27.80000","0.46316","3.03220"
"27.90000","0.46469","3.03643"
"28.00000","0.46628","3.04350"
"28.10000","0.46805","3.05315"
"28.20000","0.46975","3.06132"
"28.30000","0.47133","3.06688"
"28.40000","0.47292","3.07381"
"28.50000","0.47445","3.07804"
"28.60000","0.47605","3.08500"
"28.70000","0.47774","3.09331"
"28.80000","0.47938","3.10037"
"28.90000","0.48097","3.10654"
"29.00000","0.48262","3.11432"
"29.10000","0.48427","3.12067"
"29.20000","0.48600","3.12878"
"29.30000","0.48768","3.13547"
"29.40000","0.48937","3.14365"
"29.50000","0.49109","3.15132"
"29.60000","0.49271","3.15615"
"29.70000","0.49440","3.16405"
"29.80000","0.49611","3.17153"
"29.90000","0.49786","3.18032"
"30.00000","0.49964","3.18835"
"30.10000","0.50139","3.19603"
"30.20000","0.50309","3.20371"
"30.30000","0.50477","3.20962"
"30.40000","0.50641","3.21505"
"30.50000","0.50807","3.22149"
"30.60000","0.50971","3.22726"
"30.70000","0.51141","3.23480"
"30.80000","0.51305","3.24035"
"30.90000","0.51468","3.24678"
"31.00000","0.51638","3.25467"
"31.10000","0.51808","3.26133"
"31.20000","0.51965","3.26663"
"31.30000","0.52143","3.27583"
"31.40000","0.52316","3.28311"
"31.50000","0.52469","3.28695"
"31.60000","0.52634","3.29336"
"31.70000","0.52802","3.29977"
"31.80000","0.52966","3.30583"
"31.90000","0.53133","3.31255"
"32.00000","0.53295","3.31836"
"32.10000","0.53456","3.32457"
"32.20000","0.53625","3.33105"
"32.30000","0.53788","3.33771"
"32.40000","0.53947","3.34308"
"32.50000","0.54114","3.34981"
"32.60000","0.54281","3.35670"
"32.70000","0.54443","3.36229"
"32.80000","0.54600","3.36770"
"32.90000","0.54767","3.37466"
"33.00000","0.54932","3.38063"
"33.10000","0.55096","3.38719"
"33.20000","0.55270","3.39453"
"33.30000","0.55437","3.40134"
"33.40000","0.55611","3.40753"
"33.50000","0.55777","3.41302"
"33.60000","0.55941","3.41859"
"33.70000","0.56109","3.42599"
"33.80000","0.56274","3.43069"
"33.90000","0.56438","3.43658"
"34.00000","0.56596","3.44086"
"34.10000","0.56764","3.44698"
"34.20000","0.56930","3.45330"
"34.30000","0.57108","3.46138"
"34.40000","0.57280","3.46855"
"34.50000","0.57445","3.47404"
"34.60000","0.57629","3.48261"
"34.70000","0.57812","3.49023"
"34.80000","0.57984","3.49714"
"34.90000","0.58151","3.50140"
"35.00000","0.58318","3.50744"
"35.10000","0.58487","3.51373"
"35.20000","0.58652","3.51912"
"35.30000","0.58827","3.52673"
"35.40000","0.58994","3.53210"
"35.50000","0.59154","3.53699"
"35.60000","0.59328","3.54473"
"35.70000","0.59498","3.55113"
"35.80000","0.59661","3.55668"
"35.90000","0.59826","3.56318"
"36.00000","0.59985","3.56790"
"36.10000","0.60154","3.57592"
"36.20000","0.60315","3.58100"
"36.30000","0.60497","3.59135"
"36.40000","0.60679","3.60066"
"36.50000","0.60849","3.60783"
"36.60000","0.61015","3.61511"
"36.70000","0.61184","3.62196"
"36.80000","0.61348","3.62872"
"36.90000","0.61508","3.63543"
"37.00000","0.61674","3.64222"
"37.10000","0.61839","3.64887"
"37.20000","0.61992","3.65382"
"37.30000","0.62154","3.66056"
"37.40000","0.62322","3.66875"
"37.50000","0.62492","3.67612"
"37.60000","0.62652","3.68113"
"37.70000","0.62803","3.68623"
"37.80000","0.62965","3.69246"
"37.90000","0.63141","3.70101"
"38.00000","0.63298","3.70566"
"38.10000","0.63449","3.71050"
"38.20000","0.63608","3.71624"
"38.30000","0.63773","3.72346"
"38.40000","0.63935","3.72981"
"38.50000","0.64098","3.73653"
"38.60000","0.64264","3.74273"
"38.70000","0.64430","3.74973"
"38.80000","0.64597","3.75684"
"38.90000","0.64774","3.76603"
"39.00000","0.64948","3.77203"
"39.10000","0.65112","3.77815"
"39.20000","0.65284","3.78517"
"39.30000","0.65460","3.79269"
"39.40000","0.65618","3.79675"
"39.50000","0.65781","3.80193"
"39.60000","0.65974","3.81127"
"39.70000","0.66147","3.81728"
"39.80000","0.66310","3.82219"
"39.90000","0.66474","3.82613"
"40.00000","0.66641","3.83212"
"40.10000","0.66803","3.83718"
"40.20000","0.66958","3.84193"
"40.30000","0.67117","3.84677"
"40.40000","0.67277","3.85202"
"40.50000","0.67435","3.85716"
"40.60000","0.67602","3.86237"
"40.70000","0.67774","3.86970"
"40.80000","0.67946","3.87581"
"40.90000","0.68118","3.88318"
"41.00000","0.68278","3.88760"
"41.10000","0.68457","3.89550"
"41.20000","0.68641","3.90360"
"41.30000","0.68806","3.90825"
"41.40000","0.68974","3.91291"
"41.50000","0.69145","3.91948"
"41.60000","0.69308","3.92374"
"41.70000","0.69471","3.92910"
"41.80000","0.69634","3.93424"
"41.90000","0.69790","3.93859"
"42.00000","0.69946","3.94232"
"42.10000","0.70109","3.94724"
"42.20000","0.70268","3.95238"
"42.30000","0.70431","3.95841"
"42.40000","0.70599","3.96442"
"42.50000","0.70770","3.97128"
"42.60000","0.70940","3.97801"
"42.70000","0.71111","3.98391"
"42.80000","0.71282","3.99024"
"42.90000","0.71459","3.99676"
"43.00000","0.71643","4.00448"
"43.10000","0.71819","4.01031"
"43.20000","0.71980","4.01482"
"43.30000","0.72138","4.01923"
"43.40000","0.72308","4.02414"
"43.50000","0.72475","4.03011"
"43.60000","0.72634","4.03361"
"43.70000","0.72799","4.03928"
"43.80000","0.72969","4.04485"
"43.90000","0.73137","4.05116"
"44.00000","0.73307","4.05710"
"44.10000","0.73473","4.06211"
"44.20000","0.73635","4.06692"
"44.30000","0.73790","4.07148"
"44.40000","0.73954","4.07688"
"44.50000","0.74118","4.08208"
"44.60000","0.74285","4.08841"
"44.70000","0.74454","4.09433"
"44.80000","0.74621","4.09960"
"44.90000","0.74785","4.10470"
"45.00000","0.74946","4.10993"
"45.10000","0.75116","4.11543"
"45.20000","0.75284","4.12069"
"45.30000","0.75449","4.12554"
"45.40000","0.75620","4.13122"
"45.50000","0.75786","4.13661"
"45.60000","0.75955","4.14204"
"45.70000","0.76121","4.14631"
"45.80000","0.76288","4.15239"
"45.90000","0.76455","4.15706"
"46.00000","0.76624","4.16221"
"46.10000","0.76788","4.16806"
"46.20000","0.76955","4.17232"
"46.30000","0.77123","4.17870"
"46.40000","0.77293","4.18428"
"46.50000","0.77463","4.19022"
"46.60000","0.77631","4.19605"
"46.70000","0.77789","4.20002"
"46.80000","0.77947","4.20354"
"46.90000","0.78116","4.20911"
"47.00000","0.78284","4.21473"
"47.10000","0.78451","4.22051"
"47.20000","0.78620","4.22509"
"47.30000","0.78792","4.23166"
"47.40000","0.78963","4.23646"
"47.50000","0.79130","4.24158"
"47.60000","0.79295","4.24602"
"47.70000","0.79461","4.25075"
"47.80000","0.79622","4.25460"
"47.90000","0.79793","4.25867"
"48.00000","0.79959","4.26422"
"48.10000","0.80115","4.26754"
"48.20000","0.80271","4.27052"
"48.30000","0.80431","4.27468"
"48.40000","0.80590","4.27901"
"48.50000","0.80755","4.28376"
"48.60000","0.80918","4.28882"
"48.70000","0.81083","4.29383"
"48.80000","0.81253","4.29937"
"48.90000","0.81436","4.30678"
"49.00000","0.81619","4.31430"
"49.10000","0.81794","4.31980"
"49.20000","0.81972","4.32629"
"49.30000","0.82137","4.33052"
"49.40000","0.82306","4.33529"
"49.50000","0.82495","4.34327"
"49.60000","0.82673","4.34952"
"49.70000","0.82839","4.35262"
"49.80000","0.82998","4.35536"
"49.90000","0.83154","4.35852"
"50.00000","0.83311","4.36219"
"50.10000","0.83469","4.36669"
"50.20000","0.83641","4.37377"
"50.30000","0.83795","4.37636"
"50.40000","0.83954","4.38078"
"50.50000","0.84123","4.38652"
"50.60000","0.84296","4.39358"
"50.70000","0.84474","4.39999"
"50.80000","0.84635","4.40383"
"50.90000","0.84814","4.41065"
"51.00000","0.84993","4.41825"
"51.10000","0.85168","4.42463"
"51.20000","0.85323","4.42719"
"51.30000","0.85483","4.43122"
"51.40000","0.85650","4.43583"
"51.50000","0.85815","4.44016"
"51.60000","0.85979","4.44475"
"51.70000","0.86148","4.44957"
"51.80000","0.86309","4.45418"
"51.90000","0.86472","4.45889"
"52.00000","0.86635","4.46399"
"52.10000","0.86799","4.46894"
"52.20000","0.86968","4.47594"
"52.30000","0.87132","4.48113"
"52.40000","0.87293","4.48517"
"52.50000","0.87456","4.49006"
"52.60000","0.87622","4.49482"
"52.70000","0.87785","4.49978"
"52.80000","0.87974","4.50911"
"52.90000","0.88162","4.51803"
"53.00000","0.88325","4.52174"
"53.10000","0.88480","4.52451"
"53.20000","0.88644","4.52861"
"53.30000","0.88820","4.53522"
"53.40000","0.88985","4.53988"
"53.50000","0.89144","4.54335"
"53.60000","0.89308","4.54833"
"53.70000","0.89482","4.55456"
"53.80000","0.89661","4.56280"
"53.90000","0.89817","4.56472"
"54.00000","0.89970","4.56771"
"54.10000","0.90123","4.57155"
"54.20000","0.90293","4.57725"
"54.30000","0.90468","4.58429"
"54.40000","0.90642","4.59026"
"54.50000","0.90804","4.59462"
"54.60000","0.90975","4.60101"
"54.70000","0.91135","4.60525"
"54.80000","0.91287","4.60761"
"54.90000","0.91449","4.61300"
"55.00000","0.91607","4.61611"
"55.10000","0.91770","4.62110"
"55.20000","0.91933","4.62526"
"55.30000","0.92097","4.63130"
"55.40000","0.92261","4.63502"
"55.50000","0.92424","4.63955"
"55.60000","0.92596","4.64460"
"55.70000","0.92766","4.65005"
"55.80000","0.92937","4.65502"
"55.90000","0.93105","4.65971"
"56.00000","0.93269","4.66363"
"56.10000","0.93448","4.67093"
"56.20000","0.93638","4.67998"
"56.30000","0.93804","4.68418"
"56.40000","0.93973","4.68876"
"56.50000","0.94140","4.69358"
"56.60000","0.94301","4.69696"
"56.70000","0.94461","4.69976"
"56.80000","0.94623","4.70498"
"56.90000","0.94789","4.71034"
"57.00000","0.94958","4.71421"
"57.10000","0.95141","4.72160"
"57.20000","0.95314","4.72732"
"57.30000","0.95465","4.72878"
"57.40000","0.95636","4.73455"
"57.50000","0.95823","4.74182"
"57.60000","0.95987","4.74705"
"57.70000","0.96149","4.75013"
"57.80000","0.96313","4.75424"
"57.90000","0.96479","4.75778"
"58.00000","0.96633","4.76104"
"58.10000","0.96785","4.76359"
"58.20000","0.96945","4.76793"
"58.30000","0.97112","4.77290"
"58.40000","0.97274","4.77662"
"58.50000","0.97437","4.78152"
"58.60000","0.97598","4.78498"
"58.70000","0.97762","4.78968"
"58.80000","0.97923","4.79391"
"58.90000","0.98090","4.79847"
"59.00000","0.98258","4.80308"
"59.10000","0.98428","4.80726"
"59.20000","0.98595","4.81151"
"59.30000","0.98771","4.81746"
"59.40000","0.98950","4.82243"
"59.50000","0.99122","4.82730"
"59.60000","0.99291","4.83146"
"59.70000","0.99459","4.83501"
"59.80000","0.99628","4.83899"
"59.90000","0.99791","4.84221"
"60.00000","0.99956","4.84567"
"60.10000","1.00121","4.85067"
"60.20000","1.00289","4.85482"
"60.30000","1.00456","4.85970"
"60.40000","1.00623","4.86323"
"60.50000","1.00793","4.86856"
"60.60000","1.00953","4.87127"
"60.70000","1.01135","4.87917"
"60.80000","1.01319","4.88530"
"60.90000","1.01482","4.88907"
"61.00000","1.01646","4.89173"
"61.10000","1.01815","4.89665"
"61.20000","1.01982","4.89983"
"61.30000","1.02142","4.90233"
"61.40000","1.02304","4.90564"
"61.50000","1.02468","4.91001"
"61.60000","1.02636","4.91409"
"61.70000","1.02804","4.91928"
"61.80000","1.02973","4.92281"
"61.90000","1.03141","4.92839"
"62.00000","1.03306","4.93269"
