General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{221A7F3D-2DE5-442A-BC91-2108AC7B6F0D}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1395 P4 W1 4"
Break (Standard) : Load at Break (Standard),"8.16967",N
Maximum Load : Maximum Load,"9.29235",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.83080"
"0.10000","0.00010","0.83114"
"0.20000","0.00110","0.85223"
"0.30000","0.00298","0.89191"
"0.40000","0.00498","0.93254"
"0.50000","0.00722","0.97774"
"0.60000","0.00930","1.01845"
"0.70000","0.01117","1.05544"
"0.80000","0.01289","1.08910"
"0.90000","0.01446","1.11936"
"1.00000","0.01600","1.14867"
"1.10000","0.01764","1.17988"
"1.20000","0.01925","1.21073"
"1.30000","0.02090","1.24253"
"1.40000","0.02260","1.27546"
"1.50000","0.02428","1.30685"
"1.60000","0.02597","1.33911"
"1.70000","0.02765","1.37154"
"1.80000","0.02934","1.40393"
"1.90000","0.03120","1.43905"
"2.00000","0.03296","1.47349"
"2.10000","0.03470","1.50583"
"2.20000","0.03639","1.53639"
"2.30000","0.03808","1.56753"
"2.40000","0.03977","1.59963"
"2.50000","0.04140","1.62908"
"2.60000","0.04303","1.66082"
"2.70000","0.04468","1.69159"
"2.80000","0.04631","1.71990"
"2.90000","0.04791","1.74927"
"3.00000","0.04945","1.77681"
"3.10000","0.05112","1.80921"
"3.20000","0.05280","1.84061"
"3.30000","0.05447","1.87241"
"3.40000","0.05606","1.89987"
"3.50000","0.05773","1.93154"
"3.60000","0.05930","1.96004"
"3.70000","0.06107","1.99371"
"3.80000","0.06286","2.02583"
"3.90000","0.06465","2.05823"
"4.00000","0.06641","2.08942"
"4.10000","0.06797","2.11762"
"4.20000","0.06956","2.14602"
"4.30000","0.07119","2.17245"
"4.40000","0.07280","2.20057"
"4.50000","0.07440","2.22682"
"4.60000","0.07604","2.25567"
"4.70000","0.07771","2.28421"
"4.80000","0.07940","2.31471"
"4.90000","0.08110","2.34336"
"5.00000","0.08269","2.37142"
"5.10000","0.08432","2.39877"
"5.20000","0.08619","2.43219"
"5.30000","0.08821","2.46879"
"5.40000","0.08999","2.49932"
"5.50000","0.09163","2.52803"
"5.60000","0.09345","2.55967"
"5.70000","0.09528","2.59236"
"5.80000","0.09685","2.61846"
"5.90000","0.09842","2.64581"
"6.00000","0.10006","2.67471"
"6.10000","0.10162","2.70176"
"6.20000","0.10326","2.73081"
"6.30000","0.10491","2.76116"
"6.40000","0.10659","2.79219"
"6.50000","0.10831","2.82464"
"6.60000","0.10986","2.85373"
"6.70000","0.11147","2.88313"
"6.80000","0.11323","2.91738"
"6.90000","0.11481","2.94646"
"7.00000","0.11635","2.97606"
"7.10000","0.11807","3.00937"
"7.20000","0.11973","3.04001"
"7.30000","0.12136","3.07110"
"7.40000","0.12298","3.10212"
"7.50000","0.12456","3.13184"
