General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{9552513B-B04A-44B4-83BA-18B2CEB207AE}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1395 P4 W2 1"
Break (Standard) : Load at Break (Standard),"2.97622",N
Maximum Load : Maximum Load,"8.86488",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.88462"
"0.10000","0.00008","0.88655"
"0.20000","0.00058","0.89516"
"0.30000","0.00150","0.90967"
"0.40000","0.00310","0.93625"
"0.50000","0.00536","0.97370"
"0.60000","0.00796","1.01638"
"0.70000","0.01039","1.05578"
"0.80000","0.01236","1.08667"
"0.90000","0.01413","1.11396"
"1.00000","0.01580","1.14003"
"1.10000","0.01747","1.16579"
"1.20000","0.01916","1.19178"
"1.30000","0.02083","1.21769"
"1.40000","0.02252","1.24319"
"1.50000","0.02418","1.26795"
"1.60000","0.02583","1.29139"
"1.70000","0.02755","1.31752"
"1.80000","0.02935","1.34401"
"1.90000","0.03115","1.37040"
"2.00000","0.03290","1.39593"
"2.10000","0.03463","1.42110"
"2.20000","0.03628","1.44550"
"2.30000","0.03792","1.46913"
"2.40000","0.03957","1.49155"
"2.50000","0.04125","1.51487"
"2.60000","0.04290","1.53827"
"2.70000","0.04469","1.56404"
"2.80000","0.04665","1.59137"
"2.90000","0.04834","1.61356"
"3.00000","0.04985","1.63276"
"3.10000","0.05149","1.65549"
"3.20000","0.05320","1.67902"
"3.30000","0.05484","1.70080"
"3.40000","0.05642","1.72204"
"3.50000","0.05805","1.74316"
"3.60000","0.05970","1.76603"
"3.70000","0.06135","1.78752"
"3.80000","0.06295","1.80926"
"3.90000","0.06447","1.82871"
"4.00000","0.06609","1.84977"
"4.10000","0.06776","1.87280"
"4.20000","0.06947","1.89482"
"4.30000","0.07119","1.91683"
"4.40000","0.07283","1.93820"
"4.50000","0.07447","1.96044"
"4.60000","0.07614","1.98054"
"4.70000","0.07780","2.00348"
"4.80000","0.07950","2.02566"
"4.90000","0.08116","2.04650"
"5.00000","0.08292","2.06973"
"5.10000","0.08453","2.08881"
"5.20000","0.08613","2.10893"
"5.30000","0.08777","2.12859"
"5.40000","0.08938","2.14760"
"5.50000","0.09098","2.16758"
"5.60000","0.09258","2.18675"
"5.70000","0.09420","2.20660"
"5.80000","0.09587","2.22626"
"5.90000","0.09756","2.24694"
"6.00000","0.09933","2.26871"
"6.10000","0.10107","2.28985"
"6.20000","0.10283","2.31049"
"6.30000","0.10448","2.32980"
"6.40000","0.10627","2.35309"
"6.50000","0.10807","2.37418"
"6.60000","0.10983","2.39571"
"6.70000","0.11149","2.41498"
"6.80000","0.11321","2.43629"
"6.90000","0.11487","2.45473"
"7.00000","0.11649","2.47353"
"7.10000","0.11811","2.49172"
"7.20000","0.11974","2.51252"
"7.30000","0.12134","2.53076"
"7.40000","0.12289","2.54812"
