General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{29C98A05-7411-42AA-B0E0-ED6530EF018E}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1395 P3 W1 4"
Break (Standard) : Load at Break (Standard),"7.83732",N
Maximum Load : Maximum Load,"10.73346",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.30117"
"0.10000","0.00014","0.30277"
"0.20000","0.00120","0.31831"
"0.30000","0.00317","0.34563"
"0.40000","0.00522","0.37141"
"0.50000","0.00725","0.39509"
"0.60000","0.00918","0.41589"
"0.70000","0.01093","0.43469"
"0.80000","0.01282","0.45430"
"0.90000","0.01461","0.47282"
"1.00000","0.01640","0.49137"
"1.10000","0.01817","0.50931"
"1.20000","0.01986","0.52629"
"1.30000","0.02148","0.54196"
"1.40000","0.02304","0.55749"
"1.50000","0.02471","0.57495"
"1.60000","0.02636","0.59072"
"1.70000","0.02795","0.60601"
"1.80000","0.02951","0.62074"
"1.90000","0.03115","0.63708"
"2.00000","0.03283","0.65254"
"2.10000","0.03449","0.66873"
"2.20000","0.03609","0.68309"
"2.30000","0.03772","0.69737"
"2.40000","0.03939","0.71295"
"2.50000","0.04099","0.72649"
"2.60000","0.04270","0.74176"
"2.70000","0.04446","0.75805"
"2.80000","0.04618","0.77240"
"2.90000","0.04784","0.78616"
"3.00000","0.04944","0.79862"
"3.10000","0.05112","0.81302"
"3.20000","0.05278","0.82665"
"3.30000","0.05444","0.84028"
"3.40000","0.05614","0.85442"
"3.50000","0.05774","0.86618"
"3.60000","0.05931","0.87964"
"3.70000","0.06101","0.89443"
"3.80000","0.06276","0.90992"
"3.90000","0.06435","0.92252"
"4.00000","0.06609","0.93743"
"4.10000","0.06787","0.95303"
"4.20000","0.06969","0.96924"
"4.30000","0.07149","0.98505"
"4.40000","0.07306","0.99810"
"4.50000","0.07478","1.01413"
"4.60000","0.07642","1.02719"
"4.70000","0.07804","1.04205"
"4.80000","0.07970","1.05574"
"4.90000","0.08129","1.06894"
"5.00000","0.08283","1.08211"
"5.10000","0.08447","1.09760"
"5.20000","0.08612","1.11219"
"5.30000","0.08778","1.12824"
"5.40000","0.08946","1.14478"
"5.50000","0.09102","1.15871"
"5.60000","0.09264","1.17337"
"5.70000","0.09430","1.18883"
"5.80000","0.09603","1.20618"
"5.90000","0.09776","1.22293"
"6.00000","0.09963","1.24097"
"6.10000","0.10139","1.25863"
"6.20000","0.10306","1.27462"
"6.30000","0.10472","1.28932"
"6.40000","0.10638","1.30497"
"6.50000","0.10804","1.31936"
"6.60000","0.10966","1.33477"
"6.70000","0.11137","1.35112"
"6.80000","0.11307","1.36504"
"6.90000","0.11474","1.38074"
"7.00000","0.11638","1.39464"
"7.10000","0.11803","1.40864"
"7.20000","0.11956","1.42135"
"7.30000","0.12138","1.43765"
"7.40000","0.12313","1.45384"
"7.50000","0.12479","1.46783"
"7.60000","0.12649","1.48284"
"7.70000","0.12814","1.49604"
"7.80000","0.12979","1.50896"
"7.90000","0.13140","1.52097"
"8.00000","0.13307","1.53632"
"8.10000","0.13468","1.54716"
"8.20000","0.13627","1.55978"
"8.30000","0.13784","1.57144"
"8.40000","0.13951","1.58508"
"8.50000","0.14124","1.59928"
"8.60000","0.14291","1.61214"
"8.70000","0.14466","1.62510"
"8.80000","0.14638","1.63959"
"8.90000","0.14787","1.64795"
"9.00000","0.14969","1.66421"
"9.10000","0.15158","1.68007"
"9.20000","0.15323","1.69194"
"9.30000","0.15482","1.70201"
"9.40000","0.15642","1.71202"
"9.50000","0.15803","1.72342"
"9.60000","0.15964","1.73447"
"9.70000","0.16121","1.74644"
"9.80000","0.16287","1.76108"
"9.90000","0.16446","1.77194"
"10.00000","0.16605","1.78288"
"10.10000","0.16772","1.79662"
"10.20000","0.16939","1.80782"
"10.30000","0.17104","1.82032"
"10.40000","0.17275","1.83353"
"10.50000","0.17442","1.84566"
"10.60000","0.17629","1.86149"
"10.70000","0.17806","1.87428"
"10.80000","0.17978","1.88726"
"10.90000","0.18151","1.89968"
"11.00000","0.18319","1.91094"
"11.10000","0.18479","1.92172"
"11.20000","0.18640","1.93240"
"11.30000","0.18804","1.94309"
"11.40000","0.18962","1.95250"
"11.50000","0.19117","1.96309"
"11.60000","0.19282","1.97530"
"11.70000","0.19449","1.98794"
"11.80000","0.19617","1.99959"
"11.90000","0.19788","2.01296"
"12.00000","0.19951","2.02376"
"12.10000","0.20120","2.03528"
"12.20000","0.20286","2.04719"
"12.30000","0.20456","2.05949"
"12.40000","0.20642","2.07378"
"12.50000","0.20812","2.08453"
"12.60000","0.20972","2.09443"
"12.70000","0.21132","2.10399"
"12.80000","0.21299","2.11648"
"12.90000","0.21472","2.12891"
"13.00000","0.21638","2.13877"
"13.10000","0.21797","2.15052"
"13.20000","0.21950","2.15921"
"13.30000","0.22115","2.17121"
"13.40000","0.22285","2.18406"
"13.50000","0.22451","2.19752"
"13.60000","0.22620","2.21135"
"13.70000","0.22786","2.22300"
"13.80000","0.22965","2.23877"
"13.90000","0.23150","2.25471"
"14.00000","0.23311","2.26616"
"14.10000","0.23472","2.27903"
"14.20000","0.23640","2.29320"
"14.30000","0.23806","2.30635"
"14.40000","0.23975","2.32122"
"14.50000","0.24137","2.33178"
"14.60000","0.24303","2.34557"
"14.70000","0.24472","2.36002"
"14.80000","0.24635","2.37287"
"14.90000","0.24798","2.38492"
"15.00000","0.24962","2.39666"
"15.10000","0.25130","2.40937"
"15.20000","0.25297","2.42166"
"15.30000","0.25464","2.43515"
"15.40000","0.25631","2.44773"
"15.50000","0.25803","2.46132"
"15.60000","0.25964","2.47384"
"15.70000","0.26130","2.48638"
"15.80000","0.26300","2.50037"
"15.90000","0.26470","2.51505"
"16.00000","0.26633","2.52635"
"16.10000","0.26789","2.53765"
"16.20000","0.26946","2.54933"
"16.30000","0.27114","2.56139"
