General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{39F39E0F-D43E-4F6B-B914-2E37E7C7F155}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1395 P5 W1 3"
Break (Standard) : Load at Break (Standard),"5.68113",N
Maximum Load : Maximum Load,"6.00024",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.65288"
"0.10000","0.00012","0.65420"
"0.20000","0.00118","0.67507"
"0.30000","0.00346","0.71811"
"0.40000","0.00551","0.75354"
"0.50000","0.00742","0.78388"
"0.60000","0.00924","0.81245"
"0.70000","0.01109","0.83940"
"0.80000","0.01294","0.86512"
"0.90000","0.01468","0.88875"
"1.00000","0.01636","0.91109"
"1.10000","0.01805","0.93217"
"1.20000","0.01976","0.95499"
"1.30000","0.02137","0.97601"
"1.40000","0.02301","0.99664"
"1.50000","0.02465","1.01722"
"1.60000","0.02623","1.03683"
"1.70000","0.02786","1.05710"
"1.80000","0.02950","1.07695"
"1.90000","0.03114","1.09714"
"2.00000","0.03273","1.11684"
"2.10000","0.03438","1.13758"
"2.20000","0.03610","1.15716"
"2.30000","0.03773","1.17705"
"2.40000","0.03936","1.19668"
"2.50000","0.04102","1.21637"
"2.60000","0.04268","1.23465"
"2.70000","0.04442","1.25712"
"2.80000","0.04609","1.27640"
"2.90000","0.04768","1.29596"
"3.00000","0.04936","1.31727"
"3.10000","0.05098","1.33941"
"3.20000","0.05267","1.35875"
"3.30000","0.05451","1.38325"
"3.40000","0.05622","1.40387"
"3.50000","0.05789","1.42359"
"3.60000","0.05954","1.44131"
"3.70000","0.06124","1.46373"
"3.80000","0.06288","1.48226"
"3.90000","0.06457","1.50184"
"4.00000","0.06638","1.52278"
"4.10000","0.06814","1.54296"
"4.20000","0.06974","1.56142"
"4.30000","0.07147","1.58135"
"4.40000","0.07316","1.60161"
"4.50000","0.07480","1.62002"
"4.60000","0.07644","1.63951"
"4.70000","0.07810","1.65917"
"4.80000","0.07975","1.67820"
"4.90000","0.08138","1.69641"
"5.00000","0.08302","1.71576"
"5.10000","0.08459","1.73218"
"5.20000","0.08611","1.74878"
"5.30000","0.08765","1.76651"
"5.40000","0.08925","1.78565"
"5.50000","0.09093","1.80349"
"5.60000","0.09258","1.82279"
"5.70000","0.09431","1.84206"
"5.80000","0.09602","1.86101"
"5.90000","0.09770","1.87995"
"6.00000","0.09936","1.89703"
"6.10000","0.10099","1.91389"
"6.20000","0.10271","1.93320"
"6.30000","0.10447","1.95286"
"6.40000","0.10620","1.96979"
"6.50000","0.10781","1.98540"
"6.60000","0.10945","2.00113"
"6.70000","0.11114","2.01786"
"6.80000","0.11282","2.03516"
"6.90000","0.11443","2.05099"
"7.00000","0.11604","2.06774"
"7.10000","0.11764","2.08356"
"7.20000","0.11924","2.09874"
"7.30000","0.12091","2.11522"
"7.40000","0.12258","2.13166"
"7.50000","0.12420","2.14673"
"7.60000","0.12599","2.16520"
"7.70000","0.12780","2.18368"
"7.80000","0.12957","2.20054"
"7.90000","0.13140","2.21936"
"8.00000","0.13312","2.23493"
"8.10000","0.13481","2.24970"
"8.20000","0.13649","2.26539"
"8.30000","0.13822","2.28092"
"8.40000","0.14001","2.29795"
"8.50000","0.14167","2.31234"
"8.60000","0.14327","2.32694"
"8.70000","0.14500","2.34367"
"8.80000","0.14669","2.35858"
"8.90000","0.14835","2.37364"
"9.00000","0.14999","2.38737"
"9.10000","0.15161","2.40236"
"9.20000","0.15324","2.41594"
"9.30000","0.15511","2.43722"
"9.40000","0.15694","2.45526"
"9.50000","0.15862","2.46947"
"9.60000","0.16024","2.48394"
"9.70000","0.16190","2.49886"
"9.80000","0.16347","2.51253"
"9.90000","0.16495","2.52484"
"10.00000","0.16661","2.54141"
"10.10000","0.16821","2.55635"
"10.20000","0.16967","2.56841"
"10.30000","0.17128","2.58317"
"10.40000","0.17295","2.60027"
"10.50000","0.17457","2.61436"
"10.60000","0.17616","2.62713"
"10.70000","0.17785","2.64378"
"10.80000","0.17945","2.65703"
"10.90000","0.18127","2.67644"
"11.00000","0.18305","2.69434"
"11.10000","0.18472","2.70819"
"11.20000","0.18638","2.72254"
"11.30000","0.18800","2.73648"
"11.40000","0.18973","2.75288"
"11.50000","0.19141","2.76765"
"11.60000","0.19305","2.78086"
"11.70000","0.19466","2.79386"
"11.80000","0.19625","2.80670"
"11.90000","0.19782","2.81959"
"12.00000","0.19948","2.83305"
"12.10000","0.20114","2.84627"
"12.20000","0.20281","2.85952"
"12.30000","0.20448","2.87350"
"12.40000","0.20619","2.88677"
"12.50000","0.20775","2.89703"
"12.60000","0.20969","2.91680"
"12.70000","0.21159","2.93282"
"12.80000","0.21321","2.94378"
"12.90000","0.21485","2.95513"
"13.00000","0.21656","2.96975"
"13.10000","0.21822","2.98170"
"13.20000","0.21978","2.99209"
"13.30000","0.22127","3.00186"
"13.40000","0.22281","3.01231"
"13.50000","0.22442","3.02432"
"13.60000","0.22607","3.03815"
"13.70000","0.22772","3.05004"
"13.80000","0.22943","3.06270"
"13.90000","0.23120","3.07722"
"14.00000","0.23282","3.08710"
"14.10000","0.23448","3.09889"
"14.20000","0.23626","3.11180"
"14.30000","0.23792","3.12299"
"14.40000","0.23958","3.13409"
"14.50000","0.24130","3.14671"
"14.60000","0.24299","3.15763"
"14.70000","0.24468","3.16900"
"14.80000","0.24634","3.17915"
"14.90000","0.24800","3.19045"
"15.00000","0.24962","3.19930"
"15.10000","0.25121","3.20936"
"15.20000","0.25284","3.21983"
"15.30000","0.25447","3.22974"
"15.40000","0.25611","3.24088"
"15.50000","0.25774","3.25124"
"15.60000","0.25932","3.25953"
"15.70000","0.26098","3.27165"
"15.80000","0.26267","3.28312"
"15.90000","0.26439","3.29504"
"16.00000","0.26626","3.30870"
"16.10000","0.26801","3.32059"
"16.20000","0.26967","3.32887"
"16.30000","0.27128","3.33788"
"16.40000","0.27304","3.35007"
"16.50000","0.27475","3.35978"
"16.60000","0.27637","3.36810"
"16.70000","0.27803","3.37719"
"16.80000","0.27969","3.38639"
"16.90000","0.28132","3.39512"
"17.00000","0.28294","3.40349"
"17.10000","0.28452","3.41190"
"17.20000","0.28612","3.42072"
"17.30000","0.28767","3.42923"
"17.40000","0.28937","3.44041"
"17.50000","0.29113","3.45220"
"17.60000","0.29285","3.46285"
"17.70000","0.29452","3.47280"
"17.80000","0.29621","3.48379"
"17.90000","0.29785","3.49282"
"18.00000","0.29957","3.50455"
"18.10000","0.30132","3.51542"
"18.20000","0.30300","3.52510"
"18.30000","0.30460","3.53373"
"18.40000","0.30622","3.54336"
"18.50000","0.30791","3.55463"
"18.60000","0.30962","3.56660"
"18.70000","0.31129","3.57607"
"18.80000","0.31294","3.58591"
"18.90000","0.31458","3.59513"
"19.00000","0.31632","3.60729"
"19.10000","0.31808","3.61837"
"19.20000","0.31973","3.62748"
"19.30000","0.32144","3.63798"
"19.40000","0.32311","3.64755"
"19.50000","0.32468","3.65506"
"19.60000","0.32632","3.66414"
"19.70000","0.32796","3.67307"
"19.80000","0.32951","3.68056"
"19.90000","0.33115","3.68988"
"20.00000","0.33280","3.69735"
"20.10000","0.33439","3.70446"
"20.20000","0.33607","3.71447"
"20.30000","0.33780","3.72446"
"20.40000","0.33954","3.73408"
"20.50000","0.34125","3.74309"
"20.60000","0.34288","3.75013"
"20.70000","0.34471","3.76191"
"20.80000","0.34650","3.77188"
"20.90000","0.34819","3.78019"
"21.00000","0.34983","3.78657"
"21.10000","0.35144","3.79316"
"21.20000","0.35299","3.79871"
"21.30000","0.35450","3.80487"
"21.40000","0.35605","3.81187"
"21.50000","0.35766","3.81933"
"21.60000","0.35925","3.82715"
"21.70000","0.36094","3.83595"
"21.80000","0.36256","3.84303"
"21.90000","0.36424","3.85112"
"22.00000","0.36591","3.85936"
"22.10000","0.36763","3.86782"
"22.20000","0.36937","3.87629"
"22.30000","0.37105","3.88353"
"22.40000","0.37263","3.88937"
"22.50000","0.37435","3.89734"
"22.60000","0.37622","3.90877"
"22.70000","0.37794","3.91549"
"22.80000","0.37947","3.91848"
"22.90000","0.38111","3.92482"
"23.00000","0.38282","3.93362"
"23.10000","0.38456","3.94160"
"23.20000","0.38623","3.94903"
"23.30000","0.38788","3.95710"
"23.40000","0.38952","3.96399"
"23.50000","0.39121","3.97250"
"23.60000","0.39294","3.98131"
"23.70000","0.39468","3.99041"
"23.80000","0.39636","3.99826"
"23.90000","0.39812","4.00795"
"24.00000","0.40006","4.02056"
"24.10000","0.40191","4.02998"
"24.20000","0.40345","4.03203"
"24.30000","0.40507","4.03981"
"24.40000","0.40677","4.04701"
"24.50000","0.40846","4.05495"
"24.60000","0.41010","4.06086"
"24.70000","0.41166","4.06599"
"24.80000","0.41321","4.07156"
"24.90000","0.41484","4.07808"
"25.00000","0.41646","4.08485"
"25.10000","0.41805","4.09127"
"25.20000","0.41975","4.09957"
"25.30000","0.42138","4.10761"
"25.40000","0.42306","4.11596"
"25.50000","0.42466","4.12150"
"25.60000","0.42631","4.12811"
"25.70000","0.42787","4.13369"
"25.80000","0.42964","4.14410"
"25.90000","0.43150","4.15518"
"26.00000","0.43316","4.16019"
"26.10000","0.43469","4.16385"
"26.20000","0.43637","4.17146"
"26.30000","0.43808","4.17899"
"26.40000","0.43970","4.18419"
"26.50000","0.44135","4.19072"
"26.60000","0.44297","4.19716"
"26.70000","0.44460","4.20324"
"26.80000","0.44621","4.20918"
"26.90000","0.44787","4.21591"
"27.00000","0.44951","4.22254"
"27.10000","0.45104","4.22653"
"27.20000","0.45284","4.23684"
"27.30000","0.45470","4.24821"
"27.40000","0.45642","4.25529"
"27.50000","0.45804","4.25975"
"27.60000","0.45976","4.26797"
"27.70000","0.46142","4.27337"
"27.80000","0.46303","4.27931"
"27.90000","0.46472","4.28659"
"28.00000","0.46634","4.29208"
"28.10000","0.46797","4.29827"
"28.20000","0.46964","4.30507"
"28.30000","0.47128","4.31111"
"28.40000","0.47293","4.31784"
"28.50000","0.47464","4.32557"
"28.60000","0.47639","4.33252"
"28.70000","0.47805","4.33852"
"28.80000","0.47967","4.34267"
"28.90000","0.48124","4.34837"
"29.00000","0.48284","4.35393"
"29.10000","0.48455","4.36183"
"29.20000","0.48623","4.36836"
"29.30000","0.48789","4.37439"
