General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{A6E85979-CE5A-4C18-A64E-EC3AC21CDE8F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1399 P1 W1 1"
Break (Standard) : Load at Break (Standard),"10.90664",N
Maximum Load : Maximum Load,"11.22492",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.68706"
"0.10000","0.00000","0.68718"
"0.20000","0.00034","0.69282"
"0.30000","0.00121","0.71000"
"0.40000","0.00423","0.77499"
"0.50000","0.00777","0.84267"
"0.60000","0.00952","0.87011"
"0.70000","0.01111","0.89569"
"0.80000","0.01278","0.92375"
"0.90000","0.01443","0.95057"
"1.00000","0.01614","0.97715"
"1.10000","0.01777","1.00231"
"1.20000","0.01937","1.02723"
"1.30000","0.02104","1.05442"
"1.40000","0.02276","1.08033"
"1.50000","0.02439","1.10389"
"1.60000","0.02599","1.12723"
"1.70000","0.02767","1.15232"
"1.80000","0.02943","1.17966"
"1.90000","0.03119","1.20464"
"2.00000","0.03286","1.22742"
"2.10000","0.03448","1.25016"
"2.20000","0.03638","1.28022"
"2.30000","0.03815","1.30457"
"2.40000","0.03970","1.32566"
"2.50000","0.04139","1.34997"
"2.60000","0.04308","1.37428"
"2.70000","0.04470","1.39570"
"2.80000","0.04620","1.41624"
"2.90000","0.04771","1.43690"
"3.00000","0.04931","1.45983"
"3.10000","0.05097","1.48303"
"3.20000","0.05261","1.50634"
"3.30000","0.05422","1.52867"
"3.40000","0.05591","1.55321"
"3.50000","0.05763","1.57752"
"3.60000","0.05933","1.60167"
"3.70000","0.06100","1.62463"
"3.80000","0.06267","1.64735"
"3.90000","0.06433","1.67033"
"4.00000","0.06602","1.69327"
"4.10000","0.06782","1.71982"
"4.20000","0.06961","1.74485"
"4.30000","0.07135","1.76945"
"4.40000","0.07313","1.79546"
"4.50000","0.07484","1.81939"
"4.60000","0.07641","1.84066"
"4.70000","0.07804","1.86448"
"4.80000","0.07965","1.88780"
"4.90000","0.08123","1.90944"
"5.00000","0.08287","1.93375"
"5.10000","0.08459","1.95994"
"5.20000","0.08631","1.98583"
"5.30000","0.08798","2.00949"
"5.40000","0.08955","2.03173"
"5.50000","0.09134","2.06026"
"5.60000","0.09315","2.08783"
"5.70000","0.09479","2.11101"
"5.80000","0.09637","2.13304"
"5.90000","0.09802","2.15681"
"6.00000","0.09967","2.18082"
"6.10000","0.10130","2.20384"
"6.20000","0.10286","2.22540"
"6.30000","0.10442","2.24712"
"6.40000","0.10604","2.26935"
"6.50000","0.10767","2.29223"
"6.60000","0.10928","2.31376"
"6.70000","0.11084","2.33466"
"6.80000","0.11249","2.35711"
"6.90000","0.11419","2.38064"
"7.00000","0.11586","2.40253"
"7.10000","0.11753","2.42349"
"7.20000","0.11915","2.44350"
"7.30000","0.12080","2.46331"
"7.40000","0.12252","2.48503"
"7.50000","0.12422","2.50568"
"7.60000","0.12591","2.52480"
"7.70000","0.12768","2.54640"
"7.80000","0.12941","2.56640"
"7.90000","0.13105","2.58377"
"8.00000","0.13273","2.60230"
"8.10000","0.13443","2.62149"
"8.20000","0.13606","2.63804"
"8.30000","0.13774","2.65670"
"8.40000","0.13955","2.67806"
"8.50000","0.14131","2.69810"
"8.60000","0.14298","2.71545"
"8.70000","0.14453","2.72969"
"8.80000","0.14624","2.74929"
"8.90000","0.14803","2.76934"
"9.00000","0.14980","2.78903"
"9.10000","0.15148","2.80602"
"9.20000","0.15312","2.82218"
"9.30000","0.15473","2.83827"
"9.40000","0.15644","2.85635"
"9.50000","0.15810","2.87350"
"9.60000","0.15975","2.89039"
"9.70000","0.16138","2.90663"
"9.80000","0.16299","2.92218"
"9.90000","0.16471","2.94066"
"10.00000","0.16645","2.95980"
"10.10000","0.16811","2.97584"
"10.20000","0.16975","2.99081"
"10.30000","0.17136","3.00616"
"10.40000","0.17301","3.02314"
"10.50000","0.17467","3.03945"
"10.60000","0.17623","3.05325"
"10.70000","0.17787","3.06915"
"10.80000","0.17961","3.08775"
"10.90000","0.18135","3.10613"
"11.00000","0.18303","3.12148"
"11.10000","0.18471","3.13806"
"11.20000","0.18641","3.15428"
"11.30000","0.18803","3.16876"
"11.40000","0.18969","3.18505"
"11.50000","0.19139","3.20189"
"11.60000","0.19310","3.21962"
"11.70000","0.19479","3.23591"
"11.80000","0.19647","3.25201"
"11.90000","0.19815","3.26777"
"12.00000","0.19986","3.28499"
"12.10000","0.20182","3.30827"
"12.20000","0.20349","3.32258"
"12.30000","0.20505","3.33466"
"12.40000","0.20667","3.34977"
"12.50000","0.20827","3.36396"
"12.60000","0.20985","3.37763"
"12.70000","0.21140","3.39092"
"12.80000","0.21302","3.40654"
"12.90000","0.21472","3.42317"
"13.00000","0.21633","3.43752"
"13.10000","0.21793","3.45085"
"13.20000","0.21948","3.46395"
"13.30000","0.22113","3.48022"
"13.40000","0.22284","3.49745"
"13.50000","0.22457","3.51618"
"13.60000","0.22626","3.53195"
"13.70000","0.22799","3.54928"
"13.80000","0.22972","3.56621"
"13.90000","0.23146","3.58228"
"14.00000","0.23319","3.59896"
"14.10000","0.23491","3.61476"
"14.20000","0.23645","3.62564"
"14.30000","0.23801","3.63761"
"14.40000","0.23972","3.65415"
"14.50000","0.24139","3.66809"
"14.60000","0.24297","3.68034"
"14.70000","0.24448","3.69190"
"14.80000","0.24611","3.70718"
"14.90000","0.24785","3.72462"
"15.00000","0.24958","3.74238"
"15.10000","0.25122","3.75691"
"15.20000","0.25278","3.76973"
"15.30000","0.25447","3.78689"
"15.40000","0.25626","3.80570"
"15.50000","0.25794","3.82152"
"15.60000","0.25965","3.83857"
"15.70000","0.26129","3.85403"
"15.80000","0.26293","3.86874"
"15.90000","0.26458","3.88469"
"16.00000","0.26625","3.90079"
"16.10000","0.26793","3.91705"
