General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{29C8724A-CC46-48EF-988B-36DB36AFD7AF}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1399 P1 W1 4"
Break (Standard) : Load at Break (Standard),"13.18543",N
Maximum Load : Maximum Load,"13.77641",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.95201"
"0.10000","0.00011","0.95271"
"0.20000","0.00083","0.96970"
"0.30000","0.00367","1.03875"
"0.40000","0.00588","1.08584"
"0.50000","0.00769","1.12347"
"0.60000","0.00947","1.15890"
"0.70000","0.01110","1.19058"
"0.80000","0.01266","1.22041"
"0.90000","0.01429","1.25311"
"1.00000","0.01594","1.28478"
"1.10000","0.01762","1.31710"
"1.20000","0.01933","1.34892"
"1.30000","0.02103","1.38028"
"1.40000","0.02270","1.41077"
"1.50000","0.02443","1.44322"
"1.60000","0.02622","1.47514"
"1.70000","0.02788","1.50415"
"1.80000","0.02959","1.53375"
"1.90000","0.03124","1.56143"
"2.00000","0.03301","1.59133"
"2.10000","0.03493","1.62493"
"2.20000","0.03661","1.65125"
"2.30000","0.03825","1.67749"
"2.40000","0.03990","1.70405"
"2.50000","0.04157","1.73103"
"2.60000","0.04309","1.75397"
"2.70000","0.04456","1.77642"
"2.80000","0.04608","1.80045"
"2.90000","0.04770","1.82630"
"3.00000","0.04937","1.85330"
"3.10000","0.05105","1.87870"
"3.20000","0.05276","1.90522"
"3.30000","0.05442","1.92989"
"3.40000","0.05602","1.95407"
"3.50000","0.05779","1.98151"
"3.60000","0.05949","2.00582"
"3.70000","0.06119","2.03061"
"3.80000","0.06297","2.05645"
"3.90000","0.06476","2.08182"
"4.00000","0.06647","2.10513"
"4.10000","0.06813","2.12765"
"4.20000","0.06973","2.14780"
"4.30000","0.07137","2.16945"
"4.40000","0.07305","2.19188"
"4.50000","0.07468","2.21199"
"4.60000","0.07633","2.23304"
"4.70000","0.07786","2.25162"
"4.80000","0.07945","2.27049"
"4.90000","0.08112","2.29216"
"5.00000","0.08280","2.31317"
"5.10000","0.08446","2.33336"
"5.20000","0.08612","2.35362"
"5.30000","0.08783","2.37464"
"5.40000","0.08959","2.39614"
"5.50000","0.09122","2.41441"
"5.60000","0.09290","2.43433"
"5.70000","0.09459","2.45341"
"5.80000","0.09628","2.47242"
"5.90000","0.09798","2.49198"
"6.00000","0.09967","2.50981"
"6.10000","0.10133","2.52753"
"6.20000","0.10297","2.54412"
"6.30000","0.10455","2.55942"
"6.40000","0.10621","2.57738"
"6.50000","0.10791","2.59546"
"6.60000","0.10951","2.61091"
"6.70000","0.11110","2.62600"
"6.80000","0.11284","2.64455"
"6.90000","0.11464","2.66435"
"7.00000","0.11640","2.68251"
"7.10000","0.11805","2.69730"
"7.20000","0.11967","2.71107"
"7.30000","0.12130","2.72608"
"7.40000","0.12300","2.74222"
"7.50000","0.12467","2.75832"
"7.60000","0.12626","2.77223"
"7.70000","0.12783","2.78587"
"7.80000","0.12949","2.80112"
"7.90000","0.13121","2.81863"
