General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{93D5226B-E1BF-418B-877A-F367F2295A21}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1399 P3 W2 3"
Break (Standard) : Load at Break (Standard),"15.33800",N
Maximum Load : Maximum Load,"15.99776",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.58852"
"0.10000","0.00011","0.58865"
"0.20000","0.00042","0.59183"
"0.30000","0.00285","0.63227"
"0.40000","0.00574","0.67601"
"0.50000","0.00762","0.70117"
"0.60000","0.00927","0.72153"
"0.70000","0.01095","0.74244"
"0.80000","0.01263","0.76357"
"0.90000","0.01435","0.78370"
"1.00000","0.01591","0.80295"
"1.10000","0.01758","0.82268"
"1.20000","0.01927","0.84246"
"1.30000","0.02103","0.86277"
"1.40000","0.02271","0.88148"
"1.50000","0.02448","0.90225"
"1.60000","0.02632","0.92410"
"1.70000","0.02815","0.94443"
"1.80000","0.02987","0.96397"
"1.90000","0.03158","0.98364"
"2.00000","0.03323","1.00045"
"2.10000","0.03486","1.01850"
"2.20000","0.03655","1.03717"
"2.30000","0.03825","1.05532"
"2.40000","0.03979","1.07123"
"2.50000","0.04140","1.08899"
"2.60000","0.04307","1.10786"
"2.70000","0.04466","1.12587"
"2.80000","0.04623","1.14282"
"2.90000","0.04785","1.16085"
"3.00000","0.04952","1.17974"
"3.10000","0.05118","1.19773"
"3.20000","0.05279","1.21498"
"3.30000","0.05433","1.23155"
"3.40000","0.05607","1.25072"
"3.50000","0.05784","1.26963"
"3.60000","0.05956","1.28787"
"3.70000","0.06125","1.30551"
"3.80000","0.06290","1.32241"
"3.90000","0.06455","1.33847"
"4.00000","0.06620","1.35576"
"4.10000","0.06788","1.37231"
"4.20000","0.06953","1.38884"
"4.30000","0.07121","1.40619"
"4.40000","0.07285","1.31886"
"4.50000","0.07454","1.34894"
"4.60000","0.07617","1.37207"
"4.70000","0.07773","1.39135"
"4.80000","0.07961","1.41650"
"4.90000","0.08147","1.43892"
"5.00000","0.08312","1.45821"
"5.10000","0.08478","1.47720"
"5.20000","0.08645","1.49558"
"5.30000","0.08809","1.51371"
"5.40000","0.08977","1.53208"
"5.50000","0.09143","1.54912"
"5.60000","0.09306","1.56599"
"5.70000","0.09476","1.58319"
"5.80000","0.09641","1.59914"
"5.90000","0.09802","1.61484"
"6.00000","0.09968","1.63088"
"6.10000","0.10137","1.64775"
"6.20000","0.10310","1.66491"
"6.30000","0.10477","1.68089"
"6.40000","0.10639","1.69621"
"6.50000","0.10801","1.71169"
"6.60000","0.10955","1.72577"
"6.70000","0.11123","1.74316"
"6.80000","0.11301","1.76244"
"6.90000","0.11471","1.77902"
"7.00000","0.11636","1.79463"
"7.10000","0.11803","1.81135"
"7.20000","0.11969","1.82837"
"7.30000","0.12127","1.84359"
"7.40000","0.12287","1.85960"
"7.50000","0.12451","1.87660"
"7.60000","0.12616","1.89339"
"7.70000","0.12785","1.91052"
"7.80000","0.12955","1.92684"
"7.90000","0.13108","1.94032"
"8.00000","0.13273","1.95698"
"8.10000","0.13465","1.97733"
"8.20000","0.13644","1.99479"
"8.30000","0.13806","2.00917"
"8.40000","0.13975","2.02598"
"8.50000","0.14143","2.04232"
"8.60000","0.14295","2.05632"
"8.70000","0.14450","2.07157"
"8.80000","0.14611","2.08794"
"8.90000","0.14772","2.10386"
"9.00000","0.14933","2.12038"
"9.10000","0.15098","2.13703"
"9.20000","0.15271","2.15498"
"9.30000","0.15446","2.17290"
"9.40000","0.15619","2.19084"
"9.50000","0.15793","2.20826"
"9.60000","0.15958","2.22455"
"9.70000","0.16135","2.24379"
"9.80000","0.16309","2.26189"
"9.90000","0.16493","2.28226"
"10.00000","0.16678","2.30217"
"10.10000","0.16842","2.31741"
"10.20000","0.17002","2.33383"
"10.30000","0.17160","2.35183"
"10.40000","0.17318","2.36894"
"10.50000","0.17468","2.38598"
"10.60000","0.17628","2.40569"
"10.70000","0.17786","2.42446"
"10.80000","0.17949","2.44496"
"10.90000","0.18118","2.46728"
"11.00000","0.18288","2.48904"
"11.10000","0.18453","2.50885"
"11.20000","0.18611","2.52738"
"11.30000","0.18786","2.54941"
"11.40000","0.18966","2.57212"
"11.50000","0.19135","2.59350"
"11.60000","0.19304","2.61336"
"11.70000","0.19477","2.63489"
"11.80000","0.19651","2.65671"
"11.90000","0.19823","2.67717"
"12.00000","0.19984","2.69567"
"12.10000","0.20138","2.71336"
"12.20000","0.20303","2.73350"
"12.30000","0.20470","2.75418"
"12.40000","0.20633","2.77309"
"12.50000","0.20790","2.79077"
"12.60000","0.20943","2.80800"
"12.70000","0.21113","2.82848"
"12.80000","0.21284","2.84924"
"12.90000","0.21455","2.86961"
"13.00000","0.21621","2.88822"
"13.10000","0.21784","2.90764"
"13.20000","0.21964","2.92988"
"13.30000","0.22140","2.95141"
"13.40000","0.22303","2.96853"
"13.50000","0.22464","2.98697"
"13.60000","0.22625","3.00480"
"13.70000","0.22786","3.02243"
"13.80000","0.22951","3.04130"
"13.90000","0.23121","3.06113"
"14.00000","0.23289","3.07982"
"14.10000","0.23457","3.09809"
"14.20000","0.23620","3.11599"
"14.30000","0.23788","3.13572"
"14.40000","0.23963","3.15527"
"14.50000","0.24124","3.17172"
"14.60000","0.24288","3.18993"
"14.70000","0.24467","3.21148"
"14.80000","0.24640","3.23066"
"14.90000","0.24807","3.24827"
"15.00000","0.24975","3.26586"
"15.10000","0.25143","3.28400"
"15.20000","0.25308","3.30049"
"15.30000","0.25478","3.31924"
"15.40000","0.25649","3.33720"
"15.50000","0.25812","3.35162"
"15.60000","0.25971","3.36525"
"15.70000","0.26136","3.38103"
"15.80000","0.26305","3.39899"
"15.90000","0.26472","3.41659"
"16.00000","0.26636","3.43333"
"16.10000","0.26798","3.44867"
"16.20000","0.26957","3.46372"
"16.30000","0.27124","3.48227"
"16.40000","0.27288","3.49921"
"16.50000","0.27459","3.51930"
"16.60000","0.27638","3.54044"
"16.70000","0.27813","3.56047"
"16.80000","0.27976","3.57761"
"16.90000","0.28147","3.59719"
"17.00000","0.28312","3.61476"
"17.10000","0.28470","3.63059"
"17.20000","0.28634","3.64945"
"17.30000","0.28804","3.66867"
"17.40000","0.28973","3.68857"
"17.50000","0.29146","3.70844"
"17.60000","0.29319","3.72868"
"17.70000","0.29491","3.74857"
"17.80000","0.29651","3.76481"
"17.90000","0.29827","3.78613"
"18.00000","0.30005","3.80653"
"18.10000","0.30161","3.82089"
"18.20000","0.30319","3.83675"
"18.30000","0.30476","3.85205"
"18.40000","0.30638","3.86971"
"18.50000","0.30797","3.88599"
"18.60000","0.30954","3.90251"
"18.70000","0.31122","3.92214"
"18.80000","0.31290","3.94096"
"18.90000","0.31453","3.95848"
