General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{AFAFF448-279F-4705-9469-FFED2270BAEA}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1402 P1 W1 1"
Break (Standard) : Load at Break (Standard),"10.44629",N
Maximum Load : Maximum Load,"13.74488",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.46622"
"0.10000","0.00008","0.46779"
"0.20000","0.00046","0.47678"
"0.30000","0.00325","0.55513"
"0.40000","0.00620","0.63172"
"0.50000","0.00792","0.67132"
"0.60000","0.00947","0.69627"
"0.70000","0.01112","0.73338"
"0.80000","0.01278","0.77009"
"0.90000","0.01455","0.80726"
"1.00000","0.01618","0.84168"
"1.10000","0.01778","0.87546"
"1.20000","0.01953","0.91233"
"1.30000","0.02125","0.94741"
"1.40000","0.02289","0.98038"
"1.50000","0.02457","1.01495"
"1.60000","0.02623","1.04770"
"1.70000","0.02791","1.08134"
"1.80000","0.02961","1.11527"
"1.90000","0.03128","1.14659"
"2.00000","0.03287","1.17747"
"2.10000","0.03452","1.20932"
"2.20000","0.03617","1.24004"
"2.30000","0.03781","1.27111"
"2.40000","0.03950","1.30302"
"2.50000","0.04117","1.33404"
"2.60000","0.04280","1.36415"
"2.70000","0.04445","1.39462"
"2.80000","0.04610","1.42533"
"2.90000","0.04783","1.45744"
"3.00000","0.04959","1.48997"
"3.10000","0.05125","1.52002"
"3.20000","0.05291","1.54955"
"3.30000","0.05457","1.57851"
"3.40000","0.05623","1.60749"
"3.50000","0.05789","1.63636"
"3.60000","0.05957","1.66528"
"3.70000","0.06122","1.69318"
"3.80000","0.06287","1.72004"
"3.90000","0.06451","1.74621"
"4.00000","0.06619","1.77329"
"4.10000","0.06791","1.80069"
"4.20000","0.06960","1.82764"
"4.30000","0.07133","1.85443"
"4.40000","0.07299","1.88062"
"4.50000","0.07473","1.90760"
"4.60000","0.07641","1.93353"
"4.70000","0.07803","1.95825"
"4.80000","0.07968","1.98366"
"4.90000","0.08134","2.00947"
"5.00000","0.08303","2.03568"
"5.10000","0.08464","2.06007"
"5.20000","0.08628","2.08647"
"5.30000","0.08791","2.11172"
"5.40000","0.08956","2.13810"
"5.50000","0.09125","2.16548"
"5.60000","0.09295","2.19206"
"5.70000","0.09459","2.21703"
"5.80000","0.09616","2.24018"
"5.90000","0.09781","2.26606"
"6.00000","0.09954","2.29383"
"6.10000","0.10109","2.31591"
"6.20000","0.10296","2.34875"
"6.30000","0.10481","2.37771"
"6.40000","0.10647","2.40232"
"6.50000","0.10808","2.42687"
"6.60000","0.10975","2.45281"
"6.70000","0.11138","2.47707"
"6.80000","0.11296","2.50033"
"6.90000","0.11456","2.52446"
"7.00000","0.11616","2.54845"
"7.10000","0.11780","2.57334"
"7.20000","0.11948","2.59887"
"7.30000","0.12118","2.62392"
"7.40000","0.12288","2.64853"
"7.50000","0.12462","2.67496"
"7.60000","0.12629","2.69832"
"7.70000","0.12801","2.72323"
"7.80000","0.12992","2.75289"
"7.90000","0.13159","2.77460"
"8.00000","0.13326","2.79838"
"8.10000","0.13495","2.82259"
"8.20000","0.13659","2.84489"
"8.30000","0.13826","2.86880"
"8.40000","0.13985","2.88982"
"8.50000","0.14144","2.91243"
"8.60000","0.14304","2.93505"
"8.70000","0.14466","2.95820"
"8.80000","0.14628","2.98119"
"8.90000","0.14790","3.00460"
"9.00000","0.14953","3.02821"
"9.10000","0.15125","3.05484"
"9.20000","0.15291","3.07956"
"9.30000","0.15456","3.10325"
"9.40000","0.15618","3.12617"
"9.50000","0.15789","3.15167"
"9.60000","0.15968","3.17908"
"9.70000","0.16142","3.20342"
"9.80000","0.16303","3.22413"
"9.90000","0.16464","3.24491"
"10.00000","0.16626","3.26642"
"10.10000","0.16782","3.28586"
"10.20000","0.16944","3.30716"
"10.30000","0.17109","3.32935"
"10.40000","0.17276","3.35131"
"10.50000","0.17445","3.37324"
"10.60000","0.17615","3.39584"
"10.70000","0.17777","3.41636"
"10.80000","0.17940","3.43826"
"10.90000","0.18102","3.46017"
"11.00000","0.18282","3.48748"
"11.10000","0.18460","3.51257"
"11.20000","0.18625","3.53400"
"11.30000","0.18786","3.55490"
"11.40000","0.18960","3.57923"
"11.50000","0.19129","3.60188"
"11.60000","0.19297","3.62393"
"11.70000","0.19464","3.64589"
"11.80000","0.19622","3.66530"
"11.90000","0.19781","3.68438"
"12.00000","0.19947","3.70695"
"12.10000","0.20111","3.72891"
"12.20000","0.20279","3.75135"
"12.30000","0.20453","3.77488"
"12.40000","0.20624","3.79681"
"12.50000","0.20793","3.81809"
"12.60000","0.20969","3.84266"
"12.70000","0.21136","3.86387"
"12.80000","0.21311","3.88826"
"12.90000","0.21487","3.91252"
"13.00000","0.21658","3.93464"
"13.10000","0.21824","3.95551"
"13.20000","0.21991","3.97814"
"13.30000","0.22154","3.99938"
"13.40000","0.22313","4.01923"
"13.50000","0.22473","4.03984"
"13.60000","0.22636","4.06048"
"13.70000","0.22798","4.08158"
"13.80000","0.22961","4.10226"
"13.90000","0.23126","4.12318"
"14.00000","0.23293","4.14501"
"14.10000","0.23456","4.16536"
"14.20000","0.23622","4.18656"
"14.30000","0.23808","4.21357"
"14.40000","0.23980","4.23465"
"14.50000","0.24143","4.25370"
"14.60000","0.24309","4.27493"
"14.70000","0.24476","4.29573"
"14.80000","0.24639","4.31616"
"14.90000","0.24803","4.33702"
"15.00000","0.24964","4.35655"
"15.10000","0.25126","4.37765"
"15.20000","0.25290","4.39869"
"15.30000","0.25452","4.41884"
"15.40000","0.25619","4.43994"
"15.50000","0.25789","4.46254"
"15.60000","0.25954","4.48266"
"15.70000","0.26119","4.50240"
"15.80000","0.26282","4.52135"
"15.90000","0.26441","4.54026"
"16.00000","0.26605","4.55961"
"16.10000","0.26795","4.58706"
"16.20000","0.26983","4.61163"
"16.30000","0.27160","4.63142"
"16.40000","0.27326","4.64874"
"16.50000","0.27489","4.66593"
"16.60000","0.27648","4.68225"
"16.70000","0.27813","4.70055"
"16.80000","0.27976","4.71777"
"16.90000","0.28133","4.73375"
"17.00000","0.28293","4.75159"
"17.10000","0.28453","4.76926"
"17.20000","0.28624","4.79014"
"17.30000","0.28786","4.80792"
"17.40000","0.28942","4.82414"
"17.50000","0.29112","4.84522"
"17.60000","0.29296","4.86970"
"17.70000","0.29472","4.88974"
"17.80000","0.29640","4.90743"
"17.90000","0.29803","4.92460"
"18.00000","0.29967","4.94287"
"18.10000","0.30130","4.96112"
"18.20000","0.30285","4.97618"
"18.30000","0.30448","4.99392"
"18.40000","0.30607","5.01069"
"18.50000","0.30767","5.02795"
"18.60000","0.30938","5.04801"
"18.70000","0.31109","5.06800"
"18.80000","0.31281","5.08788"
"18.90000","0.31445","5.10612"
"19.00000","0.31614","5.12616"
"19.10000","0.31776","5.14419"
"19.20000","0.31946","5.16473"
"19.30000","0.32107","5.18283"
"19.40000","0.32287","5.20750"
"19.50000","0.32472","5.23218"
"19.60000","0.32652","5.25349"
"19.70000","0.32824","5.27408"
"19.80000","0.32987","5.29082"
"19.90000","0.33159","5.31144"
"20.00000","0.33325","5.33008"
"20.10000","0.33486","5.34781"
"20.20000","0.33656","5.37027"
"20.30000","0.33828","5.39014"
"20.40000","0.33988","5.40552"
"20.50000","0.34160","5.42616"
"20.60000","0.34328","5.44549"
"20.70000","0.34487","5.46206"
"20.80000","0.34664","5.48490"
"20.90000","0.34841","5.51005"
"21.00000","0.35014","5.52895"
"21.10000","0.35167","5.54320"
"21.20000","0.35337","5.56518"
"21.30000","0.35507","5.58625"
"21.40000","0.35664","5.60242"
"21.50000","0.35830","5.62414"
"21.60000","0.35998","5.64370"
"21.70000","0.36152","5.65933"
"21.80000","0.36314","5.67839"
"21.90000","0.36477","5.69668"
"22.00000","0.36643","5.71575"
"22.10000","0.36815","5.73902"
"22.20000","0.36983","5.75650"
"22.30000","0.37143","5.77296"
"22.40000","0.37310","5.79211"
"22.50000","0.37471","5.80931"
"22.60000","0.37640","5.82897"
"22.70000","0.37808","5.84784"
"22.80000","0.37977","5.86874"
"22.90000","0.38134","5.88283"
"23.00000","0.38279","5.89482"
"23.10000","0.38432","5.91011"
"23.20000","0.38588","5.92661"
"23.30000","0.38746","5.94367"
"23.40000","0.38907","5.96074"
"23.50000","0.39072","5.97867"
"23.60000","0.39244","5.99873"
"23.70000","0.39412","6.01667"
"23.80000","0.39591","6.03763"
"23.90000","0.39771","6.05854"
"24.00000","0.39934","6.07192"
"24.10000","0.40118","6.09397"
"24.20000","0.40292","6.11090"
"24.30000","0.40451","6.12357"
"24.40000","0.40618","6.13965"
"24.50000","0.40788","6.15700"
"24.60000","0.40955","6.17239"
"24.70000","0.41122","6.18907"
"24.80000","0.41284","6.20342"
"24.90000","0.41443","6.21768"
"25.00000","0.41617","6.23692"
"25.10000","0.41779","6.25052"
"25.20000","0.41942","6.26555"
"25.30000","0.42119","6.28502"
"25.40000","0.42287","6.30045"
"25.50000","0.42454","6.31656"
"25.60000","0.42621","6.33237"
"25.70000","0.42795","6.35065"
"25.80000","0.42960","6.36527"
"25.90000","0.43129","6.38168"
"26.00000","0.43311","6.40228"
"26.10000","0.43477","6.41669"
"26.20000","0.43635","6.42938"
"26.30000","0.43797","6.44388"
"26.40000","0.43959","6.45752"
"26.50000","0.44117","6.47078"
"26.60000","0.44283","6.48595"
"26.70000","0.44444","6.50036"
"26.80000","0.44606","6.51502"
"26.90000","0.44772","6.53094"
"27.00000","0.44939","6.54689"
"27.10000","0.45109","6.56306"
"27.20000","0.45269","6.57582"
"27.30000","0.45430","6.58958"
"27.40000","0.45616","6.61135"
"27.50000","0.45793","6.62815"
"27.60000","0.45954","6.64042"
"27.70000","0.46125","6.65546"
"27.80000","0.46289","6.66848"
