General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{FB1902CD-D12D-458E-A7C4-C8152800B498}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1402 P7 W1 3"
Break (Standard) : Load at Break (Standard),"11.71028",N
Maximum Load : Maximum Load,"13.95766",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.62652"
"0.10000","0.00016","0.62966"
"0.20000","0.00114","0.65159"
"0.30000","0.00281","0.68589"
"0.40000","0.00492","0.72757"
"0.50000","0.00702","0.76710"
"0.60000","0.00898","0.80157"
"0.70000","0.01076","0.83212"
"0.80000","0.01240","0.85906"
"0.90000","0.01402","0.88704"
"1.00000","0.01568","0.91584"
"1.10000","0.01725","0.94156"
"1.20000","0.01895","0.97011"
"1.30000","0.02066","0.99836"
"1.40000","0.02247","1.02777"
"1.50000","0.02415","1.05469"
"1.60000","0.02592","1.08361"
"1.70000","0.02772","1.11348"
"1.80000","0.02950","1.14229"
"1.90000","0.03126","1.16458"
"2.00000","0.03278","1.18898"
"2.10000","0.03449","1.21727"
"2.20000","0.03621","1.24496"
"2.30000","0.03785","1.27071"
"2.40000","0.03962","1.29982"
"2.50000","0.04131","1.32602"
"2.60000","0.04304","1.35407"
"2.70000","0.04477","1.38112"
"2.80000","0.04646","1.40706"
"2.90000","0.04809","1.43217"
"3.00000","0.04982","1.45942"
"3.10000","0.05154","1.48513"
"3.20000","0.05318","1.50890"
"3.30000","0.05483","1.53398"
"3.40000","0.05645","1.55742"
"3.50000","0.05805","1.58173"
"3.60000","0.05972","1.60798"
"3.70000","0.06135","1.63357"
"3.80000","0.06297","1.65746"
"3.90000","0.06463","1.68254"
"4.00000","0.06630","1.70863"
"4.10000","0.06804","1.73632"
"4.20000","0.06977","1.76408"
"4.30000","0.07144","1.78862"
"4.40000","0.07310","1.81288"
"4.50000","0.07489","1.84073"
"4.60000","0.07654","1.86478"
"4.70000","0.07818","1.88901"
"4.80000","0.07985","1.91339"
"4.90000","0.08153","1.93453"
"5.00000","0.08307","1.95208"
"5.10000","0.08462","1.97463"
"5.20000","0.08627","2.00017"
"5.30000","0.08782","2.02250"
"5.40000","0.08942","2.04634"
"5.50000","0.09106","2.07031"
"5.60000","0.09270","2.09404"
"5.70000","0.09436","2.11901"
"5.80000","0.09602","2.14336"
"5.90000","0.09772","2.16957"
"6.00000","0.09945","2.19552"
"6.10000","0.10111","2.21896"
"6.20000","0.10284","2.24555"
"6.30000","0.10471","2.27461"
"6.40000","0.10645","2.30112"
"6.50000","0.10816","2.32483"
"6.60000","0.10983","2.34858"
"6.70000","0.11144","2.37056"
"6.80000","0.11308","2.39370"
"6.90000","0.11470","2.41672"
"7.00000","0.11632","2.44046"
"7.10000","0.11790","2.46261"
"7.20000","0.11943","2.48389"
"7.30000","0.12102","2.50732"
"7.40000","0.12268","2.53191"
"7.50000","0.12438","2.55796"
"7.60000","0.12602","2.58150"
"7.70000","0.12774","2.60795"
"7.80000","0.12959","2.63679"
"7.90000","0.13127","2.66084"
"8.00000","0.13289","2.68307"
"8.10000","0.13459","2.70889"
"8.20000","0.13637","2.73711"
"8.30000","0.13808","2.76249"
"8.40000","0.13973","2.78664"
"8.50000","0.14139","2.81198"
"8.60000","0.14306","2.83748"
"8.70000","0.14474","2.86323"
"8.80000","0.14638","2.88880"
"8.90000","0.14805","2.91566"
"9.00000","0.14970","2.94293"
"9.10000","0.15136","2.97040"
"9.20000","0.15301","2.99937"
"9.30000","0.15466","3.02855"
"9.40000","0.15628","3.05709"
"9.50000","0.15781","3.08395"
"9.60000","0.15972","3.12430"
"9.70000","0.16158","3.16045"
"9.80000","0.16324","3.19035"
"9.90000","0.16486","3.21993"
"10.00000","0.16646","3.24971"
"10.10000","0.16807","3.28051"
"10.20000","0.16968","3.31101"
"10.30000","0.17136","3.34424"
"10.40000","0.17291","3.37326"
"10.50000","0.17452","3.40482"
"10.60000","0.17623","3.43954"
"10.70000","0.17790","3.47250"
"10.80000","0.17952","3.50392"
"10.90000","0.18116","3.53646"
"11.00000","0.18306","3.57818"
"11.10000","0.18490","3.61627"
"11.20000","0.18649","3.64615"
"11.30000","0.18817","3.68086"
"11.40000","0.18991","3.71726"
"11.50000","0.19160","3.75201"
"11.60000","0.19324","3.78502"
"11.70000","0.19494","3.82166"
"11.80000","0.19666","3.85839"
"11.90000","0.19836","3.89379"
"12.00000","0.19996","3.92633"
"12.10000","0.20158","3.96054"
"12.20000","0.20333","3.99916"
"12.30000","0.20502","4.03483"
"12.40000","0.20666","4.06862"
"12.50000","0.20833","4.10422"
"12.60000","0.20996","4.13935"
"12.70000","0.21159","4.17407"
"12.80000","0.21326","4.21157"
"12.90000","0.21503","4.25321"
"13.00000","0.21670","4.28960"
"13.10000","0.21823","4.32100"
"13.20000","0.21985","4.35782"
"13.30000","0.22152","4.39526"
"13.40000","0.22312","4.43047"
"13.50000","0.22466","4.46286"
"13.60000","0.22631","4.50106"
"13.70000","0.22790","4.53618"
"13.80000","0.22949","4.57092"
"13.90000","0.23115","4.60842"
"14.00000","0.23277","4.64219"
"14.10000","0.23439","4.67696"
"14.20000","0.23602","4.71289"
"14.30000","0.23784","4.75697"
"14.40000","0.23960","4.79588"
"14.50000","0.24121","4.82880"
"14.60000","0.24283","4.86274"
"14.70000","0.24454","4.90040"
"14.80000","0.24614","4.93150"
"14.90000","0.24761","4.95873"
"15.00000","0.24916","4.99112"
"15.10000","0.25081","5.02719"
"15.20000","0.25255","5.06554"
"15.30000","0.25421","5.09980"
"15.40000","0.25588","5.13504"
"15.50000","0.25763","5.17165"
"15.60000","0.25931","5.20513"
"15.70000","0.26101","5.24076"
"15.80000","0.26269","5.27440"
"15.90000","0.26439","5.30951"
"16.00000","0.26603","5.34042"
"16.10000","0.26781","5.37822"
"16.20000","0.26958","5.41497"
"16.30000","0.27124","5.44674"
"16.40000","0.27290","5.47950"
"16.50000","0.27467","5.51581"
"16.60000","0.27645","5.55202"
"16.70000","0.27809","5.58110"
"16.80000","0.27968","5.61042"
"16.90000","0.28133","5.64164"
"17.00000","0.28301","5.67463"
"17.10000","0.28472","5.70811"
"17.20000","0.28639","5.73953"
"17.30000","0.28803","5.77003"
"17.40000","0.28957","5.79603"
"17.50000","0.29128","5.82913"
"17.60000","0.29301","5.86109"
"17.70000","0.29468","5.89017"
"17.80000","0.29638","5.91996"
"17.90000","0.29802","5.94796"
"18.00000","0.29963","5.97303"
"18.10000","0.30121","5.99821"
"18.20000","0.30285","6.02624"
"18.30000","0.30449","6.05374"
"18.40000","0.30611","6.08104"
"18.50000","0.30778","6.11046"
"18.60000","0.30945","6.13850"
"18.70000","0.31110","6.16520"
"18.80000","0.31270","6.19038"
"18.90000","0.31433","6.21668"
"19.00000","0.31599","6.24423"
"19.10000","0.31763","6.26998"
"19.20000","0.31927","6.29487"
"19.30000","0.32091","6.31954"
"19.40000","0.32276","6.35145"
"19.50000","0.32463","6.38342"
"19.60000","0.32644","6.41161"
"19.70000","0.32822","6.43826"
"19.80000","0.32982","6.45734"
"19.90000","0.33149","6.48098"
"20.00000","0.33317","6.50475"
"20.10000","0.33486","6.52910"
"20.20000","0.33655","6.55446"
"20.30000","0.33820","6.57844"
"20.40000","0.33985","6.60248"
"20.50000","0.34150","6.62683"
"20.60000","0.34315","6.65039"
"20.70000","0.34466","6.66777"
"20.80000","0.34631","6.69309"
"20.90000","0.34809","6.72149"
"21.00000","0.34968","6.74198"
"21.10000","0.35127","6.76277"
"21.20000","0.35287","6.78374"
"21.30000","0.35454","6.80863"
"21.40000","0.35618","6.83077"
"21.50000","0.35773","6.84920"
"21.60000","0.35928","6.86886"
"21.70000","0.36089","6.89086"
"21.80000","0.36250","6.91272"
"21.90000","0.36416","6.93663"
"22.00000","0.36590","6.96401"
"22.10000","0.36770","6.99258"
"22.20000","0.36940","7.01565"
"22.30000","0.37106","7.03654"
"22.40000","0.37277","7.06080"
"22.50000","0.37453","7.08675"
"22.60000","0.37621","7.10829"
"22.70000","0.37790","7.13208"
"22.80000","0.37962","7.15582"
"22.90000","0.38132","7.17895"
"23.00000","0.38296","7.19899"
"23.10000","0.38450","7.21546"
"23.20000","0.38615","7.23833"
"23.30000","0.38784","7.26256"
"23.40000","0.38951","7.28566"
"23.50000","0.39122","7.31011"
"23.60000","0.39293","7.33360"
"23.70000","0.39464","7.35752"
"23.80000","0.39644","7.38429"
"23.90000","0.39808","7.40297"
"24.00000","0.39967","7.42048"
"24.10000","0.40144","7.44703"
"24.20000","0.40322","7.47210"
"24.30000","0.40486","7.49066"
"24.40000","0.40653","7.51217"
"24.50000","0.40829","7.53760"
"24.60000","0.40992","7.55605"
"24.70000","0.41156","7.57620"
"24.80000","0.41324","7.59850"
"24.90000","0.41483","7.61754"
"25.00000","0.41645","7.63956"
"25.10000","0.41821","7.66678"
"25.20000","0.41988","7.68931"
"25.30000","0.42148","7.70832"
"25.40000","0.42315","7.73116"
"25.50000","0.42481","7.75366"
"25.60000","0.42648","7.77613"
"25.70000","0.42819","7.79985"
"25.80000","0.42989","7.82239"
"25.90000","0.43163","7.84638"
"26.00000","0.43343","7.87233"
"26.10000","0.43516","7.89398"
"26.20000","0.43678","7.91129"
"26.30000","0.43829","7.92535"
"26.40000","0.43986","7.94338"
"26.50000","0.44149","7.96345"
"26.60000","0.44308","7.98208"
"26.70000","0.44477","8.00465"
"26.80000","0.44638","8.02364"
"26.90000","0.44801","8.04411"
"27.00000","0.44976","8.07052"
