General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{3EEDD06B-75B4-40EB-ADE8-5E2EBB22A5B2}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D_15_1_WR2 
1_S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.25012"
"0.10000","0.00006","0.25121"
"0.20000","0.00040","0.25589"
"0.30000","0.00118","0.26880"
"0.39600","0.00267","0.29387"
"0.45700","0.00410","0.31889"
"0.51200","0.00567","0.34390"
"0.55900","0.00717","0.36929"
"0.61200","0.00882","0.39451"
"0.67600","0.01044","0.41961"
"0.76900","0.01226","0.44478"
"0.86900","0.01392","0.46768"
"0.96800","0.01564","0.49283"
"1.06800","0.01743","0.51737"
"1.16800","0.01903","0.53872"
"1.26800","0.02059","0.55939"
"1.36800","0.02224","0.58119"
"1.46800","0.02394","0.60319"
"1.56800","0.02561","0.62426"
"1.66800","0.02731","0.64553"
"1.76800","0.02901","0.66539"
"1.86800","0.03068","0.68459"
"1.96800","0.03234","0.70318"
"2.06800","0.03401","0.72229"
"2.16800","0.03581","0.74228"
"2.26800","0.03754","0.76189"
"2.36800","0.03916","0.77845"
"2.46800","0.04084","0.79732"
"2.56800","0.04250","0.81465"
"2.66800","0.04415","0.83114"
"2.76800","0.04579","0.84810"
"2.86800","0.04742","0.86534"
"2.96800","0.04903","0.88198"
"3.06800","0.05067","0.89925"
"3.16800","0.05231","0.91616"
"3.26800","0.05401","0.93452"
"3.36800","0.05572","0.95190"
"3.46800","0.05730","0.96741"
"3.56800","0.05910","0.98771"
"3.66800","0.06094","1.00736"
"3.76800","0.06256","1.02333"
"3.86800","0.06420","1.03974"
"3.96800","0.06595","1.05981"
"4.06800","0.06758","1.07694"
"4.16800","0.06916","1.09343"
"4.26800","0.07077","1.11059"
"4.36800","0.07236","1.12831"
"4.46800","0.07397","1.14604"
"4.56800","0.07564","1.16462"
"4.66800","0.07732","1.18410"
"4.76800","0.07897","1.20303"
"4.86800","0.08064","1.22252"
"4.96800","0.08234","1.24194"
"5.06800","0.08409","1.26381"
"5.16800","0.08574","1.28150"
"5.26800","0.08732","1.29754"
"5.36800","0.08916","1.32010"
"5.46800","0.09091","1.34013"
"5.56800","0.09263","1.36019"
"5.66800","0.09429","1.37948"
"5.76800","0.09589","1.39719"
"5.86800","0.09757","1.41701"
"5.96800","0.09923","1.43583"
"6.06800","0.10082","1.45316"
"6.16800","0.10239","1.47104"
"6.26800","0.10396","1.48816"
"6.36800","0.10559","1.50823"
"6.46800","0.10728","1.52932"
"6.56800","0.10900","1.55203"
"6.66800","0.11065","1.57102"
"6.76800","0.11228","1.58936"
"6.86800","0.11404","1.61161"
"6.96800","0.11578","1.63223"
"7.06800","0.11757","1.65377"
"7.16800","0.11923","1.67153"
"7.26800","0.12085","1.68863"
"7.36800","0.12256","1.70929"
"7.46800","0.12423","1.72815"
"7.56800","0.12585","1.74541"
"7.66800","0.12746","1.76201"
"7.76800","0.12910","1.78062"
"7.86800","0.13076","1.79874"
"7.96800","0.13240","1.81576"
"8.06800","0.13402","1.83398"
"8.16800","0.13563","1.85211"
"8.26800","0.13729","1.87183"
"8.36800","0.13894","1.89056"
"8.46800","0.14056","1.90986"
"8.56800","0.14231","1.93050"
"8.66800","0.14406","1.95070"
"8.76800","0.14583","1.97158"
"8.86800","0.14753","1.98965"
"8.96800","0.14919","2.00791"
"9.06800","0.15087","2.02696"
"9.16800","0.15254","2.04529"
"9.26800","0.15419","2.06342"
"9.36800","0.15584","2.08082"
"9.46800","0.15746","2.09769"
"9.56800","0.15906","2.11318"
"9.66800","0.16073","2.13138"
"9.76800","0.16238","2.14912"
"9.86800","0.16404","2.16722"
"9.96800","0.16576","2.18638"
"10.06800","0.16747","2.20583"
"10.16800","0.16915","2.22436"
"10.26800","0.17075","2.24088"
"10.36800","0.17238","2.25800"
"10.46800","0.17402","2.27520"
"10.56800","0.17570","2.29527"
"10.66800","0.17739","2.31388"
"10.76800","0.17901","2.33122"
"10.86800","0.18065","2.34875"
"10.96800","0.18233","2.36897"
"11.06800","0.18402","2.38723"
"11.16800","0.18567","2.40694"
"11.26800","0.18740","2.42656"
"11.36800","0.18903","2.44240"
"11.46800","0.19070","2.45982"
"11.56800","0.19238","2.47754"
"11.66800","0.19407","2.49620"
