General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{B60F045B-43AA-4A1D-AA73-41A822EE96F9}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,""

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.23542"
"0.10000","0.00011","0.23694"
"0.20000","0.00083","0.25705"
"0.24400","0.00163","0.28227"
"0.28100","0.00243","0.30733"
"0.31600","0.00327","0.33234"
"0.35000","0.00412","0.35788"
"0.38300","0.00494","0.38308"
"0.41800","0.00580","0.40849"
"0.45600","0.00668","0.43377"
"0.49900","0.00758","0.45892"
"0.54700","0.00848","0.48412"
"0.60000","0.00941","0.50915"
"0.65600","0.01034","0.53441"
"0.71400","0.01131","0.55975"
"0.77000","0.01224","0.58485"
"0.82700","0.01318","0.60987"
"0.88800","0.01416","0.63506"
"0.94400","0.01510","0.66026"
"0.99700","0.01602","0.68552"
"1.05300","0.01697","0.71082"
"1.11100","0.01796","0.73590"
"1.16400","0.01886","0.76093"
"1.22200","0.01985","0.78624"
"1.27800","0.02080","0.81153"
"1.34200","0.02184","0.83665"
"1.40700","0.02282","0.86188"
"1.46800","0.02384","0.88711"
"1.52500","0.02484","0.91248"
"1.58300","0.02586","0.93789"
"1.63700","0.02683","0.96314"
"1.69400","0.02787","0.98850"
"1.75100","0.02887","1.01356"
"1.81000","0.02991","1.03878"
"1.87000","0.03091","1.06381"
"1.93800","0.03200","1.08908"
"1.99800","0.03299","1.11433"
"2.05700","0.03397","1.13937"
"2.11800","0.03498","1.16460"
"2.17700","0.03597","1.18984"
"2.23700","0.03697","1.21506"
"2.29500","0.03793","1.24045"
"2.36000","0.03897","1.26577"
"2.42000","0.03993","1.29115"
"2.48500","0.04096","1.31630"
"2.54100","0.04187","1.34140"
"2.59900","0.04285","1.36676"
"2.65100","0.04373","1.39187"
"2.71100","0.04473","1.41707"
"2.76400","0.04563","1.44241"
"2.82300","0.04663","1.46759"
"2.87800","0.04754","1.49301"
"2.93800","0.04853","1.51807"
"2.99100","0.04941","1.54308"
"3.04900","0.05041","1.56827"
"3.09700","0.05126","1.59329"
"3.15400","0.05225","1.61857"
"3.20400","0.05313","1.64390"
"3.26400","0.05414","1.66926"
"3.31600","0.05501","1.69463"
"3.38300","0.05605","1.71966"
"3.44200","0.05696","1.74502"
"3.50000","0.05791","1.77047"
"3.55300","0.05880","1.79584"
"3.61100","0.05975","1.82086"
"3.66300","0.06062","1.84610"
"3.72200","0.06159","1.87122"
"3.77200","0.06245","1.89645"
"3.83200","0.06345","1.92186"
"3.88800","0.06436","1.94718"
"3.94700","0.06533","1.97240"
"4.00200","0.06623","1.99769"
"4.06300","0.06723","2.02291"
"4.11800","0.06814","2.04832"
"4.17600","0.06910","2.07355"
"4.22900","0.07002","2.09874"
"4.28400","0.07098","2.12376"
"4.34000","0.07191","2.14909"
"4.40200","0.07292","2.17449"
"4.45700","0.07382","2.19952"
"4.51900","0.07485","2.22498"
"4.57300","0.07577","2.25003"
"4.63000","0.07674","2.27531"
"4.68800","0.07770","2.30040"
"4.75000","0.07872","2.32568"
"4.80700","0.07966","2.35109"
"4.86100","0.08063","2.37662"
"4.91100","0.08152","2.40171"
"4.96700","0.08250","2.42673"
"5.01700","0.08339","2.45174"
"5.07100","0.08435","2.47676"
"5.12200","0.08522","2.50182"
"5.18900","0.08629","2.52717"
"5.25500","0.08728","2.55217"
"5.31700","0.08825","2.57751"
"5.37300","0.08916","2.60260"
"5.43200","0.09011","2.62777"
"5.49200","0.09107","2.65279"
"5.55000","0.09201","2.67808"
"5.60400","0.09291","2.70312"
"5.65800","0.09383","2.72851"
"5.71300","0.09475","2.75374"
"5.77000","0.09568","2.77914"
"5.82600","0.09659","2.80428"
"5.88000","0.09752","2.82980"
"5.93600","0.09847","2.85498"
"5.98800","0.09936","2.88021"
"6.04400","0.10031","2.90523"
"6.10400","0.10129","2.93056"
"6.16300","0.10226","2.95579"
"6.21500","0.10313","2.98123"
"6.27500","0.10412","3.00637"
"6.32600","0.10501","3.03141"
"6.37400","0.10588","3.05657"
"6.42500","0.10678","3.08195"
"6.47600","0.10769","3.10725"
"6.53500","0.10867","3.13245"
"6.59300","0.10963","3.15762"
"6.65300","0.11062","3.18266"
"6.70600","0.11151","3.20809"
"6.76300","0.11247","3.23334"
"6.82000","0.11340","3.25863"
"6.87900","0.11438","3.28375"
"6.93300","0.11529","3.30905"
"6.99400","0.11630","3.33406"
"7.04700","0.11717","3.35928"
"7.11100","0.11821","3.38438"
"7.17100","0.11915","3.40966"
"7.23100","0.12007","3.43510"
"7.28900","0.12099","3.46010"
"7.34500","0.12190","3.48550"
"7.39500","0.12276","3.51059"
"7.44600","0.12362","3.53577"
"7.50000","0.12451","3.56100"
"7.55400","0.12538","3.58633"
"7.60900","0.12629","3.61172"
"7.66100","0.12715","3.63676"
"7.71300","0.12802","3.66178"
"7.75900","0.12882","3.68695"
"7.80800","0.12967","3.71199"
"7.86000","0.13056","3.73735"
"7.91800","0.13153","3.76270"
"7.96600","0.13235","3.78819"
"8.02000","0.13327","3.81345"
"8.07400","0.13414","3.83845"
"8.13300","0.13513","3.86356"
"8.17900","0.13594","3.88900"
"8.23100","0.13686","3.91420"
"8.27700","0.13770","3.93947"
"8.32600","0.13858","3.96482"
"8.37900","0.13949","3.98985"
"8.43700","0.14046","4.01512"
"8.49300","0.14135","4.04045"
"8.55600","0.14237","4.06586"
"8.60900","0.14327","4.09134"
"8.66300","0.14418","4.11659"
"8.72300","0.14515","4.14163"
"8.78000","0.14607","4.16665"
"8.84100","0.14707","4.19188"
"8.89500","0.14795","4.21724"
"8.95400","0.14893","4.24241"
"9.01100","0.14988","4.26770"
"9.06500","0.15078","4.29299"
"9.12400","0.15175","4.31811"
"9.17800","0.15262","4.34314"
"9.25000","0.15371","4.36824"
"9.30400","0.15456","4.39362"
"9.36300","0.15555","4.41890"
"9.40700","0.15631","4.44413"
"9.46600","0.15729","4.46916"
"9.51600","0.15812","4.49425"
"9.57700","0.15911","4.51955"
"9.62800","0.15998","4.54472"
"9.68000","0.16090","4.57007"
"9.73300","0.16180","4.59525"
"9.78600","0.16271","4.62053"
"9.83600","0.16358","4.64599"
"9.88100","0.16439","4.67100"
"9.93500","0.16534","4.69605"
"9.98700","0.16624","4.72122"
"10.04600","0.16722","4.74635"
"10.10100","0.16812","4.77160"
"10.16800","0.16919","4.79681"
"10.22400","0.17010","4.82222"
"10.28300","0.17108","4.84731"
"10.33300","0.17193","4.87271"
"10.39500","0.17296","4.89812"
"10.45000","0.17386","4.92346"
"10.50900","0.17483","4.94864"
"10.56400","0.17576","4.97389"
"10.62300","0.17674","4.99930"
"10.68300","0.17771","5.02453"
"10.74000","0.17865","5.04978"
"10.80200","0.17967","5.07480"
"10.85800","0.18059","5.10024"
"10.91700","0.18157","5.12529"
"10.97600","0.18254","5.15053"
