General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{474ECF40-4125-4F5A-BBB5-CDC829F867AD}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D_15_2_WR1
2_S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.34677"
"0.10000","0.00005","0.34705"
"0.20000","0.00044","0.34879"
"0.30000","0.00137","0.35639"
"0.40000","0.00302","0.37121"
"0.50000","0.00546","0.39247"
"0.60000","0.00828","0.41592"
"0.70000","0.01095","0.43389"
"0.80000","0.01301","0.44424"
"0.90000","0.01478","0.45405"
"1.00000","0.01643","0.46360"
"1.10000","0.01803","0.47190"
"1.20000","0.01965","0.48160"
"1.30000","0.02128","0.49026"
"1.40000","0.02288","0.49923"
"1.50000","0.02449","0.50840"
"1.60000","0.02612","0.51782"
"1.70000","0.02778","0.52703"
"1.80000","0.02949","0.53646"
"1.90000","0.03117","0.54624"
"2.00000","0.03287","0.55521"
"2.10000","0.03452","0.56450"
"2.20000","0.03624","0.57412"
"2.30000","0.03797","0.58366"
"2.40000","0.03972","0.59360"
"2.50000","0.04138","0.60173"
"2.60000","0.04303","0.61029"
"2.70000","0.04468","0.61891"
"2.80000","0.04634","0.62791"
"2.90000","0.04799","0.63606"
"3.00000","0.04964","0.64469"
"3.10000","0.05126","0.65368"
"3.20000","0.05290","0.66111"
"3.30000","0.05459","0.67015"
"3.40000","0.05628","0.67880"
"3.50000","0.05797","0.68689"
"3.60000","0.05962","0.69493"
"3.70000","0.06116","0.70211"
"3.80000","0.06279","0.71034"
"3.90000","0.06447","0.71954"
"4.00000","0.06623","0.72871"
"4.10000","0.06800","0.73734"
"4.20000","0.06977","0.74641"
"4.30000","0.07142","0.75437"
"4.40000","0.07301","0.76246"
"4.50000","0.07468","0.77056"
"4.60000","0.07635","0.77875"
"4.70000","0.07795","0.78653"
"4.80000","0.07954","0.79404"
"4.90000","0.08121","0.80300"
"5.00000","0.08287","0.81092"
"5.10000","0.08457","0.81883"
"5.20000","0.08629","0.82746"
"5.30000","0.08791","0.83496"
"5.40000","0.08959","0.84329"
"5.50000","0.09139","0.85162"
"5.60000","0.09305","0.85973"
"5.70000","0.09467","0.86747"
"5.80000","0.09635","0.87622"
"5.90000","0.09804","0.88442"
"6.00000","0.09969","0.89256"
"6.10000","0.10133","0.90019"
"6.20000","0.10297","0.90866"
"6.30000","0.10460","0.91630"
"6.40000","0.10622","0.92437"
"6.50000","0.10786","0.93246"
"6.60000","0.10952","0.94105"
"6.70000","0.11120","0.94900"
"6.80000","0.11291","0.95746"
"6.90000","0.11458","0.96528"
"7.00000","0.11624","0.97321"
"7.10000","0.11791","0.98135"
"7.20000","0.11958","0.98940"
"7.30000","0.12138","0.99832"
"7.40000","0.12314","1.00623"
"7.50000","0.12472","1.01338"
"7.60000","0.12633","1.02193"
"7.70000","0.12802","1.02983"
"7.80000","0.12971","1.03788"
"7.90000","0.13132","1.04544"
"8.00000","0.13295","1.05276"
"8.10000","0.13454","1.06040"
"8.20000","0.13621","1.06834"
"8.30000","0.13789","1.07586"
"8.40000","0.13953","1.08344"
"8.50000","0.14124","1.09147"
"8.60000","0.14289","1.09886"
"8.70000","0.14463","1.10807"
"8.80000","0.14643","1.11634"
"8.90000","0.14813","1.12437"
"9.00000","0.14978","1.13125"
"9.10000","0.15145","1.13947"
"9.20000","0.15311","1.14720"
"9.30000","0.15470","1.15387"
"9.40000","0.15626","1.16071"
"9.50000","0.15786","1.16832"
"9.60000","0.15952","1.17617"
"9.70000","0.16116","1.18391"
"9.80000","0.16280","1.19122"
"9.90000","0.16450","1.19909"
"10.00000","0.16623","1.20767"
"10.10000","0.16787","1.21503"
"10.20000","0.16955","1.22274"
"10.30000","0.17122","1.22984"
"10.40000","0.17286","1.23724"
"10.50000","0.17469","1.24690"
"10.60000","0.17648","1.25457"
"10.70000","0.17813","1.26179"
"10.80000","0.17981","1.26956"
"10.90000","0.18147","1.27663"
"11.00000","0.18310","1.28425"
"11.10000","0.18475","1.29051"
"11.20000","0.18636","1.29839"
"11.30000","0.18791","1.30508"
"11.40000","0.18946","1.31224"
"11.50000","0.19112","1.32015"
"11.60000","0.19284","1.32881"
"11.70000","0.19455","1.33680"
"11.80000","0.19617","1.34312"
"11.90000","0.19781","1.35022"
"12.00000","0.19959","1.35904"
"12.10000","0.20137","1.36768"
"12.20000","0.20313","1.37545"
"12.30000","0.20473","1.38146"
"12.40000","0.20641","1.38907"
"12.50000","0.20808","1.39675"
"12.60000","0.20973","1.40376"
"12.70000","0.21138","1.41107"
"12.80000","0.21301","1.41826"
"12.90000","0.21468","1.42556"
"13.00000","0.21632","1.43247"
"13.10000","0.21792","1.43867"
"13.20000","0.21955","1.44618"
"13.30000","0.22117","1.45326"
"13.40000","0.22282","1.46095"
"13.50000","0.22448","1.46796"
"13.60000","0.22612","1.47575"
"13.70000","0.22786","1.48343"
"13.80000","0.22963","1.49115"
"13.90000","0.23136","1.49930"
"14.00000","0.23305","1.50650"
"14.10000","0.23470","1.51353"
"14.20000","0.23641","1.52134"
"14.30000","0.23806","1.52820"
"14.40000","0.23970","1.53511"
"14.50000","0.24135","1.54134"
"14.60000","0.24301","1.54906"
"14.70000","0.24463","1.55608"
"14.80000","0.24624","1.56320"
"14.90000","0.24790","1.57102"
"15.00000","0.24963","1.57816"
"15.10000","0.25131","1.58574"
"15.20000","0.25303","1.59368"
"15.30000","0.25470","1.59998"
"15.40000","0.25629","1.60658"
"15.50000","0.25793","1.61404"
"15.60000","0.25959","1.62147"
"15.70000","0.26125","1.62833"
"15.80000","0.26288","1.63496"
"15.90000","0.26455","1.64265"
"16.00000","0.26621","1.65007"
"16.10000","0.26786","1.65766"
"16.20000","0.26955","1.66487"
"16.30000","0.27122","1.67281"
"16.40000","0.27290","1.67934"
"16.50000","0.27452","1.68641"
"16.60000","0.27624","1.69272"
"16.70000","0.27791","1.70000"
"16.80000","0.27962","1.70820"
"16.90000","0.28130","1.71474"
"17.00000","0.28301","1.72272"
"17.10000","0.28480","1.73027"
"17.20000","0.28648","1.73715"
"17.30000","0.28805","1.74356"
"17.40000","0.28970","1.75048"
"17.50000","0.29136","1.75758"
"17.60000","0.29292","1.76420"
"17.70000","0.29454","1.77109"
"17.80000","0.29618","1.77848"
"17.90000","0.29785","1.78575"
"18.00000","0.29949","1.79255"
"18.10000","0.30120","1.79966"
"18.20000","0.30290","1.80681"
"18.30000","0.30458","1.81402"
"18.40000","0.30623","1.82040"
"18.50000","0.30796","1.82833"
"18.60000","0.30975","1.83534"
"18.70000","0.31148","1.84289"
"18.80000","0.31313","1.84958"
"18.90000","0.31480","1.85634"
"19.00000","0.31644","1.86286"
"19.10000","0.31807","1.86855"
"19.20000","0.31966","1.87484"
"19.30000","0.32122","1.88064"
"19.40000","0.32282","1.88727"
"19.50000","0.32447","1.89400"
"19.60000","0.32612","1.90133"
"19.70000","0.32777","1.90868"
