General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{5943E07E-4425-417F-B110-8BAD26FC4149}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D_15_2_WR2
2_S3"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.01267","0.19993"
"0.10000","0.01265","0.20009"
"0.20000","0.01317","0.20025"
"0.30000","0.01605","0.20678"
"0.40000","0.01858","0.21147"
"0.50000","0.02010","0.21339"
"0.60000","0.02165","0.21634"
"0.70000","0.02337","0.21952"
"0.80000","0.02506","0.22224"
"0.90000","0.02663","0.22491"
"1.00000","0.02832","0.22769"
"1.10000","0.03005","0.23050"
"1.20000","0.03173","0.23308"
"1.30000","0.03342","0.23635"
"1.40000","0.03511","0.23954"
"1.50000","0.03678","0.24151"
"1.60000","0.03847","0.24414"
"1.70000","0.04015","0.24674"
"1.80000","0.04180","0.24948"
"1.90000","0.04345","0.25191"
"2.00000","0.04504","0.25492"
"2.10000","0.04668","0.25743"
"2.20000","0.04837","0.25951"
"2.30000","0.05004","0.26242"
"2.40000","0.05171","0.26479"
"2.50000","0.05341","0.26689"
"2.60000","0.05514","0.26992"
"2.70000","0.05681","0.27263"
"2.80000","0.05844","0.27463"
"2.90000","0.06014","0.27733"
"3.00000","0.06183","0.28004"
"3.10000","0.06354","0.28263"
"3.20000","0.06518","0.28508"
"3.30000","0.06682","0.28700"
"3.40000","0.06846","0.28975"
"3.50000","0.07009","0.29224"
"3.60000","0.07174","0.29449"
"3.70000","0.07333","0.29667"
"3.80000","0.07499","0.29934"
"3.90000","0.07672","0.30133"
"4.00000","0.07840","0.30415"
"4.10000","0.08004","0.30632"
"4.20000","0.08172","0.30880"
"4.30000","0.08357","0.31138"
"4.40000","0.08531","0.31383"
"4.50000","0.08695","0.31623"
"4.60000","0.08860","0.31842"
"4.70000","0.09025","0.32105"
"4.80000","0.09183","0.32252"
"4.90000","0.09340","0.32498"
"5.00000","0.09500","0.32696"
"5.10000","0.09667","0.32978"
"5.20000","0.09828","0.33218"
