General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{9781182F-916D-4282-A572-97DD038398E4}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"3_S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.37590"
"0.10000","0.00009","0.37663"
"0.20000","0.00063","0.38382"
"0.30000","0.00235","0.40799"
"0.38500","0.00432","0.43331"
"0.47300","0.00648","0.45833"
"0.57300","0.00858","0.48095"
"0.67300","0.01057","0.50162"
"0.77300","0.01244","0.52104"
"0.87300","0.01425","0.53975"
"0.97300","0.01597","0.55717"
"1.07300","0.01757","0.57283"
"1.17300","0.01923","0.58860"
"1.27300","0.02090","0.60507"
"1.37300","0.02251","0.61943"
"1.47300","0.02406","0.63415"
"1.57300","0.02572","0.64957"
"1.67300","0.02735","0.65592"
"1.77300","0.02900","0.67201"
"1.87300","0.03067","0.68931"
"1.97300","0.03237","0.70657"
"2.07300","0.03408","0.72342"
"2.17300","0.03575","0.73971"
"2.27300","0.03746","0.75600"
"2.37300","0.03911","0.77236"
"2.47300","0.04078","0.78843"
"2.57300","0.04245","0.80505"
"2.67300","0.04416","0.82165"
"2.77300","0.04580","0.83754"
"2.87300","0.04738","0.85209"
"2.97300","0.04908","0.86837"
"3.07300","0.05074","0.88369"
"3.17300","0.05246","0.90051"
"3.27300","0.05412","0.91657"
"3.37300","0.05581","0.93235"
"3.47300","0.05746","0.94834"
"3.57300","0.05909","0.96428"
"3.67300","0.06073","0.98121"
"3.77300","0.06247","0.99876"
"3.87300","0.06410","1.01549"
"3.97300","0.06577","1.03254"
"4.07300","0.06753","1.04998"
"4.17300","0.06932","1.06773"
"4.27300","0.07102","1.08485"
"4.37300","0.07259","1.10032"
"4.47300","0.07423","1.11698"
"4.57300","0.07585","1.13331"
"4.67300","0.07742","1.14800"
"4.77300","0.07908","1.16501"
"4.87300","0.08077","1.18090"
"4.97300","0.08239","1.19642"
"5.07300","0.08406","1.21253"
"5.17300","0.08580","1.23012"
"5.27300","0.08743","1.24513"
"5.37300","0.08910","1.26152"
"5.47300","0.09076","1.27939"
"5.57300","0.09247","1.29605"
"5.67300","0.09419","1.31322"
"5.77300","0.09597","1.33121"
"5.87300","0.09770","1.34773"
"5.97300","0.09935","1.36335"
"6.07300","0.10096","1.37809"
"6.17300","0.10258","1.39399"
"6.27300","0.10422","1.40967"
"6.37300","0.10580","1.42419"
"6.47300","0.10734","1.43840"
"6.57300","0.10897","1.45465"
"6.67300","0.11064","1.47078"
"6.77300","0.11235","1.48688"
"6.87300","0.11405","1.50274"
"6.97300","0.11574","1.51824"
"7.07300","0.11743","1.53461"
"7.17300","0.11912","1.55072"
"7.27300","0.12080","1.56799"
"7.37300","0.12258","1.58447"
"7.47300","0.12435","1.60207"
"7.57300","0.12605","1.61788"
"7.67300","0.12762","1.63109"
"7.77300","0.12931","1.64754"
