General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{38876F19-E5D1-4827-A778-3B8B1E1CAACE}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"3_S3"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00479","0.22191"
"0.10000","0.00512","0.22451"
"0.20000","0.00677","0.24090"
"0.30000","0.00901","0.26171"
"0.40000","0.01076","0.27630"
"0.50000","0.01236","0.28887"
"0.60000","0.01404","0.30281"
"0.70000","0.01579","0.31632"
"0.80000","0.01745","0.32814"
"0.90000","0.01917","0.34145"
"1.00000","0.02088","0.35458"
"1.10000","0.02260","0.36750"
"1.20000","0.02439","0.38090"
"1.30000","0.02599","0.39200"
"1.40000","0.02768","0.40371"
"1.50000","0.02934","0.41623"
"1.60000","0.03096","0.42803"
"1.70000","0.03258","0.43993"
"1.80000","0.03423","0.45223"
"1.90000","0.03586","0.46420"
"2.00000","0.03746","0.47598"
"2.10000","0.03909","0.48851"
"2.20000","0.04082","0.50063"
"2.30000","0.04247","0.51283"
"2.40000","0.04417","0.52491"
"2.50000","0.04593","0.53809"
"2.60000","0.04759","0.54934"
"2.70000","0.04931","0.56142"
"2.80000","0.05108","0.57347"
"2.90000","0.05272","0.58340"
"3.00000","0.05435","0.59483"
"3.10000","0.05600","0.60644"
"3.20000","0.05768","0.61892"
"3.30000","0.05932","0.63043"
"3.40000","0.06098","0.64354"
"3.50000","0.06259","0.65478"
"3.60000","0.06420","0.66665"
"3.70000","0.06588","0.67833"
"3.80000","0.06758","0.69028"
"3.90000","0.06928","0.70258"
"4.00000","0.07091","0.71425"
"4.10000","0.07244","0.72368"
"4.20000","0.07415","0.73604"
"4.30000","0.07594","0.74831"
"4.40000","0.07767","0.75897"
"4.50000","0.07937","0.76809"
"4.60000","0.08103","0.75791"
"4.70000","0.08270","0.76367"
"4.80000","0.08434","0.77542"
"4.90000","0.08600","0.78654"
"5.00000","0.08766","0.79860"
"5.10000","0.08926","0.80875"
"5.20000","0.09090","0.81933"
"5.30000","0.09259","0.82984"
"5.40000","0.09426","0.84002"
"5.50000","0.09592","0.84978"
"5.60000","0.09760","0.85877"
"5.70000","0.09932","0.86838"
"5.80000","0.10110","0.87773"
"5.90000","0.10270","0.88307"
"6.00000","0.10427","0.88472"
"6.10000","0.10596","0.87393"
"6.20000","0.10768","0.88296"
"6.30000","0.10928","0.89106"
"6.40000","0.11085","0.89892"
"6.50000","0.11252","0.90791"
"6.60000","0.11417","0.91601"
"6.70000","0.11585","0.92364"
"6.80000","0.11751","0.93026"
"6.90000","0.11921","0.93563"
"7.00000","0.12087","0.93978"
"7.10000","0.12254","0.93900"
"7.20000","0.12420","0.93449"
"7.30000","0.12593","0.93774"
"7.40000","0.12755","0.94352"
"7.50000","0.12925","0.95098"
"7.60000","0.13108","0.95961"
"7.70000","0.13286","0.96573"
"7.80000","0.13450","0.97025"
"7.90000","0.13609","0.97534"
"8.00000","0.13761","0.97756"
"8.10000","0.13920","0.97993"
"8.20000","0.14083","0.98314"
"8.30000","0.14248","0.98540"
"8.40000","0.14413","0.98885"
"8.50000","0.14577","0.99279"
"8.60000","0.14745","0.99864"
"8.70000","0.14916","1.00455"
"8.80000","0.15085","1.01085"
"8.90000","0.15250","1.01639"
"9.00000","0.15435","1.02501"
"9.10000","0.15606","1.03132"
"9.20000","0.15776","1.03831"
"9.30000","0.15942","1.04544"
"9.40000","0.16111","1.05357"
"9.50000","0.16277","1.06040"
"9.60000","0.16441","1.06767"
"9.70000","0.16605","1.07458"
"9.80000","0.16766","1.08166"
"9.90000","0.16916","1.08796"
"10.00000","0.17078","1.09534"
"10.10000","0.17243","1.10433"
"10.20000","0.17410","1.11258"
"10.30000","0.17578","1.12102"
"10.40000","0.17747","1.12854"
"10.50000","0.17917","1.13524"
"10.60000","0.18083","1.14151"
"10.70000","0.18247","1.14647"
"10.80000","0.18423","1.15218"
"10.90000","0.18600","1.15681"
"11.00000","0.18781","1.16317"
"11.10000","0.18949","1.16866"
"11.20000","0.19112","1.17462"
"11.30000","0.19277","1.18131"
"11.40000","0.19438","1.18777"
"11.50000","0.19601","1.19652"
"11.60000","0.19769","1.20409"
"11.70000","0.19933","1.21138"
"11.80000","0.20095","1.21845"
"11.90000","0.20249","1.22522"
"12.00000","0.20413","1.23291"
"12.10000","0.20574","1.24020"
"12.20000","0.20750","1.24914"
"12.30000","0.20923","1.25669"
