General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{57C69A80-AF90-48E5-B821-32F803798F7B}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"2_S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.33028"
"0.10000","0.00008","0.33305"
"0.20000","0.00034","0.33862"
"0.30000","0.00096","0.35401"
"0.37600","0.00188","0.37948"
"0.40200","0.00265","0.40562"
"0.41800","0.00338","0.43079"
"0.43200","0.00416","0.45729"
"0.44500","0.00494","0.48331"
"0.45900","0.00576","0.50990"
"0.47400","0.00654","0.53497"
"0.49300","0.00734","0.56015"
"0.52000","0.00815","0.58541"
"0.57100","0.00913","0.61061"
"0.63500","0.01008","0.63602"
"0.70200","0.01110","0.66134"
"0.75500","0.01197","0.68654"
"0.81400","0.01296","0.71171"
"0.86700","0.01384","0.73718"
"0.92700","0.01485","0.76237"
"0.97800","0.01574","0.78739"
"1.03600","0.01677","0.81280"
"1.08900","0.01769","0.83810"
"1.15400","0.01877","0.86332"
"1.21300","0.01976","0.88857"
"1.28200","0.02089","0.91391"
"1.34800","0.02196","0.93924"
"1.41200","0.02305","0.96462"
"1.48200","0.02423","0.98989"
"1.54600","0.02530","1.01530"
"1.61300","0.02650","1.04059"
"1.67600","0.02761","1.06589"
"1.74500","0.02883","1.09123"
"1.81700","0.03008","1.11628"
"1.89100","0.03132","1.14134"
"1.96700","0.03259","1.16643"
"2.04800","0.03391","1.19158"
"2.12500","0.03512","1.21673"
"2.20100","0.03639","1.24182"
"2.27900","0.03767","1.26697"
"2.35000","0.03880","1.29214"
"2.43100","0.04005","1.31745"
"2.50900","0.04130","1.34263"
"2.57500","0.04241","1.36766"
"2.64500","0.04357","1.39291"
"2.71900","0.04485","1.41798"
"2.78600","0.04597","1.44316"
"2.86200","0.04724","1.46820"
"2.93600","0.04848","1.49344"
"3.01400","0.04973","1.51854"
"3.08700","0.05103","1.54391"
"3.15000","0.05215","1.56909"
"3.22100","0.05339","1.59448"
