General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{C9A325EC-BD2B-414B-AE04-B30041102B44}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"4_S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.30411"
"0.10000","0.00009","0.30485"
"0.20000","0.00048","0.30800"
"0.30000","0.00275","0.33255"
"0.39600","0.00568","0.35759"
"0.49600","0.00772","0.37073"
"0.59600","0.00945","0.38403"
"0.69600","0.01112","0.39569"
"0.79600","0.01280","0.40810"
"0.89600","0.01443","0.42019"
"0.99600","0.01617","0.43189"
"1.09600","0.01786","0.44366"
"1.19600","0.01953","0.45541"
"1.29600","0.02115","0.46652"
"1.39600","0.02282","0.47777"
"1.49600","0.02450","0.48953"
"1.59600","0.02614","0.50025"
"1.69600","0.02780","0.51211"
"1.79600","0.02942","0.52313"
"1.89600","0.03109","0.53456"
"1.99600","0.03272","0.54620"
"2.09600","0.03442","0.55872"
"2.19600","0.03608","0.57081"
"2.29600","0.03776","0.58375"
"2.39600","0.03947","0.59698"
"2.49600","0.04111","0.60870"
"2.59600","0.04279","0.62049"
"2.69600","0.04442","0.63283"
"2.79600","0.04621","0.64545"
"2.89600","0.04790","0.65639"
"2.99600","0.04960","0.66888"
"3.09600","0.05140","0.68230"
"3.19600","0.05302","0.69384"
"3.29600","0.05463","0.70466"
"3.39600","0.05630","0.71656"
"3.49600","0.05796","0.72803"
"3.59600","0.05958","0.73954"
"3.69600","0.06116","0.75044"
"3.79600","0.06275","0.76195"
"3.89600","0.06444","0.77431"
"3.99600","0.06613","0.78705"
"4.09600","0.06781","0.79964"
"4.19600","0.06944","0.81124"
"4.29600","0.07120","0.82360"
"4.39600","0.07294","0.83593"
"4.49600","0.07467","0.84859"
"4.59600","0.07633","0.86030"
"4.69600","0.07799","0.87304"
"4.79600","0.07960","0.88402"
"4.89600","0.08125","0.89547"
"4.99600","0.08297","0.90702"
"5.09600","0.08457","0.91845"
"5.19600","0.08613","0.92897"
"5.29600","0.08780","0.94092"
"5.39600","0.08949","0.95275"
"5.49600","0.09117","0.96395"
"5.59600","0.09284","0.97503"
"5.69600","0.09455","0.98765"
"5.79600","0.09613","0.99833"
"5.89600","0.09779","1.01002"
"5.99600","0.09949","1.02228"
"6.09600","0.10116","1.03394"
"6.19600","0.10297","1.04668"
"6.29600","0.10471","1.05866"
"6.39600","0.10634","1.06997"
"6.49600","0.10794","1.08156"
"6.59600","0.10960","1.09291"
"6.69600","0.11122","1.10432"
"6.79600","0.11288","1.11670"
"6.89600","0.11450","1.12835"
"6.99600","0.11613","1.13950"
"7.09600","0.11783","1.15170"
"7.19600","0.11950","1.16295"
"7.29600","0.12116","1.17455"
"7.39600","0.12282","1.18601"
"7.49600","0.12451","1.19799"
"7.59600","0.12633","1.21051"
"7.69600","0.12804","1.22232"
"7.79600","0.12966","1.23321"
"7.89600","0.13133","1.24456"
"7.99600","0.13297","1.25547"
"8.09600","0.13461","1.26769"
"8.19600","0.13631","1.27892"
"8.29600","0.13789","1.29007"
"8.39600","0.13947","1.30076"
"8.49600","0.14112","1.31310"
"8.59600","0.14281","1.32500"
"8.69600","0.14448","1.33597"
"8.79600","0.14613","1.34784"
"8.89600","0.14779","1.35965"
"8.99600","0.14947","1.37136"
"9.09600","0.15117","1.38212"
"9.19600","0.15283","1.39277"
"9.29600","0.15449","1.40500"
"9.39600","0.15630","1.41887"
"9.49600","0.15806","1.42997"
"9.59600","0.15966","1.44054"
"9.69600","0.16128","1.45236"
"9.79600","0.16296","1.46351"
"9.89600","0.16462","1.47442"
"9.99600","0.16627","1.48525"
"10.09600","0.16790","1.49662"
"10.19600","0.16946","1.50703"
"10.29600","0.17113","1.51903"
"10.39600","0.17282","1.53125"
"10.49600","0.17447","1.54274"
"10.59600","0.17615","1.55455"
"10.69600","0.17780","1.56468"
"10.79600","0.17959","1.57731"
"10.89600","0.18135","1.58897"
"10.99600","0.18300","1.59995"
"11.09600","0.18468","1.61227"
"11.19600","0.18637","1.62476"
"11.29600","0.18806","1.63571"
"11.39600","0.18969","1.64573"
"11.49600","0.19133","1.65664"
"11.59600","0.19291","1.66671"
"11.69600","0.19448","1.67871"
"11.79600","0.19609","1.68955"
"11.89600","0.19776","1.70175"
"11.99600","0.19940","1.71227"
"12.09600","0.20109","1.72466"
"12.19600","0.20279","1.73717"
"12.29600","0.20447","1.74874"
"12.39600","0.20613","1.75965"
"12.49600","0.20775","1.77095"
"12.59600","0.20958","1.78448"
"12.69600","0.21139","1.79758"
"12.79600","0.21310","1.80885"
"12.89600","0.21477","1.82006"
"12.99600","0.21634","1.83059"
"13.09600","0.21801","1.84161"
"13.19600","0.21972","1.85322"
"13.29600","0.22130","1.86393"
"13.39600","0.22286","1.87404"
"13.49600","0.22440","1.88556"
"13.59600","0.22607","1.89743"
"13.69600","0.22777","1.90892"
"13.79600","0.22944","1.92120"
"13.89600","0.23113","1.93291"
"13.99600","0.23279","1.94383"
"14.09600","0.23455","1.95661"
"14.19600","0.23629","1.97020"
"14.29600","0.23805","1.97995"
"14.39600","0.23967","1.99027"
"14.49600","0.24136","2.00186"
"14.59600","0.24300","2.01205"
"14.69600","0.24464","2.02355"
"14.79600","0.24632","2.03482"
"14.89600","0.24795","2.04488"
"14.99600","0.24964","2.05646"
"15.09600","0.25127","2.06672"
"15.19600","0.25288","2.07746"
"15.29600","0.25448","2.08652"
"15.39600","0.25608","2.09721"
"15.49600","0.25774","2.11104"
"15.59600","0.25940","2.12167"
"15.69600","0.26102","2.13114"
"15.79600","0.26277","2.14546"
"15.89600","0.26456","2.15799"
"15.99600","0.26636","2.16942"
"16.09600","0.26807","2.18072"
"16.19600","0.26961","2.19050"
"16.29600","0.27127","2.20134"
"16.39600","0.27303","2.21366"
"16.49600","0.27463","2.22352"
"16.59600","0.27625","2.23389"
"16.69600","0.27789","2.24297"
"16.79600","0.27952","2.25276"
"16.89600","0.28118","2.26323"
"16.99600","0.28285","2.27316"
"17.09600","0.28454","2.28440"
"17.19600","0.28621","2.29357"
"17.29600","0.28793","2.30701"
"17.39600","0.28957","2.31788"
"17.49600","0.29119","2.32880"
"17.59600","0.29290","2.33956"
"17.69600","0.29459","2.35221"
"17.79600","0.29623","2.36169"
"17.89600","0.29788","2.37285"
"17.99600","0.29949","2.38258"
"18.09600","0.30114","2.39320"
"18.19600","0.30280","2.40288"
"18.29600","0.30451","2.41349"
"18.39600","0.30613","2.42329"
"18.49600","0.30781","2.43443"
"18.59600","0.30952","2.44459"
"18.69600","0.31119","2.45454"
"18.79600","0.31283","2.46376"
"18.89600","0.31453","2.47482"
"18.99600","0.31620","2.48528"
"19.09600","0.31786","2.49556"
"19.19600","0.31966","2.50819"
"19.29600","0.32141","2.51843"
"19.39600","0.32298","2.52715"
"19.49600","0.32462","2.53657"
"19.59600","0.32631","2.54723"
"19.69600","0.32792","2.55692"
"19.79600","0.32951","2.56486"
"19.89600","0.33111","2.57479"
"19.99600","0.33277","2.58495"
"20.09600","0.33442","2.59441"
"20.19600","0.33613","2.60390"
"20.29600","0.33783","2.61208"
"20.39600","0.33948","2.62123"
"20.49600","0.34114","2.63117"
"20.59600","0.34289","2.64211"
"20.69600","0.34474","2.65246"
"20.79600","0.34640","2.66151"
"20.89600","0.34805","2.67074"
"20.99600","0.34973","2.67952"
"21.09600","0.35139","2.68914"
"21.19600","0.35300","2.69604"
"21.29600","0.35460","2.70334"
"21.39600","0.35619","2.71069"
"21.49600","0.35775","2.71638"
"21.59600","0.35942","2.72503"
"21.69600","0.36106","2.73305"
"21.79600","0.36273","2.74191"
"21.89600","0.36444","2.75132"
"21.99600","0.36609","2.76021"
"22.09600","0.36773","2.76867"
"22.19600","0.36946","2.77868"
"22.29600","0.37117","2.78760"
"22.39600","0.37289","2.79706"
"22.49600","0.37466","2.80749"
"22.59600","0.37644","2.81715"
"22.69600","0.37815","2.82498"
"22.79600","0.37979","2.83460"
"22.89600","0.38140","2.84201"
"22.99600","0.38304","2.85148"
"23.09600","0.38471","2.86046"
"23.19600","0.38632","2.86763"
"23.29600","0.38793","2.87568"
"23.39600","0.38945","2.88247"
"23.49600","0.39103","2.89068"
"23.59600","0.39277","2.90123"
"23.69600","0.39448","2.90944"
"23.79600","0.39607","2.91512"
"23.89600","0.39780","2.92391"
"23.99600","0.39958","2.93169"
"24.09600","0.40133","2.94053"
"24.19600","0.40300","2.94833"
"24.29600","0.40469","2.95695"
"24.39600","0.40633","2.96557"
"24.49600","0.40796","2.97398"
"24.59600","0.40966","2.98272"
"24.69600","0.41134","2.99076"
"24.79600","0.41299","2.99900"
"24.89600","0.41457","3.00639"
"24.99600","0.41625","3.01561"
"25.09600","0.41797","3.02369"
"25.19600","0.41960","3.03117"
"25.29600","0.42118","3.03789"
"25.39600","0.42275","3.04606"
"25.49600","0.42446","3.05531"
"25.59600","0.42612","3.06313"
"25.69600","0.42783","3.07163"
"25.79600","0.42956","3.08105"
"25.89600","0.43132","3.09029"
"25.99600","0.43301","3.09818"
"26.09600","0.43464","3.10625"
"26.19600","0.43627","3.11358"
"26.29600","0.43796","3.12287"
"26.39600","0.43959","3.12916"
"26.49600","0.44126","3.13607"
"26.59600","0.44293","3.14490"
"26.69600","0.44459","3.15272"
"26.79600","0.44626","3.16011"
"26.89600","0.44795","3.16874"
"26.99600","0.44969","3.17844"
"27.09600","0.45128","3.18447"
