General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{779061BB-FB1E-4A84-B895-BC1002616527}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1_S3"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.27949"
"0.10000","0.00012","0.27944"
"0.20000","0.00071","0.28493"
"0.30000","0.00203","0.29689"
"0.40000","0.00405","0.31513"
"0.50000","0.00644","0.33601"
"0.60000","0.00894","0.35680"
"0.70000","0.01106","0.37330"
"0.80000","0.01283","0.38738"
"0.90000","0.01458","0.40190"
"1.00000","0.01635","0.41635"
"1.10000","0.01812","0.43047"
"1.20000","0.01976","0.44272"
"1.30000","0.02134","0.45453"
"1.40000","0.02299","0.46849"
"1.50000","0.02470","0.48076"
"1.60000","0.02633","0.49347"
"1.70000","0.02789","0.50542"
"1.80000","0.02953","0.51794"
"1.90000","0.03118","0.53022"
"2.00000","0.03285","0.54295"
"2.10000","0.03450","0.55515"
"2.20000","0.03610","0.56741"
"2.30000","0.03781","0.58063"
"2.40000","0.03954","0.59501"
"2.50000","0.04122","0.60827"
"2.60000","0.04287","0.62102"
"2.70000","0.04460","0.63484"
"2.80000","0.04644","0.64999"
"2.90000","0.04811","0.66294"
"3.00000","0.04975","0.67487"
"3.10000","0.05135","0.68728"
"3.20000","0.05299","0.70000"
"3.30000","0.05466","0.71281"
"3.40000","0.05626","0.72486"
"3.50000","0.05786","0.73758"
"3.60000","0.05957","0.75124"
"3.70000","0.06124","0.76409"
"3.80000","0.06287","0.77642"
"3.90000","0.06456","0.78916"
"4.00000","0.06631","0.80084"
"4.10000","0.06784","0.81242"
"4.20000","0.06960","0.82675"
"4.30000","0.07137","0.84103"
"4.40000","0.07309","0.85536"
"4.50000","0.07470","0.86682"
"4.60000","0.07637","0.88084"
"4.70000","0.07804","0.89326"
"4.80000","0.07969","0.90642"
"4.90000","0.08129","0.91806"
"5.00000","0.08287","0.93034"
"5.10000","0.08453","0.94381"
"5.20000","0.08622","0.95692"
"5.30000","0.08786","0.96980"
"5.40000","0.08950","0.98282"
"5.50000","0.09121","0.99630"
"5.60000","0.09291","1.01055"
"5.70000","0.09456","1.02272"
"5.80000","0.09621","1.03515"
"5.90000","0.09789","1.04848"
"6.00000","0.09969","1.06287"
"6.10000","0.10144","1.07670"
"6.20000","0.10309","1.08889"
"6.30000","0.10470","1.10151"
"6.40000","0.10638","1.11534"
"6.50000","0.10803","1.12839"
"6.60000","0.10963","1.14097"
"6.70000","0.11122","1.15312"
"6.80000","0.11284","1.16586"
"6.90000","0.11453","1.17961"
"7.00000","0.11621","1.19291"
"7.10000","0.11786","1.20623"
"7.20000","0.11955","1.21995"
"7.30000","0.12118","1.23315"
"7.40000","0.12291","1.24769"
"7.50000","0.12474","1.26299"
"7.60000","0.12646","1.27645"
"7.70000","0.12808","1.28817"
"7.80000","0.12976","1.30179"
"7.90000","0.13144","1.31509"
"8.00000","0.13304","1.32767"
"8.10000","0.13469","1.34090"
"8.20000","0.13633","1.35404"
"8.30000","0.13789","1.36547"
"8.40000","0.13947","1.37819"
"8.50000","0.14119","1.39219"
"8.60000","0.14286","1.40526"
"8.70000","0.14453","1.41914"
"8.80000","0.14620","1.43286"
"8.90000","0.14788","1.44667"
"9.00000","0.14953","1.46023"
"9.10000","0.15112","1.47320"
"9.20000","0.15298","1.48893"
"9.30000","0.15482","1.50566"
"9.40000","0.15656","1.51997"
"9.50000","0.15818","1.53208"
"9.60000","0.15976","1.54436"
"9.70000","0.16144","1.55823"
"9.80000","0.16309","1.57132"
"9.90000","0.16467","1.58210"
"10.00000","0.16626","1.59469"
"10.10000","0.16782","1.60630"
"10.20000","0.16943","1.61937"
"10.30000","0.17114","1.63438"
"10.40000","0.17285","1.65028"
"10.50000","0.17451","1.66273"
"10.60000","0.17620","1.67785"
"10.70000","0.17798","1.69305"
"10.80000","0.17970","1.70664"
"10.90000","0.18144","1.72098"
"11.00000","0.18307","1.73340"
"11.10000","0.18476","1.74812"
"11.20000","0.18638","1.76084"
"11.30000","0.18806","1.77368"
"11.40000","0.18975","1.78731"
"11.50000","0.19131","1.79885"
"11.60000","0.19289","1.81212"
"11.70000","0.19459","1.82615"
"11.80000","0.19629","1.83905"
"11.90000","0.19792","1.85255"
"12.00000","0.19952","1.86511"
"12.10000","0.20119","1.87872"
"12.20000","0.20281","1.89199"
"12.30000","0.20439","1.90519"
"12.40000","0.20614","1.92028"
"12.50000","0.20793","1.93618"
"12.60000","0.20974","1.95143"
"12.70000","0.21141","1.96431"
"12.80000","0.21303","1.97606"
"12.90000","0.21476","1.99058"
"13.00000","0.21639","2.00309"
"13.10000","0.21800","2.01519"
"13.20000","0.21967","2.02720"
"13.30000","0.22133","2.04163"
"13.40000","0.22295","2.05320"
"13.50000","0.22459","2.06750"
"13.60000","0.22622","2.07792"
"13.70000","0.22792","2.09220"
"13.80000","0.22965","2.10575"
"13.90000","0.23135","2.11781"
"14.00000","0.23300","2.13085"
"14.10000","0.23458","2.14297"
"14.20000","0.23626","2.15510"
"14.30000","0.23794","2.16969"
"14.40000","0.23963","2.18222"
"14.50000","0.24127","2.19347"
"14.60000","0.24288","2.20628"
"14.70000","0.24453","2.21886"
"14.80000","0.24619","2.23132"
"14.90000","0.24787","2.24373"
"15.00000","0.24951","2.25612"
"15.10000","0.25123","2.26963"
"15.20000","0.25290","2.28111"
"15.30000","0.25456","2.29180"
"15.40000","0.25622","2.30420"
"15.50000","0.25793","2.31719"
"15.60000","0.25956","2.32798"
"15.70000","0.26125","2.34069"
"15.80000","0.26308","2.35425"
"15.90000","0.26483","2.36674"
"16.00000","0.26644","2.37689"
"16.10000","0.26802","2.38776"
"16.20000","0.26967","2.39860"
"16.30000","0.27130","2.40972"
"16.40000","0.27293","2.42223"
"16.50000","0.27452","2.43264"
"16.60000","0.27616","2.44379"
"16.70000","0.27785","2.45641"
"16.80000","0.27952","2.46762"
"16.90000","0.28121","2.47974"
"17.00000","0.28288","2.49077"
"17.10000","0.28457","2.50177"
"17.20000","0.28625","2.51274"
"17.30000","0.28807","2.52516"
"17.40000","0.28982","2.53827"
"17.50000","0.29146","2.54872"
"17.60000","0.29311","2.55753"
"17.70000","0.29479","2.56876"
"17.80000","0.29643","2.57914"
"17.90000","0.29805","2.58908"
"18.00000","0.29962","2.59782"
"18.10000","0.30117","2.60627"
"18.20000","0.30284","2.61684"
"18.30000","0.30448","2.62822"
"18.40000","0.30613","2.64022"
"18.50000","0.30785","2.65182"
"18.60000","0.30950","2.66249"
"18.70000","0.31117","2.67306"
"18.80000","0.31285","2.68350"
"18.90000","0.31456","2.69418"
"19.00000","0.31629","2.70484"
"19.10000","0.31807","2.71528"
"19.20000","0.31987","2.72788"
"19.30000","0.32152","2.73730"
"19.40000","0.32313","2.74719"
"19.50000","0.32483","2.75652"
"19.60000","0.32645","2.76512"
"19.70000","0.32805","2.77293"
"19.80000","0.32971","2.78261"
"19.90000","0.33137","2.79212"
"20.00000","0.33294","2.80052"
"20.10000","0.33450","2.80950"
"20.20000","0.33617","2.82052"
"20.30000","0.33784","2.83062"
"20.40000","0.33948","2.84092"
"20.50000","0.34120","2.85125"
"20.60000","0.34293","2.86179"
"20.70000","0.34465","2.87299"
"20.80000","0.34643","2.88433"
"20.90000","0.34810","2.89450"
"21.00000","0.34975","2.90396"
"21.10000","0.35139","2.91281"
"21.20000","0.35304","2.92268"
"21.30000","0.35472","2.93213"
"21.40000","0.35637","2.94255"
"21.50000","0.35801","2.95092"
"21.60000","0.35965","2.95921"
"21.70000","0.36133","2.96888"
"21.80000","0.36302","2.97922"
"21.90000","0.36466","2.98768"
"22.00000","0.36620","2.99475"
"22.10000","0.36784","3.00608"
"22.20000","0.36949","3.01582"
"22.30000","0.37120","3.02687"
"22.40000","0.37296","3.03793"
"22.50000","0.37473","3.04911"
"22.60000","0.37642","3.05953"
"22.70000","0.37805","3.06845"
"22.80000","0.37971","3.07886"
"22.90000","0.38135","3.08695"
"23.00000","0.38298","3.09675"
"23.10000","0.38465","3.10547"
"23.20000","0.38631","3.11479"
"23.30000","0.38797","3.12402"
"23.40000","0.38963","3.13333"
"23.50000","0.39131","3.14315"
"23.60000","0.39305","3.15387"
"23.70000","0.39470","3.16238"
"23.80000","0.39638","3.17188"
"23.90000","0.39807","3.18185"
"24.00000","0.39969","3.19120"
"24.10000","0.40134","3.20049"
"24.20000","0.40304","3.21017"
"24.30000","0.40469","3.21923"
