General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{4E891FFD-2B31-4481-9449-ED687D926872}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"2_S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.27815"
"0.10000","0.00005","0.27934"
"0.20000","0.00037","0.28230"
"0.30000","0.00109","0.28984"
"0.40000","0.00248","0.30672"
"0.48800","0.00451","0.33200"
"0.53900","0.00638","0.35739"
"0.57700","0.00813","0.38242"
"0.63100","0.01009","0.40755"
"0.73100","0.01200","0.42938"
"0.83100","0.01341","0.44572"
"0.93100","0.01503","0.46416"
"1.03100","0.01674","0.48487"
"1.13100","0.01839","0.50427"
"1.23100","0.02002","0.52337"
"1.33100","0.02168","0.54276"
"1.43100","0.02335","0.56209"
"1.53100","0.02499","0.58034"
"1.63100","0.02668","0.59941"
"1.73100","0.02837","0.61924"
"1.83100","0.03004","0.63812"
"1.93100","0.03166","0.65683"
"2.03100","0.03334","0.67662"
"2.13100","0.03503","0.69612"
"2.23100","0.03671","0.71539"
"2.33100","0.03850","0.73695"
"2.43100","0.04027","0.75802"
"2.53100","0.04194","0.77713"
"2.63100","0.04356","0.79564"
"2.73100","0.04521","0.81414"
"2.83100","0.04686","0.83334"
"2.93100","0.04848","0.85142"
"3.03100","0.05008","0.87025"
"3.13100","0.05174","0.88899"
"3.23100","0.05339","0.90882"
"3.33100","0.05508","0.92848"
"3.43100","0.05677","0.94817"
"3.53100","0.05841","0.96768"
"3.63100","0.06006","0.98617"
"3.73100","0.06190","1.00756"
"3.83100","0.06364","1.02781"
"3.93100","0.06522","1.04643"
"4.03100","0.06689","1.06663"
"4.13100","0.06857","1.08703"
"4.23100","0.07020","1.10746"
"4.33100","0.07184","1.12742"
"4.43100","0.07349","1.14771"
"4.53100","0.07513","1.16819"
"4.63100","0.07669","1.18668"
"4.73100","0.07837","1.20912"
"4.83100","0.08007","1.23075"
"4.93100","0.08172","1.25202"
"5.03100","0.08339","1.27320"
"5.13100","0.08509","1.29614"
"5.23100","0.08675","1.31777"
"5.33100","0.08839","1.33829"
"5.43100","0.09006","1.36018"
"5.53100","0.09181","1.38412"
"5.63100","0.09366","1.40826"
"5.73100","0.09531","1.42926"
"5.83100","0.09692","1.45135"
"5.93100","0.09854","1.47228"
"6.03100","0.10023","1.49672"
"6.13100","0.10185","1.51918"
"6.23100","0.10343","1.54083"
"6.33100","0.10504","1.56160"
"6.43100","0.10671","1.58574"
"6.53100","0.10840","1.60977"
"6.63100","0.11007","1.63241"
"6.73100","0.11171","1.65396"
"6.83000","0.11340","1.67902"
"6.93000","0.11509","1.70336"
"7.02200","0.11671","1.72864"
"7.12100","0.11845","1.75376"
"7.22100","0.12012","1.77751"
"7.31600","0.12173","1.80258"
"7.41600","0.12337","1.82617"
"7.51600","0.12501","1.84937"
"7.61600","0.12664","1.87253"
"7.71600","0.12827","1.89719"
"7.81600","0.12982","1.92052"
"7.91600","0.13139","1.94431"
"8.01500","0.13307","1.96955"
"8.11000","0.13467","1.99480"
"8.20600","0.13631","2.02010"
"8.29400","0.13779","2.04516"
"8.38400","0.13927","2.07020"
"8.47700","0.14083","2.09546"
"8.57500","0.14247","2.12067"
"8.67300","0.14406","2.14580"
"8.75000","0.14545","2.17096"
"8.82900","0.14688","2.19617"
"8.91800","0.14846","2.22137"
"9.01300","0.15005","2.24658"
