General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{F5499323-2502-499B-80F4-63B015CC6A0E}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"3_S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00471","0.24303"
"0.10000","0.00501","0.24791"
"0.18300","0.00611","0.27317"
"0.23900","0.00722","0.29819"
"0.29400","0.00841","0.32349"
"0.34800","0.00951","0.34859"
"0.40700","0.01069","0.37385"
"0.46400","0.01184","0.39887"
"0.52800","0.01301","0.42397"
"0.59200","0.01412","0.44920"
"0.66100","0.01533","0.47436"
"0.72600","0.01646","0.49965"
"0.79400","0.01760","0.52488"
"0.86800","0.01879","0.54998"
"0.93600","0.01989","0.57515"
"1.00900","0.02109","0.60023"
"1.08200","0.02228","0.62552"
"1.15300","0.02339","0.65054"
"1.23000","0.02460","0.67585"
"1.30400","0.02579","0.70106"
"1.36800","0.02687","0.72621"
"1.43900","0.02809","0.75145"
"1.50400","0.02920","0.77671"
"1.57600","0.03039","0.80211"
"1.65300","0.03165","0.82737"
"1.72300","0.03279","0.85263"
"1.79800","0.03399","0.87796"
"1.86900","0.03520","0.90299"
"1.92700","0.03628","0.92800"
"1.99800","0.03753","0.95324"
"2.06700","0.03871","0.97847"
"2.13700","0.03989","1.00381"
"2.20600","0.04110","1.02884"
"2.27400","0.04226","1.05396"
"2.35200","0.04353","1.07924"
"2.43000","0.04478","1.10434"
"2.50100","0.04595","1.12940"
"2.57500","0.04722","1.15461"
"2.65300","0.04849","1.17974"
"2.72700","0.04966","1.20482"
"2.80700","0.05088","1.23001"
"2.88800","0.05219","1.25533"
"2.95100","0.05327","1.28060"
"3.02400","0.05452","1.30576"
"3.09800","0.05573","1.33082"
"3.16900","0.05691","1.35614"
"3.24100","0.05812","1.38148"
"3.31200","0.05933","1.40670"
"3.38200","0.06049","1.43187"
"3.46100","0.06180","1.45700"
"3.53400","0.06301","1.48223"
"3.60600","0.06420","1.50730"
"3.67100","0.06536","1.53255"
"3.73700","0.06654","1.55763"
"3.80300","0.06768","1.58300"
"3.86500","0.06879","1.60810"
"3.92700","0.06990","1.63345"
"3.99400","0.07101","1.65876"
"4.06800","0.07215","1.68407"
"4.13800","0.07326","1.70942"
"4.19800","0.07430","1.73480"
"4.26100","0.07537","1.76017"
"4.32500","0.07643","1.78523"
"4.39100","0.07746","1.81035"
"4.46200","0.07859","1.83543"
"4.52700","0.07966","1.86061"
"4.59400","0.08075","1.88591"
"4.66400","0.08183","1.91116"
"4.72400","0.08280","1.93634"
"4.78800","0.08386","1.96139"
"4.84600","0.08484","1.98669"
"4.91000","0.08594","2.01181"
"4.96900","0.08695","2.03700"
"5.02900","0.08797","2.06235"
"5.09500","0.08903","2.08747"
"5.15300","0.09003","2.11262"
"5.20900","0.09102","2.13783"
"5.26900","0.09205","2.16299"
"5.32900","0.09310","2.18826"
"5.38700","0.09410","2.21351"
"5.45000","0.09516","2.23882"
"5.51300","0.09621","2.26417"
"5.57400","0.09725","2.28931"
"5.63100","0.09820","2.31442"
"5.69900","0.09928","2.33975"
"5.75900","0.10028","2.36479"
"5.82100","0.10129","2.38996"
"5.88200","0.10230","2.41507"
"5.94200","0.10331","2.44012"
"6.00500","0.10434","2.46539"
"6.06500","0.10531","2.49054"
"6.12800","0.10634","2.51561"
"6.18900","0.10732","2.54075"
"6.25400","0.10836","2.56589"
"6.31100","0.10930","2.59091"
"6.37200","0.11032","2.61620"
"6.42800","0.11127","2.64132"
"6.49100","0.11231","2.66663"
"6.54800","0.11326","2.69188"
"6.60900","0.11427","2.71703"
"6.67300","0.11529","2.74206"
"6.73300","0.11625","2.76736"
"6.79600","0.11724","2.79276"
"6.85100","0.11819","2.81801"
"6.90600","0.11915","2.84343"
"6.95800","0.12007","2.86855"
"7.01300","0.12104","2.89384"
"7.06200","0.12196","2.91914"
"7.11300","0.12290","2.94423"
"7.16600","0.12384","2.96963"
"7.22600","0.12484","2.99496"
"7.28900","0.12583","3.02024"
"7.34900","0.12680","3.04554"
"7.40700","0.12776","3.07095"
"7.46700","0.12877","3.09598"
"7.52100","0.12968","3.12106"
"7.57900","0.13065","3.14634"
"7.63800","0.13158","3.17141"
"7.70200","0.13262","3.19672"
"7.75700","0.13352","3.22177"
"7.82000","0.13454","3.24685"
"7.87600","0.13543","3.27193"
"7.93700","0.13643","3.29714"
"7.99300","0.13735","3.32246"
"8.05300","0.13835","3.34787"
"8.11000","0.13929","3.37319"
"8.17000","0.14029","3.39831"
"8.22300","0.14120","3.42341"
"8.27900","0.14218","3.44868"
"8.33800","0.14316","3.47408"
"8.39700","0.14412","3.49944"
"8.45400","0.14508","3.52472"
"8.51200","0.14608","3.54997"
"8.56900","0.14704","3.57537"
"8.62700","0.14800","3.60051"
"8.68400","0.14897","3.62592"
"8.74100","0.14993","3.65108"
"8.80000","0.15089","3.67634"
"8.85800","0.15185","3.70152"
"8.91600","0.15280","3.72657"
"8.97400","0.15375","3.75158"
"9.03500","0.15475","3.77669"
"9.09300","0.15569","3.80197"
"9.15400","0.15670","3.82718"
"9.20800","0.15761","3.85257"
"9.26600","0.15861","3.87763"
"9.32300","0.15955","3.90288"
"9.38700","0.16060","3.92801"
"9.44700","0.16157","3.95319"
"9.50700","0.16256","3.97840"
"9.56500","0.16356","4.00380"
"9.62600","0.16460","4.02890"
"9.68500","0.16558","4.05417"
"9.74900","0.16664","4.07925"
"9.81200","0.16767","4.10457"
"9.87400","0.16868","4.12983"
"9.94000","0.16981","4.15514"
"9.99700","0.17078","4.18042"
"10.06600","0.17192","4.20575"
"10.13200","0.17299","4.23096"
"10.19400","0.17406","4.25641"
"10.25400","0.17514","4.28161"
"10.31500","0.17623","4.30681"
"10.37700","0.17734","4.33208"
"10.43800","0.17840","4.35710"
"10.51800","0.17966","4.38222"
"10.59200","0.18080","4.40745"
"10.65800","0.18190","4.43265"
"10.72500","0.18303","4.45768"
"10.79400","0.18416","4.48285"
"10.86800","0.18534","4.50819"
"10.95100","0.18660","4.53352"
"11.01900","0.18773","4.55889"
"11.08700","0.18887","4.58402"
"11.15400","0.18999","4.60934"
"11.22400","0.19117","4.63460"
"11.29500","0.19235","4.65979"
"11.36100","0.19347","4.68494"
"11.42800","0.19463","4.71003"
"11.50000","0.19584","4.73514"
"11.57000","0.19701","4.76047"
"11.65100","0.19832","4.78576"
"11.71800","0.19950","4.81103"
"11.78100","0.20064","4.83633"
"11.85300","0.20188","4.86159"
"11.92100","0.20305","4.88686"
"11.99600","0.20431","4.91187"
"12.07700","0.20564","4.93715"
"12.14600","0.20681","4.96235"
"12.22400","0.20813","4.98736"
"12.30300","0.20942","5.01256"
"12.38400","0.21070","5.03774"
"12.46400","0.21198","5.06275"
"12.54900","0.21331","5.08795"
"12.63500","0.21466","5.11322"
"12.70500","0.21580","5.13835"
"12.78000","0.21706","5.16354"
"12.85500","0.21831","5.18859"
"12.92500","0.21949","5.21371"
"13.00100","0.22076","5.23886"
"13.07800","0.22205","5.26390"
"13.14700","0.22321","5.28891"
"13.22500","0.22452","5.31413"
"13.30500","0.22587","5.33948"
"13.37200","0.22702","5.36468"
"13.45100","0.22834","5.38989"
"13.52800","0.22968","5.41521"
"13.59600","0.23088","5.44028"
"13.66100","0.23208","5.46534"
"13.73300","0.23336","5.49044"
"13.81900","0.23476","5.51561"
"13.91500","0.23627","5.54072"
"13.99900","0.23768","5.56589"
"14.08000","0.23903","5.59101"
"14.16500","0.24041","5.61607"
"14.25200","0.24183","5.64131"
"14.34100","0.24330","5.66665"
"14.42800","0.24473","5.69172"
"14.51900","0.24613","5.71686"
"14.60500","0.24748","5.74208"
"14.68700","0.24884","5.76736"
"14.76400","0.25016","5.79254"
"14.84200","0.25146","5.81763"
"14.92700","0.25282","5.84282"
"15.00400","0.25417","5.86789"
"15.06700","0.25534","5.89319"
"15.14500","0.25669","5.91824"
"15.22500","0.25806","5.94329"
"15.30700","0.25942","5.96832"
"15.38600","0.26076","5.99344"
"15.46600","0.26214","6.01872"
"15.54800","0.26351","6.04375"
"15.63600","0.26494","6.06887"
"15.72900","0.26643","6.09408"
"15.81500","0.26786","6.11931"
"15.90100","0.26932","6.14437"
"15.99300","0.27082","6.16951"
"16.08000","0.27224","6.19453"
"16.16200","0.27361","6.21960"
"16.25000","0.27508","6.24462"
"16.33700","0.27654","6.26993"
"16.42200","0.27797","6.29504"
"16.52100","0.27951","6.32020"
"16.61600","0.28100","6.34534"
"16.70500","0.28242","6.37052"
"16.78300","0.28381","6.39560"
"16.84800","0.28500","6.42082"
"16.92400","0.28637","6.44606"
"17.01000","0.28783","6.47113"
"17.09600","0.28926","6.49622"
"17.18500","0.29071","6.52146"
"17.26800","0.29211","6.54668"
"17.36100","0.29365","6.57180"
"17.45600","0.29519","6.59681"
"17.54400","0.29666","6.62182"
"17.62300","0.29801","6.64696"
"17.70900","0.29945","6.67211"
"17.80900","0.30109","6.69699"
"17.89800","0.30258","6.72219"
"17.98600","0.30405","6.74733"
"18.07200","0.30550","6.77237"
"18.16600","0.30706","6.79745"
"18.26600","0.30865","6.82125"
"18.34500","0.31010","6.84643"
"18.43200","0.31158","6.87149"
"18.53200","0.31311","6.89432"
"18.63000","0.31467","6.91940"
"18.72100","0.31619","6.94448"
"18.80400","0.31764","6.96958"
"18.89100","0.31912","6.99470"
"18.98600","0.32064","7.01990"
"19.08600","0.32222","7.04445"
"19.17600","0.32373","7.06971"
"19.26900","0.32528","7.09496"
"19.36200","0.32683","7.12004"
"19.45700","0.32841","7.14520"
"19.54800","0.32996","7.17021"
"19.63600","0.33147","7.19541"
"19.73000","0.33304","7.22058"
"19.82500","0.33464","7.24575"
"19.92400","0.33629","7.27095"
"20.02400","0.33793","7.29542"
"20.10500","0.33937","7.32067"
"20.18300","0.34081","7.34576"
"20.28300","0.34250","7.37102"
"20.38300","0.34415","7.39538"
"20.48300","0.34574","7.41749"
"20.58300","0.34728","7.43854"
"20.68300","0.34887","7.46319"
"20.78300","0.35049","7.48828"
"20.88000","0.35207","7.51336"
"20.97300","0.35363","7.53851"
"21.06600","0.35519","7.56358"
"21.16400","0.35683","7.58883"
"21.26300","0.35849","7.61391"
"21.35200","0.36001","7.63907"
"21.45200","0.36161","7.66204"
"21.53300","0.36308","7.68728"
"21.61800","0.36464","7.71255"
"21.71800","0.36635","7.73687"
"21.81400","0.36796","7.76214"
"21.91400","0.36964","7.78576"
"22.01400","0.37128","7.80867"
"22.11400","0.37292","7.83219"
"22.21400","0.37459","7.85545"
"22.31400","0.37623","7.87791"
"22.41400","0.37781","7.89841"
