General : Start date,"2019-08-28"
General : End date,"2019-08-28"
General : Unique identifier,"{15E560CA-5954-4F38-A04A-0F406206B38A}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D15_3_WR4_1S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.32793"
"0.10000","0.00007","0.32960"
"0.20000","0.00034","0.33583"
"0.30000","0.00111","0.35800"
"0.40000","0.00555","0.51572"
"0.50000","0.00839","0.60173"
"0.60000","0.00973","0.63630"
"0.70000","0.01118","0.67716"
"0.80000","0.01285","0.72565"
"0.90000","0.01444","0.76958"
"1.00000","0.01612","0.81519"
"1.10000","0.01781","0.85837"
"1.20000","0.01948","0.89945"
"1.30000","0.02115","0.93408"
"1.40000","0.02284","0.96465"
"1.50000","0.02450","0.99235"
"1.60000","0.02616","1.02425"
"1.70000","0.02790","1.06230"
"1.80000","0.02962","1.11095"
"1.90000","0.03136","1.16031"
"2.00000","0.03306","1.20841"
"2.10000","0.03469","1.25252"
"2.20000","0.03634","1.29783"
"2.30000","0.03801","1.34409"
"2.40000","0.03962","1.38637"
"2.50000","0.04115","1.42761"
"2.60000","0.04284","1.47416"
"2.70000","0.04453","1.51937"
"2.80000","0.04619","1.56222"
"2.90000","0.04788","1.60572"
"3.00000","0.04955","1.65089"
"3.10000","0.05120","1.69478"
"3.20000","0.05288","1.74047"
"3.30000","0.05453","1.78216"
"3.40000","0.05626","1.82859"
"3.50000","0.05806","1.87546"
"3.60000","0.05974","1.91853"
"3.70000","0.06140","1.96108"
"3.80000","0.06308","2.00609"
"3.90000","0.06473","2.05121"
"4.00000","0.06638","2.09697"
"4.10000","0.06801","2.14369"
"4.20000","0.06969","2.19095"
"4.30000","0.07131","2.23596"
"4.40000","0.07291","2.28044"
"4.50000","0.07458","2.32772"
"4.60000","0.07622","2.37276"
"4.70000","0.07787","2.41919"
"4.80000","0.07952","2.46793"
"4.90000","0.08126","2.52028"
"5.00000","0.08305","2.57312"
"5.10000","0.08472","2.62137"
"5.20000","0.08635","2.66849"
"5.30000","0.08805","2.71835"
"5.40000","0.08974","2.76776"
"5.50000","0.09138","2.81544"
"5.60000","0.09298","2.86023"
"5.70000","0.09457","2.90563"
"5.80000","0.09619","2.95253"
"5.90000","0.09788","3.00135"
"6.00000","0.09959","3.05144"
"6.10000","0.10124","3.09847"
"6.20000","0.10289","3.14551"
