General : Start date,"2019-08-28"
General : End date,"2019-08-28"
General : Unique identifier,"{03D7228A-1EB7-42C9-BE59-A28B24A296ED}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D15_3_WR4_5S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.27098"
"0.10000","0.00008","0.27193"
"0.20000","0.00055","0.27815"
"0.30000","0.00168","0.29635"
"0.40000","0.00347","0.32477"
"0.50000","0.00596","0.36624"
"0.60000","0.00867","0.41151"
"0.70000","0.01103","0.45045"
"0.80000","0.01289","0.48011"
"0.90000","0.01453","0.50558"
"1.00000","0.01617","0.53198"
"1.10000","0.01788","0.55906"
"1.20000","0.01963","0.58688"
"1.30000","0.02142","0.61571"
"1.40000","0.02307","0.64148"
"1.50000","0.02465","0.66680"
"1.60000","0.02633","0.69358"
"1.70000","0.02796","0.71986"
"1.80000","0.02951","0.74354"
"1.90000","0.03116","0.76940"
"2.00000","0.03285","0.79569"
"2.10000","0.03448","0.82064"
"2.20000","0.03612","0.84639"
"2.30000","0.03780","0.87275"
"2.40000","0.03951","0.89952"
"2.50000","0.04119","0.92604"
"2.60000","0.04289","0.95243"
"2.70000","0.04462","0.97963"
"2.80000","0.04632","1.00627"
"2.90000","0.04808","1.03360"
"3.00000","0.04973","1.05858"
"3.10000","0.05138","1.08412"
"3.20000","0.05307","1.11004"
"3.30000","0.05470","1.13469"
"3.40000","0.05632","1.16011"
"3.50000","0.05787","1.18325"
"3.60000","0.05945","1.20780"
"3.70000","0.06111","1.23432"
"3.80000","0.06279","1.26013"
"3.90000","0.06446","1.28604"
"4.00000","0.06618","1.31330"
"4.10000","0.06786","1.33936"
"4.20000","0.06956","1.36594"
"4.30000","0.07120","1.39113"
"4.40000","0.07288","1.41777"
"4.50000","0.07470","1.44769"
"4.60000","0.07648","1.47600"
"4.70000","0.07810","1.50030"
"4.80000","0.07974","1.52512"
"4.90000","0.08143","1.55213"
"5.00000","0.08307","1.57679"
"5.10000","0.08470","1.60242"
"5.20000","0.08632","1.62817"
"5.30000","0.08792","1.65255"
"5.40000","0.08956","1.67782"
"5.50000","0.09119","1.70359"
"5.60000","0.09284","1.73047"
"5.70000","0.09451","1.75743"
"5.80000","0.09611","1.78284"
"5.90000","0.09787","1.81253"
"6.00000","0.09968","1.84276"
"6.10000","0.10139","1.87041"
"6.20000","0.10308","1.89806"
"6.30000","0.10478","1.92587"
"6.40000","0.10641","1.95183"
"6.50000","0.10804","1.97774"
"6.60000","0.10971","2.00407"
"6.70000","0.11137","2.03096"
"6.80000","0.11301","2.05703"
"6.90000","0.11460","2.08187"
"7.00000","0.11620","2.10754"
"7.10000","0.11792","2.13691"
"7.20000","0.11959","2.16405"
"7.30000","0.12124","2.19043"
"7.40000","0.12296","2.21842"
"7.50000","0.12461","2.24468"
"7.60000","0.12613","2.26863"
"7.70000","0.12783","2.29685"
"7.80000","0.12963","2.32823"
"7.90000","0.13140","2.35821"
"8.00000","0.13313","2.38715"
"8.10000","0.13473","2.41222"
"8.20000","0.13638","2.43958"
"8.30000","0.13805","2.46696"
"8.40000","0.13969","2.49386"
"8.50000","0.14130","2.51990"
"8.60000","0.14290","2.54469"
"8.70000","0.14455","2.57243"
"8.80000","0.14626","2.60104"
"8.90000","0.14795","2.62899"
"9.00000","0.14962","2.65600"
"9.10000","0.15129","2.68415"
"9.20000","0.15302","2.71284"
"9.30000","0.15478","2.74195"
"9.40000","0.15643","2.76713"
"9.50000","0.15800","2.79159"
"9.60000","0.15961","2.81738"
"9.70000","0.16130","2.84573"
"9.80000","0.16291","2.87073"
"9.90000","0.16455","2.89763"
"10.00000","0.16619","2.92466"
"10.10000","0.16786","2.95198"
"10.20000","0.16954","2.97861"
"10.30000","0.17121","3.00547"
"10.40000","0.17286","3.03184"
"10.50000","0.17457","3.05990"
"10.60000","0.17624","3.08595"
"10.70000","0.17790","3.11225"
"10.80000","0.17961","3.14006"
"10.90000","0.18126","3.16616"
"11.00000","0.18303","3.19501"
"11.10000","0.18487","3.22616"
"11.20000","0.18650","3.25000"
"11.30000","0.18812","3.27341"
"11.40000","0.18980","3.29933"
"11.50000","0.19135","3.32189"
"11.60000","0.19288","3.34406"
"11.70000","0.19449","3.36959"
"11.80000","0.19616","3.39658"
"11.90000","0.19784","3.42271"
"12.00000","0.19945","3.44708"
"12.10000","0.20112","3.47314"
"12.20000","0.20287","3.50034"
"12.30000","0.20453","3.52483"
"12.40000","0.20623","3.55093"
"12.50000","0.20803","3.57964"
"12.60000","0.20976","3.60585"
"12.70000","0.21142","3.63019"
"12.80000","0.21313","3.65588"
"12.90000","0.21480","3.67952"
"13.00000","0.21642","3.70233"
"13.10000","0.21805","3.72525"
"13.20000","0.21973","3.74942"
"13.30000","0.22138","3.77211"
"13.40000","0.22297","3.79477"
"13.50000","0.22449","3.81503"
"13.60000","0.22612","3.83878"
"13.70000","0.22783","3.86525"
"13.80000","0.22952","3.88984"
"13.90000","0.23119","3.91306"
"14.00000","0.23284","3.93571"
"14.10000","0.23456","3.96069"
"14.20000","0.23619","3.98284"
"14.30000","0.23796","4.00871"
"14.40000","0.23975","4.03483"
"14.50000","0.24148","4.05875"
"14.60000","0.24316","4.08065"
"14.70000","0.24483","4.10212"
