General : Start date,"2019-08-28"
General : End date,"2019-08-28"
General : Unique identifier,"{0E0DB90C-4100-46D9-A3A3-442401CEBF90}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D15_4_WR2_2S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.21444"
"0.10000","0.00002","0.21467"
"0.20000","0.00029","0.21592"
"0.30000","0.00097","0.22098"
"0.40000","0.00247","0.23426"
"0.50000","0.00557","0.26438"
"0.60000","0.00928","0.29802"
"0.70000","0.01108","0.31190"
"0.80000","0.01263","0.32356"
"0.90000","0.01430","0.33665"
"1.00000","0.01602","0.34993"
"1.10000","0.01769","0.36294"
"1.20000","0.01943","0.37562"
"1.30000","0.02121","0.38887"
"1.40000","0.02292","0.40055"
"1.50000","0.02462","0.41239"
"1.60000","0.02630","0.42431"
"1.70000","0.02802","0.43587"
"1.80000","0.02973","0.44763"
"1.90000","0.03137","0.45829"
"2.00000","0.03303","0.46872"
"2.10000","0.03469","0.47925"
"2.20000","0.03633","0.48923"
"2.30000","0.03791","0.49857"
"2.40000","0.03947","0.50800"
"2.50000","0.04113","0.51892"
"2.60000","0.04281","0.52943"
"2.70000","0.04447","0.53944"
"2.80000","0.04618","0.54991"
"2.90000","0.04790","0.56044"
"3.00000","0.04950","0.56932"
"3.10000","0.05126","0.58008"
"3.20000","0.05304","0.59086"
"3.30000","0.05482","0.60172"
"3.40000","0.05647","0.61096"
"3.50000","0.05806","0.61932"
"3.60000","0.05976","0.62991"
"3.70000","0.06136","0.63804"
"3.80000","0.06301","0.64761"
"3.90000","0.06468","0.65736"
"4.00000","0.06633","0.66595"
"4.10000","0.06801","0.67509"
"4.20000","0.06969","0.68444"
"4.30000","0.07132","0.69302"
"4.40000","0.07285","0.70003"
"4.50000","0.07456","0.71053"
"4.60000","0.07628","0.72002"
"4.70000","0.07796","0.72948"
"4.80000","0.07957","0.73803"
"4.90000","0.08127","0.74736"
"5.00000","0.08296","0.75636"
"5.10000","0.08462","0.76486"
"5.20000","0.08626","0.77355"
"5.30000","0.08789","0.78210"
"5.40000","0.08956","0.79088"
"5.50000","0.09128","0.80075"
"5.60000","0.09290","0.80957"
"5.70000","0.09453","0.81779"
"5.80000","0.09626","0.82751"
"5.90000","0.09798","0.83702"
"6.00000","0.09969","0.84609"
"6.10000","0.10139","0.85522"
"6.20000","0.10303","0.86322"
"6.30000","0.10461","0.87119"
"6.40000","0.10624","0.88044"
"6.50000","0.10794","0.89014"
"6.60000","0.10973","0.90127"
"6.70000","0.11137","0.90952"
"6.80000","0.11299","0.91804"
"6.90000","0.11461","0.92626"
"7.00000","0.11618","0.93466"
"7.10000","0.11785","0.94425"
"7.20000","0.11952","0.95289"
"7.30000","0.12120","0.96231"
"7.40000","0.12292","0.97203"
"7.50000","0.12459","0.98133"
"7.60000","0.12626","0.98978"
"7.70000","0.12790","0.99834"
"7.80000","0.12973","1.00896"
"7.90000","0.13153","1.01959"
"8.00000","0.13320","1.02873"
"8.10000","0.13477","1.03757"
"8.20000","0.13643","1.04762"
"8.30000","0.13804","1.05721"
"8.40000","0.13965","1.06742"
"8.50000","0.14120","1.07647"
"8.60000","0.14282","1.08749"
"8.70000","0.14451","1.09785"
"8.80000","0.14617","1.10847"
"8.90000","0.14777","1.11772"
"9.00000","0.14944","1.12829"
"9.10000","0.15118","1.13998"
"9.20000","0.15286","1.15010"
"9.30000","0.15456","1.16111"
"9.40000","0.15619","1.17068"
"9.50000","0.15794","1.18207"
"9.60000","0.15983","1.19524"
"9.70000","0.16156","1.20530"
"9.80000","0.16317","1.21393"
"9.90000","0.16481","1.22293"
"10.00000","0.16650","1.23289"
"10.10000","0.16817","1.24242"
"10.20000","0.16972","1.25129"
"10.30000","0.17122","1.25943"
"10.40000","0.17280","1.26898"
"10.50000","0.17449","1.27983"
"10.60000","0.17615","1.28917"
"10.70000","0.17781","1.29939"
"10.80000","0.17953","1.31079"
"10.90000","0.18123","1.32125"
"11.00000","0.18286","1.33042"
"11.10000","0.18458","1.34134"
"11.20000","0.18627","1.35198"
"11.30000","0.18801","1.36191"
"11.40000","0.18980","1.37398"
"11.50000","0.19151","1.38347"
"11.60000","0.19313","1.39189"
"11.70000","0.19472","1.40087"
"11.80000","0.19636","1.40993"
"11.90000","0.19805","1.42036"
"12.00000","0.19973","1.42974"
"12.10000","0.20133","1.43914"
"12.20000","0.20292","1.44756"
"12.30000","0.20448","1.45598"
"12.40000","0.20613","1.46544"
"12.50000","0.20780","1.47588"
"12.60000","0.20946","1.48613"
"12.70000","0.21114","1.49568"
"12.80000","0.21290","1.50678"
"12.90000","0.21461","1.51749"
"13.00000","0.21637","1.52817"
"13.10000","0.21807","1.53820"
"13.20000","0.21970","1.54693"
"13.30000","0.22139","1.55644"
"13.40000","0.22304","1.56537"
"13.50000","0.22472","1.57482"
