General : Start date,"2019-08-28"
General : End date,"2019-08-28"
General : Unique identifier,"{611EA710-D33D-48C1-B591-4A18A9A18C85}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D15_4_WR3_2S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.33011"
"0.10000","0.00008","0.33206"
"0.20000","0.00072","0.35233"
"0.30000","0.00251","0.41713"
"0.40000","0.00487","0.50172"
"0.50000","0.00722","0.58455"
"0.60000","0.00939","0.65974"
"0.70000","0.01124","0.72257"
"0.80000","0.01286","0.77647"
"0.90000","0.01455","0.83495"
"1.00000","0.01626","0.89302"
"1.10000","0.01793","0.94917"
"1.20000","0.01955","1.00413"
"1.30000","0.02118","1.05789"
"1.40000","0.02280","1.11470"
"1.50000","0.02449","1.17378"
"1.60000","0.02623","1.23507"
"1.70000","0.02792","1.29300"
"1.80000","0.02957","1.34994"
"1.90000","0.03121","1.40699"
"2.00000","0.03289","1.46640"
"2.10000","0.03454","1.52349"
"2.20000","0.03618","1.58129"
"2.30000","0.03789","1.64093"
"2.40000","0.03956","1.69974"
"2.50000","0.04123","1.75762"
"2.60000","0.04287","1.81442"
"2.70000","0.04453","1.87295"
"2.80000","0.04615","1.92912"
"2.90000","0.04787","1.98952"
"3.00000","0.04955","2.04800"
"3.10000","0.05121","2.10371"
"3.20000","0.05285","2.15948"
"3.30000","0.05458","2.21768"
"3.40000","0.05636","2.27986"
"3.50000","0.05812","2.34025"
"3.60000","0.05976","2.39469"
"3.70000","0.06138","2.44784"
"3.80000","0.06306","2.50503"
"3.90000","0.06468","2.55932"
"4.00000","0.06630","2.61399"
"4.10000","0.06788","2.66632"
"4.20000","0.06953","2.72313"
"4.30000","0.07120","2.78340"
"4.40000","0.07285","2.84485"
"4.50000","0.07450","2.90753"
"4.60000","0.07622","2.97495"
"4.70000","0.07785","3.03662"
"4.80000","0.07957","3.10475"
"4.90000","0.08134","3.17486"
"5.00000","0.08308","3.24290"
"5.10000","0.08473","3.30704"
"5.20000","0.08639","3.37139"
"5.30000","0.08808","3.43979"
"5.40000","0.08971","3.50295"
"5.50000","0.09135","3.56725"
"5.60000","0.09299","3.63243"
"5.70000","0.09461","3.69467"
"5.80000","0.09619","3.75719"
"5.90000","0.09780","3.82158"
"6.00000","0.09947","3.89072"
"6.10000","0.10115","3.95984"
"6.20000","0.10286","4.03097"
"6.30000","0.10454","4.10038"
"6.40000","0.10624","4.17004"
"6.50000","0.10785","4.23467"
"6.60000","0.10957","4.30643"
"6.70000","0.11141","4.38446"
"6.80000","0.11313","4.45408"
"6.90000","0.11475","4.51796"
"7.00000","0.11640","4.58542"
"7.10000","0.11811","4.65614"
"7.20000","0.11973","4.72317"
"7.30000","0.12135","4.79080"
"7.40000","0.12302","4.86110"
"7.50000","0.12467","4.92795"
"7.60000","0.12628","4.99398"
"7.70000","0.12791","5.06065"
"7.80000","0.12950","5.12652"
"7.90000","0.13115","5.19871"
"8.00000","0.13283","5.27238"
"8.10000","0.13457","5.34941"
"8.20000","0.13635","5.42832"
"8.30000","0.13807","5.50309"
"8.40000","0.13972","5.57137"
"8.50000","0.14138","5.64170"
"8.60000","0.14310","5.71597"
"8.70000","0.14472","5.78371"
"8.80000","0.14638","5.85524"
"8.90000","0.14800","5.92620"
"9.00000","0.14964","6.00036"
"9.10000","0.15128","6.07470"
"9.20000","0.15289","6.14610"
"9.30000","0.15453","6.21867"
"9.40000","0.15620","6.29503"
"9.50000","0.15792","6.37200"
"9.60000","0.15958","6.44567"
"9.70000","0.16121","6.51845"
"9.80000","0.16279","6.58836"
"9.90000","0.16457","6.67301"
"10.00000","0.16635","6.75548"
"10.10000","0.16804","6.82958"
"10.20000","0.16976","6.90524"
"10.30000","0.17140","6.97566"
"10.40000","0.17302","7.04432"
"10.50000","0.17467","7.11665"
"10.60000","0.17632","7.18912"
"10.70000","0.17796","7.26171"
"10.80000","0.17958","7.33370"
"10.90000","0.18121","7.40742"
"11.00000","0.18289","7.48323"
"11.10000","0.18457","7.55843"
"11.20000","0.18625","7.63488"
"11.30000","0.18793","7.70995"
"11.40000","0.18963","7.78828"
"11.50000","0.19140","7.87084"
"11.60000","0.19308","7.94449"
"11.70000","0.19474","8.01849"
"11.80000","0.19634","8.09054"
"11.90000","0.19800","8.16709"
"12.00000","0.19962","8.24187"
"12.10000","0.20122","8.31374"
"12.20000","0.20284","8.38874"
"12.30000","0.20455","8.46981"
"12.40000","0.20622","8.54685"
"12.50000","0.20785","8.62082"
"12.60000","0.20954","8.70004"
"12.70000","0.21125","8.78063"
"12.80000","0.21290","8.85579"
"12.90000","0.21456","8.93249"
"13.00000","0.21625","9.01116"
"13.10000","0.21790","9.08749"
"13.20000","0.21967","9.17462"
"13.30000","0.22150","9.26552"
"13.40000","0.22317","9.34240"
"13.50000","0.22482","9.41856"
"13.60000","0.22646","9.49377"
"13.70000","0.22802","9.56368"
"13.80000","0.22964","9.64194"
"13.90000","0.23121","9.71618"
"14.00000","0.23281","9.79464"
"14.10000","0.23450","9.87932"
"14.20000","0.23617","9.96160"
"14.30000","0.23783","10.04164"
"14.40000","0.23955","10.12572"
"14.50000","0.24122","10.20459"
"14.60000","0.24292","10.28575"
"14.70000","0.24468","10.37339"
"14.80000","0.24639","10.45542"
"14.90000","0.24807","10.53473"
"15.00000","0.24979","10.61737"
"15.10000","0.25143","10.69277"
"15.20000","0.25307","10.76721"
"15.30000","0.25473","10.84440"
"15.40000","0.25638","10.91930"
"15.50000","0.25800","10.99142"
"15.60000","0.25971","11.07152"
"15.70000","0.26132","11.14363"
"15.80000","0.26282","11.20991"
"15.90000","0.26444","11.28592"
"16.00000","0.26612","11.36778"
"16.10000","0.26783","11.44907"
"16.20000","0.26956","11.53159"
"16.30000","0.27126","11.60957"
"16.40000","0.27288","11.68091"
"16.50000","0.27464","11.76481"
"16.60000","0.27640","11.84767"
"16.70000","0.27808","11.92326"
"16.80000","0.27979","12.00110"
"16.90000","0.28149","12.07820"
"17.00000","0.28308","12.14417"
"17.10000","0.28467","12.21200"
"17.20000","0.28632","12.28551"
"17.30000","0.28799","12.35909"
"17.40000","0.28964","12.43226"
"17.50000","0.29125","12.50278"
"17.60000","0.29290","12.57561"
"17.70000","0.29453","12.65002"
"17.80000","0.29608","12.71523"
"17.90000","0.29788","12.80395"
"18.00000","0.29958","12.87957"
"18.10000","0.30124","12.95329"
"18.20000","0.30291","13.02594"
"18.30000","0.30465","13.10584"
"18.40000","0.30641","13.18612"
"18.50000","0.30802","13.25161"
"18.60000","0.30964","13.31762"
"18.70000","0.31128","13.38612"
"18.80000","0.31293","13.45553"
"18.90000","0.31458","13.52354"
"19.00000","0.31622","13.59051"
"19.10000","0.31790","13.66145"
"19.20000","0.31957","13.73036"
"19.30000","0.32125","13.79916"
"19.40000","0.32291","13.86573"
"19.50000","0.32461","13.93718"
"19.60000","0.32625","14.00130"
"19.70000","0.32787","14.06585"
"19.80000","0.32959","14.13952"
"19.90000","0.33131","14.21320"
"20.00000","0.33302","14.28543"
"20.10000","0.33470","14.35259"
"20.20000","0.33632","14.41688"
"20.30000","0.33789","14.47440"
"20.40000","0.33954","14.54010"
"20.50000","0.34122","14.61450"
"20.60000","0.34290","14.68131"
"20.70000","0.34452","14.73987"
"20.80000","0.34619","14.80452"
"20.90000","0.34791","14.87467"
"21.00000","0.34962","14.94195"
"21.10000","0.35122","14.99960"
"21.20000","0.35297","15.06984"
"21.30000","0.35480","15.14458"
"21.40000","0.35646","15.20299"
"21.50000","0.35807","15.25985"
"21.60000","0.35969","15.31861"
"21.70000","0.36139","15.38630"
"21.80000","0.36298","15.44315"
"21.90000","0.36451","15.49520"
"22.00000","0.36617","15.56093"
"22.10000","0.36785","15.62660"
"22.20000","0.36948","15.68656"
"22.30000","0.37115","15.75130"
"22.40000","0.37283","15.81372"
"22.50000","0.37450","15.87479"
"22.60000","0.37632","15.95645"
"22.70000","0.37795","16.01174"
"22.80000","0.37958","16.06794"
"22.90000","0.38121","16.12729"
"23.00000","0.38297","16.19479"
"23.10000","0.38480","16.26762"
"23.20000","0.38655","16.33108"
"23.30000","0.38814","16.38085"
"23.40000","0.38974","16.42136"
"23.50000","0.39140","16.48013"
"23.60000","0.39302","16.53485"
"23.70000","0.39460","16.58867"
"23.80000","0.39616","16.64169"
"23.90000","0.39782","16.70392"
"24.00000","0.39948","16.76598"
"24.10000","0.40113","16.82650"
"24.20000","0.40281","16.88932"
"24.30000","0.40459","16.96842"
"24.40000","0.40623","17.02277"
"24.50000","0.40794","17.08467"
"24.60000","0.40973","17.15365"
"24.70000","0.41148","17.21755"
"24.80000","0.41309","17.26930"
"24.90000","0.41472","17.32354"
"25.00000","0.41646","17.38647"
"25.10000","0.41810","17.43972"
"25.20000","0.41970","17.48955"
"25.30000","0.42136","17.54552"
"25.40000","0.42300","17.59963"
"25.50000","0.42466","17.65667"
"25.60000","0.42629","17.70957"
"25.70000","0.42783","17.75587"
"25.80000","0.42946","17.81156"
"25.90000","0.43116","17.87457"
"26.00000","0.43282","17.92985"
"26.10000","0.43455","17.99342"
"26.20000","0.43619","18.04919"
"26.30000","0.43791","18.11269"
"26.40000","0.43974","18.18648"
"26.50000","0.44147","18.24260"
"26.60000","0.44312","18.29065"
"26.70000","0.44473","18.33634"
"26.80000","0.44636","18.38604"
"26.90000","0.44805","18.44248"
"27.00000","0.44970","18.49258"
"27.10000","0.45133","18.54235"
"27.20000","0.45302","18.59640"
"27.30000","0.45465","18.64569"
