General : Start date,"2019-08-28"
General : End date,"2019-08-28"
General : Unique identifier,"{FD372D67-E75C-4D16-89C7-D9BD7C499280}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D15_4_WR3_6S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.27115"
"0.10000","0.00011","0.27263"
"0.20000","0.00078","0.28301"
"0.30000","0.00212","0.30425"
"0.40000","0.00410","0.33552"
"0.50000","0.00652","0.37431"
"0.60000","0.00900","0.41503"
"0.70000","0.01098","0.44579"
"0.80000","0.01281","0.47274"
"0.90000","0.01457","0.49895"
"1.00000","0.01626","0.52402"
"1.10000","0.01809","0.55270"
"1.20000","0.01976","0.57820"
"1.30000","0.02131","0.60333"
"1.40000","0.02292","0.62921"
"1.50000","0.02453","0.65584"
"1.60000","0.02620","0.68250"
"1.70000","0.02788","0.71061"
"1.80000","0.02952","0.73722"
"1.90000","0.03118","0.76459"
"2.00000","0.03284","0.79192"
"2.10000","0.03453","0.81952"
"2.20000","0.03620","0.84658"
"2.30000","0.03787","0.87407"
"2.40000","0.03965","0.90359"
"2.50000","0.04139","0.93192"
"2.60000","0.04303","0.95896"
"2.70000","0.04463","0.98567"
"2.80000","0.04616","1.01173"
"2.90000","0.04789","1.04149"
"3.00000","0.04955","1.06933"
"3.10000","0.05119","1.09696"
"3.20000","0.05288","1.12482"
"3.30000","0.05453","1.15175"
"3.40000","0.05615","1.17884"
"3.50000","0.05786","1.20692"
"3.60000","0.05952","1.23421"
"3.70000","0.06120","1.26113"
"3.80000","0.06286","1.28809"
"3.90000","0.06457","1.31634"
"4.00000","0.06628","1.34341"
"4.10000","0.06788","1.36749"
"4.20000","0.06965","1.39553"
"4.30000","0.07150","1.42618"
"4.40000","0.07315","1.45058"
"4.50000","0.07470","1.47409"
"4.60000","0.07634","1.50018"
"4.70000","0.07796","1.52605"
"4.80000","0.07951","1.54925"
"4.90000","0.08117","1.57618"
"5.00000","0.08288","1.60270"
"5.10000","0.08451","1.62834"
"5.20000","0.08618","1.65389"
"5.30000","0.08788","1.68026"
"5.40000","0.08955","1.70635"
"5.50000","0.09123","1.73228"
"5.60000","0.09289","1.75806"
"5.70000","0.09470","1.78694"
"5.80000","0.09643","1.81332"
"5.90000","0.09809","1.83768"
"6.00000","0.09977","1.86221"
"6.10000","0.10143","1.88753"
"6.20000","0.10307","1.91170"
"6.30000","0.10470","1.93601"
"6.40000","0.10630","1.96034"
"6.50000","0.10784","1.98232"
"6.60000","0.10948","2.00853"
"6.70000","0.11113","2.03339"
"6.80000","0.11276","2.05846"
"6.90000","0.11446","2.08553"
"7.00000","0.11614","2.11152"
"7.10000","0.11784","2.13818"
"7.20000","0.11952","2.16451"
"7.30000","0.12122","2.19111"
"7.40000","0.12289","2.21664"
"7.50000","0.12470","2.24515"
"7.60000","0.12651","2.27274"
"7.70000","0.12816","2.29697"
"7.80000","0.12976","2.31968"
"7.90000","0.13148","2.34585"
"8.00000","0.13316","2.37152"
"8.10000","0.13472","2.39388"
"8.20000","0.13634","2.41742"
"8.30000","0.13803","2.44312"
"8.40000","0.13958","2.46587"
"8.50000","0.14115","2.48867"
"8.60000","0.14278","2.51396"
"8.70000","0.14448","2.54036"
"8.80000","0.14615","2.56605"
"8.90000","0.14785","2.59218"
"9.00000","0.14960","2.62028"
"9.10000","0.15126","2.64483"
"9.20000","0.15297","2.67330"
"9.30000","0.15476","2.70118"
"9.40000","0.15642","2.72534"
"9.50000","0.15807","2.74876"
"9.60000","0.15974","2.77386"
"9.70000","0.16137","2.79720"
"9.80000","0.16302","2.82179"
"9.90000","0.16471","2.84771"
"10.00000","0.16638","2.87294"
"10.10000","0.16804","2.89761"
"10.20000","0.16965","2.92033"
"10.30000","0.17134","2.94576"
"10.40000","0.17296","2.96903"
"10.50000","0.17449","2.99027"
"10.60000","0.17613","3.01468"
"10.70000","0.17790","3.04267"
"10.80000","0.17967","3.07033"
"10.90000","0.18136","3.09618"
"11.00000","0.18303","3.12071"
"11.10000","0.18470","3.14567"
"11.20000","0.18641","3.17174"
"11.30000","0.18803","3.19468"
"11.40000","0.18963","3.21677"
"11.50000","0.19125","3.23863"
"11.60000","0.19295","3.26422"
"11.70000","0.19469","3.29000"
"11.80000","0.19636","3.31418"
"11.90000","0.19799","3.33685"
"12.00000","0.19969","3.36191"
"12.10000","0.20141","3.38639"
"12.20000","0.20306","3.40895"
"12.30000","0.20471","3.43205"
"12.40000","0.20635","3.45423"
"12.50000","0.20801","3.47776"
"12.60000","0.20968","3.50193"
"12.70000","0.21137","3.52718"
"12.80000","0.21299","3.54867"
"12.90000","0.21458","3.57101"
"13.00000","0.21620","3.59346"
"13.10000","0.21787","3.61786"
"13.20000","0.21953","3.64156"
"13.30000","0.22119","3.66417"
"13.40000","0.22286","3.68760"
"13.50000","0.22458","3.71251"
"13.60000","0.22629","3.73651"
"13.70000","0.22795","3.75901"
"13.80000","0.22966","3.78261"
"13.90000","0.23135","3.80499"
"14.00000","0.23308","3.82929"
"14.10000","0.23485","3.85370"
"14.20000","0.23656","3.87634"
"14.30000","0.23821","3.89806"
"14.40000","0.23975","3.91759"
"14.50000","0.24129","3.93712"
"14.60000","0.24289","3.95858"
"14.70000","0.24452","3.98109"
"14.80000","0.24618","4.00373"
"14.90000","0.24783","4.02670"
"15.00000","0.24950","4.05006"
"15.10000","0.25119","4.07272"
"15.20000","0.25286","4.09582"
"15.30000","0.25453","4.11772"
"15.40000","0.25619","4.14002"
"15.50000","0.25801","4.16668"
"15.60000","0.25976","4.19031"
"15.70000","0.26141","4.21039"
"15.80000","0.26312","4.23361"
"15.90000","0.26481","4.25543"
"16.00000","0.26646","4.27673"
"16.10000","0.26810","4.29713"
"16.20000","0.26978","4.31950"
"16.30000","0.27134","4.33715"
"16.40000","0.27285","4.35558"
"16.50000","0.27447","4.37665"
"16.60000","0.27615","4.39914"
"16.70000","0.27782","4.42151"
"16.80000","0.27948","4.44301"
"16.90000","0.28119","4.46644"
"17.00000","0.28285","4.48895"
"17.10000","0.28455","4.51172"
"17.20000","0.28617","4.53261"
"17.30000","0.28788","4.55642"
"17.40000","0.28970","4.58221"
"17.50000","0.29153","4.60768"
"17.60000","0.29316","4.62805"
"17.70000","0.29484","4.65050"
"17.80000","0.29646","4.67139"
"17.90000","0.29807","4.69141"
"18.00000","0.29968","4.71171"
"18.10000","0.30137","4.73399"
"18.20000","0.30305","4.75522"
"18.30000","0.30468","4.77570"
"18.40000","0.30622","4.79374"
"18.50000","0.30776","4.81330"
"18.60000","0.30940","4.83468"
"18.70000","0.31118","4.86127"
"18.80000","0.31291","4.88494"
"18.90000","0.31458","4.90662"
"19.00000","0.31629","4.93004"
"19.10000","0.31801","4.95272"
"19.20000","0.31970","4.97453"
"19.30000","0.32132","4.99431"
"19.40000","0.32305","5.01735"
