General : Start date,"2019-08-28"
General : End date,"2019-08-28"
General : Unique identifier,"{C0D215F5-DEC4-4307-9BDC-C15B68FB340C}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D15_4_WR4_1S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.37762"
"0.10000","0.00009","0.37868"
"0.20000","0.00072","0.38608"
"0.30000","0.00239","0.41091"
"0.40000","0.00468","0.44513"
"0.50000","0.00733","0.48376"
"0.60000","0.00955","0.51664"
"0.70000","0.01136","0.54233"
"0.80000","0.01301","0.56555"
"0.90000","0.01468","0.58996"
"1.00000","0.01629","0.61219"
"1.10000","0.01786","0.63487"
"1.20000","0.01948","0.65812"
"1.30000","0.02107","0.68073"
"1.40000","0.02271","0.70405"
"1.50000","0.02435","0.72750"
"1.60000","0.02603","0.75096"
"1.70000","0.02778","0.77593"
"1.80000","0.02944","0.79917"
"1.90000","0.03109","0.82219"
"2.00000","0.03291","0.84792"
"2.10000","0.03458","0.87142"
"2.20000","0.03632","0.89574"
"2.30000","0.03813","0.92130"
"2.40000","0.03978","0.94394"
"2.50000","0.04139","0.96652"
"2.60000","0.04309","0.98997"
"2.70000","0.04473","1.01255"
"2.80000","0.04637","1.03469"
"2.90000","0.04804","1.05769"
"3.00000","0.04964","1.07859"
"3.10000","0.05123","1.09978"
"3.20000","0.05290","1.12260"
"3.30000","0.05453","1.14552"
"3.40000","0.05613","1.16745"
"3.50000","0.05785","1.19161"
"3.60000","0.05950","1.21438"
"3.70000","0.06127","1.23946"
"3.80000","0.06299","1.26312"
"3.90000","0.06473","1.28679"
"4.00000","0.06643","1.31002"
"4.10000","0.06809","1.33298"
"4.20000","0.06973","1.35526"
"4.30000","0.07138","1.37763"
"4.40000","0.07300","1.40013"
"4.50000","0.07460","1.42199"
"4.60000","0.07624","1.44466"
"4.70000","0.07788","1.46706"
"4.80000","0.07956","1.48990"
"4.90000","0.08122","1.51276"
"5.00000","0.08288","1.53537"
"5.10000","0.08456","1.55851"
"5.20000","0.08622","1.58077"
"5.30000","0.08783","1.60331"
"5.40000","0.08948","1.62599"
"5.50000","0.09127","1.65103"
"5.60000","0.09295","1.67498"
"5.70000","0.09465","1.69891"
"5.80000","0.09641","1.72317"
"5.90000","0.09806","1.74584"
"6.00000","0.09969","1.76817"
"6.10000","0.10131","1.78999"
"6.20000","0.10297","1.81243"
"6.30000","0.10461","1.83412"
"6.40000","0.10624","1.85639"
"6.50000","0.10789","1.87820"
"6.60000","0.10955","1.90021"
"6.70000","0.11125","1.92242"
"6.80000","0.11294","1.94516"
"6.90000","0.11456","1.96522"
"7.00000","0.11628","1.98697"
"7.10000","0.11807","2.01093"
"7.20000","0.11977","2.03174"
"7.30000","0.12134","2.05056"
"7.40000","0.12297","2.07068"
"7.50000","0.12465","2.09137"
"7.60000","0.12626","2.11130"
"7.70000","0.12787","2.12996"
"7.80000","0.12953","2.14979"
"7.90000","0.13121","2.16990"
"8.00000","0.13286","2.18907"
"8.10000","0.13455","2.20870"
"8.20000","0.13623","2.22833"
"8.30000","0.13789","2.24679"
"8.40000","0.13955","2.26579"
"8.50000","0.14130","2.28520"
"8.60000","0.14294","2.30336"
"8.70000","0.14464","2.32243"
"8.80000","0.14643","2.34251"
"8.90000","0.14813","2.36135"
"9.00000","0.14983","2.37995"
"9.10000","0.15148","2.39680"
"9.20000","0.15308","2.41317"
"9.30000","0.15467","2.42950"
"9.40000","0.15624","2.44575"
"9.50000","0.15780","2.46226"
"9.60000","0.15951","2.48096"
"9.70000","0.16120","2.49888"
"9.80000","0.16283","2.51595"
"9.90000","0.16453","2.53384"
"10.00000","0.16624","2.55181"
"10.10000","0.16785","2.56813"
"10.20000","0.16961","2.58677"
"10.30000","0.17140","2.60539"
"10.40000","0.17311","2.62313"
"10.50000","0.17480","2.64049"
"10.60000","0.17643","2.65649"
"10.70000","0.17804","2.67200"
"10.80000","0.17976","2.68969"
"10.90000","0.18141","2.70535"
"11.00000","0.18303","2.72097"
"11.10000","0.18469","2.73745"
"11.20000","0.18631","2.75285"
"11.30000","0.18784","2.76636"
"11.40000","0.18948","2.78291"
"11.50000","0.19118","2.80030"
"11.60000","0.19283","2.81703"
"11.70000","0.19450","2.83250"
"11.80000","0.19622","2.84991"
"11.90000","0.19786","2.86550"
"12.00000","0.19957","2.88221"
"12.10000","0.20134","2.89805"
"12.20000","0.20317","2.91617"
"12.30000","0.20484","2.93076"
"12.40000","0.20647","2.94542"
"12.50000","0.20811","2.95961"
"12.60000","0.20970","2.97273"
"12.70000","0.21133","2.98743"
"12.80000","0.21297","3.00145"
"12.90000","0.21460","3.01550"
"13.00000","0.21624","3.03008"
"13.10000","0.21797","3.04583"
"13.20000","0.21964","3.05924"
"13.30000","0.22113","3.07156"
"13.40000","0.22273","3.08538"
"13.50000","0.22456","3.10294"
"13.60000","0.22624","3.11747"
"13.70000","0.22789","3.13145"
