General : Start date,"2019-08-28"
General : End date,"2019-08-28"
General : Unique identifier,"{84C44132-C5B4-425A-9B69-53E7D5B52494}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D15_5_WR2_4S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.21695"
"0.10000","0.00008","0.21742"
"0.20000","0.00054","0.21919"
"0.30000","0.00169","0.22554"
"0.40000","0.00352","0.23510"
"0.50000","0.00597","0.24899"
"0.60000","0.00870","0.26464"
"0.70000","0.01103","0.27688"
"0.80000","0.01288","0.28632"
"0.90000","0.01453","0.29428"
"1.00000","0.01621","0.30252"
"1.10000","0.01791","0.31151"
"1.20000","0.01954","0.31932"
"1.30000","0.02130","0.32802"
"1.40000","0.02298","0.33649"
"1.50000","0.02460","0.34409"
"1.60000","0.02621","0.35211"
"1.70000","0.02787","0.36040"
"1.80000","0.02953","0.36806"
"1.90000","0.03122","0.37624"
"2.00000","0.03287","0.38357"
"2.10000","0.03447","0.39131"
"2.20000","0.03611","0.39968"
"2.30000","0.03778","0.40743"
"2.40000","0.03946","0.41563"
"2.50000","0.04119","0.42401"
"2.60000","0.04286","0.43240"
"2.70000","0.04462","0.44016"
"2.80000","0.04644","0.44943"
"2.90000","0.04814","0.45665"
"3.00000","0.04978","0.46448"
"3.10000","0.05148","0.47275"
"3.20000","0.05317","0.48029"
"3.30000","0.05471","0.48725"
"3.40000","0.05633","0.49460"
"3.50000","0.05789","0.50186"
"3.60000","0.05947","0.50891"
"3.70000","0.06112","0.51649"
"3.80000","0.06276","0.52349"
"3.90000","0.06440","0.53134"
"4.00000","0.06617","0.53933"
"4.10000","0.06785","0.54660"
"4.20000","0.06951","0.55406"
"4.30000","0.07125","0.56183"
"4.40000","0.07285","0.56866"
"4.50000","0.07464","0.57090"
"4.60000","0.07641","0.57646"
"4.70000","0.07809","0.58398"
"4.80000","0.07979","0.59167"
"4.90000","0.08147","0.59867"
"5.00000","0.08308","0.60533"
"5.10000","0.08472","0.61227"
"5.20000","0.08636","0.61875"
"5.30000","0.08800","0.62560"
"5.40000","0.08962","0.63238"
"5.50000","0.09116","0.63866"
"5.60000","0.09279","0.64537"
"5.70000","0.09445","0.65272"
"5.80000","0.09618","0.65965"
"5.90000","0.09785","0.66669"
"6.00000","0.09952","0.67301"
"6.10000","0.10132","0.68086"
"6.20000","0.10311","0.68750"
"6.30000","0.10473","0.69397"
"6.40000","0.10637","0.69975"
"6.50000","0.10810","0.70612"
"6.60000","0.10973","0.71197"
"6.70000","0.11136","0.71791"
"6.80000","0.11305","0.72403"
"6.90000","0.11469","0.72981"
"7.00000","0.11632","0.73559"
"7.10000","0.11796","0.73851"
"7.20000","0.11959","0.74106"
"7.30000","0.12120","0.74726"
"7.40000","0.12278","0.75285"
"7.50000","0.12446","0.75902"
"7.60000","0.12605","0.76454"
"7.70000","0.12786","0.77223"
"7.80000","0.12962","0.77879"
"7.90000","0.13131","0.78453"
"8.00000","0.13306","0.79120"
"8.10000","0.13476","0.79738"
"8.20000","0.13645","0.80318"
"8.30000","0.13806","0.80828"
"8.40000","0.13965","0.81352"
"8.50000","0.14135","0.81940"
"8.60000","0.14300","0.82481"
"8.70000","0.14465","0.83047"
"8.80000","0.14635","0.83608"
