General : Start date,"2019-08-28"
General : End date,"2019-08-28"
General : Unique identifier,"{0F6BC76A-0AC9-456A-85EF-67272A0F2EE5}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D15_5_WR3_1S3"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.24979"
"0.10000","0.00007","0.25026"
"0.20000","0.00067","0.25657"
"0.30000","0.00232","0.27865"
"0.40000","0.00453","0.30812"
"0.50000","0.00699","0.34068"
"0.60000","0.00935","0.37164"
"0.70000","0.01121","0.39385"
"0.80000","0.01285","0.41356"
"0.90000","0.01455","0.43167"
"1.00000","0.01623","0.44696"
"1.10000","0.01796","0.46676"
"1.20000","0.01964","0.48420"
"1.30000","0.02121","0.49035"
"1.40000","0.02281","0.51139"
"1.50000","0.02446","0.53192"
"1.60000","0.02613","0.55262"
"1.70000","0.02772","0.57196"
"1.80000","0.02950","0.59281"
"1.90000","0.03134","0.61257"
"2.00000","0.03309","0.62843"
"2.10000","0.03471","0.64296"
"2.20000","0.03635","0.66244"
"2.30000","0.03794","0.68156"
"2.40000","0.03956","0.70056"
"2.50000","0.04119","0.71982"
"2.60000","0.04287","0.73888"
"2.70000","0.04452","0.75677"
"2.80000","0.04618","0.77307"
"2.90000","0.04788","0.77873"
"3.00000","0.04957","0.79524"
"3.10000","0.05121","0.81432"
"3.20000","0.05300","0.83573"
"3.30000","0.05477","0.85632"
"3.40000","0.05641","0.87403"
"3.50000","0.05803","0.89319"
"3.60000","0.05966","0.91158"
"3.70000","0.06139","0.92972"
"3.80000","0.06303","0.94631"
"3.90000","0.06461","0.94470"
"4.00000","0.06623","0.96002"
"4.10000","0.06785","0.97982"
"4.20000","0.06954","1.00071"
"4.30000","0.07121","1.02063"
"4.40000","0.07285","1.03992"
"4.50000","0.07451","1.05953"
"4.60000","0.07621","1.07917"
"4.70000","0.07786","1.09776"
"4.80000","0.07952","1.11565"
"4.90000","0.08124","1.13376"
"5.00000","0.08292","1.14274"
"5.10000","0.08476","1.14265"
"5.20000","0.08647","1.16195"
"5.30000","0.08807","1.18116"
"5.40000","0.08974","1.20129"
"5.50000","0.09138","1.22091"
"5.60000","0.09298","1.23973"
"5.70000","0.09464","1.25940"
"5.80000","0.09629","1.27861"
"5.90000","0.09787","1.29615"
"6.00000","0.09950","1.31413"
"6.10000","0.10122","1.33346"
"6.20000","0.10289","1.35115"
"6.30000","0.10455","1.36485"
"6.40000","0.10618","1.34780"
"6.50000","0.10796","1.36942"
"6.60000","0.10972","1.39160"
"6.70000","0.11143","1.41231"
"6.80000","0.11309","1.43174"
"6.90000","0.11480","1.45166"
"7.00000","0.11645","1.47029"
"7.10000","0.11805","1.48737"
"7.20000","0.11969","1.50532"
"7.30000","0.12122","1.52208"
"7.40000","0.12281","1.54015"
"7.50000","0.12451","1.55891"
"7.60000","0.12618","1.57706"
"7.70000","0.12783","1.59353"
"7.80000","0.12949","1.60836"
"7.90000","0.13119","1.60489"
"8.00000","0.13290","1.59987"
"8.10000","0.13451","1.61856"
"8.20000","0.13619","1.63959"
"8.30000","0.13801","1.66233"
"8.40000","0.13983","1.68466"
"8.50000","0.14148","1.70391"
"8.60000","0.14314","1.72227"
"8.70000","0.14480","1.74055"
"8.80000","0.14642","1.75843"
"8.90000","0.14805","1.77497"
"9.00000","0.14965","1.79147"
"9.10000","0.15130","1.80866"
"9.20000","0.15288","1.82435"
"9.30000","0.15448","1.84056"
"9.40000","0.15612","1.85769"
"9.50000","0.15785","1.87632"
"9.60000","0.15956","1.89396"
"9.70000","0.16120","1.90952"
"9.80000","0.16290","1.92579"
"9.90000","0.16464","1.94187"
"10.00000","0.16639","1.91160"
"10.10000","0.16809","1.93087"
"10.20000","0.16977","1.95135"
"10.30000","0.17139","1.97154"
"10.40000","0.17306","1.99225"
"10.50000","0.17468","2.01139"
"10.60000","0.17633","2.03100"
"10.70000","0.17801","2.05071"
"10.80000","0.17967","2.06984"
"10.90000","0.18126","2.08775"
"11.00000","0.18288","2.10568"
"11.10000","0.18451","2.12422"
"11.20000","0.18614","2.14228"
"11.30000","0.18777","2.16058"
"11.40000","0.18940","2.17912"
"11.50000","0.19122","2.20080"
"11.60000","0.19294","2.22010"
"11.70000","0.19462","2.23828"
"11.80000","0.19642","2.25886"
"11.90000","0.19812","2.27706"
"12.00000","0.19972","2.29332"
"12.10000","0.20138","2.31202"
"12.20000","0.20305","2.32986"
"12.30000","0.20468","2.34766"
"12.40000","0.20630","2.36489"
"12.50000","0.20795","2.38210"
"12.60000","0.20958","2.39877"
"12.70000","0.21125","2.41670"
"12.80000","0.21292","2.43453"
"12.90000","0.21457","2.45143"
"13.00000","0.21627","2.47015"
"13.10000","0.21800","2.48967"
"13.20000","0.21969","2.50800"
"13.30000","0.22137","2.52616"
"13.40000","0.22298","2.54320"
"13.50000","0.22456","2.55835"
"13.60000","0.22625","2.57683"
"13.70000","0.22791","2.59409"
"13.80000","0.22954","2.61090"
"13.90000","0.23118","2.62840"
"14.00000","0.23290","2.64624"
"14.10000","0.23453","2.66190"
"14.20000","0.23622","2.67983"
"14.30000","0.23789","2.69613"
"14.40000","0.23957","2.71320"
"14.50000","0.24124","2.73001"
"14.60000","0.24295","2.74748"
"14.70000","0.24459","2.76454"
"14.80000","0.24636","2.78404"
"14.90000","0.24814","2.80310"
"15.00000","0.24980","2.81954"
"15.10000","0.25137","2.83227"
"15.20000","0.25302","2.77417"
"15.30000","0.25468","2.79712"
"15.40000","0.25627","2.81848"
"15.50000","0.25786","2.84025"
"15.60000","0.25950","2.86257"
"15.70000","0.26119","2.88506"
"15.80000","0.26284","2.90655"
"15.90000","0.26452","2.92839"
"16.00000","0.26622","2.95119"
"16.10000","0.26790","2.97342"
"16.20000","0.26957","2.99367"
"16.30000","0.27128","3.01521"
"16.40000","0.27308","3.03822"
"16.50000","0.27482","3.05839"
"16.60000","0.27647","3.07762"
"16.70000","0.27811","3.09603"
"16.80000","0.27975","3.11409"
"16.90000","0.28140","3.13261"
"17.00000","0.28299","3.15083"
"17.10000","0.28454","3.16736"
"17.20000","0.28613","3.18526"
"17.30000","0.28780","3.20385"
"17.40000","0.28948","3.22326"
"17.50000","0.29115","3.24296"
"17.60000","0.29282","3.26162"
"17.70000","0.29452","3.28081"
"17.80000","0.29618","3.29847"
"17.90000","0.29784","3.31662"
"18.00000","0.29952","3.33482"
"18.10000","0.30131","3.35546"
"18.20000","0.30318","3.37751"
"18.30000","0.30485","3.39456"
"18.40000","0.30646","3.41075"
"18.50000","0.30815","3.42841"
"18.60000","0.30989","3.44706"
"18.70000","0.31145","3.46066"
"18.80000","0.31304","3.47565"
"18.90000","0.31471","3.49345"
