General : Start date,"2019-08-28"
General : End date,"2019-08-28"
General : Unique identifier,"{0B3DBE81-3DCE-4686-98F2-29C87429750D}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D15_5_WR4_1S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.48354"
"0.10000","0.00003","0.48460"
"0.20000","0.00030","0.48804"
"0.30000","0.00091","0.50106"
"0.40000","0.00394","0.58256"
"0.50000","0.00847","0.70729"
"0.60000","0.00992","0.74179"
"0.70000","0.01121","0.77365"
"0.80000","0.01281","0.81391"
"0.90000","0.01443","0.85467"
"1.00000","0.01602","0.89448"
"1.10000","0.01764","0.93519"
"1.20000","0.01936","0.97840"
"1.30000","0.02103","1.02064"
"1.40000","0.02269","1.06089"
"1.50000","0.02447","1.10389"
"1.60000","0.02616","1.14360"
"1.70000","0.02785","1.18144"
"1.80000","0.02955","1.21949"
"1.90000","0.03124","1.25517"
"2.00000","0.03297","1.29132"
"2.10000","0.03480","1.32839"
"2.20000","0.03647","1.35984"
"2.30000","0.03809","1.39047"
"2.40000","0.03978","1.42132"
"2.50000","0.04145","1.45236"
"2.60000","0.04306","1.48153"
"2.70000","0.04468","1.51074"
"2.80000","0.04632","1.54224"
"2.90000","0.04784","1.57041"
"3.00000","0.04947","1.60074"
"3.10000","0.05112","1.63297"
"3.20000","0.05284","1.66610"
"3.30000","0.05452","1.69807"
"3.40000","0.05614","1.72809"
"3.50000","0.05792","1.76282"
"3.60000","0.05974","1.79731"
"3.70000","0.06144","1.82763"
"3.80000","0.06308","1.85703"
"3.90000","0.06478","1.89115"
"4.00000","0.06643","1.92078"
"4.10000","0.06804","1.95001"
"4.20000","0.06968","1.98041"
"4.30000","0.07136","2.01176"
"4.40000","0.07304","2.04226"
"4.50000","0.07466","2.07177"
"4.60000","0.07630","2.10214"
"4.70000","0.07793","2.13174"
"4.80000","0.07949","2.16134"
"4.90000","0.08111","2.19177"
"5.00000","0.08278","2.22389"
"5.10000","0.08440","2.25464"
"5.20000","0.08621","2.29259"
"5.30000","0.08800","2.32805"
"5.40000","0.08970","2.36022"
"5.50000","0.09140","2.39332"
"5.60000","0.09308","2.42554"
"5.70000","0.09473","2.45740"
"5.80000","0.09635","2.48846"
"5.90000","0.09807","2.52125"
"6.00000","0.09967","2.55123"
"6.10000","0.10129","2.58170"
"6.20000","0.10295","2.61284"
"6.30000","0.10460","2.64366"
"6.40000","0.10626","2.67563"
"6.50000","0.10794","2.70685"
"6.60000","0.10961","2.73831"
"6.70000","0.11123","2.76876"
"6.80000","0.11287","2.80072"
"6.90000","0.11460","2.83410"
"7.00000","0.11631","2.86770"
"7.10000","0.11799","2.90229"
"7.20000","0.11966","2.93380"
"7.30000","0.12131","2.96427"
"7.40000","0.12291","2.99368"
"7.50000","0.12449","3.02267"
"7.60000","0.12616","3.05436"
"7.70000","0.12787","3.08632"
"7.80000","0.12958","3.12111"
"7.90000","0.13127","3.15208"
"8.00000","0.13286","3.17924"
"8.10000","0.13456","3.20963"
"8.20000","0.13626","3.24127"
"8.30000","0.13796","3.27115"
"8.40000","0.13955","3.29843"
