General : Start date,"2019-08-28"
General : End date,"2019-08-28"
General : Unique identifier,"{E74966B0-CACC-4E48-B2C3-1D19E87F9DB1}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D15_5_WR4_1S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.22758"
"0.10000","0.00000","0.22756"
"0.20000","0.00022","0.22809"
"0.30000","0.00074","0.23136"
"0.40000","0.00187","0.24063"
"0.50000","0.00630","0.28063"
"0.60000","0.00954","0.30687"
"0.70000","0.01122","0.31917"
"0.80000","0.01281","0.33068"
"0.90000","0.01449","0.34313"
"1.00000","0.01623","0.35502"
"1.10000","0.01790","0.36704"
"1.20000","0.01958","0.37789"
"1.30000","0.02117","0.38891"
"1.40000","0.02293","0.40077"
"1.50000","0.02478","0.41410"
"1.60000","0.02648","0.42490"
"1.70000","0.02798","0.43466"
"1.80000","0.02956","0.44476"
"1.90000","0.03126","0.45664"
"2.00000","0.03291","0.46720"
"2.10000","0.03452","0.47840"
"2.20000","0.03615","0.48943"
"2.30000","0.03782","0.49995"
"2.40000","0.03957","0.51233"
"2.50000","0.04117","0.52257"
"2.60000","0.04284","0.53405"
"2.70000","0.04456","0.54498"
"2.80000","0.04619","0.55518"
"2.90000","0.04796","0.56656"
"3.00000","0.04975","0.57906"
"3.10000","0.05144","0.58974"
"3.20000","0.05314","0.60059"
"3.30000","0.05476","0.61108"
"3.40000","0.05639","0.62284"
"3.50000","0.05813","0.63477"
"3.60000","0.05974","0.64501"
"3.70000","0.06128","0.65496"
"3.80000","0.06284","0.66552"
"3.90000","0.06449","0.67712"
"4.00000","0.06617","0.68854"
"4.10000","0.06784","0.69980"
"4.20000","0.06944","0.71063"
"4.30000","0.07116","0.72249"
"4.40000","0.07287","0.73493"
"4.50000","0.07454","0.74592"
"4.60000","0.07618","0.75720"
"4.70000","0.07797","0.76929"
"4.80000","0.07985","0.78202"
"4.90000","0.08158","0.79390"
"5.00000","0.08314","0.80353"
"5.10000","0.08475","0.81355"
"5.20000","0.08653","0.82553"
"5.30000","0.08808","0.83572"
"5.40000","0.08970","0.84550"
"5.50000","0.09140","0.85722"
"5.60000","0.09299","0.86767"
"5.70000","0.09451","0.87752"
"5.80000","0.09614","0.88866"
"5.90000","0.09780","0.89973"
"6.00000","0.09949","0.91121"
"6.10000","0.10114","0.92255"
"6.20000","0.10289","0.93546"
"6.30000","0.10468","0.94777"
"6.40000","0.10636","0.95831"
"6.50000","0.10808","0.97008"
"6.60000","0.10974","0.98101"
"6.70000","0.11142","0.99176"
"6.80000","0.11308","1.00232"
"6.90000","0.11474","1.01339"
"7.00000","0.11634","1.02339"
"7.10000","0.11801","1.03477"
"7.20000","0.11970","1.04541"
"7.30000","0.12136","1.05589"
"7.40000","0.12303","1.06681"
"7.50000","0.12471","1.07768"
"7.60000","0.12630","1.08743"
"7.70000","0.12784","1.09745"
"7.80000","0.12949","1.10849"
"7.90000","0.13115","1.11886"
"8.00000","0.13292","1.13145"
"8.10000","0.13462","1.14229"
"8.20000","0.13631","1.15371"
"8.30000","0.13806","1.16506"
"8.40000","0.13972","1.17633"
"8.50000","0.14136","1.18602"
"8.60000","0.14298","1.19654"
"8.70000","0.14458","1.20646"
"8.80000","0.14626","1.21725"
"8.90000","0.14795","1.22831"
"9.00000","0.14968","1.24022"
"9.10000","0.15134","1.25049"
"9.20000","0.15299","1.26082"
"9.30000","0.15471","1.27198"
"9.40000","0.15635","1.28179"
"9.50000","0.15807","1.29285"
"9.60000","0.15972","1.30339"
"9.70000","0.16134","1.31347"
"9.80000","0.16299","1.32349"
"9.90000","0.16463","1.33402"
"10.00000","0.16632","1.34497"
"10.10000","0.16793","1.35506"
"10.20000","0.16956","1.36551"
"10.30000","0.17119","1.37588"
"10.40000","0.17287","1.38670"
"10.50000","0.17452","1.39727"
"10.60000","0.17618","1.40768"
"10.70000","0.17789","1.41820"
"10.80000","0.17959","1.42886"
"10.90000","0.18124","1.43900"
"11.00000","0.18291","1.44928"
"11.10000","0.18463","1.45985"
"11.20000","0.18636","1.47067"
"11.30000","0.18814","1.48148"
"11.40000","0.18982","1.49172"
"11.50000","0.19150","1.50200"
"11.60000","0.19320","1.51238"
"11.70000","0.19473","1.52084"
"11.80000","0.19629","1.53017"
"11.90000","0.19791","1.53981"
"12.00000","0.19949","1.54950"
"12.10000","0.20115","1.56023"
"12.20000","0.20285","1.57122"
"12.30000","0.20453","1.58114"
"12.40000","0.20615","1.59100"
"12.50000","0.20784","1.60154"
"12.60000","0.20951","1.61131"
"12.70000","0.21126","1.62244"
"12.80000","0.21307","1.63344"
"12.90000","0.21480","1.64402"
"13.00000","0.21646","1.65383"
"13.10000","0.21817","1.66406"
"13.20000","0.21979","1.67309"
"13.30000","0.22139","1.68316"
"13.40000","0.22312","1.69341"
"13.50000","0.22474","1.70274"
"13.60000","0.22631","1.71216"
"13.70000","0.22793","1.72219"
"13.80000","0.22949","1.73100"
"13.90000","0.23113","1.74167"
"14.00000","0.23287","1.75227"
"14.10000","0.23452","1.76245"
"14.20000","0.23616","1.77276"
"14.30000","0.23787","1.78378"
"14.40000","0.23956","1.79410"
"14.50000","0.24118","1.80408"
"14.60000","0.24297","1.81531"
"14.70000","0.24477","1.82686"
"14.80000","0.24650","1.83739"
"14.90000","0.24817","1.84677"
"15.00000","0.24984","1.85747"
"15.10000","0.25142","1.86590"
"15.20000","0.25299","1.87465"
"15.30000","0.25466","1.88501"
"15.40000","0.25635","1.89549"
"15.50000","0.25803","1.90543"
"15.60000","0.25968","1.91454"
"15.70000","0.26125","1.92466"
"15.80000","0.26279","1.93313"
"15.90000","0.26436","1.94299"
"16.00000","0.26622","1.95520"
"16.10000","0.26792","1.96601"
"16.20000","0.26956","1.97569"
"16.30000","0.27124","1.98593"
"16.40000","0.27300","1.99737"
"16.50000","0.27474","2.00821"
"16.60000","0.27635","2.01722"
