General : Start date,"2019-08-30"
General : End date,"2019-08-30"
General : Unique identifier,"{C8EAF837-9274-4009-9562-6DE732ABDD71}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_1_WR2_4S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.41209"
"0.10000","0.00003","0.41356"
"0.20000","0.00029","0.41761"
"0.30000","0.00089","0.43323"
"0.40000","0.00418","0.53455"
"0.50000","0.00783","0.63340"
"0.60000","0.00952","0.67239"
"0.70000","0.01105","0.70836"
"0.80000","0.01277","0.75090"
"0.90000","0.01451","0.79191"
"1.00000","0.01619","0.83158"
"1.10000","0.01780","0.86874"
"1.20000","0.01958","0.90943"
"1.30000","0.02132","0.94724"
"1.40000","0.02300","0.97830"
"1.50000","0.02474","0.99680"
"1.60000","0.02639","1.00990"
"1.70000","0.02803","1.04356"
"1.80000","0.02966","1.08027"
"1.90000","0.03130","1.11626"
"2.00000","0.03292","1.15149"
"2.10000","0.03450","1.18530"
"2.20000","0.03614","1.22120"
"2.30000","0.03783","1.25778"
"2.40000","0.03951","1.29354"
"2.50000","0.04116","1.32730"
"2.60000","0.04284","1.36069"
"2.70000","0.04450","1.39203"
"2.80000","0.04620","1.42320"
"2.90000","0.04782","1.45337"
"3.00000","0.04961","1.49005"
"3.10000","0.05152","1.52952"
"3.20000","0.05322","1.56198"
"3.30000","0.05480","1.59066"
"3.40000","0.05648","1.62337"
"3.50000","0.05813","1.65458"
"3.60000","0.05967","1.68228"
"3.70000","0.06130","1.71293"
"3.80000","0.06293","1.74298"
"3.90000","0.06453","1.77303"
"4.00000","0.06615","1.80471"
"4.10000","0.06788","1.83991"
"4.20000","0.06952","1.87211"
"4.30000","0.07119","1.90382"
"4.40000","0.07279","1.93251"
"4.50000","0.07460","1.95693"
"4.60000","0.07641","1.97854"
"4.70000","0.07808","2.01003"
"4.80000","0.07969","2.04131"
"4.90000","0.08138","2.07451"
"5.00000","0.08309","2.10717"
"5.10000","0.08472","2.13181"
"5.20000","0.08635","2.15295"
"5.30000","0.08797","2.17572"
"5.40000","0.08958","2.20456"
"5.50000","0.09121","2.23522"
"5.60000","0.09289","2.26714"
"5.70000","0.09456","2.29867"
"5.80000","0.09621","2.32907"
"5.90000","0.09789","2.35945"
"6.00000","0.09956","2.38055"
"6.10000","0.10123","2.40543"
"6.20000","0.10286","2.43639"
"6.30000","0.10462","2.47391"
"6.40000","0.10642","2.51509"
"6.50000","0.10813","2.55292"
"6.60000","0.10975","2.58798"
"6.70000","0.11133","2.62134"
"6.80000","0.11303","2.65964"
"6.90000","0.11467","2.69550"
"7.00000","0.11630","2.73036"
"7.10000","0.11790","2.76528"
"7.20000","0.11953","2.80155"
"7.30000","0.12120","2.83928"
"7.40000","0.12287","2.87597"
"7.50000","0.12457","2.91394"
"7.60000","0.12623","2.94993"
"7.70000","0.12788","2.98552"
"7.80000","0.12962","3.02485"
"7.90000","0.13143","3.06451"
"8.00000","0.13308","3.09897"
"8.10000","0.13474","3.13434"
"8.20000","0.13643","3.17069"
"8.30000","0.13804","3.20630"
"8.40000","0.13965","3.24114"
"8.50000","0.14128","3.27878"
"8.60000","0.14294","3.31569"
"8.70000","0.14453","3.35126"
"8.80000","0.14618","3.38938"
"8.90000","0.14787","3.42663"
"9.00000","0.14955","3.46587"
"9.10000","0.15121","3.50366"
"9.20000","0.15288","3.54099"
"9.30000","0.15458","3.58167"
"9.40000","0.15618","3.61675"
"9.50000","0.15788","3.65605"
"9.60000","0.15970","3.69953"
"9.70000","0.16144","3.73806"
"9.80000","0.16308","3.77387"
"9.90000","0.16477","3.81064"
"10.00000","0.16642","3.84775"
"10.10000","0.16805","3.88382"
"10.20000","0.16972","3.92059"
"10.30000","0.17129","3.95411"
"10.40000","0.17286","3.99021"
"10.50000","0.17453","4.02948"
"10.60000","0.17619","4.06772"
"10.70000","0.17786","4.10624"
"10.80000","0.17955","4.14406"
"10.90000","0.18115","4.17185"
"11.00000","0.18295","4.20680"
"11.10000","0.18470","4.24643"
"11.20000","0.18638","4.28441"
"11.30000","0.18810","4.32630"
"11.40000","0.18981","4.36633"
"11.50000","0.19138","4.40076"
"11.60000","0.19305","4.44103"
"11.70000","0.19472","4.47944"
"11.80000","0.19634","4.51476"
"11.90000","0.19796","4.55263"
"12.00000","0.19962","4.59147"
"12.10000","0.20128","4.62970"
"12.20000","0.20292","4.66813"
"12.30000","0.20453","4.70436"
"12.40000","0.20620","4.74570"
"12.50000","0.20788","4.78725"
"12.60000","0.20956","4.82769"
"12.70000","0.21124","4.86845"
"12.80000","0.21288","4.90710"
"12.90000","0.21462","4.95077"
"13.00000","0.21636","4.99324"
"13.10000","0.21812","5.03783"
"13.20000","0.21978","5.07617"
"13.30000","0.22145","5.11659"
"13.40000","0.22302","5.15079"
"13.50000","0.22460","5.18637"
"13.60000","0.22620","5.22329"
"13.70000","0.22790","5.26393"
"13.80000","0.22952","5.30070"
"13.90000","0.23123","5.34181"
"14.00000","0.23292","5.38141"
"14.10000","0.23453","5.41739"
"14.20000","0.23617","5.45442"
"14.30000","0.23809","5.50323"
"14.40000","0.23969","5.53780"
"14.50000","0.24137","5.57721"
"14.60000","0.24301","5.61377"
"14.70000","0.24471","5.65397"
"14.80000","0.24639","5.69276"
"14.90000","0.24802","5.72872"
"15.00000","0.24962","5.76172"
"15.10000","0.25124","5.78874"
"15.20000","0.25288","5.80726"
"15.30000","0.25455","5.83914"
"15.40000","0.25621","5.87553"
"15.50000","0.25787","5.91299"
"15.60000","0.25952","5.94980"
"15.70000","0.26120","5.98851"
"15.80000","0.26289","6.02691"
"15.90000","0.26460","6.06765"
"16.00000","0.26621","6.10150"
"16.10000","0.26793","6.14221"
"16.20000","0.26974","6.18494"
"16.30000","0.27149","6.22374"
"16.40000","0.27307","6.25437"
"16.50000","0.27467","6.28731"
"16.60000","0.27633","6.32309"
"16.70000","0.27795","6.35803"
"16.80000","0.27954","6.39082"
"16.90000","0.28116","6.42560"
"17.00000","0.28280","6.46245"
"17.10000","0.28451","6.50007"
"17.20000","0.28616","6.53525"
"17.30000","0.28790","6.57400"
"17.40000","0.28957","6.60783"
"17.50000","0.29117","6.63877"
"17.60000","0.29297","6.67970"
"17.70000","0.29475","6.71644"
"17.80000","0.29640","6.74720"
"17.90000","0.29807","6.77693"
"18.00000","0.29971","6.80289"
"18.10000","0.30140","6.82779"
"18.20000","0.30303","6.85179"
"18.30000","0.30466","6.87684"
"18.40000","0.30626","6.90294"
"18.50000","0.30784","6.93082"
"18.60000","0.30950","6.96163"
"18.70000","0.31119","6.99559"
"18.80000","0.31286","7.02879"
"18.90000","0.31453","7.06188"
"19.00000","0.31622","7.09502"
"19.10000","0.31785","7.12512"
"19.20000","0.31952","7.15684"
"19.30000","0.32120","7.18962"
"19.40000","0.32296","7.22660"
"19.50000","0.32478","7.26948"
"19.60000","0.32647","7.30855"
"19.70000","0.32809","7.34715"
"19.80000","0.32971","7.38690"
"19.90000","0.33138","7.42971"
"20.00000","0.33305","7.47267"
"20.10000","0.33470","7.51493"
"20.20000","0.33633","7.55557"
"20.30000","0.33790","7.59433"
"20.40000","0.33948","7.63412"
"20.50000","0.34118","7.67993"
"20.60000","0.34287","7.72425"
"20.70000","0.34455","7.76877"
"20.80000","0.34618","7.81117"
"20.90000","0.34801","7.86357"
"21.00000","0.34977","7.91022"
"21.10000","0.35141","7.94877"
"21.20000","0.35302","7.98660"
"21.30000","0.35472","8.03013"
"21.40000","0.35643","8.07112"
"21.50000","0.35804","8.10620"
"21.60000","0.35969","8.14577"
"21.70000","0.36134","8.18480"
"21.80000","0.36294","8.22104"
"21.90000","0.36458","8.25927"
"22.00000","0.36623","8.29810"
"22.10000","0.36789","8.33606"
"22.20000","0.36958","8.37430"
"22.30000","0.37121","8.40923"
"22.40000","0.37283","8.44336"
"22.50000","0.37455","8.48607"
"22.60000","0.37620","8.52072"
"22.70000","0.37797","8.56300"
"22.80000","0.37978","8.60901"
"22.90000","0.38146","8.64404"
"23.00000","0.38307","8.67633"
"23.10000","0.38470","8.71085"
"23.20000","0.38638","8.74716"
"23.30000","0.38803","8.78082"
"23.40000","0.38967","8.81382"
"23.50000","0.39130","8.84579"
"23.60000","0.39291","8.87734"
"23.70000","0.39453","8.91108"
"23.80000","0.39622","8.94729"
"23.90000","0.39796","8.98637"
"24.00000","0.39963","9.01900"
"24.10000","0.40129","9.05087"
"24.20000","0.40305","9.08778"
"24.30000","0.40472","9.11960"
"24.40000","0.40636","9.15106"
"24.50000","0.40806","9.18643"
"24.60000","0.40970","9.21831"
"24.70000","0.41137","9.25131"
"24.80000","0.41296","9.27940"
"24.90000","0.41456","9.30916"
"25.00000","0.41622","9.34183"
"25.10000","0.41787","9.37329"
"25.20000","0.41954","9.40412"
"25.30000","0.42123","9.43652"
"25.40000","0.42288","9.46689"
"25.50000","0.42457","9.49924"
"25.60000","0.42624","9.52923"
"25.70000","0.42790","9.55969"
"25.80000","0.42957","9.59013"
"25.90000","0.43125","9.61915"
"26.00000","0.43305","9.65540"
"26.10000","0.43482","9.68711"
"26.20000","0.43641","9.70965"
"26.30000","0.43802","9.73657"
"26.40000","0.43971","9.76868"
"26.50000","0.44131","9.79253"
"26.60000","0.44294","9.81980"
"26.70000","0.44454","9.84635"
"26.80000","0.44621","9.87437"
"26.90000","0.44788","9.90165"
"27.00000","0.44951","9.92764"
"27.10000","0.45122","9.95811"
"27.20000","0.45295","9.98934"
"27.30000","0.45453","10.01089"
"27.40000","0.45629","10.04363"
"27.50000","0.45810","10.07792"
"27.60000","0.45972","10.09896"
"27.70000","0.46143","10.12694"
"27.80000","0.46318","10.15703"
"27.90000","0.46479","10.17849"
"28.00000","0.46637","10.19912"
"28.10000","0.46802","10.22571"
"28.20000","0.46966","10.25089"
"28.30000","0.47121","10.27182"
"28.40000","0.47284","10.29729"
"28.50000","0.47448","10.32353"
"28.60000","0.47612","10.35007"
"28.70000","0.47789","10.38181"
"28.80000","0.47954","10.40560"
"28.90000","0.48121","10.43099"
"29.00000","0.48291","10.45892"
"29.10000","0.48456","10.48330"
"29.20000","0.48635","10.51557"
"29.30000","0.48812","10.54551"
"29.40000","0.48982","10.57076"
"29.50000","0.49145","10.59082"
"29.60000","0.49310","10.61481"
"29.70000","0.49480","10.63932"
"29.80000","0.49641","10.65960"
"29.90000","0.49798","10.67804"
"30.00000","0.49963","10.70309"
"30.10000","0.50125","10.72517"
"30.20000","0.50284","10.74568"
"30.30000","0.50450","10.77109"
"30.40000","0.50618","10.79667"
"30.50000","0.50786","10.82281"
"30.60000","0.50953","10.84656"
"30.70000","0.51124","10.87162"
"30.80000","0.51298","10.89821"
"30.90000","0.51477","10.92715"
"31.00000","0.51642","10.94713"
