General : Start date,"2019-08-30"
General : End date,"2019-08-30"
General : Unique identifier,"{45A2328C-77A3-4785-80E7-C2B7D82172C4}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_1_WR3_2S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.24328"
"0.10000","0.00008","0.24393"
"0.20000","0.00031","0.24412"
"0.30000","0.00088","0.24862"
"0.40000","0.00273","0.26501"
"0.50000","0.00738","0.30760"
"0.60000","0.00956","0.32433"
"0.70000","0.01130","0.33824"
"0.80000","0.01289","0.35041"
"0.90000","0.01455","0.36352"
"1.00000","0.01635","0.37687"
"1.10000","0.01810","0.39033"
"1.20000","0.01971","0.40145"
"1.30000","0.02131","0.41341"
"1.40000","0.02299","0.42547"
"1.50000","0.02462","0.43749"
"1.60000","0.02626","0.44891"
"1.70000","0.02789","0.46102"
"1.80000","0.02947","0.47298"
"1.90000","0.03113","0.48506"
"2.00000","0.03280","0.49748"
"2.10000","0.03448","0.51001"
"2.20000","0.03617","0.52258"
"2.30000","0.03790","0.53601"
"2.40000","0.03953","0.54800"
"2.50000","0.04125","0.56107"
"2.60000","0.04306","0.57520"
"2.70000","0.04479","0.58836"
"2.80000","0.04643","0.60076"
"2.90000","0.04808","0.61317"
"3.00000","0.04976","0.62563"
"3.10000","0.05138","0.63794"
"3.20000","0.05302","0.64987"
"3.30000","0.05464","0.66188"
"3.40000","0.05625","0.67460"
"3.50000","0.05790","0.68669"
"3.60000","0.05960","0.69970"
"3.70000","0.06127","0.71246"
"3.80000","0.06282","0.72367"
"3.90000","0.06440","0.73579"
"4.00000","0.06624","0.75071"
"4.10000","0.06792","0.76401"
"4.20000","0.06959","0.77669"
"4.30000","0.07124","0.78882"
"4.40000","0.07301","0.80278"
"4.50000","0.07474","0.81603"
"4.60000","0.07636","0.82836"
"4.70000","0.07796","0.84028"
"4.80000","0.07961","0.85289"
"4.90000","0.08123","0.86524"
"5.00000","0.08290","0.87808"
"5.10000","0.08457","0.89062"
"5.20000","0.08624","0.90372"
"5.30000","0.08788","0.91564"
"5.40000","0.08957","0.92897"
"5.50000","0.09130","0.94224"
"5.60000","0.09300","0.95489"
"5.70000","0.09454","0.96640"
"5.80000","0.09618","0.97884"
"5.90000","0.09795","0.99283"
"6.00000","0.09969","1.00619"
"6.10000","0.10134","1.01882"
"6.20000","0.10300","1.03084"
"6.30000","0.10467","1.04344"
"6.40000","0.10631","1.05584"
"6.50000","0.10796","1.06848"
"6.60000","0.10954","1.07983"
"6.70000","0.11121","1.09345"
"6.80000","0.11287","1.10569"
"6.90000","0.11451","1.11732"
"7.00000","0.11626","1.13069"
"7.10000","0.11793","1.14341"
"7.20000","0.11954","1.15499"
"7.30000","0.12137","1.16939"
"7.40000","0.12318","1.18290"
"7.50000","0.12475","1.19395"
"7.60000","0.12635","1.20523"
"7.70000","0.12806","1.21852"
"7.80000","0.12966","1.22965"
"7.90000","0.13124","1.24088"
"8.00000","0.13287","1.25389"
"8.10000","0.13450","1.26554"
"8.20000","0.13614","1.27778"
"8.30000","0.13781","1.29033"
"8.40000","0.13948","1.30255"
"8.50000","0.14115","1.31457"
"8.60000","0.14289","1.32797"
"8.70000","0.14463","1.34069"
"8.80000","0.14626","1.35192"
"8.90000","0.14785","1.36318"
"9.00000","0.14959","1.37625"
"9.10000","0.15142","1.38866"
"9.20000","0.15315","1.40143"
"9.30000","0.15481","1.41272"
"9.40000","0.15646","1.42339"
"9.50000","0.15813","1.43555"
"9.60000","0.15971","1.44631"
"9.70000","0.16131","1.45765"
"9.80000","0.16291","1.46827"
"9.90000","0.16450","1.47960"
"10.00000","0.16615","1.49105"
"10.10000","0.16778","1.50260"
"10.20000","0.16947","1.51482"
"10.30000","0.17118","1.52706"
"10.40000","0.17290","1.53967"
"10.50000","0.17456","1.55132"
"10.60000","0.17629","1.56348"
"10.70000","0.17805","1.57597"
"10.80000","0.17979","1.58785"
"10.90000","0.18144","1.59941"
"11.00000","0.18310","1.61041"
"11.10000","0.18475","1.62058"
