General : Start date,"2019-08-30"
General : End date,"2019-08-30"
General : Unique identifier,"{ACB370A8-344F-48C1-9593-C2AF37D579E2}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_1_WR3_4S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00315","0.24942"
"0.10000","0.00343","0.25712"
"0.20000","0.00477","0.29929"
"0.30000","0.00679","0.36352"
"0.40000","0.00906","0.43436"
"0.50000","0.01103","0.49393"
"0.60000","0.01269","0.54326"
"0.70000","0.01432","0.59240"
"0.80000","0.01597","0.64229"
"0.90000","0.01761","0.69233"
"1.00000","0.01928","0.74356"
"1.10000","0.02094","0.79454"
"1.20000","0.02261","0.84522"
"1.30000","0.02425","0.89417"
"1.40000","0.02592","0.94272"
"1.50000","0.02762","0.99314"
"1.60000","0.02927","1.04018"
"1.70000","0.03101","1.09073"
"1.80000","0.03277","1.14175"
"1.90000","0.03447","1.19074"
"2.00000","0.03614","1.23821"
"2.10000","0.03778","1.28385"
"2.20000","0.03947","1.33198"
"2.30000","0.04105","1.37615"
"2.40000","0.04265","1.42037"
"2.50000","0.04430","1.46609"
"2.60000","0.04595","1.51291"
"2.70000","0.04761","1.55976"
"2.80000","0.04930","1.60887"
"2.90000","0.05094","1.65589"
"3.00000","0.05264","1.70455"
"3.10000","0.05430","1.75117"
"3.20000","0.05598","1.79856"
"3.30000","0.05762","1.84508"
"3.40000","0.05933","1.89152"
"3.50000","0.06104","1.94068"
"3.60000","0.06285","1.99371"
"3.70000","0.06453","2.03759"
"3.80000","0.06615","2.08191"
"3.90000","0.06786","2.12978"
"4.00000","0.06946","2.17216"
"4.10000","0.07109","2.21610"
"4.20000","0.07271","2.25959"
"4.30000","0.07426","2.30266"
"4.40000","0.07593","2.34914"
"4.50000","0.07761","2.39747"
"4.60000","0.07931","2.44660"
"4.70000","0.08099","2.49495"
"4.80000","0.08261","2.54033"
"4.90000","0.08436","2.59132"
"5.00000","0.08610","2.64161"
"5.10000","0.08777","2.68764"
"5.20000","0.08946","2.73505"
"5.30000","0.09118","2.78463"
"5.40000","0.09280","2.82915"
"5.50000","0.09445","2.87350"
"5.60000","0.09614","2.92091"
"5.70000","0.09775","2.96437"
"5.80000","0.09935","3.00809"
"5.90000","0.10100","3.05397"
"6.00000","0.10268","3.09904"
"6.10000","0.10433","3.14364"
"6.20000","0.10593","3.18668"
"6.30000","0.10759","3.23362"
"6.40000","0.10930","3.28347"
"6.50000","0.11096","3.33119"
"6.60000","0.11264","3.37840"
"6.70000","0.11428","3.42662"
"6.80000","0.11605","3.48247"
"6.90000","0.11778","3.53483"
"7.00000","0.11949","3.58691"
"7.10000","0.12118","3.63923"
"7.20000","0.12284","3.68946"
"7.30000","0.12447","3.74088"
