General : Start date,"2019-08-30"
General : End date,"2019-08-30"
General : Unique identifier,"{6484232E-D7D2-4E06-916E-1DD46F659FAD}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_2_WR1_2S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.31875"
"0.10000","0.00012","0.31885"
"0.20000","0.00074","0.32087"
"0.30000","0.00261","0.32847"
"0.40000","0.00494","0.33667"
"0.50000","0.00738","0.34683"
"0.60000","0.00943","0.35325"
"0.70000","0.01116","0.36023"
"0.80000","0.01283","0.36602"
"0.90000","0.01456","0.37202"
"1.00000","0.01616","0.37719"
"1.10000","0.01788","0.38357"
"1.20000","0.01957","0.38961"
"1.30000","0.02125","0.39516"
"1.40000","0.02295","0.40068"
"1.50000","0.02465","0.40667"
"1.60000","0.02637","0.41187"
"1.70000","0.02799","0.41723"
"1.80000","0.02963","0.42209"
"1.90000","0.03122","0.42686"
"2.00000","0.03281","0.43220"
"2.10000","0.03447","0.43824"
"2.20000","0.03609","0.44328"
"2.30000","0.03774","0.44836"
"2.40000","0.03942","0.45340"
"2.50000","0.04116","0.45916"
"2.60000","0.04284","0.46368"
"2.70000","0.04453","0.46906"
"2.80000","0.04622","0.47403"
"2.90000","0.04798","0.47901"
"3.00000","0.04974","0.48459"
"3.10000","0.05146","0.48930"
"3.20000","0.05311","0.49455"
"3.30000","0.05476","0.49950"
"3.40000","0.05642","0.50365"
"3.50000","0.05807","0.50898"
"3.60000","0.05968","0.51393"
"3.70000","0.06129","0.51770"
"3.80000","0.06295","0.52264"
"3.90000","0.06460","0.52750"
"4.00000","0.06614","0.53154"
"4.10000","0.06777","0.53678"
"4.20000","0.06955","0.54148"
"4.30000","0.07113","0.54543"
"4.40000","0.07290","0.55053"
"4.50000","0.07466","0.55562"
"4.60000","0.07640","0.56054"
"4.70000","0.07807","0.56444"
"4.80000","0.07971","0.56897"
"4.90000","0.08142","0.57403"
"5.00000","0.08304","0.57844"
