General : Start date,"2019-08-30"
General : End date,"2019-08-30"
General : Unique identifier,"{B9ADD8F6-08FE-4E64-BFEE-B95AEE0D11DF}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_2_WR2_1S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00555","0.20442"
"0.10000","0.00555","0.20438"
"0.20000","0.00579","0.20633"
"0.30000","0.00819","0.21804"
"0.40000","0.01122","0.22973"
"0.50000","0.01284","0.23396"
"0.60000","0.01433","0.23862"
"0.70000","0.01594","0.24417"
"0.80000","0.01764","0.25010"
"0.90000","0.01932","0.25597"
"1.00000","0.02104","0.26215"
"1.10000","0.02275","0.26773"
"1.20000","0.02435","0.27237"
"1.30000","0.02611","0.27845"
"1.40000","0.02792","0.28465"
"1.50000","0.02958","0.28946"
"1.60000","0.03124","0.29485"
"1.70000","0.03291","0.29993"
"1.80000","0.03456","0.30478"
"1.90000","0.03617","0.30983"
"2.00000","0.03776","0.31500"
"2.10000","0.03936","0.31976"
"2.20000","0.04100","0.32575"
"2.30000","0.04267","0.33206"
"2.40000","0.04436","0.33875"
"2.50000","0.04605","0.34595"
"2.60000","0.04770","0.35307"
"2.70000","0.04939","0.35990"
"2.80000","0.05109","0.36641"
"2.90000","0.05275","0.37318"
"3.00000","0.05439","0.37945"
"3.10000","0.05616","0.38808"
"3.20000","0.05796","0.39884"
"3.30000","0.05968","0.40750"
"3.40000","0.06133","0.41642"
"3.50000","0.06293","0.42497"
"3.60000","0.06456","0.43426"
"3.70000","0.06624","0.44205"
"3.80000","0.06781","0.44920"
"3.90000","0.06936","0.45821"
"4.00000","0.07100","0.46609"
"4.10000","0.07262","0.47326"
"4.20000","0.07432","0.48304"
"4.30000","0.07605","0.49257"
"4.40000","0.07771","0.50313"
"4.50000","0.07936","0.51312"
"4.60000","0.08112","0.52462"
"4.70000","0.08292","0.53567"
"4.80000","0.08470","0.54680"
"4.90000","0.08632","0.55447"
"5.00000","0.08787","0.56375"
"5.10000","0.08964","0.57591"
"5.20000","0.09129","0.58466"
"5.30000","0.09289","0.59258"
"5.40000","0.09457","0.60201"
"5.50000","0.09619","0.61246"
"5.60000","0.09783","0.62435"
"5.70000","0.09945","0.63586"
"5.80000","0.10104","0.64619"
"5.90000","0.10263","0.65766"
"6.00000","0.10434","0.66986"
"6.10000","0.10603","0.68132"
"6.20000","0.10770","0.69212"
"6.30000","0.10936","0.70183"
"6.40000","0.11111","0.71385"
"6.50000","0.11293","0.72740"
"6.60000","0.11469","0.73796"
"6.70000","0.11633","0.74750"
"6.80000","0.11789","0.75713"
"6.90000","0.11956","0.76878"
"7.00000","0.12123","0.77896"
"7.10000","0.12287","0.78895"
"7.20000","0.12454","0.80065"
"7.30000","0.12617","0.81193"
"7.40000","0.12777","0.82381"
"7.50000","0.12942","0.83761"
"7.60000","0.13111","0.85189"
"7.70000","0.13281","0.86559"
"7.80000","0.13437","0.87536"
"7.90000","0.13607","0.88775"
"8.00000","0.13777","0.89782"
"8.10000","0.13948","0.90888"
"8.20000","0.14125","0.91959"
"8.30000","0.14288","0.92927"
"8.40000","0.14452","0.94165"
"8.50000","0.14613","0.95331"
"8.60000","0.14775","0.96607"
"8.70000","0.14949","0.98031"
"8.80000","0.15116","0.98924"
"8.90000","0.15276","0.99593"
"9.00000","0.15439","1.00653"
"9.10000","0.15605","1.01890"
"9.20000","0.15785","1.03115"
"9.30000","0.15953","1.04064"
"9.40000","0.16114","1.04969"
"9.50000","0.16277","1.05909"
"9.60000","0.16448","1.06841"
"9.70000","0.16622","1.07807"
"9.80000","0.16795","1.08864"
"9.90000","0.16953","1.09791"
"10.00000","0.17121","1.10901"
"10.10000","0.17289","1.12050"
"10.20000","0.17450","1.13111"
"10.30000","0.17612","1.14308"
"10.40000","0.17779","1.15346"
"10.50000","0.17935","1.15996"
"10.60000","0.18100","1.16811"
"10.70000","0.18272","1.18077"
"10.80000","0.18438","1.19229"
"10.90000","0.18617","1.20558"
"11.00000","0.18782","1.21367"
"11.10000","0.18947","1.22163"
"11.20000","0.19125","1.23291"
"11.30000","0.19294","1.24287"
"11.40000","0.19462","1.25325"
"11.50000","0.19635","1.26473"
"11.60000","0.19803","1.27554"
"11.70000","0.19959","1.28378"
"11.80000","0.20119","1.29385"
"11.90000","0.20275","1.30283"
"12.00000","0.20433","1.31376"
"12.10000","0.20603","1.32431"
"12.20000","0.20765","1.33288"
"12.30000","0.20928","1.34272"
"12.40000","0.21094","1.35092"
"12.50000","0.21267","1.35916"
"12.60000","0.21438","1.37040"
"12.70000","0.21611","1.37982"
"12.80000","0.21772","1.38952"
"12.90000","0.21953","1.40160"
"13.00000","0.22128","1.41300"
"13.10000","0.22306","1.42566"
"13.20000","0.22470","1.43354"
"13.30000","0.22629","1.44083"
"13.40000","0.22794","1.44752"
"13.50000","0.22963","1.45231"
"13.60000","0.23121","1.45789"
"13.70000","0.23282","1.46556"
"13.80000","0.23445","1.47245"
"13.90000","0.23601","1.47418"
"14.00000","0.23763","1.48133"
"14.10000","0.23935","1.49265"
"14.20000","0.24108","1.49765"
"14.30000","0.24269","1.48536"
"14.40000","0.24437","1.46363"
"14.50000","0.24614","1.38954"
"14.52500","0.24657","1.13172"
"14.55700","0.24714","0.88168"
"14.65700","0.24887","0.89227"
"14.75700","0.25062","0.89029"
"14.85700","0.25223","0.89110"
"14.95700","0.25385","0.89131"
"15.05700","0.25549","0.89052"
"15.15700","0.25717","0.89468"
"15.25700","0.25883","0.90256"
"15.35700","0.26049","0.91367"
"15.45700","0.26215","0.92657"
"15.55700","0.26378","0.93954"
"15.65700","0.26539","0.95305"
"15.75700","0.26697","0.96610"
"15.85700","0.26862","0.98129"
"15.95700","0.27027","0.99612"
"16.05700","0.27190","1.01304"
"16.15700","0.27371","1.02982"
"16.25700","0.27546","1.04584"
"16.35700","0.27722","1.06155"
"16.45700","0.27888","1.07611"
"16.55700","0.28053","1.08991"
"16.65700","0.28217","1.10412"
"16.75700","0.28382","1.11927"
"16.85700","0.28552","1.13431"
"16.95700","0.28713","1.14749"
"17.05700","0.28874","1.16128"
"17.15700","0.29036","1.17504"
"17.25700","0.29206","1.19040"
"17.35700","0.29380","1.20561"
"17.45700","0.29551","1.22058"
"17.55700","0.29711","1.23454"
"17.65700","0.29879","1.24889"
"17.75700","0.30049","1.26456"
"17.85700","0.30214","1.28018"
"17.95700","0.30377","1.29513"
"18.05700","0.30546","1.31154"
"18.15700","0.30714","1.32707"
"18.25700","0.30875","1.34182"
"18.35700","0.31033","1.35628"
"18.45700","0.31199","1.37234"
"18.55700","0.31364","1.38814"
"18.65700","0.31533","1.40440"
"18.75700","0.31702","1.41968"
"18.85700","0.31871","1.43609"
"18.95700","0.32032","1.45186"
"19.05700","0.32203","1.46766"
"19.15700","0.32378","1.48470"
"19.25700","0.32545","1.50097"
"19.35700","0.32702","1.51483"
"19.45700","0.32879","1.53216"
"19.55700","0.33061","1.54949"
"19.65700","0.33227","1.56424"
"19.75700","0.33383","1.57782"
"19.85700","0.33547","1.59274"
"19.95700","0.33715","1.60840"
"20.05700","0.33879","1.62419"
"20.15700","0.34040","1.63930"
"20.25700","0.34198","1.65268"
"20.35700","0.34358","1.66765"
"20.45700","0.34527","1.68368"
"20.55700","0.34698","1.69906"
"20.65700","0.34867","1.71420"
"20.75700","0.35037","1.73020"
"20.85700","0.35201","1.74435"
"20.95700","0.35386","1.76296"
"21.05700","0.35562","1.77840"
"21.15700","0.35728","1.79218"
"21.25700","0.35887","1.80531"
"21.35700","0.36054","1.81980"
"21.45700","0.36228","1.83575"
"21.55700","0.36388","1.84888"
"21.65700","0.36551","1.86268"
"21.75700","0.36711","1.87607"
"21.85700","0.36864","1.88781"
"21.95700","0.37027","1.90229"
"22.05700","0.37196","1.91720"
"22.15700","0.37363","1.93202"
"22.25700","0.37526","1.94586"
"22.35700","0.37698","1.96157"
"22.45700","0.37865","1.97602"
"22.55700","0.38033","1.98969"
"22.65700","0.38200","2.00371"
"22.75700","0.38384","2.02075"
"22.85700","0.38560","2.03502"
"22.95700","0.38729","2.04914"
"23.05700","0.38902","2.06406"
"23.15700","0.39061","2.07634"
"23.25700","0.39219","2.08832"
"23.35700","0.39387","2.10194"
"23.45700","0.39552","2.11510"
"23.55700","0.39714","2.12777"
"23.65700","0.39880","2.14087"
"23.75700","0.40039","2.15460"
"23.85700","0.40194","2.16646"
"23.95700","0.40359","2.18059"
"24.05700","0.40535","2.19716"
"24.15700","0.40697","2.21054"
"24.25700","0.40873","2.22608"
"24.35700","0.41046","2.24020"
"24.45700","0.41216","2.25518"
"24.55700","0.41388","2.27051"
"24.65700","0.41561","2.28533"
"24.75700","0.41720","2.29747"
"24.85700","0.41881","2.31036"
"24.95700","0.42051","2.32527"
"25.05700","0.42218","2.34045"
"25.15700","0.42380","2.35470"
"25.25700","0.42542","2.36896"
"25.35700","0.42707","2.38429"
"25.45700","0.42875","2.40018"
"25.55700","0.43047","2.41613"
"25.65700","0.43207","2.43010"
"25.75700","0.43367","2.44502"
"25.85700","0.43533","2.46095"
"25.95700","0.43696","2.47628"
"26.05700","0.43873","2.49494"
"26.15700","0.44051","2.51241"
"26.25700","0.44220","2.52752"
"26.35700","0.44388","2.54558"
"26.45700","0.44551","2.55860"
"26.55700","0.44715","2.57321"
"26.65700","0.44881","2.58823"
