General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{F434CF0F-DE41-43C5-A0CF-DABC87328A12}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_3_WR1_3S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.31441"
"0.10000","0.00010","0.31629"
"0.20000","0.00084","0.33134"
"0.30000","0.00261","0.36871"
"0.40000","0.00504","0.41930"
"0.50000","0.00753","0.46963"
"0.60000","0.00947","0.50706"
"0.70000","0.01116","0.53944"
"0.80000","0.01283","0.57066"
"0.90000","0.01449","0.60219"
"1.00000","0.01613","0.63279"
"1.10000","0.01777","0.66312"
"1.20000","0.01946","0.69361"
"1.30000","0.02112","0.72443"
"1.40000","0.02268","0.75333"
"1.50000","0.02445","0.78712"
"1.60000","0.02629","0.82173"
"1.70000","0.02807","0.85412"
"1.80000","0.02967","0.88137"
"1.90000","0.03119","0.90639"
"2.00000","0.03288","0.93576"
"2.10000","0.03459","0.96470"
"2.20000","0.03623","0.99137"
"2.30000","0.03788","1.01740"
"2.40000","0.03950","1.04273"
"2.50000","0.04117","1.06796"
"2.60000","0.04286","1.09330"
"2.70000","0.04453","1.11765"
"2.80000","0.04617","1.14067"
"2.90000","0.04786","1.16426"
"3.00000","0.04954","1.18848"
"3.10000","0.05123","1.21219"
"3.20000","0.05283","1.23380"
"3.30000","0.05461","1.26079"
"3.40000","0.05643","1.28877"
"3.50000","0.05813","1.31271"
"3.60000","0.05976","1.33510"
"3.70000","0.06141","1.35825"
"3.80000","0.06299","1.38023"
"3.90000","0.06455","1.40172"
"4.00000","0.06621","1.42599"
"4.10000","0.06785","1.45022"
"4.20000","0.06952","1.47462"
"4.30000","0.07120","1.49835"
"4.40000","0.07287","1.52233"
"4.50000","0.07454","1.54521"
"4.60000","0.07627","1.56977"
"4.70000","0.07783","1.59052"
"4.80000","0.07955","1.61511"
"4.90000","0.08139","1.64349"
"5.00000","0.08312","1.66788"
"5.10000","0.08482","1.69197"
"5.20000","0.08644","1.71269"
"5.30000","0.08806","1.73454"
