General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{3406E12D-8BC6-4A04-B0A4-1B09F6A5CFAA}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_3_WR2_1S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.50705"
"0.10000","0.00010","0.50900"
"0.20000","0.00063","0.52356"
"0.30000","0.00178","0.55966"
"0.40000","0.00358","0.62259"
"0.50000","0.00608","0.71618"
"0.60000","0.00873","0.81751"
"0.70000","0.01096","0.90191"
"0.80000","0.01279","0.96951"
"0.90000","0.01448","1.03145"
"1.00000","0.01620","1.09376"
"1.10000","0.01781","1.15259"
"1.20000","0.01947","1.21368"
"1.30000","0.02126","1.27872"
"1.40000","0.02293","1.33864"
"1.50000","0.02458","1.39887"
"1.60000","0.02628","1.46193"
"1.70000","0.02804","1.52768"
"1.80000","0.02970","1.59051"
"1.90000","0.03130","1.64912"
"2.00000","0.03293","1.71009"
"2.10000","0.03452","1.77078"
"2.20000","0.03613","1.83350"
"2.30000","0.03782","1.89972"
"2.40000","0.03948","1.96476"
"2.50000","0.04113","2.02900"
"2.60000","0.04280","2.09558"
"2.70000","0.04452","2.16363"
"2.80000","0.04620","2.22920"
"2.90000","0.04779","2.29111"
"3.00000","0.04960","2.36426"
"3.10000","0.05138","2.43467"
"3.20000","0.05314","2.50550"
"3.30000","0.05479","2.57083"
"3.40000","0.05642","2.63392"
"3.50000","0.05806","2.69714"
"3.60000","0.05974","2.76534"
"3.70000","0.06134","2.82839"
"3.80000","0.06291","2.88961"
"3.90000","0.06454","2.95374"
"4.00000","0.06622","3.02153"
"4.10000","0.06785","3.08666"
"4.20000","0.06950","3.15257"
"4.30000","0.07119","3.22187"
"4.40000","0.07285","3.28774"
"4.50000","0.07456","3.35829"
"4.60000","0.07630","3.42972"
"4.70000","0.07800","3.49908"
"4.80000","0.07972","3.56895"
"4.90000","0.08140","3.63716"
"5.00000","0.08307","3.70322"
"5.10000","0.08473","3.76969"
"5.20000","0.08633","3.83110"
"5.30000","0.08797","3.89547"
"5.40000","0.08961","3.95949"
"5.50000","0.09123","4.02105"
"5.60000","0.09287","4.08428"
"5.70000","0.09455","4.14817"
"5.80000","0.09622","4.21060"
"5.90000","0.09792","4.27304"
"6.00000","0.09954","4.32941"
"6.10000","0.10102","4.37825"
"6.20000","0.10272","4.44034"
"6.30000","0.10464","4.51285"
"6.40000","0.10644","4.57453"
"6.50000","0.10811","4.62807"
"6.60000","0.10972","4.67660"
"6.70000","0.11138","4.72828"
"6.80000","0.11306","4.78137"
"6.90000","0.11471","4.83115"
