General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{D42A8E33-EE0E-4ED9-9650-5B5D31D8061D}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_4_WR2_6S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.42265"
"0.10000","0.00015","0.42385"
"0.20000","0.00092","0.43131"
"0.30000","0.00237","0.44565"
"0.40000","0.00451","0.46756"
"0.50000","0.00701","0.49212"
"0.60000","0.00927","0.51414"
"0.70000","0.01116","0.53271"
"0.80000","0.01287","0.54860"
"0.90000","0.01450","0.56384"
"1.00000","0.01615","0.57927"
"1.10000","0.01788","0.59545"
"1.20000","0.01954","0.61101"
"1.30000","0.02115","0.62512"
"1.40000","0.02277","0.63951"
"1.50000","0.02442","0.65381"
"1.60000","0.02612","0.66873"
"1.70000","0.02777","0.68292"
"1.80000","0.02951","0.69814"
"1.90000","0.03126","0.71351"
"2.00000","0.03305","0.72855"
"2.10000","0.03483","0.74385"
"2.20000","0.03650","0.75773"
"2.30000","0.03811","0.77139"
"2.40000","0.03971","0.78474"
"2.50000","0.04127","0.79754"
"2.60000","0.04291","0.81086"
"2.70000","0.04454","0.82349"
"2.80000","0.04619","0.83670"
"2.90000","0.04784","0.84895"
"3.00000","0.04954","0.86381"
"3.10000","0.05120","0.87714"
"3.20000","0.05280","0.88961"
"3.30000","0.05454","0.90482"
"3.40000","0.05633","0.91990"
"3.50000","0.05804","0.93398"
"3.60000","0.05973","0.94802"
"3.70000","0.06141","0.96070"
"3.80000","0.06305","0.97397"
"3.90000","0.06471","0.98702"
"4.00000","0.06635","0.99982"
"4.10000","0.06792","1.01180"
"4.20000","0.06952","1.02443"
"4.30000","0.07120","1.03777"
"4.40000","0.07289","1.05118"
"4.50000","0.07456","1.06434"
"4.60000","0.07620","1.07673"
"4.70000","0.07786","1.08922"
"4.80000","0.07950","1.10183"
"4.90000","0.08111","1.11392"
"5.00000","0.08286","1.12798"
"5.10000","0.08462","1.14205"
"5.20000","0.08640","1.15632"
"5.30000","0.08811","1.16939"
"5.40000","0.08975","1.18181"
"5.50000","0.09142","1.19446"
"5.60000","0.09301","1.20635"
"5.70000","0.09465","1.21921"
"5.80000","0.09625","1.23076"
"5.90000","0.09787","1.24255"
"6.00000","0.09954","1.25579"
"6.10000","0.10124","1.26869"
"6.20000","0.10288","1.28031"
"6.30000","0.10457","1.29377"
"6.40000","0.10623","1.30547"
"6.50000","0.10791","1.31850"
"6.60000","0.10961","1.33102"
"6.70000","0.11130","1.34317"
"6.80000","0.11295","1.35570"
"6.90000","0.11457","1.36733"
"7.00000","0.11623","1.37996"
"7.10000","0.11793","1.39279"
"7.20000","0.11955","1.40451"
"7.30000","0.12123","1.41691"
"7.40000","0.12287","1.42877"
"7.50000","0.12454","1.44121"
"7.60000","0.12620","1.45317"
"7.70000","0.12787","1.46539"
"7.80000","0.12953","1.47718"
"7.90000","0.13122","1.48991"
"8.00000","0.13289","1.50233"
"8.10000","0.13455","1.51435"
"8.20000","0.13617","1.52605"
"8.30000","0.13799","1.54086"
"8.40000","0.13979","1.55462"
"8.50000","0.14149","1.56717"
"8.60000","0.14311","1.57844"
"8.70000","0.14468","1.58972"
"8.80000","0.14633","1.60219"
"8.90000","0.14799","1.61422"
"9.00000","0.14953","1.62476"
"9.10000","0.15113","1.63695"
"9.20000","0.15282","1.64977"
"9.30000","0.15456","1.66274"
"9.40000","0.15623","1.67492"
