General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{30F827A6-FD39-4AD5-B1DD-434448EE4255}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_4_WR3_5S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.21981"
"0.10000","0.00008","0.22036"
"0.20000","0.00047","0.22346"
"0.30000","0.00276","0.24727"
"0.40000","0.00558","0.27584"
"0.50000","0.00770","0.29641"
"0.60000","0.00948","0.31314"
"0.70000","0.01110","0.32858"
"0.80000","0.01267","0.34393"
"0.90000","0.01443","0.36136"
"1.00000","0.01627","0.37931"
"1.10000","0.01806","0.39737"
"1.20000","0.01971","0.41266"
"1.30000","0.02135","0.42895"
"1.40000","0.02302","0.44518"
"1.50000","0.02461","0.46074"
"1.60000","0.02619","0.47674"
"1.70000","0.02784","0.49313"
"1.80000","0.02950","0.51022"
"1.90000","0.03121","0.52717"
"2.00000","0.03287","0.54395"
"2.10000","0.03451","0.56034"
"2.20000","0.03623","0.57745"
"2.30000","0.03785","0.59322"
"2.40000","0.03952","0.60943"
"2.50000","0.04128","0.62674"
"2.60000","0.04299","0.64369"
"2.70000","0.04471","0.66075"
"2.80000","0.04635","0.67695"
"2.90000","0.04794","0.69293"
"3.00000","0.04962","0.71011"
"3.10000","0.05129","0.72652"
"3.20000","0.05288","0.74234"
"3.30000","0.05450","0.75819"
"3.40000","0.05618","0.77499"
"3.50000","0.05784","0.79140"
"3.60000","0.05951","0.80759"
"3.70000","0.06119","0.82427"
"3.80000","0.06290","0.84164"
"3.90000","0.06455","0.85753"
"4.00000","0.06621","0.87434"
"4.10000","0.06784","0.88987"
"4.20000","0.06960","0.90788"
"4.30000","0.07140","0.92605"
"4.40000","0.07317","0.94308"
"4.50000","0.07480","0.95872"
"4.60000","0.07638","0.97374"
"4.70000","0.07798","0.98968"
"4.80000","0.07960","1.00498"
"4.90000","0.08118","1.02065"
"5.00000","0.08282","1.03661"
"5.10000","0.08450","1.05330"
"5.20000","0.08618","1.06987"
"5.30000","0.08788","1.08624"
"5.40000","0.08953","1.10168"
"5.50000","0.09120","1.11721"
"5.60000","0.09286","1.13320"
"5.70000","0.09457","1.14925"
"5.80000","0.09639","1.16690"
"5.90000","0.09810","1.18240"
"6.00000","0.09973","1.19703"
"6.10000","0.10139","1.21104"
"6.20000","0.10309","1.22663"
"6.30000","0.10475","1.24157"
"6.40000","0.10637","1.25475"
"6.50000","0.10802","1.26888"
"6.60000","0.10956","1.28149"
"6.70000","0.11109","1.29392"
"6.80000","0.11277","1.30848"
"6.90000","0.11444","1.32234"
"7.00000","0.11614","1.33640"
"7.10000","0.11783","1.35036"
"7.20000","0.11950","1.36321"
"7.30000","0.12123","1.37744"
"7.40000","0.12289","1.39015"
"7.50000","0.12461","1.40296"
"7.60000","0.12641","1.41746"
"7.70000","0.12809","1.42958"
"7.80000","0.12983","1.44252"
"7.90000","0.13149","1.45422"
"8.00000","0.13315","1.46590"
"8.10000","0.13473","1.47632"
"8.20000","0.13637","1.48735"
"8.30000","0.13803","1.49910"
"8.40000","0.13969","1.50954"
"8.50000","0.14133","1.51984"
"8.60000","0.14289","1.52972"
"8.70000","0.14448","1.54040"
"8.80000","0.14618","1.55293"
"8.90000","0.14776","1.56313"
"9.00000","0.14947","1.57564"
"9.10000","0.15129","1.59044"
"9.20000","0.15303","1.60326"
"9.30000","0.15478","1.61640"
"9.40000","0.15641","1.62848"
"9.50000","0.15808","1.64113"
"9.60000","0.15973","1.65187"
"9.70000","0.16138","1.66403"
"9.80000","0.16302","1.67583"
"9.90000","0.16465","1.68749"
"10.00000","0.16631","1.69919"
"10.10000","0.16798","1.71158"
"10.20000","0.16967","1.72423"
"10.30000","0.17135","1.73686"
"10.40000","0.17295","1.74813"
"10.50000","0.17454","1.75975"
"10.60000","0.17616","1.77195"
"10.70000","0.17776","1.78383"
"10.80000","0.17953","1.79759"
"10.90000","0.18135","1.81094"
"11.00000","0.18307","1.82451"
"11.10000","0.18473","1.83605"
