General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{68AA87B7-ABAB-4FBC-ABA8-72EAA7E8A976}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_4_WR2_1S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.32026"
"0.10000","0.00012","0.32193"
"0.20000","0.00090","0.33294"
"0.30000","0.00245","0.35478"
"0.40000","0.00471","0.38514"
"0.50000","0.00724","0.41906"
"0.60000","0.00946","0.44760"
"0.70000","0.01129","0.47055"
"0.80000","0.01287","0.48942"
"0.90000","0.01451","0.50986"
"1.00000","0.01618","0.53020"
"1.10000","0.01784","0.55065"
"1.20000","0.01949","0.57059"
"1.30000","0.02118","0.59078"
"1.40000","0.02284","0.61011"
"1.50000","0.02454","0.63064"
"1.60000","0.02612","0.64896"
"1.70000","0.02785","0.66923"
"1.80000","0.02951","0.68828"
"1.90000","0.03118","0.70727"
"2.00000","0.03289","0.72714"
"2.10000","0.03456","0.74605"
"2.20000","0.03630","0.76637"
"2.30000","0.03794","0.78486"
"2.40000","0.03954","0.80260"
"2.50000","0.04119","0.82049"
"2.60000","0.04287","0.83947"
"2.70000","0.04450","0.85704"
"2.80000","0.04619","0.87585"
"2.90000","0.04786","0.89439"
"3.00000","0.04952","0.91256"
"3.10000","0.05118","0.93074"
"3.20000","0.05287","0.94919"
"3.30000","0.05452","0.96718"
"3.40000","0.05620","0.98556"
"3.50000","0.05802","1.00565"
"3.60000","0.05978","1.02431"
"3.70000","0.06148","1.04257"
"3.80000","0.06308","1.05896"
"3.90000","0.06466","1.07561"
"4.00000","0.06630","1.09330"
"4.10000","0.06791","1.10970"
"4.20000","0.06951","1.12679"
"4.30000","0.07119","1.14502"
"4.40000","0.07286","1.16268"
"4.50000","0.07455","1.18045"
"4.60000","0.07619","1.19719"
"4.70000","0.07787","1.21485"
"4.80000","0.07955","1.23282"
"4.90000","0.08119","1.24952"
"5.00000","0.08300","1.26981"
"5.10000","0.08473","1.28791"
"5.20000","0.08643","1.30557"
"5.30000","0.08807","1.32208"
"5.40000","0.08975","1.33941"
"5.50000","0.09141","1.35673"
"5.60000","0.09305","1.37303"
"5.70000","0.09469","1.38960"
"5.80000","0.09627","1.40529"
"5.90000","0.09781","1.42059"
"6.00000","0.09947","1.43793"
"6.10000","0.10115","1.45571"
"6.20000","0.10285","1.47332"
"6.30000","0.10454","1.49192"
"6.40000","0.10620","1.50860"
"6.50000","0.10786","1.52589"
"6.60000","0.10953","1.54343"
"6.70000","0.11122","1.56115"
"6.80000","0.11304","1.58109"
"6.90000","0.11484","1.59964"
"7.00000","0.11650","1.61625"
"7.10000","0.11808","1.63205"
"7.20000","0.11981","1.65009"
"7.30000","0.12146","1.66713"
"7.40000","0.12305","1.68298"
"7.50000","0.12464","1.69886"
"7.60000","0.12629","1.71567"
"7.70000","0.12798","1.73341"
"7.80000","0.12959","1.74919"
"7.90000","0.13112","1.76432"
"8.00000","0.13283","1.78306"
"8.10000","0.13452","1.80104"
"8.20000","0.13616","1.81831"
"8.30000","0.13800","1.83923"
"8.40000","0.13972","1.85717"
"8.50000","0.14140","1.87426"
"8.60000","0.14308","1.89163"
"8.70000","0.14473","1.90851"
"8.80000","0.14640","1.92601"
"8.90000","0.14806","1.94290"
"9.00000","0.14969","1.95969"
"9.10000","0.15130","1.97615"
"9.20000","0.15294","1.99364"
"9.30000","0.15457","2.01109"
"9.40000","0.15626","2.02899"
"9.50000","0.15791","2.04548"
"9.60000","0.15956","2.06253"
"9.70000","0.16123","2.07956"
"9.80000","0.16286","2.09647"
"9.90000","0.16450","2.11398"
"10.00000","0.16619","2.13213"
"10.10000","0.16792","2.15122"
"10.20000","0.16961","2.16967"
"10.30000","0.17139","2.18904"
"10.40000","0.17312","2.20773"
"10.50000","0.17472","2.22632"
"10.60000","0.17635","2.24667"
"10.70000","0.17800","2.26632"
"10.80000","0.17962","2.28655"
"10.90000","0.18122","2.30630"
"11.00000","0.18290","2.32801"
"11.10000","0.18456","2.34930"
"11.20000","0.18624","2.37022"
"11.30000","0.18792","2.39138"
"11.40000","0.18957","2.41191"
"11.50000","0.19123","2.43256"
"11.60000","0.19302","2.45583"
