General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{3CB68B43-A0F0-42FA-9732-9D90392B37EE}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_4_WR2_1S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.31876"
"0.10000","0.00007","0.31828"
"0.20000","0.00072","0.32436"
"0.30000","0.00202","0.33740"
"0.40000","0.00408","0.35823"
"0.50000","0.00668","0.38508"
"0.60000","0.00902","0.40890"
"0.70000","0.01101","0.42800"
"0.80000","0.01275","0.44558"
"0.90000","0.01448","0.46215"
"1.00000","0.01608","0.47772"
"1.10000","0.01772","0.49363"
"1.20000","0.01938","0.50934"
"1.30000","0.02105","0.52424"
"1.40000","0.02272","0.53935"
"1.50000","0.02441","0.55454"
"1.60000","0.02626","0.57106"
"1.70000","0.02801","0.58612"
"1.80000","0.02971","0.60006"
"1.90000","0.03137","0.61323"
"2.00000","0.03306","0.62797"
"2.10000","0.03471","0.64107"
"2.20000","0.03629","0.65352"
"2.30000","0.03785","0.66566"
"2.40000","0.03957","0.67929"
"2.50000","0.04124","0.69235"
"2.60000","0.04291","0.70599"
"2.70000","0.04459","0.71944"
"2.80000","0.04617","0.73189"
"2.90000","0.04776","0.74405"
"3.00000","0.04958","0.75919"
"3.10000","0.05125","0.77217"
"3.20000","0.05292","0.78511"
"3.30000","0.05461","0.79793"
"3.40000","0.05637","0.81165"
"3.50000","0.05810","0.82522"
"3.60000","0.05970","0.83692"
"3.70000","0.06131","0.84917"
"3.80000","0.06292","0.86123"
"3.90000","0.06455","0.87344"
"4.00000","0.06623","0.88601"
"4.10000","0.06790","0.89840"
"4.20000","0.06958","0.91029"
"4.30000","0.07125","0.92287"
"4.40000","0.07295","0.93548"
"4.50000","0.07460","0.94821"
"4.60000","0.07624","0.96021"
"4.70000","0.07784","0.97206"
"4.80000","0.07958","0.98532"
"4.90000","0.08132","0.99871"
"5.00000","0.08303","1.01136"
"5.10000","0.08469","1.02354"
"5.20000","0.08639","1.03671"
"5.30000","0.08800","1.04813"
"5.40000","0.08959","1.05929"
"5.50000","0.09121","1.07151"
"5.60000","0.09287","1.08369"
"5.70000","0.09452","1.09556"
"5.80000","0.09618","1.10716"
"5.90000","0.09788","1.11956"
"6.00000","0.09958","1.13132"
"6.10000","0.10125","1.14318"
"6.20000","0.10286","1.15452"
"6.30000","0.10468","1.16842"
"6.40000","0.10645","1.18113"
"6.50000","0.10806","1.19172"
"6.60000","0.10976","1.20369"
"6.70000","0.11140","1.21470"
"6.80000","0.11300","1.22574"
"6.90000","0.11461","1.23625"
"7.00000","0.11620","1.24691"
"7.10000","0.11780","1.25824"
"7.20000","0.11949","1.27057"
"7.30000","0.12117","1.28177"
"7.40000","0.12286","1.29380"
"7.50000","0.12455","1.30530"
"7.60000","0.12623","1.31587"
"7.70000","0.12788","1.32722"
"7.80000","0.12955","1.33815"
"7.90000","0.13122","1.34888"
"8.00000","0.13292","1.36009"
"8.10000","0.13470","1.37268"
"8.20000","0.13646","1.38425"
"8.30000","0.13818","1.39517"
"8.40000","0.13984","1.40588"
"8.50000","0.14141","1.41531"
"8.60000","0.14303","1.42508"
"8.70000","0.14465","1.43550"
"8.80000","0.14618","1.44470"
"8.90000","0.14781","1.45529"
"9.00000","0.14950","1.46632"
"9.10000","0.15114","1.47657"
"9.20000","0.15282","1.48735"
"9.30000","0.15450","1.49732"
"9.40000","0.15620","1.50848"
"9.50000","0.15782","1.51833"
"9.60000","0.15962","1.53021"
"9.70000","0.16154","1.54339"
"9.80000","0.16314","1.55184"
"9.90000","0.16473","1.56054"
"10.00000","0.16642","1.57036"
"10.10000","0.16810","1.57973"
"10.20000","0.16972","1.58867"
"10.30000","0.17135","1.59783"
"10.40000","0.17303","1.60720"
"10.50000","0.17466","1.61623"
"10.60000","0.17628","1.62493"
"10.70000","0.17785","1.63350"
"10.80000","0.17946","1.64191"
"10.90000","0.18113","1.65170"
