General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{0CAF4059-70F1-434E-98BA-5A692318E2F3}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_4_WR2_3S3"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.47349"
"0.10000","0.00005","0.47337"
"0.20000","0.00032","0.47344"
"0.30000","0.00125","0.47774"
"0.40000","0.00527","0.50087"
"0.50000","0.00780","0.51430"
"0.60000","0.00949","0.52243"
"0.70000","0.01114","0.53129"
"0.80000","0.01280","0.53926"
"0.90000","0.01450","0.54834"
"1.00000","0.01623","0.55677"
"1.10000","0.01789","0.56490"
"1.20000","0.01957","0.57279"
"1.30000","0.02127","0.58064"
"1.40000","0.02300","0.58869"
"1.50000","0.02468","0.59662"
"1.60000","0.02629","0.60426"
"1.70000","0.02786","0.61161"
"1.80000","0.02953","0.61928"
"1.90000","0.03123","0.62669"
"2.00000","0.03287","0.63405"
"2.10000","0.03451","0.64149"
"2.20000","0.03617","0.64898"
"2.30000","0.03786","0.65640"
"2.40000","0.03953","0.66372"
"2.50000","0.04106","0.67038"
"2.60000","0.04277","0.67851"
"2.70000","0.04461","0.68706"
"2.80000","0.04638","0.69474"
"2.90000","0.04810","0.70237"
"3.00000","0.04976","0.70993"
"3.10000","0.05142","0.71661"
"3.20000","0.05304","0.72395"
"3.30000","0.05467","0.73093"
"3.40000","0.05627","0.73801"
"3.50000","0.05786","0.74463"
"3.60000","0.05956","0.75214"
"3.70000","0.06123","0.75923"
"3.80000","0.06288","0.76604"
"3.90000","0.06456","0.77298"
"4.00000","0.06621","0.78003"
"4.10000","0.06788","0.78703"
"4.20000","0.06963","0.79471"
"4.30000","0.07136","0.80134"
"4.40000","0.07303","0.80815"
"4.50000","0.07467","0.81501"
"4.60000","0.07628","0.82148"
"4.70000","0.07793","0.82811"
"4.80000","0.07963","0.83517"
"4.90000","0.08128","0.84191"
"5.00000","0.08285","0.84818"
"5.10000","0.08452","0.85471"
"5.20000","0.08621","0.86191"
"5.30000","0.08787","0.86863"
"5.40000","0.08955","0.87483"
"5.50000","0.09124","0.88219"
"5.60000","0.09287","0.88857"
"5.70000","0.09455","0.89515"
"5.80000","0.09622","0.90149"
"5.90000","0.09791","0.90776"
"6.00000","0.09970","0.91514"
"6.10000","0.10148","0.92201"
"6.20000","0.10315","0.92797"
"6.30000","0.10476","0.93364"
"6.40000","0.10636","0.93992"
"6.50000","0.10799","0.94660"
"6.60000","0.10958","0.95243"
"6.70000","0.11115","0.95792"
"6.80000","0.11282","0.96426"
"6.90000","0.11451","0.97095"
"7.00000","0.11621","0.97784"
"7.10000","0.11786","0.98330"
"7.20000","0.11952","0.99008"
"7.30000","0.12122","0.99604"
"7.40000","0.12285","1.00243"
"7.50000","0.12467","1.00944"
"7.60000","0.12642","1.01601"
"7.70000","0.12810","1.02192"
"7.80000","0.12972","1.02794"
"7.90000","0.13140","1.03448"
"8.00000","0.13310","1.03997"
"8.10000","0.13473","1.04548"
"8.20000","0.13634","1.05130"
"8.30000","0.13797","1.05670"
"8.40000","0.13948","1.06215"
"8.50000","0.14110","1.06798"
"8.60000","0.14278","1.07380"
"8.70000","0.14447","1.07990"
"8.80000","0.14613","1.08598"
"8.90000","0.14782","1.09206"
"9.00000","0.14955","1.09833"
"9.10000","0.15124","1.10410"
"9.20000","0.15291","1.10999"
"9.30000","0.15467","1.11609"
"9.40000","0.15645","1.12308"
"9.50000","0.15815","1.12842"
"9.60000","0.15979","1.13407"
"9.70000","0.16148","1.14002"
"9.80000","0.16308","1.14512"
"9.90000","0.16471","1.15077"
"10.00000","0.16636","1.15568"
"10.10000","0.16803","1.16159"
"10.20000","0.16968","1.16699"
"10.30000","0.17129","1.17224"
"10.40000","0.17282","1.17694"
"10.50000","0.17447","1.18277"
"10.60000","0.17615","1.18842"
"10.70000","0.17781","1.19418"
"10.80000","0.17960","1.20002"
"10.90000","0.18134","1.20608"
"11.00000","0.18310","1.21223"
"11.10000","0.18478","1.21806"
"11.20000","0.18643","1.22304"
"11.30000","0.18805","1.22830"
"11.40000","0.18974","1.23394"
"11.50000","0.19137","1.23929"
"11.60000","0.19298","1.24387"
"11.70000","0.19462","1.24958"
"11.80000","0.19629","1.25477"
"11.90000","0.19796","1.26085"
"12.00000","0.19963","1.26592"
"12.10000","0.20127","1.27082"
"12.20000","0.20289","1.27634"
"12.30000","0.20454","1.28127"
"12.40000","0.20613","1.28612"
"12.50000","0.20779","1.29148"
"12.60000","0.20964","1.29776"
"12.70000","0.21142","1.30337"
"12.80000","0.21307","1.30900"
"12.90000","0.21473","1.31415"
"13.00000","0.21638","1.31934"
"13.10000","0.21803","1.32464"
"13.20000","0.21969","1.32958"
"13.30000","0.22131","1.33444"
"13.40000","0.22296","1.33932"
"13.50000","0.22460","1.34457"
"13.60000","0.22625","1.34970"
"13.70000","0.22794","1.35492"
"13.80000","0.22967","1.36043"
"13.90000","0.23137","1.36567"
"14.00000","0.23295","1.37037"
"14.10000","0.23467","1.37525"
"14.20000","0.23644","1.38094"
"14.30000","0.23806","1.38563"
"14.40000","0.23965","1.39026"
"14.50000","0.24131","1.39565"
"14.60000","0.24296","1.39989"
"14.70000","0.24460","1.40491"
"14.80000","0.24621","1.40995"
"14.90000","0.24785","1.41426"
"15.00000","0.24951","1.41960"
"15.10000","0.25123","1.42501"
"15.20000","0.25291","1.42978"
"15.30000","0.25455","1.43419"
"15.40000","0.25625","1.43973"
"15.50000","0.25796","1.44484"
"15.60000","0.25963","1.44946"
"15.70000","0.26122","1.45353"
"15.80000","0.26299","1.45906"
"15.90000","0.26481","1.46441"
"16.00000","0.26652","1.46934"
"16.10000","0.26816","1.47377"
"16.20000","0.26984","1.47774"
"16.30000","0.27142","1.48229"
"16.40000","0.27299","1.48687"
"16.50000","0.27453","1.49110"
"16.60000","0.27613","1.49541"
"16.70000","0.27783","1.50027"
"16.80000","0.27952","1.50519"
"16.90000","0.28119","1.51006"
"17.00000","0.28286","1.51458"
"17.10000","0.28457","1.51936"
"17.20000","0.28621","1.52382"
"17.30000","0.28803","1.52887"
"17.40000","0.28978","1.53379"
"17.50000","0.29141","1.53776"
"17.60000","0.29309","1.54220"
"17.70000","0.29479","1.54621"
"17.80000","0.29644","1.55121"
"17.90000","0.29806","1.55556"
"18.00000","0.29971","1.55910"
"18.10000","0.30138","1.56327"
"18.20000","0.30301","1.56737"
"18.30000","0.30457","1.57107"
"18.40000","0.30613","1.57527"
"18.50000","0.30781","1.57981"
"18.60000","0.30946","1.58384"
"18.70000","0.31113","1.58837"
"18.80000","0.31283","1.59266"
"18.90000","0.31453","1.59747"
"19.00000","0.31616","1.60113"
"19.10000","0.31793","1.60614"
"19.20000","0.31976","1.61064"
"19.30000","0.32144","1.61497"
"19.40000","0.32307","1.61844"
"19.50000","0.32475","1.62256"
"19.60000","0.32643","1.62636"
"19.70000","0.32803","1.62949"
"19.80000","0.32960","1.63321"
"19.90000","0.33122","1.63661"
"20.00000","0.33290","1.64058"
"20.10000","0.33459","1.64455"
"20.20000","0.33626","1.64835"
"20.30000","0.33785","1.65186"
"20.40000","0.33940","1.65556"
"20.50000","0.34119","1.66013"
"20.60000","0.34294","1.66422"
"20.70000","0.34457","1.66831"
"20.80000","0.34625","1.67222"
"20.90000","0.34796","1.67622"
"21.00000","0.34971","1.67968"
"21.10000","0.35140","1.68387"
"21.20000","0.35300","1.68712"
"21.30000","0.35463","1.69019"
"21.40000","0.35625","1.69358"
"21.50000","0.35790","1.69785"
"21.60000","0.35958","1.70117"
"21.70000","0.36129","1.70532"
"21.80000","0.36293","1.70817"
"21.90000","0.36458","1.71196"
"22.00000","0.36627","1.71540"
"22.10000","0.36791","1.71829"
"22.20000","0.36958","1.72156"
"22.30000","0.37120","1.72530"
"22.40000","0.37295","1.72946"
"22.50000","0.37468","1.73321"
"22.60000","0.37636","1.73666"
"22.70000","0.37804","1.74039"
"22.80000","0.37972","1.74340"
"22.90000","0.38127","1.74618"
"23.00000","0.38287","1.74902"
"23.10000","0.38455","1.75215"
"23.20000","0.38620","1.75571"
"23.30000","0.38786","1.75876"
"23.40000","0.38953","1.76211"
"23.50000","0.39123","1.76516"
"23.60000","0.39292","1.76856"
"23.70000","0.39452","1.77082"
"23.80000","0.39626","1.77500"
"23.90000","0.39810","1.77880"
"24.00000","0.39976","1.78117"
"24.10000","0.40140","1.78392"
"24.20000","0.40309","1.78692"
"24.30000","0.40474","1.78967"
"24.40000","0.40633","1.79294"
"24.50000","0.40793","1.79569"
"24.60000","0.40952","1.79802"
"24.70000","0.41114","1.80063"
"24.80000","0.41283","1.80379"
"24.90000","0.41451","1.80622"
"25.00000","0.41619","1.80980"
"25.10000","0.41786","1.81266"
"25.20000","0.41956","1.81493"
"25.30000","0.42123","1.81803"
"25.40000","0.42288","1.82092"
"25.50000","0.42455","1.82360"
"25.60000","0.42630","1.82646"
"25.70000","0.42807","1.82951"
"25.80000","0.42977","1.83263"
"25.90000","0.43150","1.83522"
"26.00000","0.43313","1.83718"
"26.10000","0.43470","1.83969"
"26.20000","0.43636","1.84241"
"26.30000","0.43800","1.84435"
"26.40000","0.43955","1.84663"
"26.50000","0.44115","1.84908"
"26.60000","0.44283","1.85209"
"26.70000","0.44449","1.85466"
"26.80000","0.44618","1.85722"
"26.90000","0.44786","1.86021"
"27.00000","0.44950","1.86193"
"27.10000","0.45119","1.86520"
"27.20000","0.45308","1.86902"
"27.30000","0.45484","1.87142"
"27.40000","0.45641","1.87323"
"27.50000","0.45806","1.87550"
"27.60000","0.45978","1.87840"
"27.70000","0.46141","1.88064"
"27.80000","0.46304","1.88297"
"27.90000","0.46469","1.88465"
"28.00000","0.46636","1.88671"
"28.10000","0.46801","1.89005"
"28.20000","0.46961","1.89103"
"28.30000","0.47116","1.89333"
"28.40000","0.47283","1.89592"
"28.50000","0.47449","1.89834"
"28.60000","0.47617","1.90070"
"28.70000","0.47787","1.90312"
"28.80000","0.47953","1.90539"
"28.90000","0.48120","1.90799"
"29.00000","0.48301","1.91095"
"29.10000","0.48480","1.91406"
"29.20000","0.48646","1.91608"
"29.30000","0.48807","1.91766"
"29.40000","0.48973","1.92046"
"29.50000","0.49137","1.92224"
"29.60000","0.49297","1.92406"
"29.70000","0.49461","1.92631"
"29.80000","0.49628","1.92852"
"29.90000","0.49796","1.93089"
"30.00000","0.49958","1.93269"
"30.10000","0.50135","1.93572"
"30.20000","0.50308","1.93773"
"30.30000","0.50453","1.93847"
"30.40000","0.50622","1.94117"
"30.50000","0.50795","1.94384"
"30.60000","0.50962","1.94603"
"30.70000","0.51131","1.94865"
"30.80000","0.51305","1.95142"
"30.90000","0.51470","1.95306"
"31.00000","0.51632","1.95526"
"31.10000","0.51802","1.95738"
"31.20000","0.51964","1.95924"
"31.30000","0.52123","1.96144"
"31.40000","0.52287","1.96333"
"31.50000","0.52456","1.96508"
"31.60000","0.52621","1.96713"
"31.70000","0.52789","1.96955"
"31.80000","0.52961","1.97173"
"31.90000","0.53128","1.97410"
"32.00000","0.53293","1.97581"
"32.10000","0.53467","1.97811"
"32.20000","0.53640","1.98043"
"32.30000","0.53804","1.98210"
"32.40000","0.53971","1.98409"
"32.50000","0.54138","1.98602"
"32.60000","0.54306","1.98894"
"32.70000","0.54467","1.99036"
"32.80000","0.54625","1.99218"
"32.90000","0.54788","1.99370"
"33.00000","0.54950","1.99594"
"33.10000","0.55118","1.99771"
"33.20000","0.55288","2.00050"
"33.30000","0.55454","2.00171"
"33.40000","0.55626","2.00422"
"33.50000","0.55791","2.00559"
"33.60000","0.55954","2.00778"
"33.70000","0.56141","2.01063"
"33.80000","0.56316","2.01264"
"33.90000","0.56477","2.01379"
"34.00000","0.56645","2.01546"
"34.10000","0.56819","2.01757"
"34.20000","0.56977","2.01827"
