General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{1DB92E2E-0F0A-4585-BEBF-65A4C5306A17}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_4_WR2_4S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.33884"
"0.10000","0.00008","0.33890"
"0.20000","0.00059","0.34552"
"0.30000","0.00171","0.35737"
"0.40000","0.00358","0.37907"
"0.50000","0.00624","0.40966"
"0.60000","0.00912","0.44318"
"0.70000","0.01132","0.46673"
"0.80000","0.01301","0.48410"
"0.90000","0.01454","0.50018"
"1.00000","0.01614","0.51674"
"1.10000","0.01779","0.53374"
"1.20000","0.01947","0.55111"
"1.30000","0.02116","0.56770"
"1.40000","0.02280","0.58391"
"1.50000","0.02440","0.59937"
"1.60000","0.02617","0.61690"
"1.70000","0.02785","0.63357"
"1.80000","0.02955","0.65042"
"1.90000","0.03124","0.66655"
"2.00000","0.03293","0.68323"
"2.10000","0.03463","0.70064"
"2.20000","0.03630","0.71644"
"2.30000","0.03792","0.73213"
"2.40000","0.03954","0.74716"
"2.50000","0.04123","0.76328"
"2.60000","0.04286","0.77818"
"2.70000","0.04451","0.79392"
"2.80000","0.04619","0.80940"
"2.90000","0.04786","0.82438"
"3.00000","0.04953","0.83988"
"3.10000","0.05119","0.85474"
"3.20000","0.05288","0.86977"
"3.30000","0.05455","0.88436"
"3.40000","0.05621","0.89902"
"3.50000","0.05806","0.91567"
"3.60000","0.05979","0.93125"
"3.70000","0.06138","0.94479"
"3.80000","0.06304","0.96012"
"3.90000","0.06472","0.97512"
"4.00000","0.06632","0.98952"
"4.10000","0.06790","1.00349"
"4.20000","0.06948","1.01691"
"4.30000","0.07115","1.03276"
"4.40000","0.07287","1.05151"
"4.50000","0.07449","1.06847"
"4.60000","0.07621","1.08840"
"4.70000","0.07789","1.10731"
"4.80000","0.07949","1.12477"
"4.90000","0.08120","1.14511"
"5.00000","0.08302","1.16613"
"5.10000","0.08474","1.18488"
"5.20000","0.08641","1.20342"
"5.30000","0.08807","1.22224"
"5.40000","0.08972","1.24122"
"5.50000","0.09137","1.25948"
"5.60000","0.09306","1.27790"
"5.70000","0.09465","1.29519"
"5.80000","0.09618","1.31204"
"5.90000","0.09783","1.33108"
"6.00000","0.09951","1.35046"
"6.10000","0.10118","1.36978"
"6.20000","0.10286","1.38905"
"6.30000","0.10452","1.40803"
"6.40000","0.10618","1.42660"
"6.50000","0.10786","1.44564"
"6.60000","0.10948","1.46369"
"6.70000","0.11128","1.48404"
"6.80000","0.11306","1.50427"
"6.90000","0.11474","1.52233"
"7.00000","0.11644","1.54144"
"7.10000","0.11811","1.55941"
"7.20000","0.11972","1.57613"
"7.30000","0.12138","1.59406"
"7.40000","0.12303","1.61145"
"7.50000","0.12462","1.62699"
"7.60000","0.12622","1.64325"
"7.70000","0.12785","1.66096"
"7.80000","0.12953","1.67899"
"7.90000","0.13120","1.69738"
"8.00000","0.13288","1.71568"
"8.10000","0.13448","1.73188"
"8.20000","0.13622","1.75141"
"8.30000","0.13804","1.77113"
"8.40000","0.13973","1.78840"
"8.50000","0.14137","1.80530"
"8.60000","0.14306","1.82211"
"8.70000","0.14475","1.83945"
"8.80000","0.14637","1.85510"
"8.90000","0.14802","1.87139"
"9.00000","0.14968","1.88775"
"9.10000","0.15129","1.90303"
"9.20000","0.15289","1.91797"
"9.30000","0.15455","1.93364"
"9.40000","0.15622","1.94972"
"9.50000","0.15790","1.96567"
"9.60000","0.15953","1.98062"
"9.70000","0.16117","1.99542"
"9.80000","0.16287","2.01186"
"9.90000","0.16454","2.02728"
"10.00000","0.16624","2.04190"
"10.10000","0.16808","2.05840"
"10.20000","0.16981","2.07205"
"10.30000","0.17142","2.08234"
"10.40000","0.17307","2.09261"
"10.50000","0.17472","2.10254"
"10.60000","0.17637","2.11344"
"10.70000","0.17799","2.12363"
"10.80000","0.17958","2.13467"
"10.90000","0.18122","2.14667"
"11.00000","0.18289","2.15885"
"11.10000","0.18455","2.17143"
"11.20000","0.18626","2.18457"
"11.30000","0.18794","2.19689"
"11.40000","0.18955","2.20811"
"11.50000","0.19137","2.22268"
"11.60000","0.19305","2.23427"
"11.70000","0.19466","2.24504"
"11.80000","0.19631","2.25701"
"11.90000","0.19801","2.26923"
"12.00000","0.19974","2.28204"
"12.10000","0.20136","2.29257"
"12.20000","0.20295","2.30246"
"12.30000","0.20451","2.31256"
"12.40000","0.20623","2.32571"
"12.50000","0.20789","2.33699"
"12.60000","0.20954","2.34929"
"12.70000","0.21122","2.36020"
"12.80000","0.21291","2.37288"
"12.90000","0.21461","2.38419"
"13.00000","0.21624","2.39562"
"13.10000","0.21789","2.40526"
"13.20000","0.21957","2.41585"
"13.30000","0.22130","2.42717"
"13.40000","0.22316","2.44087"
"13.50000","0.22479","2.44937"
"13.60000","0.22633","2.45699"
"13.70000","0.22805","2.46929"
"13.80000","0.22965","2.47855"
"13.90000","0.23124","2.48759"
"14.00000","0.23285","2.49711"
"14.10000","0.23454","2.50899"
"14.20000","0.23621","2.51866"
"14.30000","0.23788","2.52851"
"14.40000","0.23954","2.53841"
"14.50000","0.24124","2.54927"
"14.60000","0.24289","2.55872"
"14.70000","0.24457","2.56915"
"14.80000","0.24639","2.58208"
"14.90000","0.24813","2.59257"
"15.00000","0.24974","2.60048"
"15.10000","0.25145","2.61098"
"15.20000","0.25316","2.62153"
"15.30000","0.25480","2.62919"
"15.40000","0.25634","2.63661"
"15.50000","0.25788","2.64457"
"15.60000","0.25947","2.65449"
"15.70000","0.26114","2.66544"
"15.80000","0.26282","2.67671"
"15.90000","0.26452","2.68784"
"16.00000","0.26618","2.69715"
"16.10000","0.26784","2.70664"
"16.20000","0.26953","2.71650"
"16.30000","0.27123","2.72655"
"16.40000","0.27286","2.73599"
"16.50000","0.27463","2.74711"
"16.60000","0.27644","2.75893"
"16.70000","0.27819","2.76911"
"16.80000","0.27985","2.77697"
"16.90000","0.28148","2.78512"
"17.00000","0.28307","2.79287"
"17.10000","0.28476","2.80177"
"17.20000","0.28638","2.81000"
"17.30000","0.28796","2.81758"
"17.40000","0.28953","2.82545"
"17.50000","0.29115","2.83365"
"17.60000","0.29282","2.84375"
"17.70000","0.29453","2.85336"
"17.80000","0.29622","2.86275"
"17.90000","0.29784","2.86993"
"18.00000","0.29949","2.87795"
"18.10000","0.30130","2.88906"
"18.20000","0.30307","2.89831"
"18.30000","0.30473","2.90534"
"18.40000","0.30642","2.91272"
"18.50000","0.30814","2.92009"
"18.60000","0.30974","2.92562"
"18.70000","0.31138","2.93222"
"18.80000","0.31304","2.93945"
"18.90000","0.31464","2.94655"
"19.00000","0.31628","2.95315"
"19.10000","0.31798","2.96152"
"19.20000","0.31963","2.96909"
"19.30000","0.32119","2.97565"
"19.40000","0.32280","2.98351"
"19.50000","0.32448","2.99224"
"19.60000","0.32609","2.99899"
"19.70000","0.32778","3.00787"
"19.80000","0.32957","3.01752"
"19.90000","0.33130","3.02608"
"20.00000","0.33306","3.03518"
"20.10000","0.33480","3.04373"
"20.20000","0.33645","3.04929"
"20.30000","0.33806","3.05453"
"20.40000","0.33968","3.05999"
"20.50000","0.34132","3.06476"
"20.60000","0.34299","3.07114"
"20.70000","0.34464","3.07674"
"20.80000","0.34629","3.08224"
"20.90000","0.34798","3.08945"
"21.00000","0.34970","3.09623"
"21.10000","0.35139","3.10296"
