General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{E75C6256-F5B3-4795-A7B2-6CB614C5A449}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_4_WR2_5S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.28172"
"0.10000","0.00002","0.28164"
"0.20000","0.00029","0.28423"
"0.30000","0.00094","0.28890"
"0.40000","0.00225","0.29972"
"0.50000","0.00473","0.32131"
"0.60000","0.00915","0.35589"
"0.70000","0.01158","0.37182"
"0.80000","0.01308","0.37988"
"0.90000","0.01464","0.39003"
"1.00000","0.01623","0.40039"
"1.10000","0.01781","0.40982"
"1.20000","0.01944","0.42022"
"1.30000","0.02113","0.43050"
"1.40000","0.02271","0.43952"
"1.50000","0.02439","0.44912"
"1.60000","0.02609","0.45893"
"1.70000","0.02776","0.46827"
"1.80000","0.02942","0.47738"
"1.90000","0.03111","0.48678"
"2.00000","0.03284","0.49627"
"2.10000","0.03452","0.50426"
"2.20000","0.03625","0.51330"
"2.30000","0.03811","0.52348"
"2.40000","0.03985","0.53146"
"2.50000","0.04149","0.53935"
"2.60000","0.04320","0.54846"
"2.70000","0.04482","0.55543"
"2.80000","0.04646","0.56316"
"2.90000","0.04803","0.57017"
"3.00000","0.04954","0.57649"
"3.10000","0.05116","0.58435"
"3.20000","0.05283","0.59230"
"3.30000","0.05448","0.60059"
"3.40000","0.05618","0.60912"
"3.50000","0.05793","0.61784"
"3.60000","0.05952","0.62501"
"3.70000","0.06108","0.63266"
"3.80000","0.06290","0.64242"
"3.90000","0.06470","0.65230"
"4.00000","0.06643","0.66089"
"4.10000","0.06813","0.66993"
"4.20000","0.06982","0.67856"
"4.30000","0.07143","0.68585"
"4.40000","0.07307","0.69376"
"4.50000","0.07469","0.70165"
"4.60000","0.07633","0.70975"
"4.70000","0.07798","0.71833"
"4.80000","0.07964","0.72627"
"4.90000","0.08133","0.73528"
"5.00000","0.08287","0.74285"
"5.10000","0.08444","0.75060"
"5.20000","0.08612","0.76053"
"5.30000","0.08783","0.77045"
"5.40000","0.08946","0.77921"
"5.50000","0.09121","0.78862"
"5.60000","0.09294","0.79752"
"5.70000","0.09470","0.80731"
"5.80000","0.09641","0.81659"
