General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{69893402-38FA-4909-8A2E-3A1437FDB13F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_5_WR3_1S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.39014"
"0.10000","0.00011","0.39118"
"0.20000","0.00062","0.39943"
"0.30000","0.00178","0.41921"
"0.40000","0.00365","0.45259"
"0.50000","0.00628","0.50110"
"0.60000","0.00916","0.55289"
"0.70000","0.01126","0.59087"
"0.80000","0.01302","0.62270"
"0.90000","0.01467","0.65141"
"1.00000","0.01633","0.68097"
"1.10000","0.01792","0.70960"
"1.20000","0.01949","0.73675"
"1.30000","0.02111","0.76592"
"1.40000","0.02270","0.79333"
"1.50000","0.02440","0.82286"
"1.60000","0.02614","0.85352"
"1.70000","0.02777","0.88371"
"1.80000","0.02933","0.91058"
"1.90000","0.03121","0.94353"
"2.00000","0.03287","0.97115"
"2.10000","0.03454","0.99843"
"2.20000","0.03625","1.02645"
"2.30000","0.03798","1.05415"
"2.40000","0.03973","1.08144"
"2.50000","0.04135","1.10543"
"2.60000","0.04298","1.12678"
"2.70000","0.04460","1.14915"
"2.80000","0.04627","1.17306"
"2.90000","0.04788","1.19517"
"3.00000","0.04953","1.21921"
"3.10000","0.05122","1.24458"
"3.20000","0.05286","1.26828"
"3.30000","0.05458","1.29287"
"3.40000","0.05626","1.31730"
"3.50000","0.05793","1.34140"
"3.60000","0.05953","1.36407"
"3.70000","0.06128","1.38965"
"3.80000","0.06307","1.41573"
"3.90000","0.06469","1.43924"
"4.00000","0.06634","1.46147"
"4.10000","0.06801","1.48725"
"4.20000","0.06968","1.51075"
"4.30000","0.07134","1.53414"
"4.40000","0.07297","1.55654"
"4.50000","0.07456","1.57928"
"4.60000","0.07618","1.60093"
"4.70000","0.07787","1.62470"
"4.80000","0.07954","1.64893"
"4.90000","0.08123","1.67171"
"5.00000","0.08294","1.69528"
"5.10000","0.08453","1.71603"
"5.20000","0.08630","1.74004"
"5.30000","0.08812","1.76551"
"5.40000","0.08979","1.78767"
"5.50000","0.09142","1.80850"
"5.60000","0.09306","1.82929"
"5.70000","0.09467","1.85070"
"5.80000","0.09624","1.87069"
"5.90000","0.09786","1.89093"
"6.00000","0.09951","1.91198"
"6.10000","0.10115","1.93347"
"6.20000","0.10282","1.95526"
"6.30000","0.10451","1.97725"
"6.40000","0.10619","1.99914"
"6.50000","0.10788","2.02100"
"6.60000","0.10958","2.04341"
"6.70000","0.11122","2.06409"
"6.80000","0.11288","2.08594"
"6.90000","0.11455","2.10648"
"7.00000","0.11634","2.13049"
"7.10000","0.11815","2.15432"
"7.20000","0.11983","2.17445"
"7.30000","0.12141","2.19355"
"7.40000","0.12308","2.21389"
"7.50000","0.12474","2.23463"
"7.60000","0.12637","2.25440"
"7.70000","0.12794","2.27327"
"7.80000","0.12950","2.29232"
"7.90000","0.13112","2.31215"
"8.00000","0.13278","2.33318"
"8.10000","0.13450","2.35456"
"8.20000","0.13618","2.37563"
"8.30000","0.13785","2.39532"
"8.40000","0.13951","2.41521"
"8.50000","0.14128","2.43649"
"8.60000","0.14306","2.45813"
"8.70000","0.14481","2.47973"
"8.80000","0.14645","2.49750"
"8.90000","0.14810","2.51694"
"9.00000","0.14978","2.53619"
"9.10000","0.15140","2.55405"
"9.20000","0.15308","2.57349"
"9.30000","0.15469","2.59109"
"9.40000","0.15632","2.60893"
"9.50000","0.15801","2.62859"
"9.60000","0.15962","2.64656"
"9.70000","0.16115","2.66290"
"9.80000","0.16281","2.68276"
"9.90000","0.16448","2.70272"
"10.00000","0.16616","2.72200"
"10.10000","0.16792","2.74306"
"10.20000","0.16947","2.75926"
"10.30000","0.17120","2.78103"
"10.40000","0.17308","2.80279"
"10.50000","0.17482","2.82204"
"10.60000","0.17647","2.83885"
"10.70000","0.17810","2.85575"
"10.80000","0.17972","2.87333"
"10.90000","0.18139","2.89140"
"11.00000","0.18305","2.90954"
"11.10000","0.18468","2.92628"
"11.20000","0.18632","2.94344"
"11.30000","0.18798","2.96110"
"11.40000","0.18967","2.97899"
"11.50000","0.19136","2.99716"
"11.60000","0.19293","3.01301"
"11.70000","0.19446","3.02821"
"11.80000","0.19625","3.04948"
"11.90000","0.19794","3.06795"
"12.00000","0.19959","3.08690"
"12.10000","0.20133","3.10631"
"12.20000","0.20297","3.12361"
"12.30000","0.20466","3.14130"
"12.40000","0.20631","3.15907"
"12.50000","0.20795","3.17502"
"12.60000","0.20958","3.19193"
"12.70000","0.21123","3.20919"
"12.80000","0.21291","3.22704"
"12.90000","0.21456","3.24390"
"13.00000","0.21623","3.26103"
"13.10000","0.21793","3.27895"
"13.20000","0.21965","3.29639"
"13.30000","0.22132","3.31283"
"13.40000","0.22303","3.33017"
"13.50000","0.22466","3.34595"
"13.60000","0.22627","3.36208"
"13.70000","0.22793","3.37922"
