General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{4BEA60EC-2205-4CA8-915B-339076B6C1D8}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_5_WR1_4S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.44226"
"0.10000","0.00010","0.44276"
"0.20000","0.00075","0.44704"
"0.30000","0.00313","0.46735"
"0.40000","0.00568","0.48811"
"0.50000","0.00779","0.50399"
"0.60000","0.00948","0.51621"
"0.70000","0.01122","0.52711"
"0.80000","0.01286","0.53847"
"0.90000","0.01443","0.54910"
"1.00000","0.01620","0.56136"
"1.10000","0.01789","0.57268"
"1.20000","0.01955","0.58419"
"1.30000","0.02121","0.59489"
"1.40000","0.02293","0.60626"
"1.50000","0.02461","0.61697"
"1.60000","0.02629","0.62785"
"1.70000","0.02790","0.63820"
"1.80000","0.02955","0.64803"
"1.90000","0.03119","0.65837"
"2.00000","0.03282","0.66836"
"2.10000","0.03452","0.67852"
"2.20000","0.03621","0.68884"
"2.30000","0.03786","0.69862"
"2.40000","0.03954","0.70889"
"2.50000","0.04119","0.71870"
"2.60000","0.04289","0.72860"
"2.70000","0.04460","0.73781"
"2.80000","0.04634","0.74684"
"2.90000","0.04803","0.75644"
"3.00000","0.04975","0.76638"
"3.10000","0.05146","0.77668"
"3.20000","0.05311","0.78663"
"3.30000","0.05470","0.79575"
"3.40000","0.05627","0.80493"
"3.50000","0.05786","0.81413"
"3.60000","0.05955","0.82436"
"3.70000","0.06119","0.83450"
"3.80000","0.06283","0.84416"
"3.90000","0.06449","0.85387"
"4.00000","0.06623","0.86404"
"4.10000","0.06795","0.87384"
"4.20000","0.06954","0.88179"
"4.30000","0.07124","0.89048"
"4.40000","0.07299","0.89965"
"4.50000","0.07474","0.90978"
"4.60000","0.07642","0.91925"
"4.70000","0.07815","0.92965"
"4.80000","0.07977","0.93802"
"4.90000","0.08134","0.94628"
"5.00000","0.08299","0.95516"
"5.10000","0.08465","0.96403"
"5.20000","0.08622","0.97255"
"5.30000","0.08780","0.98125"
"5.40000","0.08949","0.99145"
"5.50000","0.09120","1.00137"
"5.60000","0.09285","1.01013"
"5.70000","0.09451","1.01961"
"5.80000","0.09619","1.02957"
"5.90000","0.09784","1.03860"
"6.00000","0.09962","1.04946"
"6.10000","0.10144","1.05909"
"6.20000","0.10312","1.06854"
"6.30000","0.10477","1.07718"
"6.40000","0.10645","1.08589"
"6.50000","0.10809","1.09484"
"6.60000","0.10978","1.10407"
"6.70000","0.11136","1.11214"
"6.80000","0.11295","1.11984"
"6.90000","0.11453","1.12774"
"7.00000","0.11617","1.13665"
"7.10000","0.11782","1.14619"
"7.20000","0.11950","1.15569"
"7.30000","0.12121","1.16523"
"7.40000","0.12287","1.17413"
"7.50000","0.12454","1.18374"
"7.60000","0.12630","1.19379"
"7.70000","0.12805","1.20354"
"7.80000","0.12972","1.21222"
"7.90000","0.13141","1.22159"
"8.00000","0.13309","1.23092"
"8.10000","0.13474","1.23932"
"8.20000","0.13635","1.24792"
"8.30000","0.13800","1.25661"
"8.40000","0.13960","1.26464"
"8.50000","0.14123","1.27358"
"8.60000","0.14290","1.28251"
"8.70000","0.14455","1.29122"
"8.80000","0.14621","1.29947"
"8.90000","0.14785","1.30817"
"9.00000","0.14952","1.31743"
"9.10000","0.15109","1.32553"
"9.20000","0.15272","1.33405"
"9.30000","0.15456","1.34501"
"9.40000","0.15636","1.35489"
"9.50000","0.15812","1.36450"
"9.60000","0.15978","1.37303"
"9.70000","0.16145","1.38108"
"9.80000","0.16306","1.38926"
"9.90000","0.16469","1.39787"
"10.00000","0.16633","1.40634"
"10.10000","0.16792","1.41383"
"10.20000","0.16952","1.42179"
"10.30000","0.17123","1.43051"
"10.40000","0.17290","1.43899"
"10.50000","0.17458","1.44733"
"10.60000","0.17626","1.45607"
"10.70000","0.17787","1.46323"
"10.80000","0.17960","1.47190"
"10.90000","0.18135","1.48165"
"11.00000","0.18301","1.48996"
"11.10000","0.18465","1.49803"
"11.20000","0.18624","1.50524"
"11.30000","0.18789","1.51358"
"11.40000","0.18956","1.52159"
"11.50000","0.19123","1.52928"
"11.60000","0.19286","1.53762"
"11.70000","0.19452","1.54529"
"11.80000","0.19620","1.55302"
"11.90000","0.19787","1.56135"
"12.00000","0.19953","1.56881"
"12.10000","0.20122","1.57674"
"12.20000","0.20291","1.58483"
"12.30000","0.20462","1.59304"
"12.40000","0.20627","1.59997"
"12.50000","0.20786","1.60648"
"12.60000","0.20970","1.61608"
"12.70000","0.21148","1.62391"
"12.80000","0.21314","1.63055"
"12.90000","0.21473","1.63719"
"13.00000","0.21635","1.64452"
"13.10000","0.21799","1.65188"
"13.20000","0.21964","1.65884"
"13.30000","0.22119","1.66457"
"13.40000","0.22281","1.67188"
"13.50000","0.22448","1.67930"
"13.60000","0.22617","1.68649"
"13.70000","0.22788","1.69378"
"13.80000","0.22954","1.70036"
"13.90000","0.23124","1.70778"
"14.00000","0.23288","1.71341"
"14.10000","0.23467","1.72144"
"14.20000","0.23646","1.72859"
"14.30000","0.23814","1.73560"
"14.40000","0.23976","1.74149"
"14.50000","0.24143","1.74768"
"14.60000","0.24309","1.75449"
"14.70000","0.24472","1.76015"
"14.80000","0.24635","1.76612"
"14.90000","0.24792","1.77108"
"15.00000","0.24949","1.77641"
"15.10000","0.25112","1.78301"
"15.20000","0.25276","1.78930"
"15.30000","0.25444","1.79596"
"15.40000","0.25615","1.80339"
"15.50000","0.25782","1.80950"
"15.60000","0.25950","1.81584"
"15.70000","0.26122","1.82251"
"15.80000","0.26287","1.82797"
"15.90000","0.26466","1.83492"
"16.00000","0.26648","1.84214"
"16.10000","0.26819","1.84745"
"16.20000","0.26980","1.85209"
"16.30000","0.27152","1.85807"
"16.40000","0.27319","1.86368"
"16.50000","0.27473","1.86818"
"16.60000","0.27634","1.87323"
"16.70000","0.27804","1.87916"
"16.80000","0.27967","1.88456"
"16.90000","0.28122","1.88898"
"17.00000","0.28278","1.89381"
"17.10000","0.28447","1.90000"
"17.20000","0.28619","1.90621"
"17.30000","0.28778","1.91060"
"17.40000","0.28957","1.91786"
"17.50000","0.29129","1.92328"
"17.60000","0.29304","1.92998"
"17.70000","0.29477","1.93544"
"17.80000","0.29643","1.94126"
"17.90000","0.29813","1.94652"
"18.00000","0.29972","1.95077"
"18.10000","0.30138","1.95606"
"18.20000","0.30300","1.96031"
"18.30000","0.30462","1.96432"
"18.40000","0.30628","1.96944"
"18.50000","0.30796","1.97476"
"18.60000","0.30967","1.98046"
"18.70000","0.31135","1.98583"
"18.80000","0.31294","1.99015"
"18.90000","0.31449","1.99442"
"19.00000","0.31617","2.00065"
"19.10000","0.31784","2.00596"
"19.20000","0.31962","2.01206"
"19.30000","0.32141","2.01779"
"19.40000","0.32308","2.02320"
"19.50000","0.32470","2.02740"
"19.60000","0.32639","2.03273"
"19.70000","0.32805","2.03806"
"19.80000","0.32968","2.04187"
"19.90000","0.33134","2.04674"
"20.00000","0.33299","2.05183"
"20.10000","0.33463","2.05561"
"20.20000","0.33628","2.06160"
"20.30000","0.33799","2.06633"
"20.40000","0.33971","2.07139"
"20.50000","0.34141","2.07625"
"20.60000","0.34299","2.07997"
"20.70000","0.34470","2.08604"
